Date,Open,High,Low,Close,Volume,Currency
2015-01-02,220.53,223.95,220.1,223.95,1577,USD
2015-01-05,225.45,226.35,225.05,225.68,2801,USD
2015-01-06,226.4,227.5,221.2,224.7,3394,USD
2015-01-07,225.8,226.28,223.15,225.65,2144,USD
2015-01-08,226.2,228.5,223.62,225.62,3452,USD
2015-01-09,225.18,225.38,221.32,222.43,2060,USD
2015-01-12,221.97,225.28,221.43,223.4,1594,USD
2015-01-13,223.72,225.2,220.5,221.55,2727,USD
2015-01-14,220.9,223.3,219.6,220.15,2433,USD
2015-01-15,220.5,220.68,215.65,215.65,2802,USD
2015-01-16,214.1,215.95,211.5,214.1,2089,USD
2015-01-20,215.8,216.25,212.88,214.47,1712,USD
2015-01-21,214.75,216.0,213.3,215.7,1155,USD
2015-01-22,216.03,217.05,215.4,215.97,1092,USD
2015-01-23,215.82,216.2,213.38,213.7,1526,USD
2015-01-26,213.5,214.75,209.65,211.65,1716,USD
2015-01-27,210.45,211.0,208.3,210.78,1572,USD
2015-01-28,211.1,212.85,210.97,212.45,966,USD
2015-01-29,212.2,212.7,211.7,212.4,574,USD
2015-01-30,203.55,205.55,202.6,205.2,5278,USD
2015-02-02,204.03,205.15,200.7,200.7,4926,USD
2015-02-03,200.0,200.9,195.75,199.5,6110,USD
2015-02-04,199.0,200.57,196.4,196.72,3555,USD
2015-02-05,196.35,197.47,193.0,195.65,5315,USD
2015-02-06,197.0,200.15,196.25,199.45,5312,USD
2015-02-09,200.75,203.95,200.65,203.62,5691,USD
2015-02-10,204.0,205.0,201.12,202.03,4375,USD
2015-02-11,202.5,203.22,198.3,198.75,4803,USD
2015-02-12,198.62,200.9,196.93,200.3,5543,USD
2015-02-13,201.45,204.8,200.05,203.85,4517,USD
2015-02-17,204.65,204.8,200.82,201.45,4124,USD
2015-02-18,201.3,203.53,201.07,203.1,3862,USD
2015-02-19,204.03,204.5,201.82,202.55,2530,USD
2015-02-20,202.55,203.18,199.0,199.18,3371,USD
2015-02-23,198.8,199.03,197.07,198.07,2534,USD
2015-02-24,198.2,198.5,195.07,195.6,4089,USD
2015-02-25,195.7,197.97,195.22,196.97,2360,USD
2015-02-26,197.5,201.4,197.2,200.3,3196,USD
2015-02-27,200.62,203.1,199.43,201.9,3772,USD
2015-03-02,202.55,204.4,202.55,204.1,2756,USD
2015-03-03,203.97,204.38,202.28,202.72,2495,USD
2015-03-04,202.15,207.22,201.5,207.22,5020,USD
2015-03-05,207.2,207.55,204.7,206.57,2661,USD
2015-03-06,206.8,209.95,206.2,209.72,0,USD
2015-03-09,210.07,210.5,208.75,209.7,1570,USD
2015-03-10,209.7,212.85,209.05,212.22,2665,USD
2015-03-11,212.12,215.78,212.1,214.6,3037,USD
2015-03-12,215.03,215.72,212.9,214.68,1450,USD
2015-03-13,214.25,214.88,211.55,213.12,1458,USD
2015-03-16,213.0,213.28,210.75,212.43,685,USD
2015-03-17,212.4,212.5,210.57,211.57,924,USD
2015-03-18,211.25,214.5,210.47,214.25,1638,USD
2015-03-19,214.53,214.55,213.47,214.05,1648,USD
2015-03-20,214.5,215.25,213.95,214.88,1170,USD
2015-03-23,215.75,217.55,215.68,216.97,1432,USD
2015-03-24,217.05,217.5,216.62,217.18,744,USD
2015-03-25,217.0,217.8,217.0,217.7,704,USD
2015-03-26,217.4,217.57,217.12,217.45,290,USD
2015-03-27,217.65,219.78,217.43,219.28,1693,USD
2015-03-30,219.2,219.97,217.22,218.62,1165,USD
2015-03-31,218.25,220.0,217.62,218.12,1485,USD
2015-04-01,218.2,219.57,217.4,218.62,1354,USD
2015-04-02,219.68,220.57,219.07,220.38,1467,USD
2015-04-03,220.38,220.38,220.38,220.38,0,USD
2015-04-06,222.03,222.78,219.57,219.8,1779,USD
2015-04-07,219.38,219.4,216.2,217.68,2182,USD
2015-04-08,217.6,217.9,215.75,216.22,2024,USD
2015-04-09,216.65,217.43,216.35,216.47,536,USD
2015-04-10,216.78,216.78,212.2,212.45,2455,USD
2015-04-13,211.7,213.0,210.9,212.25,2018,USD
2015-04-14,212.6,213.97,212.03,213.2,661,USD
2015-04-15,213.9,215.45,213.9,215.22,706,USD
2015-04-16,215.07,216.38,214.6,215.8,526,USD
2015-04-17,215.8,216.72,212.9,213.0,1223,USD
2015-04-20,212.85,212.85,211.05,211.82,978,USD
2015-04-21,211.57,212.8,211.57,212.65,647,USD
2015-04-22,212.2,213.4,211.9,212.55,316,USD
2015-04-23,212.75,214.35,212.3,214.28,1027,USD
2015-04-24,214.32,215.88,213.25,214.85,1127,USD
2015-04-27,214.1,215.25,213.95,214.9,607,USD
2015-04-28,215.38,216.2,215.38,215.97,308,USD
2015-04-29,216.18,216.88,216.1,216.53,304,USD
2015-04-30,217.0,217.7,217.0,217.55,335,USD
2015-05-01,213.35,214.78,212.05,213.62,1730,USD
2015-05-04,213.9,215.28,213.88,215.15,3108,USD
2015-05-05,215.35,216.0,214.0,215.38,3569,USD
2015-05-06,215.35,215.7,214.12,214.5,1450,USD
2015-05-07,214.22,215.5,213.8,214.9,1727,USD
2015-05-08,215.4,216.0,214.95,215.88,2394,USD
2015-05-11,216.7,217.53,216.53,216.78,3141,USD
2015-05-12,217.0,217.9,216.55,217.7,2290,USD
2015-05-13,217.57,219.0,217.35,218.75,1215,USD
2015-05-14,219.15,219.7,218.8,219.25,1051,USD
2015-05-15,219.7,220.05,218.8,219.0,1472,USD
2015-05-18,219.03,219.3,218.62,218.97,1199,USD
