Date,Open,High,Low,Close,Volume,Currency
2015-01-01,399.15,400.5,397.6,399.6,6410,INR
2015-01-02,400.0,401.6,395.85,398.05,25457,INR
2015-01-05,399.0,399.0,389.3,391.55,30799,INR
2015-01-06,392.5,393.75,390.65,391.65,24048,INR
2015-01-07,391.95,392.5,388.6,389.45,23797,INR
2015-01-08,389.75,389.9,384.3,385.5,27337,INR
2015-01-09,385.1,385.8,381.2,382.15,27326,INR
2015-01-12,381.35,382.4,374.5,377.1,27838,INR
2015-01-13,375.5,375.5,363.6,364.9,37657,INR
2015-01-14,363.3,363.3,341.0,345.75,62847,INR
2015-01-15,348.0,358.0,347.95,352.2,41792,INR
2015-01-16,353.8,359.45,350.7,358.9,31569,INR
2015-01-17,358.8,358.8,358.8,358.8,0,INR
2015-01-19,357.5,360.85,351.0,352.8,32494,INR
2015-01-20,354.0,358.65,351.65,355.9,38345,INR
2015-01-21,353.4,359.9,347.2,357.15,42944,INR
2015-01-22,356.3,357.55,349.65,350.9,32878,INR
2015-01-23,349.3,349.3,340.25,341.35,33986,INR
2015-01-25,340.8,340.8,340.8,340.8,0,INR
2015-01-27,340.0,346.0,334.2,335.95,37135,INR
2015-01-28,336.9,340.5,334.65,337.8,38574,INR
2015-01-29,337.0,338.4,332.85,337.15,44193,INR
2015-01-30,335.4,343.8,334.1,342.95,37601,INR
2015-02-02,343.85,345.5,340.3,340.95,33803,INR
2015-02-03,341.5,354.4,341.5,353.05,45695,INR
2015-02-04,351.7,356.5,350.35,354.95,40988,INR
2015-02-05,354.1,356.5,347.0,355.4,44791,INR
2015-02-06,355.0,357.5,352.0,354.75,33697,INR
2015-02-09,352.75,356.65,352.55,355.15,26344,INR
2015-02-10,354.8,354.8,348.1,351.75,34391,INR
2015-02-11,351.15,355.85,350.35,351.3,32343,INR
2015-02-12,351.5,359.55,350.3,357.8,34715,INR
2015-02-13,359.35,362.4,355.75,357.3,33671,INR
2015-02-16,357.5,360.7,356.2,360.0,24705,INR
2015-02-17,358.5,358.5,350.85,354.3,21177,INR
2015-02-18,353.0,362.8,353.0,359.55,37523,INR
2015-02-19,358.3,360.45,355.25,359.45,29619,INR
2015-02-20,359.2,360.15,354.6,356.75,36143,INR
2015-02-21,357.25,357.25,357.25,357.25,0,INR
2015-02-23,357.85,359.2,352.75,355.9,27288,INR
2015-02-24,355.25,366.9,354.0,362.5,39725,INR
2015-02-25,361.2,364.2,359.75,363.5,25970,INR
2015-02-26,363.9,371.85,363.9,368.85,29164,INR
2015-02-27,369.25,370.8,366.1,369.3,15851,INR
2015-02-28,369.6,372.2,369.0,371.8,4412,INR
2015-03-02,372.5,375.2,370.85,372.85,25701,INR
2015-03-03,371.7,371.7,363.8,366.7,28474,INR
2015-03-04,367.15,371.65,365.5,370.2,29596,INR
