Date,Open,High,Low,Close,Volume,Currency
2015-01-01,399.75,400.5,397.55,399.55,5447,INR
2015-01-02,400.0,401.8,395.8,398.05,30331,INR
2015-01-05,398.0,398.25,389.2,391.6,37067,INR
2015-01-06,393.05,393.7,390.55,391.65,27243,INR
2015-01-07,391.7,392.15,388.5,389.4,31953,INR
2015-01-08,389.4,389.85,384.15,385.5,34544,INR
2015-01-09,385.05,385.8,381.2,382.15,33839,INR
2015-01-12,381.05,382.45,374.5,377.1,36580,INR
2015-01-13,375.6,375.6,364.2,364.95,50888,INR
2015-01-14,364.05,364.05,340.9,345.65,97892,INR
2015-01-15,347.0,356.75,347.0,352.2,61734,INR
2015-01-16,353.5,359.4,350.6,358.95,39717,INR
2015-01-17,359.1,359.1,359.1,359.1,0,INR
2015-01-19,358.0,360.85,350.85,352.8,44981,INR
2015-01-20,354.5,358.7,351.55,355.85,46244,INR
2015-01-21,354.05,359.95,347.15,357.1,57664,INR
2015-01-22,355.75,357.6,349.6,350.95,41395,INR
2015-01-23,349.5,349.5,340.25,341.35,46236,INR
2015-01-25,340.7,340.7,340.7,340.7,0,INR
2015-01-27,343.0,345.6,334.15,336.0,51172,INR
2015-01-28,337.0,340.4,334.55,337.75,48871,INR
2015-01-29,337.35,338.5,332.8,337.25,59417,INR
2015-01-30,336.0,343.8,334.0,342.85,51438,INR
2015-02-02,343.05,345.5,340.15,340.9,43941,INR
2015-02-03,343.0,354.45,343.0,353.1,55556,INR
2015-02-04,353.3,356.7,350.25,354.95,52587,INR
2015-02-05,353.9,356.65,346.9,355.5,54879,INR
2015-02-06,355.6,357.5,352.0,354.6,41483,INR
2015-02-09,353.4,356.7,352.5,355.35,33890,INR
2015-02-10,354.1,354.7,348.05,351.7,46518,INR
2015-02-11,351.15,355.95,350.5,351.3,41774,INR
2015-02-12,351.0,359.6,350.95,357.8,47579,INR
2015-02-13,359.0,362.5,355.65,357.3,43843,INR
2015-02-16,356.7,360.8,356.1,360.1,30638,INR
2015-02-17,359.25,359.25,350.85,354.3,30288,INR
2015-02-18,353.45,362.85,353.0,359.5,52609,INR
2015-02-19,358.0,360.55,355.2,359.45,38934,INR
2015-02-20,359.45,360.15,354.5,356.8,45320,INR
2015-02-21,357.25,357.25,357.25,357.25,0,INR
2015-02-23,357.9,359.3,352.75,355.9,33330,INR
2015-02-24,354.45,366.85,354.0,362.4,56122,INR
2015-02-25,361.5,364.25,359.75,363.45,31287,INR
2015-02-26,364.9,371.7,364.55,368.85,42507,INR
2015-02-27,367.0,370.95,366.1,369.35,19047,INR
2015-02-28,369.0,372.2,369.0,371.65,5727,INR
2015-03-02,372.45,375.3,370.8,372.85,34915,INR
2015-03-03,371.5,371.5,363.75,366.65,35210,INR
2015-03-04,367.5,371.6,365.4,370.25,35909,INR
2015-03-05,370.85,372.35,368.6,369.25,32404,INR
2015-03-06,368.5,369.2,365.4,366.0,17688,INR
2015-03-09,365.1,374.4,364.3,374.05,37177,INR
2015-03-10,372.8,372.8,365.6,367.7,41510,INR
2015-03-11,369.3,370.8,364.4,365.05,36604,INR
2015-03-12,364.35,373.35,364.25,371.2,54644,INR
2015-03-13,372.65,375.5,371.2,375.15,43297,INR
2015-03-14,375.1,375.1,375.1,375.1,0,INR
2015-03-16,375.75,375.75,372.1,373.3,31610,INR
2015-03-17,372.0,372.0,365.2,368.95,41191,INR
2015-03-18,367.15,367.25,357.3,358.3,56019,INR
2015-03-19,360.2,371.15,360.2,370.7,61053,INR
2015-03-20,370.0,384.8,367.8,382.25,70863,INR
2015-03-23,384.2,387.3,381.8,386.2,46232,INR
2015-03-24,385.05,389.85,384.6,387.75,49242,INR
2015-03-25,386.0,387.7,383.95,387.15,38111,INR
2015-03-26,387.8,398.8,387.8,392.45,54704,INR
2015-03-27,391.2,391.2,382.75,384.85,40625,INR
2015-03-30,384.45,387.0,383.25,384.85,33107,INR
2015-03-31,384.1,385.05,378.0,378.45,40499,INR
2015-04-01,380.0,382.8,374.45,378.7,44440,INR
2015-04-02,377.5,377.95,375.05,375.5,16448,INR
2015-04-06,377.5,389.8,371.45,374.2,70057,INR
2015-04-07,375.5,383.15,375.5,380.6,40645,INR
2015-04-08,380.0,382.4,375.9,377.15,35593,INR
2015-04-09,376.05,380.3,374.85,376.3,29672,INR
2015-04-10,377.9,382.55,376.6,377.0,35863,INR
2015-04-13,378.2,381.25,375.35,375.6,31526,INR
2015-04-14,375.0,375.0,369.15,372.5,22948,INR
2015-04-15,372.45,375.9,368.8,375.5,33594,INR
2015-04-16,376.9,383.75,376.1,383.0,42013,INR
2015-04-17,382.5,386.8,381.55,384.0,38134,INR
2015-04-20,386.1,387.0,379.2,380.9,35067,INR
2015-04-21,381.25,381.6,373.85,374.55,40576,INR
2015-04-22,374.45,376.55,371.25,371.95,30028,INR
2015-04-23,370.85,378.0,370.25,376.95,34554,INR
2015-04-24,376.3,387.4,376.3,385.1,43470,INR
2015-04-27,386.95,389.6,385.4,387.65,25959,INR
