Date,Open,High,Low,Close,Volume,Currency
2015-01-01,15700.0,15770.0,15650.0,15680.0,785,INR
2015-01-02,15690.0,15760.0,15570.0,15630.0,1443,INR
2015-01-05,15650.0,15720.0,15640.0,15690.0,938,INR
2015-01-06,15710.0,15740.0,15650.0,15680.0,813,INR
2015-01-07,15700.0,15710.0,15600.0,15610.0,567,INR
2015-01-08,15620.0,15670.0,15400.0,15420.0,2216,INR
2015-01-09,15350.0,15360.0,15130.0,15230.0,1974,INR
2015-01-12,15180.0,15310.0,15160.0,15180.0,1504,INR
2015-01-13,15200.0,15260.0,15150.0,15250.0,865,INR
2015-01-14,15230.0,15300.0,15060.0,15120.0,914,INR
2015-01-15,15100.0,15160.0,15040.0,15130.0,1241,INR
2015-01-16,15090.0,15100.0,14870.0,14900.0,1404,INR
2015-01-17,14910.0,14910.0,14910.0,14910.0,0,INR
2015-01-19,14880.0,14890.0,14550.0,14620.0,1914,INR
2015-01-20,14670.0,14840.0,14590.0,14620.0,1300,INR
2015-01-21,14590.0,14590.0,14340.0,14360.0,1861,INR
2015-01-22,14320.0,14410.0,14110.0,14160.0,1351,INR
2015-01-23,14180.0,14240.0,13970.0,13990.0,2474,INR
2015-01-25,14000.0,14000.0,14000.0,14000.0,0,INR
2015-01-27,14100.0,14500.0,14000.0,14280.0,1692,INR
2015-01-28,14290.0,14480.0,14270.0,14360.0,712,INR
2015-01-29,14400.0,14650.0,14380.0,14640.0,698,INR
2015-01-30,14520.0,14590.0,14230.0,14360.0,534,INR
2015-02-02,14600.0,14800.0,14570.0,14770.0,948,INR
2015-02-03,14810.0,14980.0,14680.0,14960.0,2114,INR
2015-02-04,14930.0,15010.0,14850.0,14870.0,1842,INR
2015-02-05,14860.0,14900.0,14660.0,14800.0,1642,INR
2015-02-06,14820.0,14920.0,14720.0,14740.0,1168,INR
2015-02-09,14640.0,14850.0,14590.0,14790.0,1654,INR
2015-02-10,14830.0,14940.0,14680.0,14750.0,1871,INR
2015-02-11,14800.0,14850.0,14630.0,14690.0,1054,INR
2015-02-12,14710.0,14860.0,14690.0,14740.0,1222,INR
2015-02-13,14770.0,14860.0,14750.0,14850.0,857,INR
2015-02-16,14860.0,14950.0,14850.0,14880.0,941,INR
2015-02-17,14780.0,14950.0,14650.0,14900.0,695,INR
2015-02-18,14830.0,15220.0,14830.0,15080.0,2376,INR
2015-02-19,15090.0,15270.0,15060.0,15110.0,1378,INR
2015-02-20,15130.0,15210.0,14920.0,15000.0,1770,INR
2015-02-21,15000.0,15000.0,15000.0,15000.0,0,INR
2015-02-23,14920.0,15070.0,14820.0,14840.0,2086,INR
2015-02-24,14900.0,14970.0,14860.0,14930.0,1119,INR
2015-02-25,14930.0,15030.0,14880.0,14990.0,837,INR
2015-02-26,15000.0,15100.0,14940.0,15020.0,995,INR
2015-02-27,14980.0,15520.0,14900.0,15000.0,375,INR
2015-02-28,15170.0,15280.0,15100.0,15200.0,650,INR
2015-03-02,15120.0,15200.0,15100.0,15160.0,1243,INR
2015-03-03,15150.0,15150.0,15080.0,15110.0,1051,INR
2015-03-04,14970.0,15100.0,14960.0,14980.0,1910,INR
2015-03-05,14980.0,14990.0,14890.0,14900.0,1091,INR
2015-03-06,14860.0,14910.0,14850.0,14890.0,270,INR
2015-03-09,14890.0,15040.0,14890.0,14930.0,808,INR
2015-03-10,14940.0,14970.0,14810.0,14830.0,887,INR
2015-03-11,14810.0,14930.0,14720.0,14740.0,1140,INR
2015-03-12,14790.0,14960.0,14780.0,14930.0,1969,INR
2015-03-13,14940.0,15020.0,14900.0,14940.0,967,INR
2015-03-14,14940.0,14940.0,14940.0,14940.0,0,INR
2015-03-16,14980.0,15060.0,14950.0,15000.0,1506,INR
2015-03-17,15030.0,15040.0,14800.0,14830.0,987,INR
2015-03-18,14840.0,14880.0,14670.0,14750.0,1420,INR
2015-03-19,14840.0,14980.0,14800.0,14900.0,1536,INR
2015-03-20,14880.0,14940.0,14820.0,14880.0,757,INR
2015-03-23,14890.0,15250.0,14840.0,15230.0,2475,INR
2015-03-24,15210.0,15270.0,15010.0,15060.0,2440,INR
2015-03-25,15050.0,15250.0,15050.0,15160.0,1680,INR
2015-03-26,15150.0,15340.0,15150.0,15260.0,1212,INR
2015-03-27,15290.0,15350.0,15240.0,15280.0,1444,INR
2015-03-30,15350.0,15450.0,15260.0,15330.0,861,INR
2015-03-31,15310.0,15340.0,15170.0,15250.0,1685,INR
2015-04-01,15500.0,15580.0,15380.0,15410.0,811,INR
