Date,Open,High,Low,Close,Volume,Currency
2015-01-01,117.45,118.75,117.35,117.9,3302,INR
2015-01-02,117.95,119.3,116.8,118.9,16828,INR
2015-01-05,119.1,119.5,117.1,117.2,17341,INR
2015-01-06,117.35,118.45,116.75,117.2,16691,INR
2015-01-07,117.1,117.55,115.6,116.45,16199,INR
2015-01-08,116.8,117.2,115.65,115.8,15889,INR
2015-01-09,115.7,116.15,114.2,115.55,17609,INR
2015-01-12,115.5,115.9,114.1,115.35,14832,INR
2015-01-13,115.2,115.2,112.35,112.75,16672,INR
2015-01-14,112.3,112.3,107.95,108.75,23281,INR
2015-01-15,109.5,111.3,108.85,109.05,17496,INR
2015-01-16,109.4,113.95,109.4,113.8,20965,INR
2015-01-17,113.65,113.65,113.65,113.65,0,INR
2015-01-19,113.45,115.0,112.8,114.0,15508,INR
2015-01-20,114.3,117.6,114.2,117.4,20667,INR
2015-01-21,117.05,117.75,114.8,117.2,18671,INR
2015-01-22,117.0,117.1,114.9,115.05,14856,INR
2015-01-23,114.8,114.8,112.1,112.25,11304,INR
2015-01-25,112.45,112.45,112.45,112.45,0,INR
2015-01-27,112.7,114.6,112.7,114.1,12370,INR
2015-01-28,114.0,115.2,113.4,114.5,11114,INR
2015-01-29,114.35,114.45,112.75,114.1,12442,INR
2015-01-30,113.8,114.85,113.3,113.9,4919,INR
2015-02-02,115.6,115.6,113.9,114.1,11623,INR
2015-02-03,114.2,115.7,114.2,114.4,12750,INR
2015-02-04,114.3,115.5,113.65,115.25,14797,INR
2015-02-05,115.2,115.3,113.85,114.2,14475,INR
2015-02-06,114.45,115.25,114.3,114.85,10607,INR
2015-02-09,115.1,116.25,114.35,114.95,11172,INR
2015-02-10,114.8,115.25,113.75,114.3,13695,INR
2015-02-11,114.05,114.8,112.05,112.3,14063,INR
2015-02-12,112.35,113.9,112.3,113.7,12592,INR
2015-02-13,113.8,114.6,113.6,114.25,8866,INR
2015-02-16,114.45,114.65,113.75,113.8,6983,INR
2015-02-17,113.7,113.7,110.95,111.05,8316,INR
2015-02-18,111.2,112.25,110.6,111.85,12581,INR
2015-02-19,111.6,111.85,110.3,111.0,10528,INR
2015-02-20,111.15,111.6,108.9,109.05,11197,INR
2015-02-21,109.1,109.1,109.1,109.1,0,INR
2015-02-23,109.5,109.95,108.8,109.0,10076,INR
2015-02-24,109.2,110.45,108.9,109.2,12299,INR
2015-02-25,109.3,109.9,107.4,107.55,14205,INR
2015-02-26,107.75,109.05,107.6,107.75,12637,INR
2015-02-27,107.9,108.0,106.55,106.6,7499,INR
2015-02-28,107.5,107.9,106.9,107.8,3032,INR
2015-03-02,108.0,108.85,108.0,108.6,10621,INR
2015-03-03,108.55,109.2,107.8,108.8,11982,INR
2015-03-04,108.95,111.35,108.45,111.2,15168,INR
2015-03-05,111.1,113.95,110.75,113.1,14569,INR
2015-03-06,112.8,114.7,112.6,114.55,8999,INR
2015-03-09,114.1,115.9,113.65,115.7,13737,INR
2015-03-10,115.45,115.65,113.75,114.6,14313,INR
2015-03-11,114.4,115.0,113.2,113.4,11979,INR
2015-03-12,113.45,114.5,113.05,114.2,10950,INR
2015-03-13,114.3,114.75,111.7,112.0,17542,INR
2015-03-14,112.05,112.05,112.05,112.05,0,INR
2015-03-16,112.1,112.25,109.9,110.0,12797,INR
2015-03-17,109.65,109.75,108.3,108.95,17005,INR
2015-03-18,108.8,108.9,105.8,106.0,19301,INR
2015-03-19,106.45,107.75,106.15,107.65,18918,INR
2015-03-20,107.35,111.6,107.0,111.4,21916,INR
2015-03-23,111.45,115.1,111.1,114.9,21843,INR
2015-03-24,114.5,116.35,114.2,115.55,21802,INR
2015-03-25,115.3,115.4,114.05,115.25,14995,INR
2015-03-26,115.4,117.8,115.3,115.85,18399,INR
2015-03-27,115.4,115.4,113.65,114.2,12924,INR
2015-03-30,113.8,115.0,113.35,114.2,11347,INR
2015-03-31,114.2,114.45,112.9,113.2,5114,INR
2015-04-01,114.1,116.1,113.15,115.7,17654,INR
2015-04-02,115.9,117.25,115.75,117.0,9808,INR
2015-04-06,117.1,118.4,116.7,117.2,9165,INR
2015-04-07,117.35,119.15,117.3,118.75,15374,INR
2015-04-08,118.55,120.2,118.2,120.0,17217,INR
2015-04-09,120.1,122.85,119.6,122.65,17310,INR
2015-04-10,122.45,125.1,122.45,124.55,20085,INR
2015-04-13,124.05,125.9,123.0,123.35,20229,INR
2015-04-14,123.0,124.1,122.3,123.75,10020,INR
2015-04-15,123.35,124.95,123.15,124.8,14958,INR
2015-04-16,125.1,127.65,124.8,127.5,17293,INR
2015-04-17,127.4,128.2,126.4,127.15,17732,INR
2015-04-20,127.55,128.8,127.1,127.45,16391,INR
2015-04-21,127.35,128.45,126.15,128.25,15481,INR
2015-04-22,128.5,130.3,128.5,128.95,16954,INR
2015-04-23,128.85,129.1,127.55,128.75,16445,INR
2015-04-24,128.7,132.35,128.7,131.95,18478,INR
2015-04-27,132.4,133.75,132.1,133.5,12829,INR
2015-04-28,133.3,133.6,131.45,131.8,12229,INR
2015-04-29,131.4,133.85,131.05,133.7,11636,INR
2015-04-30,133.3,135.4,133.3,135.15,7275,INR
2015-05-01,135.9,136.9,135.15,136.05,8187,INR
2015-05-04,136.1,136.6,134.8,135.35,4398,INR
2015-05-05,135.2,138.15,134.4,137.4,16933,INR
2015-05-06,137.2,138.4,132.55,133.15,22356,INR
2015-05-07,132.55,134.6,131.4,133.35,19876,INR
2015-05-08,132.95,134.2,130.05,130.6,21401,INR
2015-05-11,130.7,131.7,128.3,128.6,18045,INR
2015-05-12,128.8,132.75,128.1,132.2,21574,INR
2015-05-13,132.05,133.35,128.6,129.2,22585,INR
2015-05-14,129.7,129.85,124.15,124.3,23122,INR
2015-05-15,124.65,125.8,124.35,125.2,19166,INR
2015-05-18,125.55,126.8,124.5,124.85,18499,INR
2015-05-19,125.05,125.35,122.85,123.65,17292,INR
2015-05-20,123.5,123.5,121.8,122.95,17201,INR
2015-05-21,123.6,125.75,123.0,125.2,22177,INR
2015-05-22,125.6,126.55,122.9,123.1,16493,INR
2015-05-25,122.95,123.25,122.4,122.95,6317,INR
2015-05-26,123.45,124.7,122.45,123.7,17144,INR
2015-05-27,124.3,124.95,122.8,124.2,14497,INR
2015-05-28,124.3,126.4,123.65,126.2,18494,INR
2015-05-29,126.15,127.25,124.55,125.0,6803,INR
2015-06-01,124.8,126.5,122.55,123.05,16423,INR
2015-06-02,123.6,124.45,122.3,122.9,18086,INR
2015-06-03,123.25,125.15,122.55,124.95,17914,INR
2015-06-04,125.0,125.15,123.2,123.5,16490,INR
2015-06-05,123.35,124.25,121.7,122.05,21807,INR
2015-06-08,121.95,123.95,121.95,122.5,18554,INR
2015-06-09,122.75,124.7,122.55,123.45,18429,INR
2015-06-10,123.6,125.4,122.55,122.75,21992,INR
2015-06-11,122.85,123.3,119.0,119.3,23136,INR
2015-06-12,118.9,119.4,117.55,119.25,19829,INR
2015-06-15,118.85,119.0,115.9,116.1,20257,INR
2015-06-16,116.4,117.1,114.75,114.9,22806,INR
2015-06-17,114.95,115.8,114.4,115.35,19767,INR
2015-06-18,115.7,116.1,114.25,114.4,19886,INR
2015-06-19,114.45,114.8,112.85,113.0,15089,INR
2015-06-22,113.0,113.1,111.35,111.45,16037,INR
2015-06-23,111.7,114.15,111.7,113.35,21450,INR
2015-06-24,113.6,114.55,112.7,113.0,17610,INR
2015-06-25,113.45,113.85,112.35,113.45,16546,INR
2015-06-26,113.35,113.8,111.9,112.25,14724,INR
2015-06-29,112.7,112.75,111.2,112.55,14727,INR
2015-06-30,112.4,112.5,110.2,111.55,8932,INR
2015-07-01,112.45,114.7,111.95,113.85,20484,INR
2015-07-02,114.0,114.65,112.9,113.05,17558,INR
2015-07-03,113.05,113.3,111.8,112.15,12065,INR
2015-07-06,112.1,112.1,107.7,111.9,18662,INR
2015-07-07,112.05,112.2,108.1,109.75,25906,INR
2015-07-08,109.65,113.45,107.1,113.0,28651,INR
2015-07-09,113.3,116.0,112.4,115.1,26378,INR
2015-07-10,114.9,115.6,113.25,113.7,21840,INR
2015-07-13,113.4,117.5,112.6,117.05,23559,INR
2015-07-14,117.2,117.45,114.7,116.95,23595,INR
2015-07-15,116.95,119.0,116.35,118.1,24004,INR
2015-07-16,118.05,118.7,115.85,116.05,21826,INR
2015-07-17,116.0,116.95,115.35,115.9,19549,INR
2015-07-20,115.95,115.95,114.35,115.05,14699,INR
2015-07-21,114.95,115.55,112.85,112.95,17445,INR
2015-07-22,112.8,112.8,111.15,112.05,15326,INR
2015-07-23,112.2,112.9,109.75,109.85,17352,INR
2015-07-24,109.9,110.1,108.35,109.5,17539,INR
2015-07-27,109.6,109.8,108.15,108.5,19187,INR
2015-07-28,108.8,110.3,108.15,109.8,18700,INR
2015-07-29,110.1,110.7,109.0,109.1,15135,INR
2015-07-30,109.25,109.6,108.3,109.4,13417,INR
2015-07-31,109.2,109.3,107.95,108.1,7288,INR
2015-08-03,109.15,109.85,107.25,109.4,17918,INR
2015-08-04,109.3,111.35,108.4,111.05,21324,INR
2015-08-05,111.0,111.25,109.35,109.5,19990,INR
2015-08-06,109.7,110.1,108.35,108.9,17728,INR
2015-08-07,108.95,110.6,107.8,110.05,19872,INR
2015-08-10,109.9,112.85,109.9,112.25,19479,INR
2015-08-11,111.9,112.35,110.1,110.4,22686,INR
2015-08-12,110.1,113.7,108.8,113.5,26703,INR
2015-08-13,113.1,114.5,112.3,113.55,22779,INR
2015-08-14,113.45,114.35,112.7,114.1,18653,INR
2015-08-17,114.0,114.6,112.4,112.6,18463,INR
2015-08-18,112.6,112.9,110.1,110.25,18394,INR
2015-08-19,110.35,111.7,109.5,110.65,21799,INR
2015-08-20,110.75,113.2,110.5,111.75,21184,INR
2015-08-21,111.75,113.2,110.4,113.05,22607,INR
2015-08-24,112.5,112.5,108.55,111.15,26973,INR
2015-08-25,111.0,112.2,109.25,110.8,22342,INR
2015-08-26,110.6,110.7,107.3,108.35,18346,INR
2015-08-27,108.6,111.3,108.55,110.6,17887,INR
2015-08-28,110.95,111.5,109.8,110.8,9421,INR
2015-08-31,114.75,116.3,114.75,115.9,7130,INR
2015-09-01,115.5,116.15,114.1,114.95,19227,INR
2015-09-02,114.65,115.8,113.7,113.85,23175,INR
2015-09-03,114.0,115.25,113.2,113.35,20055,INR
2015-09-04,113.35,113.75,111.15,111.3,17670,INR
2015-09-07,111.4,112.65,111.0,111.9,14642,INR
2015-09-08,111.8,113.1,110.5,112.55,24158,INR
2015-09-09,112.7,115.1,112.7,114.2,25742,INR
2015-09-10,114.0,115.6,113.5,114.9,23237,INR
2015-09-11,115.0,115.35,113.0,113.2,21700,INR
2015-09-14,113.1,113.1,110.55,110.85,18884,INR
2015-09-15,111.4,112.9,109.85,112.7,25473,INR
2015-09-16,112.6,114.6,111.75,114.35,24893,INR
2015-09-17,114.0,114.1,112.7,113.35,12699,INR
2015-09-18,113.1,113.75,110.2,110.45,25092,INR
2015-09-21,110.3,111.85,109.35,111.55,25175,INR
2015-09-22,111.2,111.35,109.7,110.35,21598,INR
2015-09-23,110.15,112.1,109.5,111.45,21335,INR
2015-09-24,111.8,112.85,110.6,111.45,23181,INR
2015-09-25,111.5,111.5,109.65,109.75,10493,INR
2015-09-28,109.95,110.3,107.55,109.75,18360,INR
2015-09-29,109.5,109.9,108.3,109.1,16950,INR
2015-09-30,108.75,109.75,108.0,108.85,9437,INR
2015-10-01,110.2,111.4,107.55,108.1,25777,INR
2015-10-05,108.4,109.0,105.7,105.95,21574,INR
2015-10-06,106.15,107.1,105.35,106.2,22210,INR
2015-10-07,106.3,109.4,106.2,108.9,25446,INR
2015-10-08,108.8,109.15,107.85,108.7,20125,INR
2015-10-09,108.9,117.9,108.9,115.1,45634,INR
2015-10-12,115.5,117.45,115.05,116.7,23596,INR
2015-10-13,116.3,116.9,115.3,115.4,20331,INR
2015-10-14,115.25,116.65,114.75,116.45,17792,INR
2015-10-15,116.45,118.25,116.0,116.15,22305,INR
2015-10-16,116.5,117.35,116.15,116.8,17516,INR
2015-10-19,116.9,116.95,115.5,115.85,16426,INR
2015-10-20,115.7,115.8,114.65,115.3,14531,INR
2015-10-21,115.2,115.55,112.2,112.45,16681,INR
2015-10-22,113.1,114.95,113.1,113.55,10240,INR
2015-10-23,113.25,115.45,111.95,113.55,25269,INR
2015-10-26,113.5,113.95,112.75,113.3,15517,INR
2015-10-27,113.15,113.8,112.6,113.3,13840,INR
2015-10-28,113.25,113.45,111.65,112.65,16706,INR
2015-10-29,112.3,112.55,111.05,111.25,14446,INR
2015-10-30,111.1,111.2,109.2,109.55,6097,INR
2015-11-02,111.2,112.35,110.35,111.35,15284,INR
2015-11-03,111.1,111.8,110.7,111.0,13394,INR
2015-11-04,111.25,111.9,109.95,110.1,14830,INR
2015-11-05,110.7,110.7,108.95,109.05,15315,INR
