Date,Open,High,Low,Close,Volume,Currency
2015-01-01,117.6,118.9,117.35,117.9,1861,INR
2015-01-02,118.1,119.4,116.85,118.9,12035,INR
2015-01-05,119.0,119.55,117.05,117.2,11622,INR
2015-01-06,117.4,118.6,116.75,117.2,11614,INR
2015-01-07,117.1,117.6,115.55,116.45,11992,INR
2015-01-08,116.8,117.2,115.6,115.75,12044,INR
2015-01-09,115.75,116.2,114.2,115.55,12541,INR
2015-01-12,115.5,115.9,114.1,115.4,10763,INR
2015-01-13,115.1,115.25,112.4,112.75,11946,INR
2015-01-14,111.55,111.55,108.1,108.8,17984,INR
2015-01-15,109.75,111.25,108.85,109.1,11574,INR
2015-01-16,109.5,113.9,109.5,113.8,14513,INR
2015-01-17,113.55,113.55,113.55,113.55,0,INR
2015-01-19,113.5,115.0,112.8,114.05,11330,INR
2015-01-20,114.45,117.6,114.2,117.4,13161,INR
2015-01-21,116.6,117.75,114.75,117.2,13644,INR
2015-01-22,116.85,117.1,114.9,115.05,10065,INR
2015-01-23,114.5,114.5,112.1,112.25,8276,INR
2015-01-25,112.35,112.35,112.35,112.35,0,INR
2015-01-27,113.25,114.6,112.7,114.1,8330,INR
2015-01-28,113.95,115.2,113.4,114.55,8472,INR
2015-01-29,114.05,114.5,112.7,114.1,8576,INR
2015-01-30,113.7,114.75,113.3,113.95,3326,INR
2015-02-02,115.6,115.6,113.9,114.05,8077,INR
2015-02-03,114.3,115.7,114.2,114.4,8481,INR
2015-02-04,114.3,115.5,113.65,115.3,9458,INR
2015-02-05,114.8,115.35,113.85,114.15,9309,INR
2015-02-06,114.6,115.15,114.25,114.85,6775,INR
2015-02-09,114.75,116.4,114.3,114.9,8002,INR
2015-02-10,114.75,115.25,113.75,114.3,9533,INR
2015-02-11,114.35,114.8,112.05,112.25,9545,INR
2015-02-12,112.45,113.9,112.3,113.7,8530,INR
2015-02-13,113.8,114.55,113.6,114.25,5697,INR
2015-02-16,114.2,114.65,113.75,113.8,4603,INR
2015-02-17,113.5,113.5,110.95,111.05,5833,INR
2015-02-18,111.3,112.3,110.6,111.85,8855,INR
2015-02-19,111.6,111.85,110.3,111.0,7369,INR
2015-02-20,111.1,111.6,108.9,109.05,7485,INR
2015-02-21,109.15,109.15,109.15,109.15,0,INR
2015-02-23,109.95,110.0,108.85,109.05,7097,INR
2015-02-24,109.25,110.45,108.9,109.2,8224,INR
2015-02-25,109.7,109.9,107.4,107.55,8960,INR
2015-02-26,108.0,109.05,107.55,107.8,8731,INR
2015-02-27,108.0,108.0,106.55,106.6,4777,INR
2015-02-28,107.5,107.9,106.85,107.7,1467,INR
2015-03-02,108.2,108.85,108.05,108.6,7686,INR
2015-03-03,108.45,109.3,107.85,108.8,7649,INR
2015-03-04,108.85,111.35,108.45,111.25,10578,INR
2015-03-05,110.9,113.8,110.8,113.1,10311,INR
2015-03-06,112.75,114.75,112.6,114.55,6382,INR
2015-03-09,114.3,115.9,113.65,115.7,10317,INR
2015-03-10,115.25,115.6,113.75,114.6,10429,INR
2015-03-11,114.5,114.8,113.25,113.4,8661,INR
2015-03-12,113.45,114.4,113.05,114.2,7736,INR
2015-03-13,114.25,114.75,111.7,111.95,14241,INR
2015-03-14,112.05,112.05,112.05,112.05,0,INR
2015-03-16,112.15,112.25,109.9,110.0,9487,INR
2015-03-17,109.65,109.75,108.25,108.95,12496,INR
2015-03-18,108.9,108.9,105.8,106.0,14087,INR
2015-03-19,106.5,107.75,106.15,107.65,13687,INR
2015-03-20,107.25,111.6,107.05,111.4,16207,INR
2015-03-23,111.3,115.1,111.1,114.9,17839,INR
2015-03-24,114.5,116.4,114.2,115.55,16094,INR
2015-03-25,114.85,115.4,114.05,115.25,10910,INR
2015-03-26,115.35,117.8,115.35,115.8,11834,INR
2015-03-27,115.3,115.35,113.65,114.2,8052,INR
2015-03-30,114.8,114.8,113.4,114.25,8019,INR
2015-03-31,114.05,114.45,112.9,113.15,3688,INR
2015-04-01,114.05,116.05,113.15,115.7,12684,INR
2015-04-02,116.3,117.3,116.1,117.0,6982,INR
2015-04-06,117.0,118.35,116.7,117.2,5660,INR
2015-04-07,117.55,119.15,117.3,118.75,10909,INR
2015-04-08,118.3,120.2,118.2,120.0,11210,INR
2015-04-09,120.15,122.85,119.6,122.6,13404,INR
2015-04-10,122.45,125.15,122.45,124.5,14780,INR
2015-04-13,124.0,125.9,123.05,123.35,15625,INR
2015-04-14,122.95,124.05,122.3,123.7,7566,INR
2015-04-15,123.4,124.95,123.15,124.75,12376,INR
2015-04-16,124.85,127.65,124.8,127.5,13191,INR
2015-04-17,127.45,128.2,126.4,127.15,13113,INR
2015-04-20,127.7,128.8,127.1,127.5,12045,INR
2015-04-21,127.45,128.45,126.15,128.25,12004,INR
2015-04-22,128.8,130.3,128.6,128.95,12459,INR
2015-04-23,128.25,129.15,127.55,128.75,12706,INR
2015-04-24,128.9,132.35,128.8,131.95,14804,INR
2015-04-27,132.55,133.75,132.3,133.5,9915,INR
2015-04-28,132.85,133.55,131.45,131.75,10256,INR
2015-04-29,132.2,133.85,131.15,133.65,9079,INR
2015-04-30,133.3,135.35,133.3,135.1,6018,INR
2015-05-01,136.05,136.9,135.1,136.05,5874,INR
2015-05-04,136.35,136.35,134.9,135.4,2802,INR
2015-05-05,134.85,138.15,134.4,137.35,11857,INR
2015-05-06,137.2,138.4,132.55,133.15,17215,INR
2015-05-07,132.95,134.6,131.4,133.35,14653,INR
2015-05-08,133.15,134.3,130.05,130.55,14785,INR
2015-05-11,130.35,131.7,128.25,128.6,12725,INR
2015-05-12,129.0,132.65,128.1,132.2,16641,INR
2015-05-13,132.0,133.35,128.6,129.25,15783,INR
2015-05-14,129.55,129.85,124.15,124.3,16450,INR
2015-05-15,124.45,125.8,124.3,125.25,12974,INR
2015-05-18,125.95,126.8,124.5,124.85,11538,INR
2015-05-19,125.1,125.35,122.9,123.6,11667,INR
2015-05-20,123.25,123.5,121.8,122.95,11696,INR
2015-05-21,123.85,125.75,123.05,125.2,16701,INR
2015-05-22,125.55,126.55,122.9,123.1,12361,INR
2015-05-25,123.25,123.25,122.45,122.95,5046,INR
2015-05-26,123.4,124.65,122.45,123.65,11146,INR
2015-05-27,124.35,124.45,122.8,124.2,9563,INR
2015-05-28,124.45,126.4,123.65,126.15,15203,INR
2015-05-29,125.9,127.15,124.8,125.0,5502,INR
2015-06-01,124.75,125.1,122.55,123.05,10076,INR
2015-06-02,123.4,124.5,122.35,122.9,12112,INR
2015-06-03,123.05,125.25,122.55,124.95,11280,INR
2015-06-04,124.65,125.15,123.2,123.45,10436,INR
2015-06-05,123.5,124.25,121.7,122.05,15472,INR
2015-06-08,122.45,123.95,121.95,122.5,12817,INR
2015-06-09,122.6,124.7,122.6,123.45,13054,INR
2015-06-10,123.6,125.45,122.5,122.75,14767,INR
2015-06-11,122.75,123.3,119.0,119.3,18445,INR
2015-06-12,118.7,119.4,117.55,119.25,13904,INR
2015-06-15,118.85,119.0,115.9,116.1,15459,INR
2015-06-16,116.45,117.1,114.75,114.9,18194,INR
2015-06-17,115.2,115.85,114.4,115.35,14238,INR
2015-06-18,115.8,116.1,114.25,114.4,14334,INR
2015-06-19,114.75,114.8,112.85,113.0,11318,INR
2015-06-22,113.0,113.1,111.35,111.5,11835,INR
2015-06-23,111.8,114.1,111.8,113.35,15994,INR
2015-06-24,113.8,114.55,112.75,113.0,13346,INR
2015-06-25,113.15,113.9,112.35,113.45,12976,INR
2015-06-26,113.45,113.8,111.9,112.25,11617,INR
2015-06-29,112.6,112.75,111.2,112.55,11836,INR
2015-06-30,112.2,112.5,110.5,111.55,7511,INR
2015-07-01,112.6,114.75,111.95,113.85,16602,INR
2015-07-02,114.1,114.7,112.9,113.05,12925,INR
2015-07-03,113.05,113.3,111.8,112.15,9169,INR
2015-07-06,111.5,112.05,110.05,111.9,13698,INR
2015-07-07,112.05,112.15,108.15,109.75,19148,INR
2015-07-08,109.6,113.4,107.15,113.0,22965,INR
2015-07-09,113.15,115.8,112.35,115.1,22263,INR
2015-07-10,114.75,115.6,113.25,113.7,17133,INR
2015-07-13,113.35,117.45,112.55,117.05,19005,INR
2015-07-14,117.3,117.45,114.65,116.95,19374,INR
2015-07-15,116.85,119.0,116.3,118.15,21298,INR
2015-07-16,118.0,118.7,115.85,116.0,17654,INR
2015-07-17,116.0,116.9,115.4,115.9,14353,INR
2015-07-20,115.55,115.75,114.4,115.05,12615,INR
2015-07-21,115.0,115.55,112.85,112.95,14699,INR
2015-07-22,112.75,112.75,111.15,112.05,12505,INR
2015-07-23,112.3,112.95,109.75,109.9,14596,INR
2015-07-24,110.1,110.15,108.3,109.5,15426,INR
2015-07-27,109.6,109.85,108.1,108.5,15969,INR
2015-07-28,108.65,110.3,108.15,109.75,15846,INR
2015-07-29,109.9,110.7,109.0,109.1,13039,INR
2015-07-30,109.4,109.6,108.35,109.4,11809,INR
2015-07-31,109.15,109.35,108.0,108.1,5322,INR
2015-08-03,109.35,109.95,107.35,109.4,15852,INR
2015-08-04,109.15,111.3,108.35,111.1,18251,INR
2015-08-05,110.8,111.25,109.35,109.45,16447,INR
2015-08-06,109.65,110.1,108.4,108.9,14151,INR
2015-08-07,109.0,110.6,107.8,110.05,17737,INR
2015-08-10,110.1,112.9,110.0,112.25,16535,INR
2015-08-11,111.8,112.35,110.1,110.4,18117,INR
2015-08-12,109.85,113.7,108.65,113.5,24062,INR
2015-08-13,112.6,114.45,112.25,113.55,17591,INR
2015-08-14,113.45,114.3,112.7,114.1,13179,INR
2015-08-17,114.0,114.65,112.4,112.55,13821,INR
2015-08-18,112.8,112.9,110.1,110.25,14966,INR
2015-08-19,110.3,111.75,109.5,110.7,17612,INR
2015-08-20,110.8,113.2,110.5,111.75,16151,INR
2015-08-21,111.75,113.25,110.4,113.05,18471,INR
2015-08-24,112.45,112.45,108.55,111.2,23310,INR
2015-08-25,110.75,112.2,109.25,110.8,19092,INR
2015-08-26,110.4,110.7,107.5,108.35,15594,INR
2015-08-27,109.15,111.35,108.5,110.65,15822,INR
2015-08-28,111.0,111.55,109.85,110.75,8352,INR
2015-08-31,114.85,116.25,114.85,116.1,4979,INR
2015-09-01,115.3,116.2,114.15,114.95,13161,INR
2015-09-02,114.75,115.85,113.7,113.8,16408,INR
2015-09-03,114.05,115.25,113.15,113.35,14579,INR
2015-09-04,113.3,113.75,111.15,111.3,13114,INR
