Date,Open,High,Low,Close,Volume,Currency
2015-01-01,965.0,970.3,962.0,967.8,3809,INR
2015-01-02,965.0,969.9,941.2,945.2,22134,INR
2015-01-05,948.4,966.0,931.2,964.1,31111,INR
2015-01-06,966.4,984.4,956.6,970.1,28425,INR
2015-01-07,972.0,986.5,965.0,983.7,23046,INR
2015-01-08,981.0,981.0,955.3,971.4,26199,INR
2015-01-09,967.9,977.6,949.3,950.3,22693,INR
2015-01-12,951.5,952.0,934.3,939.1,23590,INR
2015-01-13,935.9,937.0,902.2,904.7,24085,INR
2015-01-14,890.9,909.8,865.0,888.4,42030,INR
2015-01-15,894.0,907.8,886.1,891.4,25131,INR
2015-01-16,896.9,912.0,890.3,909.4,24949,INR
2015-01-17,911.0,911.0,911.0,911.0,0,INR
2015-01-19,902.6,908.4,886.4,888.5,19694,INR
2015-01-20,891.4,916.8,891.4,911.5,25388,INR
2015-01-21,906.7,928.8,903.5,923.4,27799,INR
2015-01-22,925.7,933.3,896.4,903.8,27372,INR
2015-01-23,897.7,909.5,870.5,872.4,28422,INR
2015-01-25,871.5,871.5,871.5,871.5,0,INR
2015-01-27,879.9,907.7,879.9,902.8,27531,INR
2015-01-28,901.9,919.9,898.0,916.1,21728,INR
2015-01-29,913.0,924.5,906.0,921.1,19904,INR
2015-01-30,922.0,925.8,912.1,918.9,8222,INR
2015-02-02,934.0,953.6,930.3,945.3,22923,INR
2015-02-03,946.0,959.0,944.4,948.5,18269,INR
2015-02-04,945.0,945.0,921.8,931.3,26296,INR
2015-02-05,925.0,937.6,913.1,935.9,22863,INR
2015-02-06,932.6,943.7,921.0,941.5,22923,INR
2015-02-09,943.0,948.5,936.1,943.1,15850,INR
2015-02-10,940.8,940.8,918.8,921.1,19095,INR
2015-02-11,922.0,927.7,907.5,917.4,21539,INR
2015-02-12,917.4,920.8,907.6,916.3,21101,INR
2015-02-13,918.6,923.8,906.2,909.4,20662,INR
2015-02-16,909.9,914.9,901.7,907.1,17897,INR
2015-02-17,905.0,905.0,876.1,881.7,17894,INR
2015-02-18,884.1,890.0,874.5,883.1,22122,INR
2015-02-19,884.2,888.8,863.3,865.4,23189,INR
2015-02-20,865.0,880.5,862.4,872.8,25646,INR
2015-02-21,872.5,872.5,872.5,872.5,0,INR
2015-02-23,874.2,881.9,865.7,876.7,17451,INR
2015-02-24,876.0,899.3,872.1,887.0,22474,INR
2015-02-25,889.4,894.9,879.3,880.9,16940,INR
2015-02-26,882.9,897.4,880.6,882.7,16312,INR
2015-02-27,880.1,887.0,863.6,865.6,8531,INR
2015-02-28,874.0,876.3,866.8,874.5,4282,INR
2015-03-02,874.8,882.4,865.4,866.2,21593,INR
2015-03-03,866.9,868.4,849.0,850.3,23337,INR
2015-03-04,853.8,873.9,850.3,872.7,31259,INR
2015-03-05,871.4,888.9,868.1,885.6,24900,INR
2015-03-06,889.0,906.0,882.6,904.1,16971,INR
2015-03-09,903.1,919.9,895.6,911.6,24278,INR
2015-03-10,909.2,909.2,882.6,884.1,24591,INR
2015-03-11,884.5,893.8,863.7,865.5,29056,INR
2015-03-12,869.5,881.4,866.6,876.9,28505,INR
2015-03-13,876.0,894.0,875.5,892.6,25827,INR
2015-03-14,893.3,893.3,893.3,893.3,0,INR
2015-03-16,890.8,893.3,873.3,877.3,22476,INR
2015-03-17,876.0,876.0,852.7,866.5,26417,INR
2015-03-18,864.0,864.9,847.5,848.5,21546,INR
2015-03-19,850.0,863.7,847.0,859.0,19129,INR
2015-03-20,860.0,885.8,855.7,880.1,28797,INR
2015-03-23,877.0,893.7,873.5,885.8,19823,INR
2015-03-24,880.8,885.0,870.2,870.9,22760,INR
2015-03-25,873.8,874.1,852.1,853.8,21226,INR
2015-03-26,855.5,874.8,855.5,858.1,26314,INR
2015-03-27,858.0,860.8,828.7,830.5,26463,INR
2015-03-30,831.7,834.6,797.3,799.3,29914,INR
2015-03-31,806.3,806.4,781.3,785.4,14705,INR
2015-04-01,781.4,797.9,775.8,793.7,34120,INR
2015-04-02,797.8,815.4,797.8,808.2,17781,INR
2015-04-06,814.9,821.4,803.1,806.0,20325,INR
2015-04-07,807.0,816.3,786.0,790.9,40169,INR
2015-04-08,791.0,802.5,781.2,791.4,31333,INR
2015-04-09,794.9,795.3,780.3,782.4,25685,INR
2015-04-10,785.0,802.0,785.0,791.8,30874,INR
2015-04-13,791.0,801.7,778.2,781.9,31393,INR
2015-04-14,780.0,790.0,766.5,788.5,20503,INR
2015-04-15,787.4,794.5,785.0,792.1,23018,INR
2015-04-16,794.6,807.0,793.3,795.9,29519,INR
2015-04-17,794.2,801.7,786.0,787.2,27214,INR
2015-04-20,789.8,808.9,780.5,806.9,36484,INR
2015-04-21,809.1,813.5,796.0,798.7,27507,INR
2015-04-22,796.9,804.7,793.7,797.1,20284,INR
2015-04-23,798.7,809.4,792.6,803.7,22391,INR
2015-04-24,807.0,847.1,805.1,845.4,38613,INR
2015-04-27,847.7,866.8,847.7,853.0,27007,INR
2015-04-28,847.5,857.0,838.2,844.6,24645,INR
2015-04-29,844.0,855.7,835.0,853.6,20990,INR
2015-04-30,855.0,881.4,855.0,879.1,12518,INR
2015-05-01,889.1,894.6,877.6,880.6,13295,INR
2015-05-04,886.9,888.0,878.4,882.9,6423,INR
2015-05-05,881.1,913.8,873.5,907.3,33886,INR
2015-05-06,909.0,931.7,886.0,892.2,42871,INR
2015-05-07,892.2,912.9,880.4,909.4,35402,INR
2015-05-08,914.7,922.0,901.2,913.7,31809,INR
2015-05-11,917.5,928.8,910.4,912.2,26720,INR
2015-05-12,912.3,923.3,902.3,921.1,26621,INR
2015-05-13,915.5,919.6,895.5,898.2,31194,INR
2015-05-14,895.1,896.8,875.1,876.7,24130,INR
2015-05-15,881.8,892.0,871.0,879.0,26562,INR
2015-05-18,877.8,889.0,873.0,874.3,23670,INR
2015-05-19,872.5,873.8,826.7,831.3,32958,INR
2015-05-20,829.0,837.5,817.2,833.8,34781,INR
2015-05-21,836.0,844.3,823.0,827.9,31723,INR
2015-05-22,830.0,830.0,806.1,810.5,34119,INR
2015-05-25,808.2,815.0,806.7,813.0,12557,INR
2015-05-26,813.6,827.7,802.7,814.4,31722,INR
2015-05-27,813.2,824.7,807.6,823.5,24006,INR
2015-05-28,822.1,828.9,810.2,813.1,22832,INR
2015-05-29,813.1,814.0,804.0,807.7,12829,INR
2015-06-01,811.1,832.9,801.2,830.6,33001,INR
2015-06-02,832.0,839.4,823.0,833.1,30596,INR
2015-06-03,832.5,838.3,827.0,831.9,23009,INR
2015-06-04,830.3,834.5,822.4,831.6,23626,INR
2015-06-05,829.2,846.5,823.4,841.6,26377,INR
2015-06-08,842.5,864.0,840.5,859.2,25579,INR
2015-06-09,859.0,871.4,856.2,857.8,30206,INR
2015-06-10,859.1,873.8,856.3,864.8,27199,INR
2015-06-11,864.2,867.0,849.0,852.7,24769,INR
2015-06-12,849.0,849.0,830.2,842.5,23737,INR
2015-06-15,839.8,839.8,821.6,830.3,22413,INR
2015-06-16,827.8,831.8,815.2,816.1,26486,INR
2015-06-17,816.5,828.8,812.5,823.8,27480,INR
2015-06-18,824.0,827.8,808.3,809.6,24927,INR
2015-06-19,811.0,813.7,801.2,803.2,19757,INR
2015-06-22,805.3,808.7,788.7,791.1,24162,INR
2015-06-23,792.9,818.6,792.9,816.8,29501,INR
2015-06-24,816.0,823.9,807.3,809.5,24144,INR
2015-06-25,811.9,813.5,799.2,807.6,21354,INR
2015-06-26,807.0,807.7,789.0,790.4,21175,INR
2015-06-29,786.6,787.8,745.3,749.4,33662,INR
2015-06-30,743.5,750.7,708.4,742.5,26514,INR
2015-07-01,769.2,774.5,757.3,767.9,38392,INR
2015-07-02,770.4,782.0,769.0,775.0,32093,INR
2015-07-03,772.6,776.0,760.5,762.1,26547,INR
2015-07-06,760.2,760.2,736.2,740.5,38633,INR
2015-07-07,739.0,742.8,673.9,691.8,66956,INR
2015-07-08,691.1,708.0,667.2,698.0,71927,INR
2015-07-09,700.2,734.1,700.2,728.9,50215,INR
2015-07-10,731.8,739.3,711.1,712.9,41061,INR
2015-07-13,710.2,744.9,695.0,738.5,55413,INR
2015-07-14,730.0,739.8,725.6,737.0,33140,INR
2015-07-15,738.1,753.5,728.2,729.5,40881,INR
2015-07-16,729.0,742.3,727.2,736.2,32183,INR
2015-07-17,734.3,736.8,725.5,728.1,27303,INR
2015-07-20,728.9,747.0,723.2,745.0,28839,INR
2015-07-21,747.3,761.6,738.5,739.9,29906,INR
2015-07-22,739.3,741.0,727.8,729.0,28529,INR
2015-07-23,727.3,732.3,721.0,727.1,28311,INR
2015-07-24,724.4,729.9,715.5,726.6,25550,INR
2015-07-27,724.3,726.7,698.3,704.1,29853,INR
2015-07-28,708.2,722.3,708.2,718.2,25810,INR
2015-07-29,722.0,724.9,710.2,715.9,27715,INR
2015-07-30,716.0,718.8,700.6,702.4,27164,INR
2015-07-31,704.2,710.4,689.9,694.0,18196,INR
2015-08-03,710.1,710.1,686.2,693.8,33889,INR
2015-08-04,692.8,704.5,691.2,695.8,24591,INR
2015-08-05,695.5,703.3,691.3,692.2,27482,INR
2015-08-06,694.8,702.4,692.3,694.2,25048,INR
2015-08-07,692.0,703.0,688.7,692.7,27137,INR
2015-08-10,695.5,718.6,691.6,716.1,30882,INR
2015-08-11,713.0,713.8,688.5,690.8,37485,INR
2015-08-12,689.0,697.9,671.1,691.9,47495,INR
2015-08-13,687.8,699.5,682.0,683.5,32121,INR
2015-08-14,686.8,694.0,684.1,692.8,22234,INR
2015-08-17,695.0,699.7,690.7,696.3,19681,INR
2015-08-18,695.0,695.7,676.7,679.8,26497,INR
2015-08-19,681.5,685.5,676.1,679.7,22421,INR
2015-08-20,677.7,691.0,674.9,678.4,28074,INR
2015-08-21,678.5,683.5,664.0,674.5,28551,INR
2015-08-24,671.1,671.1,616.3,639.7,48665,INR
2015-08-25,642.5,644.0,622.2,635.0,37571,INR
2015-08-26,634.0,639.4,621.3,630.1,28747,INR
2015-08-27,634.0,663.9,631.7,660.0,31434,INR
2015-08-28,661.0,666.5,640.3,653.6,17553,INR
2015-08-31,667.8,673.2,660.7,671.1,13601,INR
2015-09-01,666.0,666.0,650.0,650.8,29175,INR
2015-09-02,651.8,663.2,651.5,657.7,23539,INR
2015-09-03,659.4,674.5,657.5,661.3,29087,INR
2015-09-04,659.9,664.9,652.2,662.2,22562,INR
2015-09-07,663.8,669.0,651.7,652.9,19620,INR
2015-09-08,653.1,670.9,646.6,668.7,29156,INR
2015-09-09,670.0,676.7,664.6,668.1,27371,INR
2015-09-10,666.1,699.2,665.3,693.3,39653,INR
2015-09-11,691.5,693.5,681.1,684.8,24083,INR
2015-09-14,682.1,682.1,655.7,658.1,26780,INR
2015-09-15,659.5,671.8,650.3,669.4,30087,INR
2015-09-16,666.0,683.6,662.3,668.1,33620,INR
2015-09-17,666.0,667.0,657.0,658.4,15048,INR
2015-09-18,659.0,662.3,639.2,640.6,33676,INR
2015-09-21,640.8,653.8,640.8,646.6,30354,INR
2015-09-22,647.0,647.8,633.5,634.8,28741,INR
2015-09-23,637.8,650.8,637.4,645.1,25706,INR
2015-09-24,644.1,658.5,642.8,656.0,27450,INR
2015-09-25,654.0,658.6,650.2,657.2,12263,INR
2015-09-28,656.1,661.9,646.5,648.0,22223,INR
2015-09-29,646.2,653.2,639.1,649.7,21816,INR
2015-09-30,649.6,668.7,647.5,663.0,17057,INR
2015-10-01,680.0,696.7,662.3,665.2,43291,INR
2015-10-05,667.0,672.4,645.0,647.6,35701,INR
2015-10-06,648.0,656.9,645.7,650.9,28154,INR
2015-10-07,652.8,670.7,652.8,663.2,32179,INR
2015-10-08,660.8,665.6,658.2,663.2,23921,INR
2015-10-09,665.4,699.6,665.4,683.2,48901,INR
2015-10-12,684.8,697.0,680.2,682.7,29544,INR
2015-10-13,681.2,691.3,677.5,680.7,26461,INR
2015-10-14,681.0,686.3,676.2,681.5,20544,INR
2015-10-15,683.9,692.5,680.8,684.3,22455,INR
2015-10-16,685.5,691.3,682.7,684.4,17820,INR
2015-10-19,682.9,682.9,670.4,673.1,18130,INR
2015-10-20,671.4,679.5,668.1,678.6,19591,INR
