Date,Open,High,Low,Close,Volume,Currency
2015-01-01,36148.0,36211.0,36030.0,36210.0,2445,INR
2015-01-02,36498.0,36820.0,35698.0,36235.0,27852,INR
2015-01-05,36627.0,37196.0,36385.0,37026.0,25523,INR
2015-01-06,37166.0,38136.0,37052.0,37914.0,25881,INR
2015-01-07,37550.0,37930.0,37211.0,37762.0,21015,INR
2015-01-08,37612.0,37613.0,36850.0,36954.0,21322,INR
2015-01-09,36820.0,37199.0,36530.0,36833.0,21892,INR
2015-01-12,37074.0,37304.0,36847.0,36971.0,15530,INR
2015-01-13,37240.0,38290.0,37240.0,38158.0,29694,INR
2015-01-14,37900.0,38100.0,37025.0,37930.0,30058,INR
2015-01-15,37601.0,38389.0,37076.0,37922.0,37800,INR
2015-01-16,38095.0,39380.0,37610.0,39061.0,31702,INR
2015-01-17,39098.0,39098.0,39098.0,39098.0,0,INR
2015-01-19,38967.0,39279.0,38872.0,39028.0,15999,INR
2015-01-20,38900.0,39786.0,38900.0,39522.0,28689,INR
2015-01-21,39772.0,40580.0,39565.0,39923.0,38606,INR
2015-01-22,39795.0,40438.0,39401.0,40079.0,32158,INR
2015-01-23,39999.0,40260.0,39725.0,39965.0,19040,INR
2015-01-25,40029.0,40029.0,40029.0,40029.0,0,INR
2015-01-27,39468.0,39790.0,39083.0,39530.0,19645,INR
2015-01-28,39332.0,39649.0,39307.0,39472.0,15345,INR
2015-01-29,39350.0,39350.0,37166.0,37286.0,41502,INR
2015-01-30,37380.0,38385.0,37201.0,38105.0,26776,INR
2015-02-02,38118.0,38276.0,37642.0,38005.0,18734,INR
2015-02-03,37792.0,39000.0,37703.0,38091.0,31967,INR
2015-02-04,38390.0,38840.0,37970.0,38371.0,23904,INR
2015-02-05,38485.0,38649.0,37410.0,37859.0,31098,INR
2015-02-06,38011.0,38250.0,36731.0,37024.0,30944,INR
2015-02-09,37175.0,37964.0,37072.0,37798.0,20606,INR
2015-02-10,37661.0,37950.0,37179.0,37599.0,22059,INR
2015-02-11,37656.0,37836.0,37251.0,37397.0,18848,INR
2015-02-12,37250.0,37781.0,37050.0,37225.0,23884,INR
2015-02-13,37500.0,38377.0,37333.0,38204.0,26163,INR
2015-02-16,38101.0,38474.0,38034.0,38128.0,10586,INR
2015-02-17,37817.0,37817.0,36201.0,36374.0,25386,INR
2015-02-18,36513.0,36780.0,36170.0,36278.0,24438,INR
2015-02-19,36712.0,37135.0,36320.0,36420.0,27779,INR
2015-02-20,36500.0,36760.0,36227.0,36314.0,23660,INR
2015-02-21,36265.0,36265.0,36265.0,36265.0,0,INR
2015-02-23,36262.0,36771.0,35791.0,36199.0,30525,INR
2015-02-24,36314.0,36546.0,35760.0,35974.0,30174,INR
2015-02-25,36200.0,36829.0,36200.0,36455.0,22239,INR
2015-02-26,36650.0,37098.0,36559.0,36628.0,21500,INR
2015-02-27,36627.0,36745.0,36231.0,36393.0,18702,INR
2015-02-28,36199.0,36779.0,36130.0,36736.0,4809,INR
2015-03-02,37000.0,37180.0,36600.0,36646.0,2744,INR
2015-03-03,36789.0,36798.0,36198.0,36399.0,700,INR
2015-03-04,36400.0,36525.0,36230.0,36378.0,216,INR
2015-03-05,36550.0,36550.0,36199.0,36217.0,78,INR
2015-03-06,36460.0,36460.0,35911.0,35972.0,19839,INR
2015-03-09,36000.0,36188.0,35838.0,35914.0,15061,INR
2015-03-10,35846.0,35990.0,35557.0,35697.0,23509,INR
2015-03-11,35725.0,35828.0,34887.0,35049.0,26954,INR
2015-03-12,35173.0,35539.0,35080.0,35325.0,22324,INR
2015-03-13,35422.0,35636.0,35370.0,35533.0,17094,INR
2015-03-14,35564.0,35564.0,35564.0,35564.0,0,INR
2015-03-16,35571.0,35846.0,35352.0,35563.0,19049,INR
2015-03-17,35425.0,35650.0,35019.0,35356.0,23549,INR
2015-03-18,35331.0,35468.0,35130.0,35312.0,17822,INR
2015-03-19,35500.0,36436.0,35500.0,36371.0,25483,INR
2015-03-20,36466.0,37825.0,36239.0,37789.0,31866,INR
2015-03-23,37721.0,37990.0,37333.0,37781.0,19472,INR
2015-03-24,37751.0,38098.0,37669.0,37991.0,20020,INR
2015-03-25,37870.0,38340.0,37750.0,38158.0,18348,INR
2015-03-26,38258.0,39090.0,38258.0,38613.0,22736,INR
2015-03-27,38319.0,38650.0,37925.0,38395.0,18980,INR
2015-03-30,38200.0,38200.0,37412.0,37466.0,18915,INR
2015-03-31,37336.0,37671.0,37044.0,37169.0,20632,INR
2015-04-01,37344.0,38080.0,37030.0,37900.0,25594,INR
2015-04-02,37700.0,37729.0,37107.0,37349.0,14206,INR
2015-04-06,37635.0,38588.0,37635.0,38163.0,23543,INR
2015-04-07,38140.0,38140.0,37563.0,37687.0,17491,INR
2015-04-08,37718.0,37840.0,36761.0,36958.0,21915,INR
2015-04-09,36777.0,36777.0,36085.0,36283.0,22155,INR
2015-04-10,36444.0,37164.0,36317.0,36713.0,24906,INR
2015-04-13,36731.0,36820.0,36423.0,36560.0,17239,INR
2015-04-14,36380.0,36570.0,35900.0,36325.0,18276,INR
2015-04-15,36282.0,36639.0,36066.0,36581.0,18475,INR
2015-04-16,36618.0,36850.0,36125.0,36487.0,21486,INR
2015-04-17,36428.0,36890.0,36369.0,36455.0,23155,INR
2015-04-20,36777.0,36777.0,35950.0,36074.0,24861,INR
2015-04-21,36205.0,36515.0,36031.0,36157.0,22129,INR
2015-04-22,36080.0,36320.0,35591.0,35791.0,24131,INR
2015-04-23,35830.0,36194.0,35805.0,36111.0,20193,INR
2015-04-24,35972.0,36234.0,35677.0,35950.0,21556,INR
2015-04-27,36060.0,37323.0,36016.0,37148.0,29062,INR
2015-04-28,37100.0,37600.0,36960.0,37527.0,23967,INR
2015-04-29,37498.0,37790.0,37150.0,37714.0,21969,INR
2015-04-30,37350.0,37730.0,36060.0,36515.0,24534,INR
2015-05-01,36514.0,36658.0,36077.0,36540.0,2087,INR
2015-05-04,36901.0,37742.0,36763.0,37130.0,529,INR
2015-05-05,37100.0,37552.0,36970.0,37295.0,408,INR
2015-05-06,37969.0,38243.0,37742.0,37992.0,23622,INR
2015-05-07,38025.0,38185.0,37640.0,37865.0,24635,INR
2015-05-08,37800.0,38150.0,37620.0,37935.0,24020,INR
2015-05-11,37923.0,38137.0,37549.0,37668.0,20703,INR
2015-05-12,37764.0,38477.0,37520.0,38364.0,27944,INR
2015-05-13,38280.0,39630.0,38253.0,39524.0,37255,INR
2015-05-14,39280.0,40130.0,39273.0,39744.0,32955,INR
2015-05-15,39591.0,40049.0,39350.0,39951.0,24865,INR
2015-05-18,40050.0,40574.0,40050.0,40470.0,23202,INR
2015-05-19,40326.0,40326.0,38856.0,39276.0,37119,INR
2015-05-20,39235.0,39550.0,38932.0,39290.0,21869,INR
2015-05-21,39399.0,39455.0,38939.0,39166.0,18557,INR
2015-05-22,39200.0,39538.0,38773.0,38928.0,23787,INR
2015-05-25,38762.0,39200.0,38760.0,39140.0,9124,INR
2015-05-26,39040.0,39118.0,38324.0,38510.0,26365,INR
2015-05-27,38583.0,38672.0,38255.0,38354.0,16536,INR
2015-05-28,38340.0,38450.0,38026.0,38296.0,21310,INR
2015-05-29,38365.0,38550.0,38217.0,38349.0,15500,INR
2015-06-01,38242.0,39150.0,38030.0,38242.0,28632,INR
2015-06-02,38309.0,38550.0,38175.0,38447.0,19872,INR
2015-06-03,38416.0,38472.0,37810.0,37948.0,24536,INR
2015-06-04,38000.0,38065.0,37114.0,37172.0,26513,INR
