Date,Open,High,Low,Close,Volume,Currency
2015-01-01,138.0,138.0,137.15,137.9,2427,INR
2015-01-02,138.0,139.8,137.25,139.35,20949,INR
2015-01-05,139.25,139.55,137.35,138.2,24268,INR
2015-01-06,137.9,139.15,137.25,137.45,17935,INR
2015-01-07,137.65,137.9,134.65,134.9,22414,INR
2015-01-08,135.05,135.65,133.6,134.7,19322,INR
2015-01-09,134.8,135.35,133.6,133.75,16986,INR
2015-01-12,133.6,134.3,131.8,132.35,18379,INR
2015-01-13,132.3,132.55,128.65,128.95,19711,INR
2015-01-14,128.6,128.6,124.0,126.5,31296,INR
2015-01-15,127.25,127.7,125.65,126.85,17812,INR
2015-01-16,126.75,129.35,126.7,129.2,15354,INR
2015-01-17,129.15,129.15,129.15,129.15,0,INR
2015-01-19,129.05,130.1,127.75,128.0,13292,INR
2015-01-20,128.4,130.4,128.4,130.25,17445,INR
2015-01-21,130.0,131.6,128.5,131.45,18402,INR
2015-01-22,131.65,132.75,130.8,131.1,18316,INR
2015-01-23,130.8,131.0,128.2,128.4,14303,INR
2015-01-25,128.45,128.45,128.45,128.45,0,INR
2015-01-27,128.85,131.55,128.85,129.65,17072,INR
2015-01-28,130.0,130.85,129.2,129.55,12921,INR
2015-01-29,129.5,129.8,127.85,129.15,14637,INR
2015-01-30,129.1,130.5,128.1,130.2,6838,INR
2015-02-02,132.25,132.85,131.55,131.9,408,INR
2015-02-03,132.3,134.3,132.3,133.85,640,INR
2015-02-04,133.0,133.65,132.1,132.45,17022,INR
2015-02-05,132.25,132.65,130.8,132.45,13546,INR
2015-02-06,132.45,134.0,132.25,133.9,18682,INR
2015-02-09,133.8,134.85,133.35,133.9,13030,INR
2015-02-10,133.8,133.8,131.75,131.9,16205,INR
2015-02-11,131.95,133.15,131.4,132.05,17529,INR
2015-02-12,132.05,133.6,131.85,133.05,14882,INR
2015-02-13,133.0,134.25,132.95,133.55,15850,INR
2015-02-16,133.2,134.3,133.2,133.65,10160,INR
2015-02-17,133.5,133.5,130.3,130.45,11927,INR
2015-02-18,130.25,131.35,129.25,129.5,17428,INR
2015-02-19,129.2,129.8,128.35,128.75,12946,INR
2015-02-20,129.0,129.35,126.65,126.95,14791,INR
2015-02-21,126.9,126.9,126.9,126.9,0,INR
2015-02-23,127.2,127.9,126.3,126.6,9497,INR
2015-02-24,127.05,128.7,126.45,128.2,12305,INR
2015-02-25,128.65,129.25,126.6,126.85,14578,INR
2015-02-26,127.15,128.95,127.1,127.35,12378,INR
2015-02-27,127.4,127.55,126.1,126.85,5329,INR
2015-02-28,127.4,128.0,126.6,127.75,2315,INR
2015-03-02,128.0,128.9,127.1,127.15,11685,INR
2015-03-03,127.1,127.35,125.5,125.6,11228,INR
2015-03-04,125.9,127.1,125.5,126.6,13355,INR
2015-03-05,126.65,127.05,125.85,126.0,11982,INR
2015-03-06,125.8,127.2,125.3,126.75,5652,INR
2015-03-09,126.6,128.5,126.5,128.3,11807,INR
2015-03-10,127.9,127.95,126.4,126.65,10019,INR
2015-03-11,126.5,127.6,125.1,125.25,13793,INR
2015-03-12,125.2,126.55,124.85,125.65,12363,INR
2015-03-13,125.9,127.25,125.9,126.95,11803,INR
2015-03-14,127.1,127.1,127.1,127.1,0,INR
2015-03-16,127.3,127.6,125.9,126.1,10575,INR
2015-03-17,126.1,126.8,125.25,126.6,11423,INR
2015-03-18,126.5,126.5,124.3,124.55,13075,INR
2015-03-19,124.65,126.25,124.65,126.15,12136,INR
2015-03-20,125.8,128.35,125.55,127.95,15443,INR
2015-03-23,127.75,129.9,127.45,129.5,13750,INR
2015-03-24,129.0,130.25,128.3,129.75,15319,INR
2015-03-25,129.1,129.9,128.55,129.8,11212,INR
2015-03-26,130.0,132.85,129.95,130.9,14993,INR
2015-03-27,130.5,130.5,129.05,130.2,12378,INR
2015-03-30,129.8,131.3,129.4,131.15,10888,INR
2015-03-31,131.0,131.6,129.9,130.2,5856,INR
2015-04-01,130.15,131.2,128.65,130.6,13686,INR
2015-04-02,130.7,132.75,130.7,132.45,8872,INR
2015-04-06,132.6,134.0,132.1,132.6,8883,INR
2015-04-07,132.5,134.45,132.5,133.95,14384,INR
2015-04-08,133.7,134.5,133.3,134.25,12364,INR
2015-04-09,134.0,135.75,133.35,135.65,14845,INR
2015-04-10,135.95,137.8,135.1,137.45,16106,INR
2015-04-13,137.3,138.95,136.85,137.3,18402,INR
2015-04-14,137.0,137.0,135.8,136.8,7317,INR
2015-04-15,136.55,137.9,136.15,137.5,13753,INR
2015-04-16,137.6,139.4,137.4,138.9,14391,INR
2015-04-17,138.85,139.75,138.15,138.55,15791,INR
2015-04-20,139.0,140.4,137.5,137.95,20523,INR
2015-04-21,137.85,139.1,136.7,138.95,14779,INR
2015-04-22,138.85,141.25,138.85,140.85,18094,INR
2015-04-23,140.6,141.35,139.55,140.7,17199,INR
2015-04-24,140.6,143.65,140.55,143.1,18020,INR
2015-04-27,143.55,146.7,143.3,146.1,18570,INR
2015-04-28,145.6,146.45,144.75,145.65,14797,INR
2015-04-29,145.6,147.5,144.4,147.3,15720,INR
2015-04-30,147.2,150.3,147.05,149.9,9647,INR
2015-05-01,150.0,150.85,148.65,150.55,11504,INR
2015-05-04,150.45,150.95,149.75,150.15,7163,INR
2015-05-05,150.0,153.85,148.85,153.4,26402,INR
2015-05-06,153.35,154.35,150.85,151.5,28830,INR
2015-05-07,151.2,153.65,150.2,152.85,25506,INR
2015-05-08,152.2,153.45,150.4,150.7,24050,INR
2015-05-11,150.45,151.9,147.65,147.85,25348,INR
2015-05-12,148.15,152.05,147.3,151.85,29393,INR
2015-05-13,151.6,152.95,149.35,150.2,26881,INR
2015-05-14,150.1,150.7,146.25,146.5,24113,INR
2015-05-15,146.4,147.55,144.4,145.6,20110,INR
2015-05-18,146.05,146.95,144.9,145.65,18517,INR
2015-05-19,145.95,146.0,142.35,142.7,19632,INR
2015-05-20,143.0,143.0,139.85,140.2,21590,INR
2015-05-21,140.6,141.55,138.55,139.7,25082,INR
2015-05-22,140.15,141.0,137.25,138.0,18739,INR
2015-05-25,138.15,138.35,137.4,137.9,7738,INR
2015-05-26,138.5,140.1,138.45,139.45,16831,INR
2015-05-27,139.75,140.45,138.4,140.1,15025,INR
2015-05-28,140.3,142.75,140.0,142.55,19187,INR
2015-05-29,142.55,143.6,140.65,141.0,9064,INR
2015-06-01,139.7,140.15,136.8,137.5,19491,INR
2015-06-02,137.8,139.3,136.85,138.05,24693,INR
2015-06-03,138.35,139.6,137.4,139.45,19961,INR
2015-06-04,139.35,139.45,137.1,137.2,18364,INR
2015-06-05,137.1,138.2,135.4,137.1,23241,INR
2015-06-08,137.2,137.8,136.35,137.3,17163,INR
2015-06-09,137.6,139.65,137.3,138.65,20614,INR
2015-06-10,138.6,139.9,136.6,137.05,23730,INR
2015-06-11,137.05,137.6,135.1,136.2,21797,INR
2015-06-12,136.0,136.5,134.3,136.3,21107,INR
2015-06-15,136.2,136.2,133.85,135.05,19697,INR
2015-06-16,135.25,135.7,133.65,134.2,22325,INR
2015-06-17,134.3,134.4,132.8,133.45,22934,INR
2015-06-18,133.75,133.75,131.1,131.2,20398,INR
2015-06-19,131.5,131.7,129.5,130.0,17087,INR
2015-06-22,129.5,130.25,128.2,128.85,15329,INR
2015-06-23,129.05,130.75,128.35,130.35,22513,INR
2015-06-24,130.55,131.6,129.25,129.55,18840,INR
2015-06-25,129.85,129.9,128.8,129.35,16157,INR
2015-06-26,129.5,129.6,128.4,128.75,13550,INR
2015-06-29,128.25,129.3,127.9,128.6,13771,INR
2015-06-30,128.35,128.45,125.0,126.8,9330,INR
2015-07-01,127.65,131.15,127.0,130.55,26058,INR
2015-07-02,130.5,131.0,128.5,128.65,21635,INR
2015-07-03,128.85,129.25,127.75,128.45,14313,INR
2015-07-06,128.1,128.1,125.85,127.7,21669,INR
2015-07-07,128.2,128.3,122.3,124.2,29381,INR
2015-07-08,123.9,126.25,121.35,125.75,29109,INR
2015-07-09,126.1,127.9,125.75,127.6,22135,INR
2015-07-10,127.9,128.5,126.5,127.55,18288,INR
2015-07-13,127.15,130.7,126.2,130.55,22422,INR
2015-07-14,130.5,130.9,128.4,130.7,20256,INR
2015-07-15,130.95,134.2,130.65,132.15,29875,INR
2015-07-16,132.5,133.15,130.8,131.3,21271,INR
2015-07-17,131.1,132.25,130.55,130.75,19621,INR
2015-07-20,130.5,130.65,129.25,130.5,15406,INR
2015-07-21,130.4,131.15,129.35,129.45,16707,INR
2015-07-22,129.3,129.3,126.8,127.25,16602,INR
2015-07-23,127.3,128.4,126.25,126.35,18500,INR
2015-07-24,126.7,126.8,124.85,125.4,17331,INR
2015-07-27,125.3,125.3,123.4,123.7,16780,INR
