Date,Open,High,Low,Close,Volume,Currency
2015-01-01,798.4,798.4,796.1,796.3,0,USD
2015-01-02,797.25,802.9,791.3,794.85,2268,USD
2015-01-05,800.25,805.1,792.05,793.2,3823,USD
2015-01-06,794.0,810.0,794.0,800.4,4440,USD
2015-01-07,802.3,804.45,785.8,792.45,5128,USD
2015-01-08,803.25,803.25,791.55,793.1,2,USD
2015-01-09,792.1,803.5,791.05,800.15,2685,USD
2015-01-12,803.2,814.95,800.5,814.1,3890,USD
2015-01-13,810.6,820.0,807.75,815.7,4961,USD
2015-01-14,817.65,817.65,766.2,780.65,9794,USD
2015-01-15,776.7,790.0,765.1,766.35,8476,USD
2015-01-16,768.8,775.0,746.0,754.3,8142,USD
2015-01-18,757.6,758.3,755.2,756.0,0,USD
2015-01-19,756.1,768.8,751.6,764.8,0,USD
2015-01-20,755.05,783.25,751.4,778.75,8744,USD
2015-01-21,775.5,782.8,767.25,768.8,57,USD
2015-01-22,770.0,775.55,759.15,772.9,80,USD
2015-01-23,769.75,775.45,765.0,774.85,163,USD
2015-01-26,766.7,782.2,761.3,782.55,79,USD
2015-01-27,791.75,796.8,791.75,782.05,5,USD
2015-01-28,787.45,798.0,787.0,797.0,122,USD
2015-01-29,797.05,797.05,770.65,772.35,190,USD
2015-01-30,775.0,783.25,771.7,773.15,147,USD
2015-02-02,774.35,788.9,771.7,788.8,379,USD
2015-02-03,786.05,788.4,786.0,786.3,2,USD
2015-02-04,790.75,790.75,790.75,790.5,1,USD
2015-02-05,795.4,796.8,788.0,796.6,464,USD
2015-02-06,793.1,793.1,792.5,781.6,2,USD
2015-02-09,783.0,785.0,777.05,780.6,1542,USD
2015-02-10,782.9,784.4,764.95,766.75,1384,USD
2015-02-11,772.0,780.75,766.25,767.75,1867,USD
2015-02-12,771.5,780.05,769.8,774.9,2032,USD
2015-02-13,775.0,796.2,774.5,795.7,1477,USD
2015-02-15,791.6,792.0,787.7,790.4,0,USD
2015-02-16,790.6,794.3,783.7,789.3,0,USD
2015-02-17,792.05,795.1,778.0,784.55,1568,USD
2015-02-18,785.0,786.15,777.2,778.0,2929,USD
2015-02-19,781.0,791.6,776.55,788.4,4737,USD
2015-02-20,787.0,789.35,777.9,780.85,3881,USD
2015-02-23,780.55,788.75,775.8,787.6,5156,USD
2015-02-24,785.85,799.6,784.15,791.5,5263,USD
2015-02-25,792.9,810.0,792.2,809.3,9606,USD
2015-02-26,808.9,815.5,806.0,810.25,2697,USD
2015-02-27,813.5,818.9,804.0,818.45,180,USD
2015-03-02,819.45,832.1,816.0,830.3,110,USD
2015-03-03,826.3,832.2,826.3,831.15,73,USD
2015-03-04,826.1,829.65,821.5,830.4,37,USD
2015-03-05,823.35,823.35,822.4,825.0,41,USD
2015-03-06,812.45,820.9,812.45,818.05,13,USD
2015-03-09,825.65,825.65,822.6,822.6,13,USD
2015-03-10,814.55,814.55,802.65,803.75,21,USD
2015-03-11,795.4,795.4,795.4,789.05,1,USD
2015-03-12,789.7,789.7,788.55,786.6,2,USD
2015-03-13,790.9,790.9,789.7,788.35,4,USD
2015-03-16,788.35,788.35,783.25,779.75,10,USD
2015-03-17,777.5,777.5,761.75,761.8,9,USD
2015-03-18,776.7,776.7,776.7,764.3,9,USD
2015-03-19,775.75,776.0,775.75,765.45,16,USD
2015-03-20,768.0,780.5,765.05,779.1,3324,USD
2015-03-23,779.1,782.0,770.2,770.7,3092,USD
2015-03-24,776.9,777.0,762.35,763.7,3387,USD
2015-03-25,763.0,769.75,761.7,765.4,2685,USD
2015-03-26,767.05,773.1,767.05,773.0,3,USD
2015-03-27,745.05,746.55,745.05,740.65,2,USD
2015-03-30,738.5,747.0,723.0,729.0,6481,USD
2015-03-31,730.3,739.35,723.45,735.3,5096,USD
2015-04-01,733.8,749.95,732.8,748.85,4676,USD
2015-04-02,748.55,754.95,740.6,746.3,3103,USD
2015-04-03,747.9,747.9,747.9,747.9,0,USD
2015-04-06,748.0,778.0,746.75,768.8,3813,USD
2015-04-07,768.0,777.45,764.65,769.0,4442,USD
2015-04-08,769.45,773.0,751.6,755.7,4184,USD
2015-04-09,754.85,764.5,752.1,762.4,2646,USD
2015-04-10,760.9,779.0,760.45,776.05,3548,USD
2015-04-13,778.0,788.0,765.15,771.4,4747,USD
2015-04-14,769.4,770.75,755.0,762.5,3640,USD
2015-04-15,764.4,775.0,758.55,767.1,3078,USD
2015-04-16,771.4,783.5,768.0,779.75,3479,USD
2015-04-17,780.0,785.95,777.1,782.95,3152,USD
2015-04-20,782.45,787.5,764.45,772.4,3356,USD
2015-04-21,771.25,779.0,768.05,774.55,2847,USD
2015-04-22,769.0,773.75,755.0,755.9,4613,USD
2015-04-23,763.5,763.5,763.5,769.6,1,USD
2015-04-24,768.35,777.7,768.25,770.25,2259,USD
2015-04-27,770.05,785.45,767.0,782.45,4227,USD
2015-04-28,778.0,782.45,770.85,781.15,2723,USD
2015-04-29,776.2,785.0,772.25,784.75,2302,USD
2015-04-30,781.25,784.45,769.0,776.5,3934,USD
2015-05-01,776.5,781.0,770.5,773.75,1881,USD
2015-05-04,773.7,784.0,772.1,782.65,2226,USD
