Date,Open,High,Low,Close,Volume,Currency
2015-01-01,1209.5,1213.7,1209.1,1213.4,0,USD
2015-01-02,1213.65,1215.6,1187.9,1203.2,0,USD
2015-01-04,1202.2,1205.0,1197.5,1202.0,0,USD
2015-01-05,1201.75,1219.1,1199.5,1212.95,0,USD
2015-01-06,1212.9,1228.9,1209.3,1219.65,0,USD
2015-01-07,1219.75,1224.75,1214.8,1220.65,0,USD
2015-01-08,1220.35,1227.75,1216.0,1220.3,0,USD
2015-01-09,1220.2,1233.95,1219.8,1233.75,0,USD
2015-01-11,1231.15,1234.65,1231.15,1234.4,0,USD
2015-01-12,1234.45,1246.4,1227.25,1239.25,0,USD
2015-01-13,1239.3,1249.3,1237.5,1244.5,0,USD
2015-01-14,1244.55,1248.65,1227.65,1235.2,0,USD
2015-01-15,1235.15,1267.05,1230.4,1259.9,0,USD
2015-01-16,1260.2,1272.2,1254.3,1268.65,0,USD
2015-01-18,1271.7,1273.2,1265.3,1265.3,0,USD
2015-01-19,1265.45,1270.95,1261.9,1263.4,0,USD
2015-01-20,1263.45,1288.85,1261.75,1278.55,0,USD
2015-01-21,1278.95,1289.35,1270.75,1272.6,0,USD
2015-01-22,1273.35,1290.15,1270.05,1282.75,0,USD
2015-01-23,1282.95,1283.05,1265.7,1269.1,0,USD
2015-01-25,1271.0,1275.1,1266.55,1275.05,0,USD
2015-01-26,1275.85,1278.85,1247.0,1253.45,0,USD
2015-01-27,1253.5,1271.3,1248.05,1265.85,0,USD
2015-01-28,1265.9,1267.6,1252.45,1256.8,0,USD
2015-01-29,1256.85,1257.65,1212.65,1227.25,0,USD
2015-01-30,1226.6,1243.85,1217.7,1240.9,0,USD
2015-02-01,1240.45,1240.45,1236.75,1237.75,0,USD
2015-02-02,1237.85,1241.95,1223.8,1230.3,0,USD
2015-02-03,1230.35,1242.6,1223.05,1234.65,0,USD
2015-02-04,1234.6,1247.6,1231.65,1244.6,0,USD
2015-02-05,1244.65,1257.55,1230.55,1251.55,0,USD
2015-02-06,1250.75,1258.55,1220.15,1223.85,0,USD
2015-02-08,1225.45,1228.9,1224.4,1228.6,0,USD
2015-02-09,1228.55,1231.35,1210.2,1219.4,0,USD
2015-02-10,1218.95,1225.6,1204.8,1207.75,0,USD
2015-02-11,1207.6,1214.05,1193.2,1198.4,0,USD
2015-02-12,1198.1,1207.35,1194.25,1201.1,0,USD
2015-02-13,1200.85,1214.9,1196.75,1208.15,0,USD
2015-02-15,1208.2,1210.85,1208.2,1210.05,0,USD
2015-02-16,1210.4,1217.55,1204.35,1208.4,0,USD
2015-02-17,1208.25,1210.1,1168.75,1181.75,0,USD
2015-02-18,1181.8,1183.35,1163.1,1173.35,0,USD
2015-02-19,1173.25,1184.75,1164.15,1172.3,0,USD
2015-02-20,1172.25,1175.15,1156.65,1164.45,0,USD
2015-02-22,1166.7,1166.7,1163.55,1165.25,0,USD
2015-02-23,1165.4,1172.5,1155.7,1165.0,0,USD
2015-02-24,1164.95,1170.0,1155.1,1168.8,0,USD
2015-02-25,1167.05,1177.25,1164.15,1174.15,0,USD
2015-02-26,1173.75,1192.45,1171.15,1177.85,0,USD
2015-02-27,1177.75,1191.45,1167.15,1188.7,0,USD
2015-03-01,1185.55,1186.2,1184.15,1184.85,0,USD
2015-03-02,1184.8,1193.65,1182.8,1187.4,0,USD
2015-03-03,1187.15,1196.8,1177.55,1186.45,0,USD
2015-03-04,1186.25,1188.05,1175.35,1183.7,0,USD
2015-03-05,1183.6,1192.45,1178.1,1181.55,0,USD
2015-03-06,1181.15,1183.15,1156.85,1160.6,0,USD
2015-03-08,1161.15,1161.6,1158.6,1158.6,0,USD
2015-03-09,1158.3,1159.0,1146.4,1147.5,0,USD
2015-03-10,1147.6,1148.9,1128.25,1130.55,0,USD
2015-03-11,1130.25,1136.75,1113.8,1121.4,0,USD
2015-03-12,1122.0,1131.7,1112.45,1117.55,0,USD
2015-03-13,1117.65,1124.35,1113.25,1117.05,0,USD
2015-03-15,1118.6,1119.1,1114.15,1116.65,0,USD
2015-03-16,1116.7,1121.4,1105.05,1108.15,0,USD
2015-03-17,1107.75,1109.35,1087.1,1094.45,0,USD
2015-03-18,1093.75,1125.3,1087.65,1125.05,0,USD
2015-03-19,1125.1,1132.9,1111.7,1123.6,0,USD
2015-03-20,1123.55,1143.85,1119.4,1137.65,0,USD
2015-03-22,1137.25,1140.75,1134.95,1140.55,0,USD
2015-03-23,1140.7,1149.45,1134.25,1146.5,0,USD
2015-03-24,1146.65,1147.6,1132.45,1138.85,0,USD
2015-03-25,1138.75,1151.45,1135.15,1143.2,0,USD
2015-03-26,1143.7,1163.5,1142.65,1153.0,0,USD
2015-03-27,1152.9,1153.9,1137.6,1138.95,0,USD
2015-03-29,1140.7,1141.05,1136.4,1138.65,0,USD
2015-03-30,1138.6,1138.8,1114.85,1119.9,0,USD
2015-03-31,1120.1,1144.6,1115.35,1139.55,0,USD
2015-04-01,1139.6,1169.05,1133.2,1161.2,0,USD
2015-04-02,1161.65,1165.85,1150.6,1155.5,0,USD
2015-04-05,1162.6,1174.9,1162.45,1174.85,0,USD
2015-04-06,1174.7,1187.95,1172.5,1174.9,0,USD
2015-04-07,1174.75,1175.85,1165.1,1170.05,0,USD
2015-04-08,1170.6,1177.95,1161.3,1164.3,0,USD
2015-04-09,1163.85,1166.9,1155.5,1156.55,0,USD
2015-04-10,1156.8,1177.65,1156.45,1173.6,0,USD
2015-04-12,1172.6,1175.3,1172.6,1174.5,0,USD
2015-04-13,1174.55,1175.1,1149.2,1155.15,0,USD
2015-04-14,1155.1,1160.65,1141.35,1153.25,0,USD
2015-04-15,1153.3,1164.75,1147.1,1164.25,0,USD
2015-04-16,1164.2,1174.85,1153.65,1161.95,0,USD
2015-04-17,1161.9,1172.5,1160.0,1171.9,0,USD
2015-04-19,1170.75,1174.25,1170.75,1173.25,0,USD
2015-04-20,1173.4,1174.2,1144.05,1150.2,0,USD
2015-04-21,1150.25,1159.7,1145.5,1149.6,0,USD
2015-04-22,1149.65,1150.65,1129.0,1132.55,0,USD
2015-04-23,1132.6,1139.85,1126.5,1136.35,0,USD
2015-04-24,1136.25,1138.2,1118.6,1123.85,0,USD
2015-04-26,1126.3,1126.3,1123.75,1124.0,0,USD
2015-04-27,1123.5,1154.55,1117.95,1142.75,0,USD
2015-04-28,1142.75,1160.95,1140.6,1155.8,0,USD
2015-04-29,1155.85,1162.9,1151.15,1153.45,0,USD
2015-04-30,1153.05,1156.15,1131.3,1142.35,0,USD
2015-05-01,1142.4,1145.5,1126.4,1131.4,0,USD
2015-05-03,1129.95,1131.1,1128.35,1129.2,0,USD
2015-05-04,1129.55,1154.3,1129.15,1148.3,0,USD
2015-05-05,1148.25,1157.35,1142.6,1148.4,0,USD
2015-05-06,1148.55,1150.75,1136.65,1143.85,0,USD
2015-05-07,1143.05,1144.65,1130.35,1132.55,0,USD
2015-05-08,1132.65,1145.5,1130.6,1141.75,0,USD
2015-05-10,1142.05,1143.4,1140.95,1142.05,0,USD
2015-05-11,1142.15,1143.2,1122.6,1126.1,0,USD
2015-05-12,1126.6,1141.5,1126.25,1133.05,0,USD
2015-05-13,1132.5,1153.05,1130.1,1147.5,0,USD
2015-05-14,1147.3,1166.45,1147.0,1159.4,0,USD
2015-05-15,1159.35,1172.8,1150.9,1168.7,0,USD
2015-05-17,1169.3,1170.45,1167.25,1167.45,0,USD
2015-05-18,1167.85,1179.6,1164.05,1174.3,0,USD
2015-05-19,1174.25,1174.3,1147.85,1153.8,0,USD
2015-05-20,1153.65,1160.55,1148.2,1156.1,0,USD
2015-05-21,1156.2,1159.65,1145.75,1154.75,0,USD
2015-05-22,1154.35,1161.7,1144.55,1146.95,0,USD
2015-05-24,1147.2,1147.2,1144.5,1145.15,0,USD
2015-05-25,1145.45,1152.25,1144.05,1149.05,0,USD
2015-05-26,1149.1,1149.9,1123.2,1126.5,0,USD
2015-05-27,1126.45,1131.05,1115.65,1119.75,0,USD
2015-05-28,1119.75,1127.35,1108.95,1118.15,0,USD
2015-05-29,1118.25,1119.8,1111.05,1112.4,0,USD
2015-05-31,1112.7,1113.95,1110.55,1111.55,0,USD
2015-06-01,1111.45,1123.95,1102.9,1104.35,0,USD
2015-06-02,1104.4,1114.8,1101.35,1113.35,0,USD
2015-06-03,1113.4,1116.95,1100.8,1105.05,0,USD
2015-06-04,1105.25,1109.3,1095.5,1101.0,0,USD
2015-06-05,1100.95,1101.05,1088.55,1096.1,0,USD
2015-06-07,1097.05,1097.05,1094.25,1094.25,0,USD
2015-06-08,1094.4,1103.9,1094.3,1102.75,0,USD
2015-06-09,1102.95,1114.9,1102.45,1109.1,0,USD
2015-06-10,1109.0,1119.5,1105.85,1114.55,0,USD
2015-06-11,1114.7,1117.1,1101.65,1107.65,0,USD
2015-06-12,1107.55,1107.65,1094.35,1095.0,0,USD
2015-06-14,1098.05,1099.25,1095.3,1097.65,0,USD
2015-06-15,1097.55,1097.55,1077.15,1088.45,0,USD
2015-06-16,1088.5,1094.35,1078.3,1080.45,0,USD
2015-06-17,1080.3,1086.2,1071.8,1082.05,0,USD
2015-06-18,1081.95,1096.1,1079.3,1084.45,0,USD
2015-06-19,1084.55,1089.1,1082.05,1084.7,0,USD
2015-06-21,1085.05,1085.85,1082.25,1082.75,0,USD
2015-06-22,1082.95,1083.85,1058.8,1063.3,0,USD
2015-06-23,1063.35,1075.15,1061.05,1069.0,0,USD
2015-06-24,1068.5,1076.7,1064.85,1075.35,0,USD
