Date,Open,High,Low,Close,Volume,Currency
2015-01-02,363.8,363.8,355.7,356.5,1737,USD
2015-01-05,356.8,369.8,356.5,369.0,2333,USD
2015-01-06,368.8,372.0,365.7,370.8,1823,USD
2015-01-07,370.9,372.1,365.3,368.5,1537,USD
2015-01-08,368.5,369.0,361.0,361.3,1482,USD
2015-01-09,361.9,364.1,360.0,363.8,716,USD
2015-01-12,362.5,365.8,355.4,356.5,717,USD
2015-01-13,356.4,358.8,350.0,349.7,694,USD
2015-01-14,348.8,351.2,328.0,328.9,570,USD
2015-01-15,336.7,338.0,325.6,326.7,53121,USD
2015-01-16,326.7,329.0,324.3,326.2,40889,USD
2015-01-20,324.3,327.3,321.0,326.5,52963,USD
2015-01-21,327.5,331.7,326.2,330.5,48129,USD
2015-01-22,330.8,335.8,327.6,330.1,44268,USD
2015-01-23,330.4,334.1,326.2,331.5,40590,USD
2015-01-26,330.9,339.3,330.2,338.9,44044,USD
2015-01-27,338.9,342.6,335.0,336.6,38866,USD
2015-01-28,336.3,341.0,333.1,337.4,43537,USD
2015-01-29,336.8,340.8,336.1,337.9,41835,USD
2015-01-30,337.9,339.5,328.0,329.9,52115,USD
2015-02-02,329.9,331.9,327.5,327.9,29936,USD
2015-02-03,328.1,344.7,327.9,340.6,68238,USD
2015-02-04,340.7,343.4,330.4,332.7,49337,USD
2015-02-05,332.0,334.1,330.0,331.4,38404,USD
2015-02-06,331.4,333.9,328.2,329.4,47719,USD
2015-02-09,329.5,333.5,327.7,329.6,46013,USD
2015-02-10,330.0,332.8,326.0,326.9,60036,USD
2015-02-11,326.9,331.0,325.5,329.6,46423,USD
2015-02-12,329.4,332.7,327.0,330.5,47649,USD
2015-02-13,330.3,335.6,330.3,332.3,42383,USD
2015-02-17,332.8,342.8,332.8,342.3,41341,USD
2015-02-18,342.6,344.6,336.8,338.6,40823,USD
2015-02-19,338.6,350.2,338.3,347.5,45899,USD
2015-02-20,347.5,350.0,346.1,347.5,34606,USD
2015-02-23,348.4,351.3,344.6,348.3,34192,USD
2015-02-24,348.2,362.6,348.2,356.9,37126,USD
2015-02-25,356.9,357.3,347.4,350.5,28106,USD
2015-02-26,350.7,355.6,348.2,354.6,16070,USD
2015-02-27,355.0,357.4,350.6,353.7,5682,USD
2015-03-02,353.5,355.0,343.0,344.3,3387,USD
2015-03-03,344.3,345.3,336.0,341.8,3574,USD
2015-03-04,341.8,342.2,333.7,334.1,2314,USD
2015-03-05,334.0,337.4,333.2,334.4,1147,USD
2015-03-06,333.6,338.5,333.6,337.0,757,USD
2015-03-09,338.2,345.7,338.2,343.9,508,USD
2015-03-10,344.2,345.0,341.1,342.0,832,USD
2015-03-11,341.9,346.3,341.9,345.7,551,USD
2015-03-12,345.7,346.3,340.0,343.5,246,USD
2015-03-13,343.3,343.6,337.2,338.0,90,USD
2015-03-16,326.8,328.8,323.2,323.7,38204,USD
2015-03-17,323.2,324.5,317.2,317.5,60044,USD
2015-03-18,317.8,321.6,317.4,320.8,49012,USD
2015-03-19,322.0,327.4,317.9,319.3,42673,USD
2015-03-20,319.2,326.3,318.6,324.0,46405,USD
2015-03-23,323.5,329.0,323.1,327.3,33472,USD
2015-03-24,327.3,327.8,323.0,326.3,37424,USD
2015-03-25,327.0,327.8,323.7,324.5,44376,USD
2015-03-26,324.0,324.7,321.4,322.4,43187,USD
2015-03-27,322.0,323.5,320.5,321.4,38898,USD
2015-03-30,321.9,325.9,321.2,323.2,47253,USD
2015-03-31,322.8,329.9,318.3,326.8,72384,USD
2015-04-01,326.4,333.8,324.2,331.9,60068,USD
2015-04-02,331.2,332.3,326.3,327.3,49767,USD
2015-04-03,327.3,327.3,327.3,327.3,0,USD
2015-04-06,327.3,328.4,322.4,323.0,30700,USD
2015-04-07,322.8,325.6,319.3,319.7,57703,USD
2015-04-08,319.7,321.3,318.4,319.9,48893,USD
2015-04-09,320.2,320.5,311.4,312.1,78786,USD
2015-04-10,312.4,314.2,308.3,309.2,64690,USD
2015-04-13,308.8,310.0,307.3,308.8,51526,USD
2015-04-14,308.8,314.1,308.8,313.6,58462,USD
2015-04-15,313.6,318.0,311.1,311.5,60011,USD
2015-04-16,311.5,313.6,308.5,312.4,40234,USD
2015-04-17,312.0,315.7,311.9,315.0,38588,USD
2015-04-20,314.0,320.0,313.7,318.5,40800,USD
2015-04-21,318.0,318.3,313.7,315.8,32338,USD
2015-04-22,315.8,316.9,312.8,315.5,30819,USD
2015-04-23,315.8,319.4,315.7,316.6,27677,USD
2015-04-24,314.8,317.3,312.1,314.6,29372,USD
2015-04-27,313.5,318.0,312.8,315.1,31409,USD
2015-04-28,314.6,321.7,314.6,318.7,29618,USD
2015-04-29,323.6,325.1,317.3,324.2,22127,USD
2015-04-30,324.2,326.6,317.4,318.9,6151,USD
2015-05-01,318.9,319.7,313.2,314.7,1897,USD
2015-05-04,314.2,317.1,313.3,315.8,2172,USD
2015-05-05,315.0,318.5,313.7,318.1,2367,USD
2015-05-06,318.0,320.8,316.2,317.6,1597,USD
2015-05-07,318.0,319.2,315.0,317.4,1435,USD
2015-05-08,317.1,317.8,314.8,315.2,1287,USD
2015-05-11,315.7,317.3,311.8,312.1,467,USD
2015-05-12,311.7,312.4,302.5,302.5,699,USD
2015-05-13,304.5,305.1,301.8,301.7,135,USD
2015-05-14,303.8,306.7,301.1,310.6,118,USD
2015-05-15,302.2,304.3,301.7,303.3,43699,USD
2015-05-18,303.2,308.9,302.2,308.0,44394,USD
2015-05-19,308.0,308.5,305.1,307.1,44652,USD
2015-05-20,306.8,307.2,302.7,304.5,46508,USD
2015-05-21,304.3,306.4,303.5,304.1,36087,USD
2015-05-22,304.0,307.9,303.6,304.2,48750,USD
2015-05-26,304.2,308.1,301.7,301.9,65620,USD
2015-05-27,301.9,308.6,301.8,308.1,61367,USD
2015-05-28,307.9,311.4,302.8,304.8,75899,USD
2015-05-29,305.2,307.8,302.0,305.7,54573,USD
2015-06-01,304.8,304.9,296.3,296.6,73892,USD
2015-06-02,297.7,304.5,297.2,301.8,59621,USD
2015-06-03,302.4,304.7,299.3,302.7,56381,USD
2015-06-04,302.5,307.7,301.4,305.7,46094,USD
2015-06-05,305.7,307.5,303.9,304.9,48118,USD
2015-06-08,305.8,311.9,304.8,309.5,62088,USD
2015-06-09,310.2,316.9,309.9,316.5,60984,USD
2015-06-10,316.3,318.4,313.6,314.4,64312,USD
2015-06-11,314.4,316.4,312.2,313.4,46816,USD
2015-06-12,313.5,323.0,312.3,317.4,64475,USD
2015-06-15,317.7,318.2,308.9,313.2,69599,USD
2015-06-16,313.2,321.9,311.5,320.8,65313,USD
