Date,Open,High,Low,Close,Volume,Currency
2015-01-02,14.52,14.55,14.15,14.17,35552,USD
2015-01-05,14.2,14.3,14.07,14.26,36641,USD
2015-01-06,14.29,15.06,14.27,14.87,81731,USD
2015-01-07,14.94,14.99,14.61,14.78,55518,USD
2015-01-08,14.71,15.17,14.65,14.88,63723,USD
2015-01-09,14.85,14.98,14.8,14.91,34750,USD
2015-01-12,14.95,15.04,14.71,14.76,49667,USD
2015-01-13,14.71,14.96,14.67,14.87,47422,USD
2015-01-14,14.87,15.12,14.8,14.93,58488,USD
2015-01-15,14.9,15.38,14.89,15.35,69498,USD
2015-01-16,15.35,15.49,15.27,15.33,63251,USD
2015-01-20,15.39,15.85,15.36,15.83,82410,USD
2015-01-21,15.86,16.16,15.78,15.92,99542,USD
2015-01-22,15.82,15.95,15.62,15.91,64311,USD
2015-01-23,15.83,15.89,15.08,15.17,100690,USD
2015-01-26,15.16,15.51,15.14,15.35,70528,USD
2015-01-27,15.28,15.28,14.93,15.16,85822,USD
2015-01-28,15.15,15.34,14.97,15.16,55336,USD
2015-01-29,15.15,15.16,14.77,14.85,72811,USD
2015-01-30,14.85,15.02,14.67,14.79,72444,USD
2015-02-02,14.79,14.8,14.1,14.22,92308,USD
2015-02-03,14.25,14.74,14.23,14.47,83284,USD
2015-02-04,14.45,14.69,14.35,14.45,58806,USD
2015-02-05,14.45,14.57,14.33,14.41,84635,USD
2015-02-06,14.48,14.9,14.48,14.51,104616,USD
2015-02-09,14.56,14.87,14.53,14.82,86629,USD
2015-02-10,14.82,15.02,14.63,14.71,120908,USD
2015-02-11,14.67,14.79,14.5,14.71,85855,USD
2015-02-12,14.68,15.05,14.66,15.04,86357,USD
2015-02-13,15.0,15.03,14.8,14.88,49645,USD
2015-02-17,14.91,15.25,14.69,15.14,65669,USD
2015-02-18,15.12,15.19,14.96,15.09,34407,USD
2015-02-19,15.05,15.05,14.56,14.68,39853,USD
2015-02-20,14.7,14.72,14.32,14.39,40417,USD
2015-02-23,14.37,14.42,14.25,14.31,76226,USD
2015-02-24,14.3,14.41,14.09,14.17,49517,USD
2015-02-25,14.22,14.3,13.77,13.79,31695,USD
2015-02-26,13.8,14.12,13.8,14.08,25651,USD
2015-02-27,14.0,14.09,13.83,13.93,8752,USD
2015-03-02,13.87,13.87,13.57,13.64,43712,USD
2015-03-03,13.56,13.6,13.38,13.45,60150,USD
2015-03-04,13.38,13.53,13.18,13.34,63357,USD
2015-03-05,13.42,13.66,13.36,13.44,64891,USD
2015-03-06,13.5,13.65,13.4,13.44,61775,USD
2015-03-09,13.44,13.56,13.24,13.27,43066,USD
2015-03-10,13.18,13.21,12.98,13.02,62701,USD
2015-03-11,13.06,13.18,12.97,13.14,51316,USD
2015-03-12,13.14,13.31,13.1,13.21,55969,USD
2015-03-13,13.15,13.17,12.57,12.7,84503,USD
2015-03-16,12.79,12.98,12.77,12.9,47345,USD
2015-03-17,12.86,12.9,12.68,12.82,43493,USD
2015-03-18,12.85,12.97,12.64,12.73,56738,USD
2015-03-19,12.82,12.91,12.56,12.62,47885,USD
2015-03-20,12.62,12.78,12.39,12.68,55633,USD
2015-03-23,12.65,12.85,12.6,12.74,48137,USD
2015-03-24,12.79,12.92,12.36,12.45,73454,USD
2015-03-25,12.45,12.58,12.31,12.52,54820,USD
2015-03-26,12.52,12.53,12.32,12.34,46173,USD
2015-03-27,12.3,12.33,12.1,12.13,52144,USD
2015-03-30,12.09,12.22,11.94,11.99,27297,USD
2015-03-31,11.97,12.12,11.91,11.93,53197,USD
2015-04-01,12.0,12.38,11.98,12.32,71547,USD
2015-04-02,12.39,12.75,12.33,12.74,81091,USD
2015-04-06,12.8,12.86,12.5,12.54,48274,USD
2015-04-07,12.54,12.85,12.29,12.77,99126,USD
2015-04-08,12.78,13.13,12.76,12.97,116527,USD
