Date,Open,High,Low,Close,Currency
2015-01-01,11909.2627,11941.5107,11893.2041,11941.5107,BYN
2015-01-02,11938.2783,11945.5547,11875.5889,11875.5889,BYN
2015-01-04,11919.7246,11960.9443,11904.4404,11904.4404,BYN
2015-01-05,11912.4795,11955.2695,11245.2598,11269.6797,BYN
2015-01-06,11260.5098,11366.8721,11059.7422,11082.3125,BYN
2015-01-07,11083.0674,11125.4521,11018.5752,11041.8652,BYN
2015-01-08,11058.4541,11167.793,11050.1533,11140.1455,BYN
2015-01-09,11147.0449,11530.5557,11128.667,11506.584,BYN
2015-01-11,11508.1787,11515.3613,11498.6152,11498.6152,BYN
2015-01-12,11501.8008,11657.001,11452.6143,11632.9063,BYN
2015-01-13,11634.5098,11728.0869,11611.3057,11728.0869,BYN
2015-01-14,11726.459,11746.8369,11565.9434,11682.6826,BYN
2015-01-15,11665.7461,12003.8359,11665.7461,11928.4248,BYN
2015-01-16,11941.0684,12062.0986,11930.1094,12032.8965,BYN
2015-01-18,12020.0586,12032.8965,12014.0762,12014.0762,BYN
2015-01-19,12024.335,12044.9033,11925.0586,11925.0586,BYN
2015-01-20,11940.2246,11991.0596,11909.0908,11937.6943,BYN
2015-01-21,11949.5117,12011.5146,11767.2861,11791.9199,BYN
2015-01-22,11783.6973,12015.7852,11729.7148,11927.583,BYN
2015-01-23,11938.5381,12089.7119,11866.4424,11928.4248,BYN
2015-01-25,11946.1328,11971.5215,11926.7412,11971.5215,BYN
2015-01-26,11949.5117,11957.9678,11854.7881,11901.542,BYN
2015-01-27,11904.0576,11943.6006,11774.666,11774.666,BYN
2015-01-28,11769.7451,11925.8994,11762.3721,11818.3086,BYN
2015-01-29,11817.4824,11833.2051,11551.7119,11600.082,BYN
2015-01-30,11600.082,11660.1113,11520.998,11632.0205,BYN
2015-02-01,11588.9453,11630.4199,11581.7969,11630.4199,BYN
2015-02-02,11629.6191,11667.3574,11594.5107,11619.2246,BYN
2015-02-03,11623.2207,11654.4824,11347.7031,11456.9492,BYN
2015-02-04,11441.4355,11604.8623,11438.3379,11604.8623,BYN
2015-02-05,11581.0029,11613.6348,11474.0635,11497.4824,BYN
2015-02-06,11491.2285,11671.3857,11486.542,11648.8594,BYN
2015-02-08,11610.4434,11613.6348,11590.5352,11590.5352,BYN
2015-02-09,11593.7158,11714.2656,11567.5273,11642.4385,BYN
2015-02-10,11633.6221,11686.7217,11580.21,11604.8623,BYN
2015-02-11,11619.2246,11625.6191,11492.791,11520.998,BYN
