Date,Open,High,Low,Close,Currency
2015-01-01,494.88,496.6,494.42,496.24,CLP
2015-01-02,495.93,499.85,491.92,496.4,CLP
2015-01-05,495.16,500.5,492.59,499.0,CLP
2015-01-06,498.74,504.11,497.67,498.4,CLP
2015-01-07,497.85,498.63,493.64,496.2,CLP
2015-01-08,495.6,499.13,494.99,497.82,CLP
2015-01-09,497.54,504.92,496.37,504.16,CLP
2015-01-12,503.53,507.07,500.46,502.9,CLP
2015-01-13,502.55,507.26,500.7,505.87,CLP
2015-01-14,505.34,512.38,499.27,510.08,CLP
2015-01-15,509.52,517.25,508.39,513.74,CLP
2015-01-16,513.33,517.47,511.34,516.59,CLP
2015-01-19,515.91,518.14,514.11,515.76,CLP
2015-01-20,515.65,516.63,511.97,513.82,CLP
2015-01-21,513.28,517.93,506.7,507.9,CLP
2015-01-22,507.34,510.68,498.76,501.19,CLP
2015-01-23,500.82,502.9,493.75,494.65,CLP
2015-01-26,493.19,497.62,490.62,494.06,CLP
2015-01-27,493.73,497.38,492.42,494.78,CLP
2015-01-28,494.48,500.58,490.25,491.25,CLP
2015-01-29,490.75,492.35,483.84,487.08,CLP
2015-01-30,486.72,494.13,484.96,492.2,CLP
2015-02-02,489.24,495.36,488.73,491.59,CLP
2015-02-03,491.19,493.52,478.74,487.5,CLP
2015-02-04,487.19,491.23,484.75,485.97,CLP
2015-02-05,485.66,491.03,484.41,486.5,CLP
2015-02-06,485.96,490.91,482.98,489.46,CLP
2015-02-09,487.19,491.43,485.81,487.16,CLP
2015-02-10,486.45,489.5,484.19,486.81,CLP
2015-02-11,486.44,488.2,483.61,486.28,CLP
2015-02-12,486.02,487.06,480.3,481.09,CLP
2015-02-13,480.99,485.34,479.14,480.68,CLP
2015-02-16,480.0,484.12,479.51,483.17,CLP
2015-02-17,482.97,486.74,481.35,485.47,CLP
2015-02-18,484.97,486.08,482.01,484.14,CLP
2015-02-19,483.67,486.33,480.4,482.86,CLP
2015-02-20,482.2,486.24,480.63,483.04,CLP
2015-02-23,483.03,487.43,478.81,486.11,CLP
2015-02-24,485.29,486.49,481.8,484.64,CLP
2015-02-25,484.56,490.38,483.88,486.66,CLP
2015-02-26,486.31,488.71,481.24,483.37,CLP
2015-02-27,482.6,487.03,480.81,482.25,CLP
2015-03-02,483.52,484.63,477.72,478.77,CLP
2015-03-03,478.21,484.86,477.04,482.29,CLP
2015-03-04,481.62,487.75,480.51,483.77,CLP
2015-03-05,483.29,485.41,480.69,482.87,CLP
2015-03-06,482.19,488.62,481.63,482.86,CLP
2015-03-09,481.25,487.08,480.06,483.73,CLP
2015-03-10,483.31,486.3,477.29,484.72,CLP
2015-03-11,483.88,486.78,481.07,484.6,CLP
2015-03-12,483.87,491.55,482.74,488.73,CLP
2015-03-13,488.11,490.26,484.82,488.77,CLP
2015-03-16,488.0,491.75,486.26,489.6,CLP
2015-03-17,489.05,491.66,487.26,488.54,CLP
2015-03-18,488.09,499.25,486.5,494.24,CLP
2015-03-19,493.99,496.9,485.51,489.8,CLP
2015-03-20,489.0,493.66,488.0,491.12,CLP
2015-03-23,490.74,494.88,489.28,491.93,CLP
