Date,Open,High,Low,Close,Currency
2015-01-01,5.8351,5.8544,5.8315,5.8502,EGP
2015-01-02,5.8494,5.8535,5.7743,5.784,EGP
2015-01-05,5.7743,5.806,5.7433,5.7713,EGP
2015-01-06,5.7625,5.8331,5.7597,5.7809,EGP
2015-01-07,5.7786,5.7862,5.7422,5.7769,EGP
2015-01-08,5.7751,5.8137,5.7679,5.8079,EGP
2015-01-09,5.8072,5.872,5.7936,5.8663,EGP
2015-01-12,5.8637,5.9024,5.8122,5.8323,EGP
2015-01-13,5.8308,5.8617,5.8094,5.8388,EGP
2015-01-14,5.8373,5.8583,5.7672,5.8277,EGP
2015-01-15,5.8258,5.9324,5.813,5.8723,EGP
2015-01-16,5.8723,5.9055,5.8387,5.8827,EGP
2015-01-19,5.9177,5.965,5.9004,5.9534,EGP
2015-01-20,5.953,5.9989,5.9138,5.9645,EGP
2015-01-21,5.9641,6.0503,5.9344,5.9428,EGP
2015-01-22,5.941,6.0218,5.9148,5.9389,EGP
2015-01-23,5.9392,5.9593,5.8305,5.852,EGP
2015-01-26,5.8393,5.9037,5.809,5.8963,EGP
2015-01-27,5.8955,5.9364,5.8798,5.9051,EGP
2015-01-28,5.9051,5.987,5.8754,5.8927,EGP
2015-01-29,5.8923,5.9623,5.8288,5.8902,EGP
2015-01-30,5.8906,5.9199,5.8656,5.8963,EGP
2015-02-02,5.8756,5.9591,5.8695,5.9381,EGP
2015-02-03,5.9366,5.9881,5.8156,5.9461,EGP
2015-02-04,5.9445,5.9946,5.8979,5.9113,EGP
2015-02-05,5.907,5.9728,5.8918,5.9499,EGP
2015-02-06,5.9483,6.0125,5.9323,5.9491,EGP
2015-02-09,5.9262,5.9819,5.9094,5.9537,EGP
2015-02-10,5.9491,5.9839,5.9023,5.9134,EGP
2015-02-11,5.9114,5.9431,5.8605,5.8858,EGP
2015-02-12,5.8796,5.9346,5.8224,5.9003,EGP
2015-02-13,5.8987,5.9437,5.8873,5.9254,EGP
2015-02-16,5.9224,5.9506,5.911,5.9308,EGP
2015-02-17,5.9293,5.9748,5.9094,5.9648,EGP
2015-02-18,5.9644,5.9808,5.9277,5.9602,EGP
2015-02-19,5.959,5.9846,5.9132,5.9457,EGP
2015-02-20,5.9438,5.99,5.94,5.9847,EGP
2015-02-23,5.9811,5.9879,5.9299,5.9529,EGP
2015-02-24,5.9529,5.9828,5.9017,5.9759,EGP
2015-02-25,5.9751,6.0316,5.9667,6.0171,EGP
2015-02-26,6.0163,6.0377,5.9361,5.9514,EGP
2015-02-27,5.9491,5.9792,5.9316,5.9603,EGP
2015-03-02,5.9796,5.9862,5.9117,5.9259,EGP
2015-03-03,5.9262,5.9877,5.9117,5.9633,EGP
2015-03-04,5.9621,6.0003,5.9483,5.9645,EGP
2015-03-05,5.9636,5.9839,5.9133,5.9381,EGP
2015-03-06,5.9369,5.9919,5.8766,5.8889,EGP
2015-03-09,5.8751,5.906,5.8606,5.8763,EGP
2015-03-10,5.8759,5.8816,5.7965,5.8182,EGP
2015-03-11,5.8133,5.8339,5.7668,5.795,EGP
2015-03-12,5.7904,5.8999,5.7759,5.8793,EGP
2015-03-13,5.8751,5.8854,5.7996,5.8251,EGP
2015-03-16,5.8186,5.8629,5.7996,5.8278,EGP
2015-03-17,5.824,5.8492,5.8003,5.8126,EGP
2015-03-18,5.8118,5.9838,5.7821,5.9274,EGP
2015-03-19,5.9262,5.957,5.8049,5.8358,EGP
2015-03-20,5.8331,5.9594,5.8278,5.932,EGP
2015-03-23,5.9331,6.027,5.9178,6.0132,EGP
2015-03-24,6.0094,6.0579,5.9789,6.0099,EGP
2015-03-25,6.0079,6.0332,5.9705,5.9857,EGP
2015-03-26,5.9804,6.0171,5.9499,5.9728,EGP
2015-03-27,5.9697,5.9834,5.9041,5.9148,EGP
2015-03-30,5.9079,5.9213,5.8217,5.8404,EGP
2015-03-31,5.8362,5.8507,5.7896,5.8019,EGP
2015-04-01,5.7981,5.8449,5.7821,5.7984,EGP
2015-04-02,5.7965,5.8102,5.7454,5.7904,EGP
2015-04-03,5.7874,5.8674,5.7706,5.8209,EGP
2015-04-06,5.8064,5.8491,5.7813,5.7919,EGP
2015-04-07,5.7896,5.8846,5.779,5.8244,EGP
2015-04-08,5.8217,5.8972,5.8186,5.8621,EGP
2015-04-09,5.8606,5.9053,5.8415,5.8702,EGP
2015-04-10,5.8652,5.8969,5.8255,5.8633,EGP
2015-04-13,5.8568,5.8587,5.7607,5.7908,EGP
2015-04-14,5.7904,5.8366,5.7614,5.8183,EGP
2015-04-15,5.8163,5.8758,5.7721,5.8606,EGP
2015-04-16,5.8598,5.9709,5.8507,5.9541,EGP
2015-04-17,5.9537,5.988,5.9171,5.9331,EGP
2015-04-20,5.9673,5.9807,5.8766,5.8945,EGP
2015-04-21,5.8896,5.9174,5.8598,5.8823,EGP
2015-04-22,5.8804,5.9598,5.8759,5.9171,EGP
2015-04-23,5.9155,5.943,5.8781,5.9331,EGP
2015-04-24,5.9269,5.9846,5.9185,5.9633,EGP
2015-04-27,5.9651,6.0083,5.9438,5.9961,EGP
2015-04-28,5.9941,6.1265,5.9743,6.1227,EGP
2015-04-29,6.1208,6.1644,6.0802,6.1085,EGP
2015-04-30,6.1023,6.1183,5.9972,6.0316,EGP
2015-05-01,6.0292,6.0427,5.9522,5.9908,EGP
