Date,Open,High,Low,Close,Currency
2015-01-01,3.1786,3.1886,3.1704,3.1862,ILS
2015-01-02,3.1776,3.2024,3.1567,3.1841,ILS
2015-01-05,3.1747,3.2077,3.1574,3.1963,ILS
2015-01-06,3.1924,3.2365,3.1912,3.2008,ILS
2015-01-07,3.1956,3.21,3.1802,3.2052,ILS
2015-01-08,3.2018,3.2346,3.1975,3.2127,ILS
2015-01-09,3.2118,3.2398,3.2007,3.2359,ILS
2015-01-12,3.2304,3.2567,3.1971,3.2073,ILS
2015-01-13,3.2025,3.2228,3.1931,3.2134,ILS
2015-01-14,3.2101,3.2242,3.1655,3.1759,ILS
2015-01-15,3.1708,3.2372,3.1643,3.222,ILS
2015-01-16,3.2154,3.2498,3.2033,3.2441,ILS
2015-01-19,3.2382,3.2534,3.2044,3.216,ILS
2015-01-20,3.2117,3.2294,3.1887,3.2168,ILS
2015-01-21,3.2142,3.2488,3.1764,3.1867,ILS
2015-01-22,3.1837,3.2093,3.1553,3.1729,ILS
2015-01-23,3.1691,3.1904,3.1397,3.1698,ILS
2015-01-26,3.1594,3.1779,3.143,3.1605,ILS
2015-01-27,3.1561,3.1786,3.1196,3.1318,ILS
2015-01-28,3.1282,3.1785,3.1035,3.1105,ILS
2015-01-29,3.1063,3.1176,3.0321,3.0546,ILS
2015-01-30,3.0525,3.0675,3.0327,3.0538,ILS
2015-02-02,3.0356,3.0836,3.0324,3.0661,ILS
2015-02-03,3.063,3.0764,2.9834,3.032,ILS
2015-02-04,3.0304,3.0645,3.0103,3.0262,ILS
2015-02-05,3.0224,3.051,2.977,3.0067,ILS
2015-02-06,3.0007,3.0504,2.9995,3.0366,ILS
2015-02-09,3.0226,3.0456,3.0051,3.0243,ILS
2015-02-10,3.0201,3.0466,2.9926,3.0068,ILS
2015-02-11,3.0019,3.0191,2.9749,2.9996,ILS
2015-02-12,2.9949,3.0273,2.9598,2.9966,ILS
2015-02-13,2.9945,3.0329,2.9929,3.0208,ILS
2015-02-16,3.0176,3.0537,2.9924,3.0112,ILS
2015-02-17,3.0066,3.0348,2.9965,3.0161,ILS
2015-02-18,3.0131,3.0239,2.9873,3.0105,ILS
2015-02-19,3.0076,3.0208,2.9711,2.9958,ILS
2015-02-20,2.991,3.0367,2.9891,3.0229,ILS
2015-02-23,3.0207,3.0588,2.9964,3.0533,ILS
2015-02-24,3.0475,3.1097,3.033,3.0976,ILS
2015-02-25,3.0932,3.1286,3.0855,3.1101,ILS
2015-02-26,3.1074,3.1165,3.0755,3.0888,ILS
2015-02-27,3.0857,3.1282,3.0772,3.1144,ILS
2015-03-02,3.1231,3.1288,3.0878,3.1055,ILS
2015-03-03,3.1033,3.1349,3.0953,3.1086,ILS
2015-03-04,3.1068,3.1344,3.0975,3.1179,ILS
2015-03-05,3.1151,3.1292,3.092,3.1077,ILS
2015-03-06,3.1047,3.1442,3.0904,3.1073,ILS
2015-03-09,3.0962,3.1123,3.0772,3.0833,ILS
2015-03-10,3.0816,3.0983,3.0507,3.0861,ILS
2015-03-11,3.082,3.092,3.0471,3.0692,ILS
2015-03-12,3.0645,3.1082,3.0537,3.0846,ILS
2015-03-13,3.0822,3.0945,3.0642,3.0862,ILS
2015-03-16,3.0773,3.0989,3.0577,3.0647,ILS
2015-03-17,3.0606,3.0755,3.042,3.0558,ILS
2015-03-18,3.0533,3.1236,3.0379,3.0942,ILS
2015-03-19,3.0923,3.1096,3.0532,3.0897,ILS
2015-03-20,3.086,3.1645,3.0778,3.1462,ILS
2015-03-23,3.1485,3.1673,3.0959,3.1158,ILS
2015-03-24,3.1098,3.1237,3.073,3.0884,ILS
2015-03-25,3.0864,3.1197,3.0764,3.0953,ILS
2015-03-26,3.0902,3.126,3.0725,3.0984,ILS
2015-03-27,3.0945,3.1151,3.0658,3.0744,ILS
2015-03-30,3.0685,3.0793,3.0128,3.0366,ILS
2015-03-31,3.0305,3.0421,3.0123,3.0264,ILS
2015-04-01,3.0231,3.0488,3.0007,3.011,ILS
2015-04-02,3.0075,3.0134,2.9725,2.9905,ILS
2015-04-03,2.9903,3.0302,2.9755,2.9916,ILS
2015-04-06,2.9816,3.0059,2.9647,2.9784,ILS
2015-04-07,2.975,3.0309,2.9592,3.0112,ILS
2015-04-08,3.0075,3.043,3.001,3.0218,ILS
2015-04-09,3.0198,3.0504,3.005,3.0449,ILS
2015-04-10,3.0414,3.0742,3.0366,3.0684,ILS
2015-04-13,3.0622,3.065,3.0139,3.0318,ILS
2015-04-14,3.0289,3.0453,3.009,3.0225,ILS
2015-04-15,3.0175,3.0585,2.9997,3.0455,ILS
2015-04-16,3.0424,3.0825,3.0344,3.0613,ILS
2015-04-17,3.0572,3.0778,3.036,3.0445,ILS
2015-04-20,3.0611,3.0749,3.0311,3.0452,ILS
2015-04-21,3.0411,3.0644,3.0221,3.0412,ILS
2015-04-22,3.038,3.0825,3.0347,3.0585,ILS
2015-04-23,3.0548,3.0637,3.0373,3.0516,ILS
2015-04-24,3.047,3.0719,3.0437,3.0545,ILS
2015-04-27,3.0501,3.0812,3.0318,3.0564,ILS
2015-04-28,3.0515,3.1041,3.0428,3.094,ILS
2015-04-29,3.0896,3.1217,3.0735,3.0937,ILS
2015-04-30,3.088,3.0977,3.0346,3.0522,ILS
2015-05-01,3.0487,3.0597,3.0273,3.0502,ILS
2015-05-04,3.0393,3.0527,3.0163,3.0416,ILS
2015-05-05,3.0383,3.0839,3.0241,3.0747,ILS
2015-05-06,3.0703,3.1046,3.0616,3.0687,ILS
2015-05-07,3.0643,3.0825,3.0432,3.0527,ILS
2015-05-08,3.048,3.0779,3.0339,3.0625,ILS
2015-05-11,3.0645,3.0694,3.0385,3.0478,ILS
2015-05-12,3.0448,3.0934,3.0364,3.0792,ILS
2015-05-13,3.0736,3.1186,3.0643,3.1114,ILS
2015-05-14,3.1076,3.1301,3.0752,3.0838,ILS
2015-05-15,3.0787,3.0893,3.0526,3.0609,ILS
2015-05-18,3.0529,3.0766,3.0431,3.0725,ILS
2015-05-19,3.0706,3.0814,3.0523,3.0604,ILS
2015-05-20,3.0564,3.0776,3.0381,3.052,ILS
2015-05-21,3.0474,3.0655,3.0327,3.0623,ILS
2015-05-22,3.0577,3.0738,3.0227,3.0429,ILS
2015-05-25,3.0364,3.0602,3.0189,3.0312,ILS
2015-05-26,3.0248,3.0385,2.9954,3.0039,ILS
2015-05-27,3.0016,3.0141,2.98,2.9944,ILS
2015-05-28,2.9903,3.0005,2.9438,2.96,ILS
2015-05-29,2.9552,2.9732,2.949,2.9547,ILS
2015-06-01,2.9521,2.9707,2.9378,2.9449,ILS
2015-06-02,2.942,2.9988,2.9396,2.9878,ILS
2015-06-03,2.9846,3.0124,2.9728,2.9834,ILS
2015-06-04,2.9788,2.9853,2.9342,2.948,ILS
2015-06-05,2.9437,2.9726,2.9323,2.9467,ILS
2015-06-08,2.9372,2.9708,2.9256,2.9613,ILS
2015-06-09,2.9593,2.9692,2.9269,2.9415,ILS
2015-06-10,2.9377,2.9761,2.9165,2.962,ILS
2015-06-11,2.961,2.9771,2.9416,2.9656,ILS
2015-06-12,2.9634,2.984,2.947,2.9721,ILS
2015-06-15,2.9664,2.9909,2.9576,2.9779,ILS
2015-06-16,2.975,2.9838,2.954,2.9739,ILS
2015-06-17,2.972,2.9777,2.929,2.9575,ILS
2015-06-18,2.9545,3.0012,2.9387,2.9863,ILS
2015-06-19,2.9814,2.9904,2.9572,2.9741,ILS
2015-06-22,2.9663,2.988,2.9056,2.9211,ILS
2015-06-23,2.9187,2.9345,2.8966,2.9072,ILS
2015-06-24,2.9032,2.9312,2.8758,2.8857,ILS
2015-06-25,2.8827,2.931,2.878,2.9217,ILS
2015-06-26,2.919,2.9268,2.8893,2.9036,ILS
2015-06-29,2.8899,2.9305,2.8743,2.8958,ILS
2015-06-30,2.8934,2.9172,2.8829,2.9062,ILS
