Date,Open,High,Low,Close,Currency
2015-01-01,0.5771,0.5787,0.5761,0.5783,JOD
2015-01-02,0.578,0.5787,0.5727,0.574,JOD
2015-01-05,0.5731,0.5757,0.57,0.5736,JOD
2015-01-06,0.5732,0.5792,0.5728,0.5736,JOD
2015-01-07,0.573,0.574,0.5692,0.5731,JOD
2015-01-08,0.5725,0.5768,0.5718,0.5761,JOD
2015-01-09,0.5757,0.5824,0.5742,0.5816,JOD
2015-01-12,0.5813,0.5856,0.5763,0.5786,JOD
2015-01-13,0.5782,0.5816,0.5761,0.5795,JOD
2015-01-14,0.5791,0.5814,0.5721,0.5782,JOD
2015-01-15,0.5777,0.588,0.5764,0.5821,JOD
2015-01-16,0.5817,0.5854,0.5784,0.5828,JOD
2015-01-19,0.5825,0.5842,0.5801,0.5822,JOD
2015-01-20,0.5819,0.5829,0.5781,0.5794,JOD
2015-01-21,0.5791,0.584,0.5723,0.5734,JOD
2015-01-22,0.5729,0.5773,0.5668,0.5693,JOD
2015-01-23,0.5691,0.5714,0.5587,0.5608,JOD
2015-01-26,0.5604,0.5627,0.5566,0.562,JOD
2015-01-27,0.5617,0.5658,0.5602,0.5629,JOD
2015-01-28,0.5626,0.5694,0.5585,0.5595,JOD
2015-01-29,0.5591,0.5608,0.5467,0.5501,JOD
2015-01-30,0.5499,0.5529,0.5475,0.5507,JOD
2015-02-02,0.55,0.5549,0.5472,0.553,JOD
2015-02-03,0.5525,0.5567,0.5401,0.5528,JOD
2015-02-04,0.5522,0.557,0.5488,0.5499,JOD
2015-02-05,0.5496,0.5554,0.5482,0.5534,JOD
2015-02-06,0.5529,0.5591,0.5513,0.5531,JOD
2015-02-09,0.5508,0.5563,0.5493,0.5537,JOD
2015-02-10,0.553,0.5565,0.5493,0.5514,JOD
2015-02-11,0.5509,0.5532,0.5454,0.5477,JOD
2015-02-12,0.5472,0.5522,0.5419,0.549,JOD
2015-02-13,0.5488,0.5531,0.5477,0.5511,JOD
2015-02-16,0.5503,0.5535,0.5494,0.5515,JOD
2015-02-17,0.5511,0.5555,0.5493,0.5546,JOD
2015-02-18,0.5543,0.556,0.5509,0.5541,JOD
2015-02-19,0.5538,0.5565,0.5497,0.5526,JOD
2015-02-20,0.5522,0.5568,0.5518,0.5559,JOD
2015-02-23,0.5553,0.5567,0.5513,0.5533,JOD
2015-02-24,0.5527,0.556,0.5483,0.5554,JOD
2015-02-25,0.5551,0.5604,0.5543,0.5586,JOD
2015-02-26,0.5583,0.5605,0.5507,0.5525,JOD
2015-02-27,0.552,0.5551,0.5504,0.5532,JOD
2015-03-02,0.5549,0.5557,0.5489,0.5501,JOD
2015-03-03,0.5498,0.5559,0.5486,0.5536,JOD
2015-03-04,0.5532,0.5571,0.552,0.5537,JOD
2015-03-05,0.5534,0.5555,0.5487,0.5514,JOD
2015-03-06,0.5508,0.5563,0.5453,0.5467,JOD
2015-03-09,0.5452,0.5484,0.5438,0.5455,JOD
2015-03-10,0.5452,0.5461,0.5382,0.5402,JOD
2015-03-11,0.5394,0.5415,0.5351,0.5379,JOD
2015-03-12,0.5376,0.5474,0.5356,0.5458,JOD
2015-03-13,0.5455,0.5464,0.5384,0.5408,JOD
2015-03-16,0.5401,0.5441,0.5384,0.5413,JOD
2015-03-17,0.5408,0.5431,0.5381,0.5396,JOD
2015-03-18,0.5393,0.5557,0.5372,0.5504,JOD
2015-03-19,0.5503,0.5534,0.5388,0.542,JOD
2015-03-20,0.5414,0.5534,0.541,0.551,JOD
2015-03-23,0.5501,0.5598,0.5497,0.5585,JOD
2015-03-24,0.5579,0.5627,0.5551,0.5579,JOD
2015-03-25,0.5574,0.5602,0.554,0.5557,JOD
2015-03-26,0.5549,0.5586,0.5521,0.5544,JOD
2015-03-27,0.5541,0.5554,0.5479,0.5491,JOD
2015-03-30,0.548,0.5494,0.5402,0.5421,JOD
2015-03-31,0.5415,0.543,0.5373,0.5389,JOD
2015-04-01,0.5385,0.5432,0.5367,0.5386,JOD
2015-04-02,0.538,0.5393,0.533,0.5378,JOD
2015-04-03,0.5374,0.5451,0.5358,0.5407,JOD
2015-04-06,0.5386,0.5433,0.5364,0.5378,JOD
2015-04-07,0.5374,0.5464,0.5363,0.5408,JOD
2015-04-08,0.5404,0.5476,0.5401,0.5443,JOD
2015-04-09,0.5439,0.5483,0.5421,0.545,JOD
2015-04-10,0.5442,0.5475,0.5406,0.5444,JOD
2015-04-13,0.5435,0.5439,0.5345,0.5376,JOD
2015-04-14,0.5373,0.5419,0.5346,0.5402,JOD
2015-04-15,0.5397,0.5454,0.5358,0.5441,JOD
2015-04-16,0.5437,0.5544,0.5428,0.5528,JOD
2015-04-17,0.5525,0.5559,0.5491,0.5509,JOD
2015-04-20,0.5539,0.5555,0.5451,0.5473,JOD
2015-04-21,0.5465,0.5493,0.5437,0.546,JOD
2015-04-22,0.5455,0.5532,0.5451,0.5493,JOD
2015-04-23,0.5489,0.5517,0.5457,0.5508,JOD
2015-04-24,0.5501,0.5557,0.5493,0.5537,JOD
2015-04-27,0.553,0.5577,0.5515,0.5566,JOD
2015-04-28,0.5562,0.5689,0.5544,0.5685,JOD
2015-04-29,0.5681,0.5721,0.5645,0.5673,JOD
2015-04-30,0.5666,0.5684,0.5563,0.5598,JOD
2015-05-01,0.5593,0.5609,0.5523,0.5561,JOD
2015-05-04,0.5558,0.5564,0.5522,0.5552,JOD
2015-05-05,0.5547,0.5638,0.5519,0.5628,JOD
2015-05-06,0.5623,0.5692,0.5605,0.5647,JOD
2015-05-07,0.5643,0.5673,0.5585,0.5602,JOD
2015-05-08,0.5597,0.565,0.5566,0.5621,JOD
2015-05-11,0.5625,0.5632,0.5574,0.5589,JOD
2015-05-12,0.5585,0.5672,0.558,0.5653,JOD
2015-05-13,0.5647,0.5754,0.5632,0.5746,JOD
2015-05-14,0.5742,0.5783,0.5705,0.5723,JOD
2015-05-15,0.5716,0.5733,0.5659,0.5691,JOD
2015-05-18,0.5678,0.5705,0.5643,0.5658,JOD
2015-05-19,0.5656,0.5674,0.5594,0.5604,JOD
2015-05-20,0.5602,0.562,0.5564,0.5577,JOD
2015-05-21,0.5573,0.5607,0.5566,0.5593,JOD
2015-05-22,0.5589,0.562,0.5526,0.5547,JOD
2015-05-25,0.5542,0.5555,0.5524,0.5543,JOD
2015-05-26,0.5536,0.5555,0.5469,0.548,JOD
2015-05-27,0.5476,0.5509,0.5445,0.5474,JOD
2015-05-28,0.5467,0.5499,0.5392,0.5419,JOD
2015-05-29,0.5412,0.5441,0.5401,0.5413,JOD
2015-06-01,0.5404,0.5434,0.5377,0.5389,JOD
2015-06-02,0.5384,0.552,0.538,0.5507,JOD
2015-06-03,0.5503,0.5539,0.5487,0.5516,JOD
2015-06-04,0.5511,0.5519,0.5424,0.5447,JOD
2015-06-05,0.544,0.547,0.5373,0.5398,JOD
2015-06-08,0.5385,0.5458,0.5378,0.545,JOD
2015-06-09,0.5445,0.547,0.5414,0.545,JOD
2015-06-10,0.5445,0.5519,0.5407,0.55,JOD
2015-06-11,0.5499,0.5525,0.545,0.5495,JOD
2015-06-12,0.549,0.5504,0.5435,0.548,JOD
2015-06-15,0.5472,0.5515,0.5456,0.5505,JOD
2015-06-16,0.5501,0.5516,0.5469,0.5494,JOD
2015-06-17,0.5491,0.5508,0.5412,0.549,JOD
2015-06-18,0.5484,0.5565,0.5457,0.5521,JOD
2015-06-19,0.5517,0.5534,0.5476,0.5504,JOD
2015-06-22,0.5493,0.5526,0.5456,0.5469,JOD
2015-06-23,0.546,0.5486,0.5429,0.5473,JOD
2015-06-24,0.5465,0.5501,0.5431,0.5449,JOD
2015-06-25,0.5442,0.5488,0.5439,0.5469,JOD
2015-06-26,0.5465,0.5473,0.5386,0.5426,JOD
2015-06-29,0.5402,0.5471,0.5372,0.5443,JOD
2015-06-30,0.5437,0.5478,0.5426,0.5464,JOD
2015-07-01,0.5458,0.5486,0.5409,0.5417,JOD
2015-07-02,0.5412,0.543,0.5374,0.5407,JOD
2015-07-03,0.5403,0.5419,0.5314,0.532,JOD
2015-07-06,0.5295,0.5341,0.5275,0.5314,JOD
2015-07-07,0.5309,0.5316,0.5236,0.5279,JOD
2015-07-08,0.5273,0.5285,0.5217,0.5262,JOD
2015-07-09,0.5256,0.5311,0.5233,0.5273,JOD
2015-07-10,0.5268,0.5317,0.5243,0.5274,JOD
2015-07-13,0.5265,0.5293,0.5229,0.525,JOD
2015-07-14,0.5244,0.5304,0.5231,0.5281,JOD
2015-07-15,0.5279,0.5309,0.5206,0.5228,JOD
2015-07-16,0.5224,0.5274,0.5202,0.5247,JOD
2015-07-17,0.5242,0.5258,0.5214,0.5224,JOD
2015-07-20,0.5216,0.5245,0.5185,0.5224,JOD
2015-07-21,0.5217,0.5281,0.5198,0.5258,JOD
2015-07-22,0.5249,0.5272,0.5211,0.5226,JOD
2015-07-23,0.5219,0.5259,0.5203,0.5212,JOD
2015-07-24,0.5205,0.5218,0.514,0.516,JOD
2015-07-27,0.5153,0.5192,0.5142,0.5151,JOD
2015-07-28,0.5148,0.5205,0.5138,0.5196,JOD
2015-07-29,0.5191,0.5209,0.5153,0.5167,JOD
2015-07-30,0.5163,0.5187,0.5134,0.5165,JOD
2015-07-31,0.5162,0.5218,0.5121,0.5174,JOD
2015-08-03,0.517,0.5187,0.5138,0.516,JOD
2015-08-04,0.5155,0.5262,0.5141,0.5225,JOD
2015-08-05,0.5221,0.5243,0.5194,0.5212,JOD
2015-08-06,0.521,0.5237,0.5181,0.5204,JOD
2015-08-07,0.5197,0.5255,0.5189,0.5253,JOD
2015-08-10,0.5241,0.526,0.5206,0.5252,JOD
2015-08-11,0.5248,0.5272,0.5156,0.5176,JOD
2015-08-12,0.5173,0.5235,0.5112,0.5228,JOD
2015-08-13,0.5223,0.5252,0.5184,0.5212,JOD
2015-08-14,0.5209,0.5243,0.5204,0.5219,JOD
2015-08-17,0.5218,0.524,0.5197,0.5223,JOD
2015-08-18,0.5218,0.5235,0.5183,0.5202,JOD
2015-08-19,0.5198,0.5229,0.5177,0.5208,JOD
2015-08-20,0.5203,0.5225,0.5159,0.52,JOD
2015-08-21,0.5196,0.5217,0.5161,0.5188,JOD
2015-08-24,0.5176,0.5183,0.4996,0.5073,JOD
2015-08-25,0.5068,0.5141,0.5045,0.5054,JOD
2015-08-26,0.5051,0.5075,0.5007,0.505,JOD
2015-08-27,0.5047,0.5091,0.5029,0.5078,JOD
2015-08-28,0.5076,0.5107,0.5043,0.5085,JOD
2015-08-31,0.508,0.5086,0.5014,0.5042,JOD
2015-09-01,0.5038,0.5072,0.4964,0.4973,JOD
2015-09-02,0.4969,0.5,0.4944,0.4991,JOD
2015-09-03,0.4986,0.501,0.4955,0.4976,JOD
2015-09-04,0.4972,0.498,0.4891,0.4899,JOD
2015-09-07,0.4903,0.4929,0.4886,0.491,JOD
2015-09-08,0.4907,0.5004,0.4903,0.4985,JOD
2015-09-09,0.497,0.5013,0.4959,0.4974,JOD
2015-09-10,0.4965,0.503,0.4918,0.5009,JOD
2015-09-11,0.5002,0.5025,0.4978,0.5021,JOD
2015-09-14,0.5009,0.5066,0.4998,0.5054,JOD
2015-09-15,0.5051,0.5083,0.5012,0.5065,JOD
2015-09-16,0.5052,0.5099,0.5039,0.5097,JOD
2015-09-17,0.5094,0.5155,0.5049,0.508,JOD
2015-09-18,0.5072,0.5156,0.5065,0.5089,JOD
