Date,Open,High,Low,Close,Currency
2015-01-01,7.3788,7.4216,7.3603,7.4162,MAD
2015-01-02,7.403,7.4325,7.3384,7.3817,MAD
2015-01-05,7.3599,7.4418,7.3359,7.4105,MAD
2015-01-06,7.3975,7.5017,7.3872,7.4487,MAD
2015-01-07,7.4348,7.4787,7.3824,7.4623,MAD
2015-01-08,7.4478,7.5417,7.4186,7.5255,MAD
2015-01-09,7.512,7.6044,7.4598,7.5728,MAD
2015-01-12,7.5426,7.6229,7.4759,7.5246,MAD
2015-01-13,7.5004,7.5831,7.4791,7.5797,MAD
2015-01-14,7.5742,7.6005,7.44,7.5552,MAD
2015-01-15,7.5492,7.7563,7.5034,7.6833,MAD
2015-01-16,7.6597,7.7654,7.6437,7.7298,MAD
2015-01-19,7.7013,7.7415,7.6444,7.7057,MAD
2015-01-20,7.7032,7.7382,7.6329,7.6966,MAD
2015-01-21,7.6839,7.739,7.5433,7.5842,MAD
2015-01-22,7.5783,7.7152,7.5209,7.6565,MAD
2015-01-23,7.6427,7.7405,7.5533,7.6293,MAD
2015-01-26,7.6159,7.643,7.5517,7.6298,MAD
2015-01-27,7.6156,7.6523,7.5099,7.5654,MAD
2015-01-28,7.5553,7.6625,7.5066,7.5678,MAD
2015-01-29,7.5532,7.5866,7.3606,7.4274,MAD
2015-01-30,7.4244,7.4873,7.348,7.4465,MAD
2015-02-02,7.4155,7.4914,7.3663,7.4577,MAD
2015-02-03,7.4437,7.4782,7.2477,7.3767,MAD
2015-02-04,7.3713,7.4531,7.3114,7.4071,MAD
2015-02-05,7.3946,7.4613,7.3358,7.3819,MAD
2015-02-06,7.3765,7.507,7.3356,7.4519,MAD
2015-02-09,7.4023,7.5183,7.3688,7.4734,MAD
2015-02-10,7.4535,7.4941,7.3789,7.4342,MAD
2015-02-11,7.4283,7.4529,7.3322,7.3782,MAD
2015-02-12,7.3719,7.4173,7.2765,7.3499,MAD
2015-02-13,7.3258,7.4028,7.299,7.3855,MAD
2015-02-16,7.3894,7.4505,7.3461,7.4107,MAD
2015-02-17,7.3869,7.4605,7.3736,7.4282,MAD
2015-02-18,7.4242,7.4791,7.3771,7.4182,MAD
2015-02-19,7.3902,7.4601,7.329,7.4243,MAD
2015-02-20,7.4198,7.5245,7.3878,7.4662,MAD
2015-02-23,7.4378,7.4731,7.3968,7.4495,MAD
2015-02-24,7.446,7.4847,7.3671,7.4735,MAD
2015-02-25,7.447,7.5561,7.4288,7.5149,MAD
2015-02-26,7.5051,7.5434,7.4294,7.5176,MAD
2015-02-27,7.5112,7.5399,7.4622,7.5325,MAD
2015-03-02,7.529,7.5533,7.4407,7.5114,MAD
2015-03-03,7.4819,7.5817,7.4561,7.5644,MAD
2015-03-04,7.5516,7.6561,7.5074,7.5892,MAD
2015-03-05,7.552,7.6375,7.5316,7.5897,MAD
2015-03-06,7.5834,7.6967,7.5689,7.6111,MAD
2015-03-09,7.588,7.6508,7.5692,7.6079,MAD
2015-03-10,7.6039,7.6406,7.5375,7.6184,MAD
2015-03-11,7.6085,7.6862,7.5771,7.6729,MAD
2015-03-12,7.6634,7.7569,7.6343,7.7369,MAD
2015-03-13,7.7304,7.7571,7.6737,7.745,MAD
2015-03-16,7.7293,7.7562,7.6665,7.7066,MAD
2015-03-17,7.6991,7.7256,7.6247,7.6663,MAD
2015-03-18,7.6619,7.7397,7.6163,7.6582,MAD
2015-03-19,7.6446,7.7145,7.6057,7.6626,MAD
2015-03-20,7.6557,7.73,7.599,7.6973,MAD
2015-03-23,7.6668,7.7473,7.6428,7.7317,MAD
2015-03-24,7.7232,7.7637,7.6602,7.7394,MAD
2015-03-25,7.7334,7.7518,7.6336,7.6822,MAD
2015-03-26,7.6717,7.7328,7.6149,7.7139,MAD
2015-03-27,7.7082,7.7472,7.5738,7.634,MAD
2015-03-30,7.6222,7.6431,7.5278,7.5703,MAD
2015-03-31,7.5613,7.6226,7.5216,7.5777,MAD
2015-04-01,7.5716,7.6152,7.5094,7.5531,MAD
2015-04-02,7.547,7.564,7.4068,7.4806,MAD
2015-04-03,7.4755,7.534,7.4296,7.4585,MAD
2015-04-06,7.4121,7.4922,7.4063,7.4585,MAD
2015-04-07,7.4511,7.5976,7.3958,7.5587,MAD
2015-04-08,7.5516,7.6433,7.5213,7.6277,MAD
