Date,Open,High,Low,Close,Currency
2015-01-01,9.4516,9.4623,9.4243,9.4553,NAD
2015-01-02,9.4531,9.5233,9.412,9.4854,NAD
2015-01-05,9.4481,9.5073,9.4016,9.4706,NAD
2015-01-06,9.4685,9.5811,9.4617,9.475,NAD
2015-01-07,9.4705,9.4961,9.4019,9.4369,NAD
2015-01-08,9.4259,9.4977,9.3768,9.4086,NAD
2015-01-09,9.4065,9.4546,9.3761,9.4323,NAD
2015-01-12,9.4238,9.4855,9.3528,9.3985,NAD
2015-01-13,9.3937,9.4375,9.3427,9.4041,NAD
2015-01-14,9.4008,9.482,9.304,9.3272,NAD
2015-01-15,9.3233,9.5095,9.3014,9.4943,NAD
2015-01-16,9.4903,9.5586,9.4489,9.5028,NAD
2015-01-19,9.4888,9.5835,9.466,9.5536,NAD
2015-01-20,9.552,9.568,9.4451,9.4656,NAD
2015-01-21,9.4625,9.5423,9.2898,9.3087,NAD
2015-01-22,9.3012,9.3675,9.1076,9.1442,NAD
2015-01-23,9.1439,9.1838,9.003,9.0175,NAD
2015-01-26,9.0048,9.1057,8.9672,9.086,NAD
2015-01-27,9.0838,9.2403,9.0533,9.1951,NAD
2015-01-28,9.1941,9.2921,9.1175,9.131,NAD
2015-01-29,9.128,9.1799,8.9238,8.9672,NAD
2015-01-30,8.9668,9.0697,8.9535,9.0464,NAD
2015-02-02,9.0016,9.069,8.9499,8.9707,NAD
2015-02-03,8.9645,9.0202,8.7567,8.8687,NAD
2015-02-04,8.8605,8.9624,8.8136,8.8996,NAD
2015-02-05,8.8918,8.9524,8.7701,8.7879,NAD
2015-02-06,8.7798,9.0175,8.7743,8.982,NAD
2015-02-09,8.9384,9.0935,8.9096,9.0434,NAD
2015-02-10,9.0251,9.1253,8.9848,9.0774,NAD
2015-02-11,9.0708,9.1784,9.054,9.12,NAD
2015-02-12,9.1141,9.1409,9.0156,9.0627,NAD
2015-02-13,9.0509,9.1369,9.0211,9.0624,NAD
2015-02-16,9.0549,9.0976,9.0055,9.0633,NAD
2015-02-17,9.0587,9.1383,8.9962,9.127,NAD
2015-02-18,9.1254,9.1718,9.0479,9.0553,NAD
2015-02-19,9.0526,9.1036,8.9686,9.0995,NAD
2015-02-20,9.0974,9.1506,9.0857,9.1359,NAD
2015-02-23,9.1121,9.1516,9.0457,9.0777,NAD
2015-02-24,9.0767,9.0931,8.9608,8.9865,NAD
2015-02-25,8.9829,9.0884,8.968,9.0297,NAD
2015-02-26,9.0275,9.0356,8.9538,9.0018,NAD
2015-02-27,8.9973,9.1441,8.9705,9.1139,NAD
2015-03-02,9.1403,9.1552,9.0555,9.1415,NAD
2015-03-03,9.1411,9.2401,9.1156,9.1848,NAD
2015-03-04,9.1807,9.2752,9.1502,9.2326,NAD
2015-03-05,9.2291,9.2467,9.1255,9.2176,NAD
2015-03-06,9.2149,9.3634,9.1811,9.2915,NAD
2015-03-09,9.2666,9.3721,9.2399,9.311,NAD
2015-03-10,9.3094,9.4398,9.2516,9.4122,NAD
2015-03-11,9.4032,9.4507,9.2712,9.3341,NAD
2015-03-12,9.3257,9.4965,9.2816,9.48,NAD
2015-03-13,9.4754,9.5635,9.4068,9.5312,NAD
2015-03-16,9.5189,9.5718,9.4567,9.4718,NAD
2015-03-17,9.4677,9.5023,9.3899,9.4097,NAD
2015-03-18,9.4062,9.6336,9.3828,9.5427,NAD
2015-03-19,9.5401,9.5908,9.3085,9.4057,NAD
2015-03-20,9.4004,9.4564,9.3155,9.3372,NAD
2015-03-23,9.339,9.4604,9.321,9.381,NAD
2015-03-24,9.374,9.4132,9.2605,9.2943,NAD
2015-03-25,9.2904,9.3287,9.2476,9.2956,NAD
2015-03-26,9.2863,9.3951,9.2544,9.3914,NAD
2015-03-27,9.3857,9.4071,9.2906,9.3311,NAD
2015-03-30,9.3233,9.3454,9.2538,9.3013,NAD
2015-03-31,9.2937,9.3117,9.2122,9.2295,NAD
2015-04-01,9.2208,9.2935,9.0971,9.1179,NAD
2015-04-02,9.1139,9.1317,9.0177,9.0657,NAD
2015-04-03,9.0617,9.1889,8.9814,9.0035,NAD
2015-04-06,8.9752,9.021,8.9326,8.9509,NAD
2015-04-07,8.9464,9.1179,8.9382,9.0733,NAD
2015-04-08,9.0633,9.1327,9.0391,9.079,NAD
2015-04-09,9.0709,9.2018,9.0474,9.1863,NAD
2015-04-10,9.1775,9.2402,9.1613,9.2177,NAD
2015-04-13,9.2038,9.2309,9.1275,9.2091,NAD
2015-04-14,9.2062,9.2253,9.1163,9.1544,NAD
2015-04-15,9.1491,9.295,9.1057,9.2625,NAD
2015-04-16,9.259,9.3858,9.2371,9.3322,NAD
2015-04-17,9.3293,9.4159,9.2876,9.393,NAD
2015-04-20,9.4397,9.4686,9.3209,9.3788,NAD
2015-04-21,9.3631,9.3992,9.3204,9.3474,NAD
2015-04-22,9.3434,9.5077,9.3327,9.4807,NAD
2015-04-23,9.4773,9.5102,9.4299,9.4508,NAD
2015-04-24,9.4432,9.5347,9.4359,9.4633,NAD
2015-04-27,9.4758,9.5016,9.3995,9.4257,NAD
2015-04-28,9.4217,9.5232,9.3882,9.5205,NAD
2015-04-29,9.5165,9.5217,9.4184,9.4388,NAD
2015-04-30,9.4314,9.4647,9.3263,9.4109,NAD
2015-05-01,9.4064,9.4666,9.3443,9.4649,NAD
2015-05-04,9.4412,9.4668,9.4031,9.4513,NAD
2015-05-05,9.4473,9.5585,9.4033,9.5128,NAD
2015-05-06,9.5074,9.638,9.477,9.5732,NAD
2015-05-07,9.5696,9.6407,9.479,9.4963,NAD
2015-05-08,9.4891,9.5814,9.4076,9.4576,NAD
2015-05-11,9.4583,9.5595,9.4042,9.5317,NAD
2015-05-12,9.5275,9.7057,9.5187,9.62,NAD
2015-05-13,9.6122,9.6554,9.5524,9.6362,NAD
2015-05-14,9.6322,9.7166,9.5046,9.5237,NAD
2015-05-15,9.5113,9.5665,9.4419,9.4601,NAD
2015-05-18,9.4583,9.5107,9.4339,9.4854,NAD
2015-05-19,9.4818,9.5194,9.3986,9.4256,NAD
2015-05-20,9.4177,9.4585,9.3,9.3223,NAD
2015-05-21,9.3102,9.3998,9.2325,9.347,NAD
2015-05-22,9.3374,9.3896,9.2405,9.3014,NAD
2015-05-25,9.3,9.3758,9.2833,9.3364,NAD
2015-05-26,9.3277,9.3826,9.3053,9.3453,NAD
2015-05-27,9.3419,9.3798,9.2789,9.2953,NAD
2015-05-28,9.2833,9.3315,9.2227,9.2782,NAD
2015-05-29,9.27,9.3267,9.2603,9.2827,NAD
2015-06-01,9.2801,9.4001,9.2787,9.3272,NAD
2015-06-02,9.3244,9.5052,9.317,9.4867,NAD
2015-06-03,9.4854,9.5975,9.4511,9.5851,NAD
2015-06-04,9.5774,9.6086,9.4455,9.5293,NAD
2015-06-05,9.5206,9.6272,9.4926,9.5909,NAD
2015-06-08,9.575,9.655,9.5542,9.6076,NAD
2015-06-09,9.6036,9.6333,9.5338,9.5682,NAD
2015-06-10,9.5629,9.6199,9.5045,9.5538,NAD
2015-06-11,9.5553,9.631,9.4962,9.5752,NAD
2015-06-12,9.5692,9.6372,9.5294,9.5615,NAD
2015-06-15,9.5814,9.6579,9.5534,9.6308,NAD
2015-06-16,9.628,9.6653,9.5617,9.5855,NAD
2015-06-17,9.5813,9.6018,9.457,9.503,NAD
2015-06-18,9.4971,9.5611,9.4556,9.5484,NAD
2015-06-19,9.5443,9.563,9.4127,9.46,NAD
2015-06-22,9.4272,9.4872,9.3307,9.3484,NAD
2015-06-23,9.3431,9.4533,9.3323,9.4124,NAD
2015-06-24,9.4028,9.4487,9.3224,9.3598,NAD
2015-06-25,9.3508,9.4217,9.3187,9.368,NAD
2015-06-26,9.3499,9.3806,9.3047,9.3474,NAD
2015-06-29,9.3006,9.4549,9.2506,9.4017,NAD
2015-06-30,9.3881,9.4481,9.3137,9.3825,NAD
2015-07-01,9.3727,9.4098,9.3311,9.3586,NAD
2015-07-02,9.3501,9.4453,9.3076,9.3476,NAD
2015-07-03,9.3405,9.3752,9.2088,9.2493,NAD
2015-07-06,9.2071,9.3622,9.1726,9.2908,NAD
2015-07-07,9.2818,9.3296,9.2121,9.2769,NAD
2015-07-08,9.2678,9.346,9.2037,9.3405,NAD
2015-07-09,9.3307,9.3903,9.2678,9.3151,NAD
2015-07-10,9.3092,9.3614,9.2153,9.2734,NAD
2015-07-13,9.2332,9.3384,9.1898,9.2192,NAD
2015-07-14,9.2159,9.27,9.1705,9.1834,NAD
2015-07-15,9.1819,9.2549,9.131,9.1631,NAD
2015-07-16,9.1602,9.2088,9.1231,9.1738,NAD
2015-07-17,9.1686,9.1981,9.0845,9.1081,NAD
2015-07-20,9.1056,9.2041,9.0958,9.1649,NAD
2015-07-21,9.1553,9.1997,9.1053,9.1472,NAD
2015-07-22,9.1382,9.1769,9.0969,9.1533,NAD
2015-07-23,9.1449,9.2286,9.1104,9.1706,NAD
2015-07-24,9.1591,9.2225,9.0823,9.189,NAD
2015-07-27,9.1823,9.2475,9.1545,9.1756,NAD
2015-07-28,9.1715,9.2491,9.1472,9.2229,NAD
2015-07-29,9.2031,9.2316,9.1122,9.1555,NAD
