Date,Open,High,Low,Close,Currency
2015-01-01,81.9,83.0,81.9,82.94,NPR
2015-01-02,82.92,83.38,81.38,81.92,NPR
2015-01-05,81.38,82.67,81.08,82.01,NPR
2015-01-06,81.6,82.82,81.56,82.24,NPR
2015-01-07,82.2,82.27,81.15,81.67,NPR
2015-01-08,81.63,82.08,80.76,81.46,NPR
2015-01-09,81.44,81.9,80.48,81.82,NPR
2015-01-12,81.78,82.62,80.66,81.14,NPR
2015-01-13,80.71,81.46,80.38,81.19,NPR
2015-01-14,81.17,81.87,79.81,81.09,NPR
2015-01-15,80.66,82.79,79.99,81.55,NPR
2015-01-16,81.3,82.53,80.43,81.44,NPR
2015-01-19,80.95,81.68,80.43,81.08,NPR
2015-01-20,80.66,81.26,80.13,80.65,NPR
2015-01-21,80.64,81.18,79.63,79.74,NPR
2015-01-22,79.71,80.33,78.87,79.23,NPR
2015-01-23,79.22,79.89,77.04,77.72,NPR
2015-01-26,77.16,77.98,76.76,77.89,NPR
2015-01-27,77.48,78.39,77.28,77.97,NPR
2015-01-28,77.97,79.27,77.03,77.51,NPR
2015-01-29,77.11,78.01,76.33,76.81,NPR
2015-01-30,76.43,77.15,76.19,76.9,NPR
2015-02-02,76.52,77.42,76.41,77.16,NPR
2015-02-03,77.13,77.47,74.98,76.89,NPR
2015-02-04,76.87,77.58,76.45,76.6,NPR
2015-02-05,76.59,77.37,76.39,77.02,NPR
2015-02-06,77.0,77.79,76.73,76.97,NPR
2015-02-09,76.67,78.13,76.45,77.62,NPR
2015-02-10,77.17,78.28,76.67,77.31,NPR
2015-02-11,76.9,77.43,76.54,76.89,NPR
2015-02-12,76.85,77.56,75.92,77.12,NPR
2015-02-13,76.73,77.47,76.48,77.31,NPR
2015-02-16,77.24,77.61,76.88,77.31,NPR
2015-02-17,77.28,78.07,76.96,77.75,NPR
2015-02-18,77.35,78.19,77.18,77.92,NPR
2015-02-19,77.9,78.62,76.97,77.73,NPR
2015-02-20,77.32,78.16,77.26,78.09,NPR
2015-02-23,78.09,78.18,77.03,77.8,NPR
2015-02-24,77.79,78.27,76.64,77.94,NPR
2015-02-25,77.54,78.45,77.43,78.19,NPR
2015-02-26,78.17,78.24,76.87,77.07,NPR
2015-02-27,77.03,77.53,76.58,77.28,NPR
2015-03-02,77.53,78.0,76.37,76.88,NPR
2015-03-03,76.5,78.01,76.31,77.43,NPR
2015-03-04,77.02,78.33,76.74,77.87,NPR
2015-03-05,77.85,78.5,76.83,77.4,NPR
2015-03-06,76.99,78.09,76.21,76.76,NPR
2015-03-09,76.19,77.92,76.06,77.08,NPR
2015-03-10,76.69,77.26,75.91,76.58,NPR
2015-03-11,76.14,77.06,75.63,76.29,NPR
2015-03-12,75.85,77.31,75.61,77.09,NPR
2015-03-13,77.05,77.32,76.36,76.94,NPR
2015-03-16,76.87,77.55,76.23,76.79,NPR
2015-03-17,76.38,77.3,75.89,76.43,NPR
2015-03-18,76.04,78.69,75.68,77.95,NPR
2015-03-19,77.95,78.37,76.1,76.51,NPR
