Date,Open,High,Low,Close,Currency
2015-01-01,0.8161,0.8183,0.8156,0.8177,PAB
2015-01-02,0.8181,0.8184,0.8076,0.8087,PAB
2015-01-05,0.8076,0.8108,0.8034,0.8082,PAB
2015-01-06,0.8082,0.8157,0.8078,0.8084,PAB
2015-01-07,0.8082,0.809,0.8031,0.8077,PAB
2015-01-08,0.8077,0.813,0.8067,0.8122,PAB
2015-01-09,0.8122,0.8208,0.8103,0.82,PAB
2015-01-12,0.8201,0.8254,0.8129,0.8156,PAB
2015-01-13,0.8155,0.8197,0.8125,0.8165,PAB
2015-01-14,0.8164,0.8189,0.8066,0.8146,PAB
2015-01-15,0.8148,0.8295,0.813,0.8211,PAB
2015-01-16,0.823,0.8256,0.8166,0.8224,PAB
2015-01-19,0.8219,0.8243,0.8193,0.8211,PAB
2015-01-20,0.8211,0.8218,0.8157,0.8168,PAB
2015-01-21,0.817,0.8233,0.8074,0.8084,PAB
2015-01-22,0.8083,0.8135,0.7993,0.8023,PAB
2015-01-23,0.8026,0.8049,0.7879,0.7904,PAB
2015-01-26,0.7891,0.7933,0.785,0.7923,PAB
2015-01-27,0.7924,0.7974,0.7903,0.7932,PAB
2015-01-28,0.7937,0.8025,0.788,0.7886,PAB
2015-01-29,0.7888,0.7905,0.7717,0.7758,PAB
2015-01-30,0.7761,0.7797,0.7728,0.7766,PAB
2015-02-02,0.7731,0.7829,0.7723,0.7802,PAB
2015-02-03,0.7801,0.7846,0.7623,0.7791,PAB
2015-02-04,0.7791,0.7848,0.774,0.7749,PAB
2015-02-05,0.7752,0.7824,0.7732,0.7794,PAB
2015-02-06,0.7796,0.7875,0.7775,0.7792,PAB
2015-02-09,0.7767,0.7834,0.7745,0.7797,PAB
2015-02-10,0.7797,0.7841,0.7745,0.7769,PAB
2015-02-11,0.7768,0.7793,0.7691,0.7717,PAB
2015-02-12,0.7716,0.7778,0.7641,0.7733,PAB
2015-02-13,0.7736,0.7792,0.7721,0.7768,PAB
2015-02-16,0.7762,0.7794,0.7747,0.7768,PAB
2015-02-17,0.7771,0.7828,0.7745,0.7815,PAB
2015-02-18,0.7817,0.7837,0.7769,0.781,PAB
2015-02-19,0.781,0.7842,0.7755,0.7791,PAB
2015-02-20,0.779,0.7848,0.7785,0.7841,PAB
2015-02-23,0.7844,0.7848,0.7778,0.7797,PAB
2015-02-24,0.7802,0.7836,0.7736,0.7827,PAB
2015-02-25,0.7831,0.7901,0.782,0.7882,PAB
2015-02-26,0.7885,0.7912,0.778,0.7799,PAB
2015-02-27,0.7797,0.7834,0.7774,0.7809,PAB
2015-03-02,0.7837,0.7844,0.7753,0.7765,PAB
2015-03-03,0.7767,0.7844,0.7748,0.7812,PAB
2015-03-04,0.7814,0.7859,0.7796,0.7812,PAB
2015-03-05,0.7816,0.7839,0.775,0.7779,PAB
2015-03-06,0.7781,0.7846,0.7702,0.7711,PAB
2015-03-09,0.77,0.774,0.7681,0.7701,PAB
2015-03-10,0.7701,0.7706,0.7602,0.7623,PAB
2015-03-11,0.7619,0.7644,0.7558,0.7593,PAB
2015-03-12,0.7589,0.7729,0.757,0.7707,PAB
2015-03-13,0.7705,0.771,0.7606,0.7631,PAB
2015-03-16,0.7631,0.7679,0.7606,0.7638,PAB
2015-03-17,0.7638,0.7665,0.7602,0.7617,PAB
2015-03-18,0.7617,0.7843,0.7588,0.7769,PAB
2015-03-19,0.7772,0.7807,0.7608,0.7643,PAB
2015-03-20,0.7645,0.7802,0.7638,0.7766,PAB
2015-03-23,0.7776,0.7898,0.7761,0.788,PAB
2015-03-24,0.7876,0.7937,0.7836,0.7874,PAB
2015-03-25,0.7874,0.7904,0.7825,0.7842,PAB
2015-03-26,0.7838,0.7884,0.7798,0.7826,PAB
2015-03-27,0.7824,0.7834,0.7738,0.7744,PAB
2015-03-30,0.7743,0.7757,0.763,0.7651,PAB
2015-03-31,0.7649,0.7664,0.7588,0.7605,PAB
2015-04-01,0.7604,0.7663,0.7579,0.7597,PAB
2015-04-02,0.7597,0.761,0.753,0.7589,PAB
2015-04-03,0.759,0.769,0.7568,0.7629,PAB
2015-04-06,0.761,0.7667,0.7577,0.7589,PAB
2015-04-07,0.7588,0.771,0.7574,0.7631,PAB
2015-04-08,0.763,0.7727,0.7626,0.7681,PAB
2015-04-09,0.7681,0.7738,0.7656,0.7692,PAB
2015-04-10,0.7687,0.772,0.7635,0.7676,PAB
2015-04-13,0.7676,0.7678,0.755,0.7589,PAB
2015-04-14,0.7589,0.7648,0.7551,0.7624,PAB
2015-04-15,0.7623,0.7699,0.7568,0.7679,PAB
2015-04-16,0.768,0.7822,0.7668,0.78,PAB
2015-04-17,0.7803,0.7842,0.7755,0.777,PAB
2015-04-20,0.7826,0.7841,0.7702,0.7723,PAB
2015-04-21,0.7719,0.7753,0.768,0.7707,PAB
2015-04-22,0.7707,0.7807,0.7701,0.7751,PAB
2015-04-23,0.7753,0.779,0.7708,0.7777,PAB
2015-04-24,0.7773,0.784,0.7762,0.7812,PAB
2015-04-27,0.7818,0.7872,0.779,0.7856,PAB
2015-04-28,0.7856,0.8027,0.783,0.8022,PAB
