Date,Open,High,Low,Close,Currency
2015-01-01,36.52,36.67,36.5,36.65,PHP
2015-01-02,36.61,36.66,36.2,36.29,PHP
2015-01-05,36.2,36.53,36.08,36.42,PHP
2015-01-06,36.38,36.71,36.36,36.42,PHP
2015-01-07,36.38,36.51,36.17,36.43,PHP
2015-01-08,36.39,36.6,36.34,36.47,PHP
2015-01-09,36.46,36.89,36.37,36.84,PHP
2015-01-12,36.79,37.03,36.52,36.59,PHP
2015-01-13,36.58,36.76,36.36,36.48,PHP
2015-01-14,36.47,36.62,36.05,36.4,PHP
2015-01-15,36.37,36.99,36.25,36.67,PHP
2015-01-16,36.63,36.88,36.41,36.73,PHP
2015-01-19,36.65,36.77,36.5,36.59,PHP
2015-01-20,36.58,36.71,36.34,36.42,PHP
2015-01-21,36.39,36.65,35.8,35.86,PHP
2015-01-22,35.83,36.01,35.32,35.48,PHP
2015-01-23,35.47,35.6,34.71,34.86,PHP
2015-01-26,34.75,34.98,34.57,34.93,PHP
2015-01-27,34.91,35.18,34.81,34.98,PHP
2015-01-28,34.95,35.45,34.77,34.84,PHP
2015-01-29,34.8,34.91,33.95,34.17,PHP
2015-01-30,34.15,34.48,34.09,34.33,PHP
2015-02-02,34.13,34.58,34.1,34.46,PHP
2015-02-03,34.43,34.54,33.64,34.29,PHP
2015-02-04,34.27,34.61,34.1,34.2,PHP
2015-02-05,34.19,34.56,34.1,34.41,PHP
2015-02-06,34.37,34.84,34.35,34.5,PHP
2015-02-09,34.34,34.83,34.24,34.63,PHP
2015-02-10,34.59,34.8,34.38,34.5,PHP
2015-02-11,34.47,34.61,34.17,34.32,PHP
2015-02-12,34.29,34.47,33.87,34.25,PHP
2015-02-13,34.23,34.5,34.16,34.39,PHP
2015-02-16,34.32,34.51,34.27,34.4,PHP
2015-02-17,34.38,34.64,34.26,34.59,PHP
2015-02-18,34.55,34.67,34.32,34.47,PHP
2015-02-19,34.43,34.61,34.26,34.45,PHP
2015-02-20,34.41,34.73,34.39,34.69,PHP
2015-02-23,34.67,34.79,34.43,34.58,PHP
2015-02-24,34.52,34.63,34.2,34.53,PHP
2015-02-25,34.5,34.91,34.45,34.71,PHP
2015-02-26,34.69,34.76,34.28,34.39,PHP
2015-02-27,34.35,34.58,34.27,34.45,PHP
2015-03-02,34.55,34.6,34.18,34.27,PHP
2015-03-03,34.25,34.6,34.17,34.47,PHP
2015-03-04,34.44,34.72,34.37,34.5,PHP
2015-03-05,34.47,34.68,34.19,34.36,PHP
2015-03-06,34.32,34.6,34.04,34.19,PHP
2015-03-09,34.1,34.27,34.0,34.08,PHP
2015-03-10,34.04,34.09,33.64,33.82,PHP
2015-03-11,33.77,33.95,33.49,33.69,PHP
2015-03-12,33.64,34.2,33.53,34.11,PHP
2015-03-13,34.07,34.16,33.74,33.88,PHP
2015-03-16,33.82,34.11,33.71,33.94,PHP
2015-03-17,33.91,34.28,33.79,34.05,PHP
2015-03-18,34.02,35.09,33.95,34.76,PHP
2015-03-19,34.75,34.89,34.19,34.37,PHP
2015-03-20,34.33,35.05,34.3,34.87,PHP
2015-03-23,34.84,35.37,34.76,35.22,PHP
2015-03-24,35.17,35.48,35.01,35.23,PHP
2015-03-25,35.2,35.42,35.01,35.11,PHP
2015-03-26,35.06,35.39,34.95,35.11,PHP
2015-03-27,35.08,35.17,34.65,34.73,PHP
2015-03-30,34.66,34.76,34.1,34.22,PHP
2015-03-31,34.18,34.35,33.91,33.98,PHP
2015-04-01,33.95,34.24,33.8,33.87,PHP
2015-04-02,33.83,33.91,33.47,33.72,PHP
2015-04-03,33.69,34.15,33.59,33.83,PHP
2015-04-06,33.72,34.09,33.64,33.73,PHP
2015-04-07,33.68,34.35,33.64,33.98,PHP
2015-04-08,33.95,34.4,33.93,34.19,PHP
2015-04-09,34.16,34.43,34.05,34.26,PHP
2015-04-10,34.22,34.44,33.99,34.27,PHP
2015-04-13,34.21,34.24,33.72,33.91,PHP
2015-04-14,33.88,34.08,33.67,33.96,PHP
2015-04-15,33.93,34.21,33.69,34.12,PHP
2015-04-16,34.1,34.74,34.05,34.61,PHP
2015-04-17,34.59,34.72,34.31,34.41,PHP
2015-04-20,34.61,34.72,34.06,34.19,PHP
2015-04-21,34.14,34.3,34.0,34.07,PHP
2015-04-22,34.04,34.53,34.02,34.29,PHP
2015-04-23,34.26,34.45,34.08,34.38,PHP
2015-04-24,34.33,34.69,34.31,34.57,PHP
2015-04-27,34.55,34.84,34.47,34.77,PHP
2015-04-28,34.73,35.5,34.62,35.46,PHP
2015-04-29,35.43,35.74,35.28,35.46,PHP
2015-04-30,35.41,35.73,35.03,35.27,PHP
2015-05-01,35.23,35.34,34.79,35.05,PHP
2015-05-04,34.92,35.05,34.81,35.0,PHP
2015-05-05,34.97,35.5,34.78,35.42,PHP
2015-05-06,35.39,35.77,35.24,35.49,PHP
2015-05-07,35.47,35.73,35.2,35.33,PHP
2015-05-08,35.3,35.56,35.12,35.36,PHP
2015-05-11,35.44,35.51,35.13,35.35,PHP
2015-05-12,35.31,35.84,35.28,35.72,PHP
2015-05-13,35.68,36.2,35.59,36.15,PHP
2015-05-14,36.11,36.41,35.82,35.99,PHP
2015-05-15,35.94,36.04,35.5,35.68,PHP
2015-05-18,35.61,35.78,35.44,35.54,PHP
2015-05-19,35.52,35.68,35.19,35.25,PHP
2015-05-20,35.23,35.4,34.99,35.1,PHP
2015-05-21,35.07,35.25,34.93,35.16,PHP
2015-05-22,35.13,35.34,34.81,34.94,PHP
2015-05-25,34.88,34.97,34.77,34.91,PHP
2015-05-26,34.87,35.03,34.56,34.66,PHP
2015-05-27,34.63,34.79,34.39,34.52,PHP
2015-05-28,34.49,34.65,33.92,34.08,PHP
2015-05-29,34.03,34.24,33.98,34.03,PHP
2015-06-01,33.99,34.18,33.8,33.88,PHP
2015-06-02,33.85,34.77,33.81,34.65,PHP
2015-06-03,34.62,35.03,34.56,34.9,PHP
2015-06-04,34.86,34.92,34.34,34.55,PHP
2015-06-05,34.5,34.81,34.27,34.4,PHP
2015-06-08,34.31,34.84,34.28,34.73,PHP
2015-06-09,34.7,34.81,34.37,34.68,PHP
2015-06-10,34.65,35.02,34.39,34.92,PHP
2015-06-11,34.91,35.18,34.68,35.1,PHP
2015-06-12,35.06,35.15,34.75,35.02,PHP
2015-06-15,35.05,35.21,34.81,35.05,PHP
2015-06-16,35.02,35.2,34.84,34.96,PHP
2015-06-17,34.94,35.07,34.54,35.04,PHP
2015-06-18,35.0,35.27,34.73,35.0,PHP
2015-06-19,34.97,35.12,34.82,34.96,PHP
2015-06-22,34.91,35.12,34.65,34.78,PHP
2015-06-23,34.75,34.96,34.63,34.89,PHP
2015-06-24,34.85,35.1,34.63,34.75,PHP
2015-06-25,34.7,35.01,34.68,34.9,PHP
2015-06-26,34.87,34.92,34.39,34.54,PHP
2015-06-29,34.39,34.81,34.2,34.62,PHP
2015-06-30,34.6,34.88,34.55,34.77,PHP
2015-07-01,34.73,34.88,34.47,34.52,PHP
2015-07-02,34.48,34.62,34.26,34.45,PHP
2015-07-03,34.42,34.53,33.79,33.84,PHP
2015-07-06,33.68,33.98,33.55,33.81,PHP
2015-07-07,33.77,33.87,33.45,33.74,PHP
2015-07-08,33.69,33.77,33.31,33.6,PHP
2015-07-09,33.55,33.89,33.4,33.7,PHP
2015-07-10,33.65,33.91,33.36,33.56,PHP
2015-07-13,33.42,33.75,33.34,33.47,PHP
2015-07-14,33.43,33.83,33.35,33.66,PHP
2015-07-15,33.64,33.87,33.3,33.45,PHP
2015-07-16,33.42,33.67,33.26,33.51,PHP
2015-07-17,33.47,33.59,33.29,33.37,PHP
2015-07-20,33.31,33.52,33.14,33.43,PHP
2015-07-21,33.37,33.68,33.23,33.53,PHP
2015-07-22,33.48,33.68,33.25,33.34,PHP
2015-07-23,33.29,33.69,33.26,33.37,PHP
2015-07-24,33.31,33.45,33.02,33.18,PHP
2015-07-27,33.12,33.4,33.03,33.13,PHP
2015-07-28,33.09,33.41,33.0,33.37,PHP
2015-07-29,33.32,33.47,33.09,33.19,PHP
2015-07-30,33.17,33.43,33.11,33.33,PHP
2015-07-31,33.3,33.54,33.04,33.37,PHP
2015-08-03,33.33,33.45,33.16,33.35,PHP
