Date,Open,High,Low,Close,Currency
2015-01-01,2.9741,2.9819,2.9698,2.9796,QAR
2015-01-02,2.9789,2.9814,2.9409,2.9462,QAR
2015-01-05,2.9414,2.9529,2.9253,2.9425,QAR
2015-01-06,2.9418,2.9693,2.9404,2.9436,QAR
2015-01-07,2.9423,2.9463,2.9237,2.9415,QAR
2015-01-08,2.9404,2.9603,2.9368,2.9573,QAR
2015-01-09,2.9568,2.9901,2.9499,2.9871,QAR
2015-01-12,2.9856,3.0053,2.9592,2.9697,QAR
2015-01-13,2.9687,2.9846,2.9578,2.9728,QAR
2015-01-14,2.9719,2.9829,2.936,2.9674,QAR
2015-01-15,2.9663,3.021,2.9597,2.9903,QAR
2015-01-16,2.9901,3.0075,2.9728,2.9959,QAR
2015-01-19,2.9943,3.0016,2.9827,2.9898,QAR
2015-01-20,2.9894,2.9935,2.9697,2.9752,QAR
2015-01-21,2.9749,2.9987,2.9399,2.9443,QAR
2015-01-22,2.9432,2.9632,2.9106,2.9226,QAR
2015-01-23,2.9226,2.9329,2.8691,2.8797,QAR
2015-01-26,2.8782,2.8895,2.8586,2.8858,QAR
2015-01-27,2.8853,2.9057,2.8776,2.8902,QAR
2015-01-28,2.89,2.9232,2.8693,2.8726,QAR
2015-01-29,2.8722,2.8795,2.81,2.826,QAR
2015-01-30,2.826,2.8402,2.814,2.829,QAR
2015-02-02,2.8267,2.8512,2.8122,2.8415,QAR
2015-02-03,2.8405,2.8579,2.7757,2.8379,QAR
2015-02-04,2.837,2.8593,2.8185,2.8232,QAR
2015-02-05,2.8229,2.8507,2.8156,2.8399,QAR
2015-02-06,2.8389,2.8699,2.8313,2.8397,QAR
2015-02-09,2.8282,2.8549,2.8202,2.8415,QAR
2015-02-10,2.8391,2.8558,2.8203,2.8297,QAR
2015-02-11,2.8286,2.8386,2.8005,2.8109,QAR
2015-02-12,2.8096,2.8332,2.7823,2.8168,QAR
2015-02-13,2.8168,2.8378,2.8114,2.8289,QAR
2015-02-16,2.8258,2.8399,2.8208,2.8304,QAR
2015-02-17,2.8296,2.8514,2.8201,2.8467,QAR
2015-02-18,2.8463,2.8543,2.8288,2.8445,QAR
2015-02-19,2.8438,2.8561,2.8237,2.8376,QAR
2015-02-20,2.8369,2.859,2.8348,2.8564,QAR
2015-02-23,2.8525,2.8596,2.832,2.841,QAR
2015-02-24,2.839,2.8553,2.817,2.852,QAR
2015-02-25,2.85,2.8784,2.8475,2.8715,QAR
2015-02-26,2.8699,2.8813,2.8327,2.8401,QAR
2015-02-27,2.8389,2.8538,2.8305,2.8443,QAR
2015-03-02,2.8535,2.8567,2.8227,2.8279,QAR
2015-03-03,2.8272,2.8575,2.821,2.8458,QAR
2015-03-04,2.8451,2.8636,2.8385,2.8464,QAR
2015-03-05,2.8459,2.8557,2.822,2.834,QAR
2015-03-06,2.8333,2.86,2.8045,2.8106,QAR
2015-03-09,2.8033,2.8188,2.7968,2.8045,QAR
2015-03-10,2.8041,2.8069,2.768,2.7767,QAR
2015-03-11,2.7742,2.7842,2.752,2.7656,QAR
2015-03-12,2.7633,2.8148,2.7564,2.807,QAR
2015-03-13,2.8057,2.8098,2.7696,2.7811,QAR
2015-03-16,2.7788,2.7973,2.7696,2.7823,QAR
2015-03-17,2.7812,2.7916,2.7681,2.7741,QAR
2015-03-18,2.7736,2.8569,2.763,2.8299,QAR
2015-03-19,2.8301,2.8449,2.7704,2.7853,QAR
2015-03-20,2.7839,2.8443,2.7813,2.8312,QAR
2015-03-23,2.8279,2.8763,2.8259,2.8698,QAR
2015-03-24,2.8678,2.8911,2.8532,2.868,QAR
2015-03-25,2.8669,2.879,2.8488,2.8564,QAR
2015-03-26,2.8536,2.8716,2.839,2.8502,QAR
2015-03-27,2.8496,2.8556,2.8172,2.8225,QAR
2015-03-30,2.8191,2.8256,2.7779,2.787,QAR
2015-03-31,2.7848,2.791,2.7628,2.7698,QAR
2015-04-01,2.7686,2.7912,2.7588,2.7669,QAR
2015-04-02,2.7658,2.7711,2.7408,2.7634,QAR
2015-04-03,2.7622,2.8004,2.7546,2.7782,QAR
2015-04-06,2.7701,2.7919,2.758,2.7635,QAR
2015-04-07,2.7622,2.8077,2.7569,2.779,QAR
2015-04-08,2.7775,2.8138,2.7761,2.7971,QAR
2015-04-09,2.7962,2.8177,2.7871,2.801,QAR
2015-04-10,2.7985,2.8138,2.7795,2.7977,QAR
2015-04-13,2.7943,2.7954,2.7482,2.7628,QAR
2015-04-14,2.7624,2.7847,2.7486,2.7761,QAR
2015-04-15,2.7753,2.8035,2.7548,2.7962,QAR
2015-04-16,2.7953,2.8489,2.7913,2.8409,QAR
2015-04-17,2.8404,2.8571,2.8231,2.8309,QAR
2015-04-20,2.8496,2.8562,2.8035,2.8124,QAR
2015-04-21,2.8099,2.8233,2.7957,2.8064,QAR
2015-04-22,2.8053,2.8437,2.8031,2.8232,QAR
2015-04-23,2.8223,2.8365,2.8059,2.8316,QAR
2015-04-24,2.8294,2.8562,2.8254,2.846,QAR
2015-04-27,2.8432,2.8668,2.8356,2.8609,QAR
2015-04-28,2.8597,2.9232,2.8503,2.9213,QAR
2015-04-29,2.9202,2.94,2.9023,2.9152,QAR
2015-04-30,2.9131,2.9209,2.8609,2.8774,QAR
2015-05-01,2.8761,2.8827,2.8395,2.8581,QAR
2015-05-04,2.8573,2.859,2.8391,2.8531,QAR
2015-05-05,2.8519,2.897,2.8374,2.8916,QAR
2015-05-06,2.8905,2.924,2.8814,2.9011,QAR
2015-05-07,2.9005,2.9149,2.8707,2.8786,QAR
2015-05-08,2.8769,2.9028,2.8609,2.8883,QAR
2015-05-11,2.8916,2.8942,2.866,2.8723,QAR
2015-05-12,2.8717,2.9134,2.8691,2.9032,QAR
2015-05-13,2.9013,2.9577,2.894,2.953,QAR
2015-05-14,2.9519,2.972,2.9333,2.9413,QAR
2015-05-15,2.9388,2.9462,2.9093,2.9244,QAR
2015-05-18,2.9201,2.9326,2.9016,2.9081,QAR
2015-05-19,2.9075,2.9161,2.8763,2.8805,QAR
2015-05-20,2.8803,2.8887,2.8596,2.8658,QAR
2015-05-21,2.8644,2.8808,2.8611,2.8734,QAR
2015-05-22,2.8727,2.8876,2.8403,2.8497,QAR
2015-05-25,2.8483,2.854,2.8392,2.8478,QAR
2015-05-26,2.8453,2.8538,2.8106,2.8155,QAR
2015-05-27,2.8146,2.83,2.7983,2.8128,QAR
2015-05-28,2.81,2.8251,2.7716,2.7842,QAR
2015-05-29,2.7818,2.7952,2.7758,2.7811,QAR
2015-06-01,2.7775,2.7919,2.764,2.7681,QAR
2015-06-02,2.7674,2.8369,2.7652,2.8292,QAR
2015-06-03,2.8288,2.8462,2.8204,2.8346,QAR
2015-06-04,2.8324,2.8357,2.7885,2.799,QAR
2015-06-05,2.7968,2.8136,2.7651,2.7773,QAR
2015-06-08,2.7705,2.8084,2.7668,2.8037,QAR
2015-06-09,2.8026,2.811,2.7823,2.7999,QAR
2015-06-10,2.7985,2.8354,2.7792,2.8251,QAR
2015-06-11,2.8257,2.8375,2.8002,2.8232,QAR
2015-06-12,2.8215,2.8275,2.7937,2.8145,QAR
2015-06-15,2.8116,2.8333,2.8036,2.8274,QAR
2015-06-16,2.8266,2.8339,2.8103,2.8224,QAR
2015-06-17,2.8217,2.8302,2.7819,2.8208,QAR
2015-06-18,2.8187,2.8583,2.8056,2.8391,QAR
2015-06-19,2.838,2.8437,2.8152,2.8284,QAR
2015-06-22,2.8247,2.8392,2.8095,2.8141,QAR
2015-06-23,2.813,2.8229,2.795,2.8167,QAR
2015-06-24,2.8143,2.8309,2.7963,2.8051,QAR
2015-06-25,2.8028,2.8241,2.801,2.8173,QAR
2015-06-26,2.8163,2.8192,2.7768,2.7873,QAR
2015-06-29,2.7763,2.8105,2.7611,2.7961,QAR
2015-06-30,2.7938,2.8141,2.788,2.8068,QAR
2015-07-01,2.8043,2.818,2.7795,2.7833,QAR
2015-07-02,2.7814,2.7892,2.7626,2.779,QAR
2015-07-03,2.7785,2.7856,2.7326,2.7346,QAR
2015-07-06,2.7221,2.7447,2.7119,2.7312,QAR
2015-07-07,2.7291,2.732,2.6923,2.7138,QAR
2015-07-08,2.7116,2.7169,2.6828,2.7052,QAR
2015-07-09,2.7029,2.7296,2.6908,2.7116,QAR
2015-07-10,2.71,2.7331,2.6963,2.7112,QAR
2015-07-13,2.7074,2.72,2.6871,2.6971,QAR
2015-07-14,2.6951,2.7247,2.6889,2.7134,QAR
2015-07-15,2.7131,2.7276,2.6765,2.6867,QAR
2015-07-16,2.686,2.7097,2.6752,2.6962,QAR
2015-07-17,2.6943,2.7019,2.6815,2.6844,QAR
2015-07-20,2.6834,2.6952,2.6674,2.6844,QAR
2015-07-21,2.6817,2.7133,2.6718,2.7016,QAR
2015-07-22,2.6991,2.7091,2.679,2.6855,QAR
2015-07-23,2.6831,2.7028,2.6748,2.6787,QAR
2015-07-24,2.6755,2.6813,2.6423,2.6517,QAR
2015-07-27,2.649,2.6678,2.6435,2.6475,QAR
2015-07-28,2.6464,2.6757,2.6413,2.6719,QAR
2015-07-29,2.6698,2.6782,2.6501,2.6566,QAR
2015-07-30,2.6555,2.6672,2.6405,2.6555,QAR
2015-07-31,2.6544,2.6825,2.6332,2.66,QAR
2015-08-03,2.6581,2.6665,2.6423,2.6532,QAR
2015-08-04,2.651,2.7052,2.6437,2.6869,QAR
2015-08-05,2.6861,2.6936,2.6696,2.6787,QAR
2015-08-06,2.6788,2.6917,2.6629,2.675,QAR
2015-08-07,2.6727,2.7022,2.6691,2.7011,QAR
2015-08-10,2.7004,2.7039,2.6764,2.6994,QAR
2015-08-11,2.6978,2.7099,2.6505,2.66,QAR
2015-08-12,2.6589,2.6915,2.6276,2.6871,QAR
2015-08-13,2.6855,2.6995,2.6659,2.68,QAR
2015-08-14,2.6795,2.6945,2.6761,2.6842,QAR
2015-08-17,2.6833,2.6927,2.6729,2.6849,QAR
2015-08-18,2.6823,2.6909,2.6645,2.673,QAR
2015-08-19,2.6721,2.6871,2.6616,2.676,QAR
2015-08-20,2.6742,2.6852,2.6517,2.6721,QAR
2015-08-21,2.671,2.6811,2.6528,2.6662,QAR
2015-08-24,2.6608,2.6635,2.5676,2.6069,QAR
2015-08-25,2.6048,2.6412,2.5925,2.5961,QAR
2015-08-26,2.595,2.6068,2.5733,2.5936,QAR
2015-08-27,2.593,2.6153,2.5839,2.6095,QAR
