Date,Open,High,Low,Close,Currency
2015-01-01,3.0242,3.0333,3.0196,3.0308,RON
2015-01-02,3.0284,3.037,3.0149,3.022,RON
2015-01-05,3.0151,3.0572,2.9994,3.045,RON
2015-01-06,3.0436,3.0803,3.0406,3.0595,RON
2015-01-07,3.0564,3.0733,3.0494,3.0694,RON
2015-01-08,3.0667,3.0951,3.0629,3.0908,RON
2015-01-09,3.0894,3.119,3.0769,3.1109,RON
2015-01-12,3.1076,3.1254,3.0814,3.0923,RON
2015-01-13,3.0904,3.119,3.0786,3.1157,RON
2015-01-14,3.1163,3.1268,3.0683,3.11,RON
2015-01-15,3.1066,3.2013,3.0975,3.18,RON
2015-01-16,3.1765,3.2197,3.1724,3.2029,RON
2015-01-19,3.1972,3.2087,3.1741,3.1856,RON
2015-01-20,3.1837,3.1995,3.169,3.1921,RON
2015-01-21,3.1889,3.209,3.1304,3.1355,RON
2015-01-22,3.1326,3.1973,3.1218,3.172,RON
2015-01-23,3.17,3.2188,3.1422,3.1626,RON
2015-01-26,3.1538,3.1658,3.1359,3.1553,RON
2015-01-27,3.153,3.1661,3.1049,3.1121,RON
2015-01-28,3.1113,3.1555,3.1019,3.1109,RON
2015-01-29,3.108,3.1228,3.029,3.0449,RON
2015-01-30,3.0431,3.068,3.023,3.049,RON
2015-02-02,3.0321,3.0633,3.0175,3.024,RON
2015-02-03,3.0213,3.0345,2.9522,2.9916,RON
2015-02-04,2.988,3.0223,2.9756,3.0091,RON
2015-02-05,3.0057,3.0347,2.9943,3.0004,RON
2015-02-06,2.9976,3.0542,2.9944,3.0426,RON
2015-02-09,3.0301,3.0781,3.0206,3.0514,RON
2015-02-10,3.051,3.0666,3.0357,3.0446,RON
2015-02-11,3.0419,3.054,3.0204,3.0285,RON
2015-02-12,3.0259,3.0418,2.992,3.0107,RON
2015-02-13,3.0047,3.0321,2.997,3.0291,RON
2015-02-16,3.0247,3.0498,3.0192,3.0426,RON
2015-02-17,3.0388,3.0593,3.0332,3.0487,RON
2015-02-18,3.0461,3.0673,3.0404,3.0494,RON
2015-02-19,3.0459,3.0579,3.0142,3.0476,RON
2015-02-20,3.0447,3.1002,3.0417,3.0735,RON
2015-02-23,3.0712,3.0766,3.0513,3.0628,RON
2015-02-24,3.0589,3.0761,3.037,3.0694,RON
2015-02-25,3.0641,3.0941,3.0606,3.0709,RON
2015-02-26,3.0676,3.0958,3.0466,3.0865,RON
2015-02-27,3.083,3.1025,3.0692,3.0944,RON
2015-03-02,3.1037,3.1116,3.0729,3.0871,RON
2015-03-03,3.0861,3.1249,3.0768,3.1169,RON
2015-03-04,3.1121,3.1509,3.1065,3.143,RON
2015-03-05,3.1389,3.1583,3.1162,3.1368,RON
2015-03-06,3.1323,3.1863,3.1295,3.1632,RON
2015-03-09,3.1541,3.1669,3.1449,3.1517,RON
2015-03-10,3.1492,3.1747,3.137,3.1688,RON
2015-03-11,3.1642,3.2067,3.1546,3.2005,RON
2015-03-12,3.198,3.2278,3.1911,3.2197,RON
2015-03-13,3.2176,3.2412,3.2046,3.2334,RON
2015-03-16,3.2331,3.2388,3.1992,3.2098,RON
2015-03-17,3.2064,3.2165,3.1793,3.195,RON
2015-03-18,3.192,3.2197,3.1602,3.1841,RON
2015-03-19,3.1811,3.2019,3.1544,3.176,RON
2015-03-20,3.1718,3.1996,3.159,3.1886,RON
2015-03-23,3.1875,3.2134,3.1565,3.1627,RON
2015-03-24,3.1598,3.19,3.1509,3.1771,RON
2015-03-25,3.1704,3.1845,3.1486,3.1583,RON
2015-03-26,3.1561,3.19,3.132,3.1865,RON
2015-03-27,3.1829,3.1968,3.1329,3.1494,RON
2015-03-30,3.144,3.1535,3.1024,3.1111,RON
2015-03-31,3.1068,3.1441,3.1007,3.1282,RON
2015-04-01,3.1259,3.1392,3.1098,3.1188,RON
2015-04-02,3.1155,3.1254,3.0639,3.0814,RON
2015-04-03,3.0794,3.1164,3.0622,3.0682,RON
2015-04-06,3.0573,3.0782,3.0544,3.0698,RON
2015-04-07,3.0672,3.1294,3.0569,3.1154,RON
2015-04-08,3.1124,3.1414,3.1093,3.1344,RON
2015-04-09,3.1309,3.1822,3.1234,3.1732,RON
2015-04-10,3.1708,3.2027,3.1642,3.194,RON
2015-04-13,3.1872,3.1936,3.1403,3.1591,RON
2015-04-14,3.1565,3.1781,3.1432,3.1574,RON
2015-04-15,3.1548,3.1909,3.1433,3.1802,RON
2015-04-16,3.179,3.2298,3.17,3.1975,RON
2015-04-17,3.1941,3.2046,3.1724,3.1839,RON
2015-04-20,3.2023,3.2176,3.1717,3.1881,RON
2015-04-21,3.1835,3.2228,3.1677,3.1874,RON
2015-04-22,3.1838,3.2183,3.1779,3.1981,RON
2015-04-23,3.1947,3.2084,3.1642,3.176,RON
2015-04-24,3.1712,3.1925,3.152,3.1726,RON
2015-04-27,3.1701,3.197,3.1657,3.1875,RON
2015-04-28,3.18,3.2075,3.175,3.2005,RON
2015-04-29,3.1974,3.2145,3.165,3.1756,RON
2015-04-30,3.1714,3.1848,3.1006,3.1117,RON
2015-05-01,3.1083,3.1185,3.0737,3.0971,RON
2015-05-04,3.0878,3.1243,3.0758,3.1168,RON
2015-05-05,3.1089,3.1537,3.0981,3.1464,RON
2015-05-06,3.1431,3.173,3.1099,3.119,RON
2015-05-07,3.1164,3.1385,3.0924,3.1192,RON
2015-05-08,3.1154,3.154,3.1029,3.145,RON
2015-05-11,3.1503,3.162,3.1343,3.1473,RON
2015-05-12,3.1449,3.1867,3.1392,3.1769,RON
2015-05-13,3.173,3.2064,3.1513,3.1867,RON
2015-05-14,3.1823,3.2096,3.1454,3.152,RON
2015-05-15,3.1517,3.1649,3.1058,3.112,RON
2015-05-18,3.1094,3.1475,3.1028,3.1421,RON
2015-05-19,3.1391,3.1791,3.1293,3.1557,RON
2015-05-20,3.1537,3.1727,3.1434,3.1559,RON
2015-05-21,3.1527,3.1681,3.1349,3.1585,RON
2015-05-22,3.156,3.1712,3.1211,3.1669,RON
2015-05-25,3.1661,3.1813,3.1593,3.1737,RON
2015-05-26,3.1713,3.1986,3.1613,3.1719,RON
2015-05-27,3.1693,3.183,3.1394,3.149,RON
2015-05-28,3.144,3.1631,3.0988,3.1048,RON
2015-05-29,3.1005,3.1159,3.0826,3.0888,RON
2015-06-01,3.0849,3.1226,3.0807,3.0927,RON
2015-06-02,3.09,3.1313,3.0695,3.0915,RON
2015-06-03,3.0904,3.1116,3.0484,3.0574,RON
2015-06-04,3.0528,3.0606,3.0059,3.0284,RON
2015-06-05,3.0258,3.0775,3.0151,3.0539,RON
