Date,Open,High,Low,Close,Currency
2015-01-01,3.0648,3.0724,3.0603,3.0702,SAR
2015-01-02,3.0697,3.0719,3.0313,3.0366,SAR
2015-01-05,3.0309,3.0438,3.0157,3.0341,SAR
2015-01-06,3.0336,3.0615,3.0321,3.0346,SAR
2015-01-07,3.0333,3.0378,3.0144,3.0331,SAR
2015-01-08,3.0319,3.0531,3.0279,3.05,SAR
2015-01-09,3.0494,3.0836,3.0423,3.0806,SAR
2015-01-12,3.0782,3.0993,3.0511,3.0615,SAR
2015-01-13,3.0606,3.0769,3.0493,3.0649,SAR
2015-01-14,3.0639,3.0755,3.0271,3.0589,SAR
2015-01-15,3.0578,3.1145,3.0513,3.0825,SAR
2015-01-16,3.0823,3.0998,3.0658,3.0882,SAR
2015-01-19,3.0848,3.0942,3.0758,3.0836,SAR
2015-01-20,3.0832,3.0871,3.0625,3.0682,SAR
2015-01-21,3.0678,3.0926,3.0329,3.0378,SAR
2015-01-22,3.0365,3.0574,3.0026,3.0149,SAR
2015-01-23,3.015,3.0259,2.959,2.9738,SAR
2015-01-26,2.9666,2.9817,2.9507,2.9781,SAR
2015-01-27,2.9774,2.9999,2.9696,2.9833,SAR
2015-01-28,2.9831,3.0179,2.9617,2.9657,SAR
2015-01-29,2.9647,2.9722,2.8997,2.9162,SAR
2015-01-30,2.9162,2.9308,2.905,2.9204,SAR
2015-02-02,2.9053,2.9405,2.9023,2.9304,SAR
2015-02-03,2.9293,2.9455,2.8622,2.9249,SAR
2015-02-04,2.9236,2.9461,2.9044,2.9097,SAR
2015-02-05,2.9089,2.9379,2.9014,2.9268,SAR
2015-02-06,2.9249,2.9569,2.9173,2.9257,SAR
2015-02-09,2.9143,2.9415,2.9061,2.9276,SAR
2015-02-10,2.9249,2.9422,2.9055,2.9154,SAR
2015-02-11,2.9141,2.9245,2.885,2.8958,SAR
2015-02-12,2.8944,2.9191,2.8663,2.9021,SAR
2015-02-13,2.901,2.9235,2.8965,2.9142,SAR
2015-02-16,2.9115,2.926,2.9061,2.9161,SAR
2015-02-17,2.9151,2.9375,2.9054,2.9327,SAR
2015-02-18,2.9323,2.9405,2.9143,2.9306,SAR
2015-02-19,2.9298,2.9424,2.9091,2.9234,SAR
2015-02-20,2.9227,2.9451,2.9205,2.9423,SAR
2015-02-23,2.9424,2.9446,2.9175,2.9264,SAR
2015-02-24,2.9243,2.9409,2.9013,2.9375,SAR
2015-02-25,2.9369,2.965,2.9328,2.9576,SAR
2015-02-26,2.957,2.9677,2.9177,2.9253,SAR
2015-02-27,2.924,2.939,2.9154,2.9295,SAR
2015-03-02,2.939,2.9424,2.9075,2.9127,SAR
2015-03-03,2.912,2.943,2.9057,2.931,SAR
2015-03-04,2.9304,2.9493,2.9237,2.9317,SAR
2015-03-05,2.9312,2.9412,2.9064,2.9187,SAR
2015-03-06,2.9173,2.9451,2.8883,2.8944,SAR
2015-03-09,2.8887,2.9028,2.8804,2.8883,SAR
2015-03-10,2.888,2.8908,2.8508,2.8598,SAR
2015-03-11,2.8573,2.8677,2.8346,2.8485,SAR
2015-03-12,2.8477,2.899,2.8388,2.8909,SAR
2015-03-13,2.8897,2.894,2.8521,2.8643,SAR
2015-03-16,2.862,2.8811,2.8526,2.8656,SAR
2015-03-17,2.8646,2.876,2.8513,2.8574,SAR
2015-03-18,2.8569,2.9425,2.8459,2.9146,SAR
2015-03-19,2.9137,2.9301,2.8533,2.8686,SAR
2015-03-20,2.8672,2.9294,2.8646,2.9159,SAR
2015-03-23,2.9126,2.963,2.9105,2.956,SAR
2015-03-24,2.954,2.9779,2.9388,2.9541,SAR
2015-03-25,2.953,2.9653,2.9348,2.9425,SAR
2015-03-26,2.9397,2.9588,2.9239,2.9367,SAR
2015-03-27,2.9355,2.9414,2.9026,2.9081,SAR
2015-03-30,2.9029,2.9097,2.8619,2.8712,SAR
2015-03-31,2.8691,2.8754,2.8462,2.8533,SAR
2015-04-01,2.8522,2.8754,2.8427,2.8508,SAR
2015-04-02,2.8496,2.8555,2.8245,2.8477,SAR
2015-04-03,2.8469,2.8855,2.8387,2.8627,SAR
2015-04-06,2.8545,2.8769,2.842,2.8476,SAR
2015-04-07,2.8466,2.893,2.841,2.8635,SAR
2015-04-08,2.8623,2.8991,2.8605,2.8818,SAR
2015-04-09,2.8809,2.9032,2.8715,2.8859,SAR
2015-04-10,2.8832,2.8992,2.8633,2.8825,SAR
2015-04-13,2.8787,2.8799,2.8317,2.8466,SAR
2015-04-14,2.8463,2.8689,2.8321,2.8599,SAR
2015-04-15,2.8592,2.8883,2.8378,2.8807,SAR
2015-04-16,2.8798,2.9348,2.8752,2.9266,SAR
2015-04-17,2.925,2.9436,2.9081,2.9163,SAR
2015-04-20,2.9348,2.9416,2.8876,2.8973,SAR
2015-04-21,2.8946,2.9085,2.88,2.8912,SAR
2015-04-22,2.8902,2.9293,2.8874,2.9083,SAR
2015-04-23,2.9064,2.9223,2.8896,2.9152,SAR
2015-04-24,2.9122,2.9428,2.9081,2.9318,SAR
2015-04-27,2.9291,2.9531,2.9212,2.9471,SAR
2015-04-28,2.9461,3.0113,2.9363,3.0093,SAR
