Date,Open,High,Low,Close,Currency
2015-01-01,2.1972,2.2107,2.194,2.2092,XCD
2015-01-02,2.2007,2.2102,2.1392,2.1679,XCD
2015-01-05,2.1563,2.1913,2.1339,2.1662,XCD
2015-01-06,2.1579,2.1978,2.1345,2.187,XCD
2015-01-07,2.1741,2.189,2.13,2.1855,XCD
2015-01-08,2.1727,2.1994,2.1511,2.1973,XCD
2015-01-09,2.1848,2.2283,2.1797,2.2193,XCD
2015-01-12,2.2061,2.2328,2.1867,2.2065,XCD
2015-01-13,2.1937,2.2175,2.1856,2.2089,XCD
2015-01-14,2.1961,2.2162,2.1698,2.2047,XCD
2015-01-15,2.1918,2.2443,2.187,2.2217,XCD
2015-01-16,2.2093,2.2341,2.1967,2.2256,XCD
2015-01-19,2.2109,2.2298,2.2039,2.2212,XCD
2015-01-20,2.2088,2.2235,2.1942,2.2102,XCD
2015-01-21,2.1977,2.2273,2.1719,2.1871,XCD
2015-01-22,2.1743,2.201,2.1501,2.1709,XCD
2015-01-23,2.159,2.1782,2.1195,2.1391,XCD
2015-01-26,2.1227,2.1464,2.1117,2.1437,XCD
2015-01-27,2.1316,2.1582,2.1259,2.147,XCD
2015-01-28,2.1351,2.1712,2.1197,2.1338,XCD
2015-01-29,2.1219,2.1387,2.0759,2.0992,XCD
2015-01-30,2.0877,2.1097,2.0788,2.1014,XCD
2015-02-02,2.0796,2.118,2.0775,2.1107,XCD
2015-02-03,2.0985,2.1228,2.0506,2.108,XCD
2015-02-04,2.0958,2.1237,2.0821,2.097,XCD
2015-02-05,2.0853,2.1174,2.0799,2.1094,XCD
2015-02-06,2.0971,2.1315,2.075,2.109,XCD
2015-02-09,2.0893,2.1206,2.0834,2.1107,XCD
2015-02-10,2.0974,2.1174,2.0834,2.1058,XCD
2015-02-11,2.0974,2.1111,2.0689,2.088,XCD
2015-02-12,2.0756,2.1045,2.0554,2.0924,XCD
2015-02-13,2.081,2.1078,2.0769,2.1014,XCD
2015-02-16,2.088,2.1096,2.0839,2.1026,XCD
2015-02-17,2.0904,2.1246,2.0834,2.1146,XCD
2015-02-18,2.1028,2.1203,2.0899,2.113,XCD
2015-02-19,2.1009,2.1216,2.0861,2.1079,XCD
2015-02-20,2.0955,2.1235,2.0942,2.1216,XCD
2015-02-23,2.11,2.1231,2.0923,2.1105,XCD
2015-02-24,2.0974,2.1286,2.081,2.1186,XCD
2015-02-25,2.1065,2.1383,2.1036,2.1332,XCD
2015-02-26,2.1211,2.1403,2.0928,2.1099,XCD
