Date,Open,High,Low,Close,Currency
2015-01-09,75.99,79.62,75.8,78.57,RUB
2015-01-13,0.0,84.9,79.4,83.27,RUB
2015-01-14,82.9,85.19,81.69,82.17,RUB
2015-01-15,81.86,84.56,80.16,83.29,RUB
2015-01-16,82.89,83.8,82.15,83.16,RUB
2015-01-19,82.65,83.89,81.5,83.01,RUB
2015-01-21,0.0,84.47,82.45,83.4,RUB
2015-01-22,82.99,83.84,81.49,81.96,RUB
2015-01-23,81.65,83.75,80.08,81.93,RUB
2015-01-26,81.2,88.58,81.2,87.37,RUB
2015-01-27,86.88,87.38,84.32,86.37,RUB
2015-01-30,0.0,91.85,86.83,88.41,RUB
2015-02-02,88.33,90.23,86.49,87.25,RUB
2015-02-03,0.0,87.39,82.25,83.27,RUB
2015-02-04,82.88,87.7,81.95,86.75,RUB
2015-02-05,86.57,88.05,83.72,85.03,RUB
2015-02-06,84.68,86.4,83.34,85.77,RUB
2015-02-09,84.75,85.75,82.8,84.15,RUB
2015-02-10,83.84,85.59,82.64,83.63,RUB
2015-02-11,83.33,85.47,82.64,83.37,RUB
2015-02-12,83.07,85.11,82.54,83.39,RUB
2015-02-13,83.07,83.7,80.07,81.13,RUB
2015-02-16,80.84,81.21,78.75,80.68,RUB
2015-02-17,80.39,81.04,78.75,79.76,RUB
2015-02-18,79.47,79.91,77.6,78.56,RUB
2015-02-19,78.28,79.9,77.48,78.95,RUB
2015-02-20,78.66,79.45,77.74,78.79,RUB
2015-02-23,78.87,79.08,58.77,61.69,RUB
2015-02-24,61.48,61.68,59.14,60.32,RUB
2015-02-25,60.14,60.5,58.21,58.57,RUB
2015-02-26,58.44,58.79,57.4,58.37,RUB
2015-02-27,58.19,59.46,57.55,58.92,RUB
2015-03-02,58.6,60.13,57.96,59.75,RUB
2015-03-03,59.67,59.97,58.64,59.1,RUB
2015-03-04,58.94,59.64,58.28,59.19,RUB
2015-03-05,59.02,59.29,57.64,58.14,RUB
2015-03-06,57.95,58.34,56.18,57.76,RUB
2015-03-09,57.56,58.4,57.2,58.1,RUB
2015-03-10,57.93,60.06,57.0,59.68,RUB
2015-03-11,59.38,60.11,58.33,58.87,RUB
2015-03-12,58.7,59.05,57.12,58.45,RUB
2015-03-13,58.18,60.04,57.73,59.48,RUB
2015-03-16,59.19,60.17,58.39,59.46,RUB
2015-03-17,59.11,59.62,58.26,58.78,RUB
2015-03-18,58.5,58.81,56.3,57.23,RUB
2015-03-19,56.56,57.68,55.82,57.5,RUB
2015-03-20,57.0,58.02,56.17,56.68,RUB
2015-03-23,56.45,56.65,55.81,56.19,RUB
2015-03-24,56.0,56.4,54.87,55.14,RUB
2015-03-25,55.0,55.58,53.72,54.92,RUB
2015-03-26,54.65,55.14,54.18,54.81,RUB
2015-03-27,54.65,55.58,54.31,55.47,RUB
2015-03-30,55.15,55.8,54.63,55.08,RUB
2015-03-31,54.93,55.67,54.25,55.64,RUB
2015-04-01,55.49,55.67,54.63,55.07,RUB
2015-04-02,54.95,55.14,53.51,53.81,RUB
2015-04-03,53.68,54.59,52.91,54.04,RUB
2015-04-06,53.83,54.06,52.47,52.93,RUB
2015-04-07,52.84,53.04,52.07,52.55,RUB
2015-04-08,52.41,52.55,50.78,51.12,RUB
2015-04-09,50.98,51.13,48.97,49.43,RUB
2015-04-10,49.28,51.14,47.47,51.07,RUB
2015-04-13,51.1,51.23,48.87,49.5,RUB
2015-04-14,49.35,49.92,48.11,48.52,RUB
2015-04-15,48.39,48.59,47.06,47.44,RUB
2015-04-16,47.37,47.86,46.37,47.51,RUB
2015-04-17,47.37,50.37,47.04,49.54,RUB
2015-04-20,49.4,51.09,48.45,50.9,RUB
2015-04-21,50.76,51.51,50.09,51.33,RUB
2015-04-22,51.1,51.33,49.29,49.79,RUB
2015-04-23,49.66,50.04,48.17,48.48,RUB
2015-04-24,48.3,49.24,47.36,48.59,RUB
2015-04-27,48.36,49.79,47.51,49.45,RUB
2015-04-28,49.6,50.07,48.58,49.24,RUB
2015-04-29,48.75,49.48,48.22,48.64,RUB
2015-04-30,48.56,49.92,47.88,49.43,RUB
2015-05-01,49.22,49.69,48.69,49.53,RUB
2015-05-04,49.38,49.97,48.56,49.83,RUB
2015-05-05,49.64,49.91,47.89,48.37,RUB
2015-05-06,48.14,48.81,46.98,48.29,RUB
2015-05-07,48.49,48.68,47.64,47.91,RUB
2015-05-08,47.76,49.28,47.56,48.87,RUB
2015-05-11,48.09,49.52,48.09,49.0,RUB
2015-05-12,48.82,49.31,47.34,47.79,RUB
2015-05-13,47.74,48.09,46.54,47.05,RUB
2015-05-14,46.92,48.04,46.61,47.87,RUB
2015-05-15,47.72,48.05,46.93,47.42,RUB
2015-05-18,47.19,47.36,46.45,47.11,RUB
2015-05-19,46.97,47.62,46.49,47.41,RUB
2015-05-20,47.44,47.99,46.82,47.53,RUB
2015-05-21,47.39,47.94,47.0,47.78,RUB
2015-05-22,47.65,47.97,46.9,47.78,RUB
2015-05-25,47.61,47.98,46.61,47.76,RUB
2015-05-26,47.61,48.7,47.04,48.55,RUB
2015-05-27,48.53,49.72,48.01,49.34,RUB
2015-05-28,49.5,50.64,49.16,50.22,RUB
2015-05-29,50.01,50.47,49.65,50.04,RUB
2015-06-01,49.84,51.28,49.31,51.22,RUB
2015-06-02,50.96,51.25,49.9,50.4,RUB
2015-06-03,50.22,52.0,49.66,51.92,RUB
2015-06-04,51.72,54.42,51.34,53.99,RUB
2015-06-05,53.45,54.7,53.24,53.76,RUB
2015-06-08,53.41,53.94,52.78,53.52,RUB
2015-06-09,53.37,53.71,52.72,53.26,RUB
2015-06-10,53.1,53.25,51.23,51.97,RUB
2015-06-11,51.83,52.57,50.93,52.44,RUB
2015-06-12,52.29,52.91,51.78,52.42,RUB
2015-06-15,52.57,52.76,51.77,52.14,RUB
2015-06-16,51.99,52.77,50.97,51.72,RUB
2015-06-17,51.21,51.95,50.81,51.31,RUB
2015-06-18,51.14,51.39,50.62,51.18,RUB
2015-06-19,51.02,52.03,50.66,51.68,RUB
2015-06-22,51.53,51.85,50.41,51.63,RUB
2015-06-23,51.48,52.35,50.99,51.48,RUB
2015-06-24,51.31,52.34,50.68,51.9,RUB
2015-06-25,51.75,52.39,51.12,52.33,RUB
2015-06-26,52.17,52.91,51.91,52.4,RUB
2015-06-29,52.24,53.33,51.81,53.24,RUB
2015-06-30,53.1,53.42,52.24,52.88,RUB
2015-07-01,52.73,53.42,52.29,53.36,RUB
2015-07-02,53.24,53.44,52.51,53.04,RUB
2015-07-03,52.84,53.53,52.35,53.47,RUB
2015-07-06,53.42,54.41,52.88,54.34,RUB
2015-07-07,54.18,55.13,53.71,54.16,RUB
2015-07-08,54.08,55.07,53.5,54.74,RUB
2015-07-09,54.6,54.97,53.99,54.42,RUB
2015-07-10,54.32,54.61,53.33,53.85,RUB
2015-07-13,53.56,54.33,53.13,54.05,RUB
2015-07-14,53.87,54.39,53.37,53.89,RUB
2015-07-15,53.7,54.45,53.19,54.33,RUB
2015-07-16,54.16,54.43,53.6,54.38,RUB
2015-07-17,54.24,54.55,53.73,54.38,RUB
2015-07-20,54.18,54.67,53.76,54.65,RUB
2015-07-21,54.23,54.69,53.67,54.36,RUB
2015-07-22,54.2,55.05,53.65,54.43,RUB
2015-07-23,54.44,55.66,53.99,54.91,RUB
2015-07-24,54.71,56.12,54.58,55.85,RUB
2015-07-27,55.69,57.32,55.22,57.32,RUB
2015-07-28,57.15,58.2,56.24,57.24,RUB
2015-07-29,57.04,57.68,55.19,55.62,RUB
2015-07-30,55.28,57.25,55.28,57.08,RUB
2015-07-31,56.93,59.01,56.41,58.98,RUB
2015-08-03,58.8,60.79,57.95,60.73,RUB
2015-08-04,60.51,60.86,58.96,60.02,RUB
2015-08-05,59.82,61.23,59.23,60.45,RUB
2015-08-06,60.04,61.66,59.58,60.93,RUB
2015-08-07,60.82,61.78,60.37,60.98,RUB
2015-08-10,60.79,61.78,59.66,60.2,RUB
2015-08-11,60.02,61.81,59.39,61.01,RUB
2015-08-12,60.66,61.84,60.66,61.58,RUB
2015-08-13,61.4,62.16,61.14,61.84,RUB
2015-08-14,61.65,62.18,61.32,61.96,RUB
2015-08-17,62.16,62.56,61.31,62.36,RUB
2015-08-18,62.18,63.04,61.65,62.91,RUB
2015-08-19,62.73,63.67,61.89,63.65,RUB
2015-08-20,63.46,65.26,63.4,64.68,RUB
2015-08-21,64.28,66.23,64.28,66.0,RUB
2015-08-24,65.77,68.06,65.77,67.76,RUB
2015-08-25,67.53,68.11,64.93,65.91,RUB
2015-08-26,66.04,66.7,65.5,65.89,RUB
2015-08-27,65.69,66.07,62.65,63.23,RUB
2015-08-28,63.01,64.3,61.72,62.32,RUB
2015-08-31,62.16,64.42,60.67,61.04,RUB
2015-09-01,60.86,63.93,60.86,63.22,RUB
2015-09-02,63.03,65.07,63.02,64.01,RUB
2015-09-03,63.84,64.71,63.03,63.52,RUB
2015-09-04,63.34,65.52,63.34,65.46,RUB
2015-09-07,65.26,66.24,64.49,66.05,RUB
2015-09-08,65.82,66.33,64.23,64.69,RUB
2015-09-09,64.32,65.53,64.32,65.42,RUB
2015-09-10,64.82,65.84,63.44,63.82,RUB
2015-09-11,63.64,65.33,63.26,64.83,RUB
2015-09-14,64.61,65.5,63.24,64.06,RUB
2015-09-15,63.35,65.88,62.21,63.2,RUB
2015-09-16,62.43,63.93,60.66,62.63,RUB
2015-09-17,62.42,63.42,61.09,62.56,RUB
2015-09-18,62.39,63.73,61.58,63.5,RUB
2015-09-21,63.31,63.56,61.66,63.15,RUB
2015-09-22,62.96,63.84,62.83,63.11,RUB
2015-09-23,62.9,63.95,62.36,63.62,RUB
2015-09-24,63.56,63.95,62.68,63.21,RUB
2015-09-25,62.99,63.27,62.25,62.59,RUB
2015-09-28,62.42,63.61,61.34,63.31,RUB
2015-09-29,63.25,63.52,62.13,63.29,RUB
2015-09-30,63.09,63.34,62.1,62.44,RUB
2015-10-01,62.22,63.25,61.86,62.93,RUB
2015-10-02,62.43,63.74,62.31,63.19,RUB
2015-10-05,63.02,63.2,61.38,61.63,RUB
2015-10-06,61.41,62.13,60.0,60.5,RUB
2015-10-07,60.28,61.12,58.76,59.41,RUB
2015-10-08,58.95,59.87,58.4,58.67,RUB
2015-10-09,58.5,59.15,57.85,59.08,RUB
2015-10-12,58.92,59.79,58.14,58.92,RUB
2015-10-13,58.77,60.41,58.75,60.29,RUB
2015-10-14,60.02,60.42,59.53,59.91,RUB
2015-10-15,59.7,59.94,58.4,58.71,RUB
2015-10-16,58.44,59.45,57.91,58.45,RUB
2015-10-19,58.8,59.96,58.8,59.71,RUB
2015-10-20,59.5,60.0,58.72,59.24,RUB
2015-10-21,59.02,60.36,58.96,59.75,RUB
2015-10-22,59.57,60.61,59.42,59.6,RUB
2015-10-23,59.66,59.98,58.93,59.43,RUB
2015-10-26,59.25,60.28,58.28,60.22,RUB
2015-10-27,60.01,62.54,60.01,62.54,RUB
2015-10-28,62.33,62.68,59.4,61.16,RUB
2015-10-29,60.94,61.75,60.09,61.53,RUB
2015-10-30,61.18,61.55,59.94,61.22,RUB
2015-11-02,60.88,61.4,59.53,60.85,RUB
2015-11-03,60.61,60.99,59.28,59.63,RUB
2015-11-04,59.44,60.55,59.14,60.41,RUB
2015-11-05,60.19,60.76,59.87,60.51,RUB
2015-11-06,60.29,62.03,59.92,61.49,RUB
2015-11-09,61.23,61.89,61.23,61.77,RUB
2015-11-10,61.52,61.92,61.02,61.6,RUB
2015-11-11,61.5,62.79,61.28,62.45,RUB
2015-11-12,62.32,63.95,62.03,63.7,RUB
2015-11-13,63.38,64.05,62.85,63.9,RUB
2015-11-16,63.58,64.04,61.98,62.43,RUB
2015-11-17,62.11,63.2,61.5,62.53,RUB
2015-11-18,62.01,62.64,61.5,61.99,RUB
2015-11-19,61.67,62.16,61.3,61.63,RUB
2015-11-20,61.42,62.22,61.28,61.81,RUB
2015-11-23,61.7,63.2,61.41,62.95,RUB
2015-11-24,62.74,63.48,62.11,62.59,RUB
2015-11-25,62.38,63.18,61.88,62.71,RUB
2015-11-26,62.5,63.12,62.28,62.93,RUB
2015-11-27,62.68,63.57,62.34,63.48,RUB
2015-11-30,63.25,63.58,62.35,63.4,RUB
2015-12-01,63.19,63.96,63.09,63.73,RUB
2015-12-02,63.53,64.95,63.4,64.8,RUB
2015-12-03,64.25,65.51,64.06,64.77,RUB
2015-12-04,64.26,65.29,64.26,65.03,RUB
2015-12-07,64.84,66.62,64.84,66.11,RUB
2015-12-08,65.9,66.88,65.83,66.43,RUB
2015-12-09,66.21,66.72,65.45,66.58,RUB
2015-12-10,66.38,66.95,64.96,65.52,RUB
2015-12-11,65.49,67.54,65.45,67.3,RUB
2015-12-14,66.73,68.21,66.73,67.49,RUB
2015-12-15,66.84,68.16,66.32,67.25,RUB
2015-12-16,66.51,67.48,66.23,67.18,RUB
2015-12-17,66.92,68.46,66.73,68.18,RUB
2015-12-18,67.95,68.18,67.19,67.88,RUB
2015-12-21,67.69,68.42,45.56,46.14,RUB
2015-12-22,45.8,46.04,45.63,45.86,RUB
2015-12-23,45.74,45.88,44.67,44.94,RUB
2015-12-24,44.84,45.39,44.43,45.16,RUB
2015-12-25,45.06,45.49,44.99,45.45,RUB
2015-12-28,45.09,46.44,44.88,46.41,RUB
2015-12-29,46.3,46.59,45.92,46.34,RUB
2015-12-30,46.24,47.16,46.18,46.89,RUB
