Date,Open,High,Low,Close,Currency
2015-01-01,267.49,267.765,267.49,267.765,PKR
2015-01-02,267.49,267.775,266.94,267.755,PKR
2015-01-05,267.48,267.81,266.82,267.76,PKR
2015-01-06,267.49,268.025,267.18,267.765,PKR
2015-01-07,267.36,267.835,267.07,267.695,PKR
2015-01-08,267.35,267.625,266.82,267.095,PKR
2015-01-09,266.82,267.58,266.55,266.83,PKR
2015-01-12,266.56,267.445,266.55,266.965,PKR
2015-01-13,266.69,266.96,266.42,266.96,PKR
2015-01-14,266.69,267.255,266.55,266.835,PKR
2015-01-15,266.56,267.655,266.42,266.965,PKR
2015-01-16,266.56,267.77,266.42,266.7,PKR
2015-01-19,266.42,267.505,266.41,267.365,PKR
2015-01-20,267.09,267.605,266.82,267.095,PKR
2015-01-21,266.82,267.43,266.82,267.23,PKR
2015-01-22,266.95,267.495,266.56,266.835,PKR
2015-01-23,266.56,267.895,266.53,266.965,PKR
2015-01-26,266.68,268.555,266.66,267.755,PKR
2015-01-27,267.35,268.095,267.21,267.555,PKR
2015-01-28,267.21,268.045,267.21,267.595,PKR
2015-01-29,267.3,268.415,267.3,268.135,PKR
2015-01-30,267.85,268.77,267.59,268.16,PKR
2015-02-02,267.83,269.39,267.8,269.2,PKR
2015-02-03,268.79,269.06,267.35,268.28,PKR
2015-02-04,268.01,268.555,267.88,268.155,PKR
2015-02-05,267.88,268.165,267.47,268.015,PKR
2015-02-06,267.74,268.665,267.73,268.415,PKR
2015-02-09,268.14,268.635,267.87,268.155,PKR
2015-02-10,267.88,269.085,267.6,268.155,PKR
2015-02-11,267.88,269.35,267.85,268.9,PKR
2015-02-12,268.63,269.14,268.13,268.96,PKR
2015-02-13,268.69,269.36,268.13,269.08,PKR
2015-02-16,268.4,269.325,268.4,268.955,PKR
2015-02-17,268.68,269.485,268.53,268.825,PKR
2015-02-18,268.55,269.67,268.53,269.09,PKR
2015-02-19,268.68,269.905,268.66,269.485,PKR
2015-02-20,269.21,270.215,269.2,269.745,PKR
2015-02-23,269.48,270.02,269.21,269.62,PKR
2015-02-24,269.35,270.36,269.33,270.15,PKR
2015-02-25,269.88,270.675,269.61,270.015,PKR
2015-02-26,269.61,270.545,269.59,270.145,PKR
2015-02-27,269.87,270.435,269.73,270.155,PKR
2015-03-02,269.87,270.495,269.86,270.285,PKR
2015-03-03,270.01,270.555,269.96,270.415,PKR
2015-03-04,270.14,270.685,270.0,270.285,PKR
2015-03-05,270.01,270.415,269.73,270.285,PKR
2015-03-06,270.01,270.295,269.59,269.875,PKR
2015-03-09,269.59,272.105,266.96,270.275,PKR
2015-03-10,269.99,270.36,269.47,270.34,PKR
2015-03-11,270.08,270.455,269.7,270.365,PKR
2015-03-12,270.01,270.435,269.4,270.135,PKR
2015-03-13,269.71,270.435,269.61,270.135,PKR
2015-03-16,269.71,270.16,269.69,270.0,PKR
2015-03-17,269.71,270.185,269.47,270.135,PKR
2015-03-18,269.98,270.61,269.61,270.03,PKR
2015-03-19,269.61,270.865,269.61,270.205,PKR
2015-03-20,269.85,271.2,268.02,270.27,PKR
2015-03-23,269.98,270.3,269.66,270.0,PKR
2015-03-24,269.71,270.825,269.7,270.125,PKR
2015-03-25,269.97,270.83,269.97,270.53,PKR
2015-03-26,270.24,270.88,270.19,270.53,PKR
2015-03-27,270.24,270.395,270.01,270.205,PKR
2015-03-30,270.12,270.49,269.93,270.26,PKR
2015-03-31,269.97,270.74,269.82,270.29,PKR
2015-04-01,269.87,270.725,269.66,270.195,PKR
2015-04-02,269.84,270.365,269.83,270.315,PKR
2015-04-03,270.09,270.53,269.93,270.26,PKR
2015-04-06,269.99,270.61,269.97,270.27,PKR
2015-04-07,269.98,270.56,269.96,270.27,PKR
2015-04-08,269.98,270.615,269.93,270.265,PKR
2015-04-09,269.97,270.48,269.96,270.34,PKR
2015-04-10,270.26,270.555,269.82,270.265,PKR
2015-04-13,269.96,270.555,269.88,270.265,PKR
2015-04-14,269.97,270.32,269.13,269.75,PKR
2015-04-15,269.46,270.44,269.26,270.29,PKR
2015-04-16,270.01,270.47,269.09,269.66,PKR
2015-04-17,269.22,270.35,269.03,270.19,PKR
2015-04-20,269.84,270.36,269.17,270.33,PKR
2015-04-21,270.1,270.48,269.07,269.72,PKR
2015-04-22,269.34,269.775,269.09,269.675,PKR
2015-04-23,269.32,269.91,269.17,269.87,PKR
2015-04-24,269.47,270.17,269.29,270.17,PKR
2015-04-27,269.88,270.415,269.42,270.255,PKR
2015-04-28,269.96,270.61,269.8,270.19,PKR
2015-04-29,269.83,270.41,269.59,270.15,PKR
2015-04-30,269.86,270.415,269.51,270.155,PKR
2015-05-01,269.89,270.22,269.66,270.21,PKR
2015-05-04,269.98,270.305,269.64,270.255,PKR
2015-05-05,269.98,270.44,269.68,270.11,PKR
2015-05-06,269.68,270.275,269.58,270.115,PKR
2015-05-07,269.68,270.155,269.59,270.145,PKR
2015-05-08,269.85,270.275,269.57,270.145,PKR
2015-05-11,269.84,270.4,269.71,270.14,PKR
2015-05-12,269.73,270.27,269.61,269.99,PKR
2015-05-13,269.7,270.205,269.68,270.005,PKR
2015-05-14,269.73,270.385,269.63,270.135,PKR
2015-05-15,269.73,270.54,269.68,270.2,PKR
2015-05-18,269.86,270.77,269.62,270.18,PKR
2015-05-19,269.82,270.52,269.81,270.26,PKR
2015-05-20,269.98,270.375,269.94,270.325,PKR
2015-05-21,270.11,270.805,269.88,270.385,PKR
2015-05-22,269.97,270.625,269.97,270.515,PKR
2015-05-25,270.23,270.525,270.22,270.365,PKR
2015-05-26,270.26,270.775,269.88,270.405,PKR
2015-05-27,269.99,270.695,269.98,270.525,PKR
2015-05-28,270.23,270.76,269.98,270.46,PKR
2015-05-29,270.1,270.655,270.1,270.585,PKR
2015-06-01,270.23,270.53,269.9,270.24,PKR
2015-06-02,269.94,270.47,269.86,270.33,PKR
2015-06-03,269.98,270.335,269.75,270.325,PKR
2015-06-04,270.11,270.43,269.9,270.26,PKR
2015-06-05,269.96,270.585,269.75,270.155,PKR
2015-06-08,269.98,270.42,269.75,270.26,PKR
2015-06-09,269.98,270.495,269.82,270.245,PKR
2015-06-10,269.95,270.4,269.84,270.26,PKR
2015-06-11,269.98,270.465,269.69,270.195,PKR
2015-06-12,269.83,270.415,269.35,269.875,PKR
2015-06-15,269.45,270.13,269.43,270.0,PKR
2015-06-16,269.72,270.14,269.59,270.13,PKR
2015-06-17,269.85,270.2,269.58,270.12,PKR
2015-06-18,269.86,270.3,269.64,270.13,PKR
2015-06-19,269.71,270.155,267.51,270.155,PKR
2015-06-22,269.71,270.275,269.29,270.165,PKR
2015-06-23,269.94,270.15,269.18,270.15,PKR
2015-06-24,269.96,270.22,269.2,270.22,PKR
2015-06-25,269.97,270.39,269.3,270.12,PKR
2015-06-26,269.7,270.285,269.41,270.285,PKR
2015-06-29,269.86,270.575,269.52,270.205,PKR
2015-06-30,269.98,270.715,269.51,270.125,PKR
2015-07-01,269.76,270.21,269.25,270.19,PKR
2015-07-02,269.84,270.285,269.59,270.155,PKR
2015-07-03,269.73,270.295,269.19,270.145,PKR
2015-07-06,269.87,270.145,269.2,270.135,PKR
2015-07-07,269.86,270.435,269.49,270.125,PKR
2015-07-08,269.71,270.06,269.43,270.0,PKR
2015-07-09,269.7,270.195,269.24,270.145,PKR
2015-07-10,269.81,270.24,269.11,270.02,PKR
2015-07-13,269.59,270.115,269.33,269.865,PKR
2015-07-14,269.45,271.185,269.3,270.145,PKR
2015-07-15,269.85,270.59,269.38,270.32,PKR
2015-07-16,269.97,270.21,269.01,270.11,PKR
2015-07-17,269.9,270.33,269.17,270.16,PKR
2015-07-20,269.73,270.29,269.19,270.26,PKR
2015-07-21,269.97,270.445,269.83,270.445,PKR
2015-07-22,269.96,270.42,269.59,270.38,PKR
2015-07-23,270.19,270.675,269.54,270.405,PKR
2015-07-24,270.15,270.74,269.68,270.21,PKR
2015-07-27,269.83,270.415,269.67,270.185,PKR
2015-07-28,269.84,270.48,269.67,270.14,PKR
2015-07-29,269.7,270.34,269.52,270.26,PKR
2015-07-30,269.97,270.255,269.68,270.195,PKR
2015-07-31,269.94,270.46,269.53,270.21,PKR
2015-08-03,269.84,270.52,269.63,270.07,PKR
2015-08-04,269.65,270.38,269.47,270.01,PKR
2015-08-05,269.73,270.41,269.21,270.27,PKR
2015-08-06,269.96,270.29,269.3,270.26,PKR
2015-08-07,269.97,270.79,269.3,270.23,PKR
2015-08-10,269.72,270.33,269.57,270.2,PKR
2015-08-11,269.86,270.34,269.44,270.12,PKR
2015-08-12,269.78,270.33,269.03,270.09,PKR
2015-08-13,269.74,270.355,269.6,269.935,PKR
2015-08-14,269.76,270.28,269.33,270.0,PKR
2015-08-17,269.62,270.41,269.33,270.26,PKR
2015-08-18,269.6,270.585,269.45,270.235,PKR
2015-08-19,269.91,270.45,269.49,270.17,PKR
2015-08-20,269.72,270.475,269.29,269.885,PKR
2015-08-21,269.58,270.645,269.08,270.105,PKR
2015-08-24,269.85,275.925,269.71,275.375,PKR
2015-08-25,274.97,276.615,274.83,276.255,PKR
2015-08-26,275.98,276.965,274.44,275.635,PKR
2015-08-27,275.17,276.005,274.42,276.005,PKR
2015-08-28,275.52,276.235,274.82,275.595,PKR
2015-08-31,275.16,276.23,274.74,275.9,PKR
2015-09-01,275.69,276.345,275.43,275.975,PKR
2015-09-02,275.76,276.31,275.5,276.08,PKR
2015-09-03,275.89,276.53,275.6,276.05,PKR
2015-09-04,275.8,276.395,275.15,276.025,PKR
2015-09-07,276.05,276.83,275.35,276.21,PKR
2015-09-08,275.76,276.775,275.14,276.525,PKR
2015-09-09,276.25,277.02,275.9,276.84,PKR
2015-09-10,275.95,277.17,275.85,277.17,PKR
2015-09-11,276.61,277.115,275.96,276.955,PKR
