Date,Open,High,Low,Close,Currency
2015-01-01,0.7558,0.7595,0.7558,0.7595,BBD
2015-01-02,0.7595,0.7615,0.7417,0.7451,BBD
2015-01-05,0.7452,0.7512,0.7354,0.7419,BBD
2015-01-06,0.7419,0.7459,0.7355,0.7426,BBD
2015-01-07,0.7437,0.7506,0.7413,0.7483,BBD
2015-01-08,0.7476,0.7551,0.7437,0.755,BBD
2015-01-09,0.7546,0.7633,0.7496,0.7633,BBD
2015-01-12,0.7633,0.7633,0.7513,0.7528,BBD
2015-01-13,0.7516,0.7642,0.7459,0.7605,BBD
2015-01-14,0.7598,0.7706,0.7587,0.7674,BBD
2015-01-15,0.7675,0.7736,0.7595,0.7595,BBD
2015-01-16,0.7602,0.772,0.7601,0.7669,BBD
2015-01-19,0.7657,0.7684,0.7533,0.757,BBD
2015-01-20,0.7568,0.7696,0.7567,0.7679,BBD
2015-01-21,0.7678,0.7766,0.7678,0.7723,BBD
2015-01-22,0.7723,0.7872,0.7701,0.7796,BBD
2015-01-23,0.7799,0.7994,0.7771,0.7824,BBD
2015-01-26,0.7756,0.7778,0.7673,0.7762,BBD
2015-01-27,0.7773,0.7824,0.772,0.7801,BBD
2015-01-28,0.7802,0.7821,0.7747,0.779,BBD
2015-01-29,0.7792,0.7845,0.7676,0.7709,BBD
2015-01-30,0.7715,0.7715,0.7453,0.749,BBD
2015-02-02,0.7515,0.7558,0.7361,0.7366,BBD
2015-02-03,0.7366,0.7459,0.7349,0.7441,BBD
2015-02-04,0.7444,0.7445,0.7331,0.7347,BBD
2015-02-05,0.7348,0.7446,0.7268,0.7312,BBD
2015-02-06,0.7312,0.7312,0.7213,0.7213,BBD
2015-02-09,0.7213,0.731,0.7182,0.7246,BBD
2015-02-10,0.7245,0.7245,0.707,0.7084,BBD
2015-02-11,0.7081,0.7083,0.6962,0.6992,BBD
2015-02-12,0.6993,0.7109,0.6973,0.7094,BBD
2015-02-13,0.7105,0.7133,0.7002,0.7098,BBD
2015-02-16,0.7088,0.7108,0.7083,0.7097,BBD
2015-02-17,0.7098,0.7153,0.7097,0.7097,BBD
2015-02-18,0.7106,0.7122,0.7047,0.7076,BBD
2015-02-19,0.7075,0.7075,0.7003,0.7008,BBD
2015-02-20,0.7007,0.7056,0.6956,0.6993,BBD
2015-02-23,0.6993,0.7013,0.6919,0.698,BBD
2015-02-24,0.6977,0.7091,0.6953,0.7009,BBD
2015-02-25,0.7017,0.7075,0.6959,0.6994,BBD
2015-02-26,0.6987,0.7066,0.6906,0.6906,BBD
2015-02-27,0.6907,0.7072,0.6879,0.7072,BBD
2015-03-02,0.7064,0.711,0.6931,0.6932,BBD
2015-03-03,0.6933,0.696,0.6843,0.6843,BBD
2015-03-04,0.6846,0.6851,0.6696,0.6735,BBD
2015-03-05,0.6747,0.6777,0.6744,0.6744,BBD
2015-03-06,0.6686,0.6686,0.6686,0.6686,BBD
2015-03-09,0.6554,0.6554,0.6554,0.6554,BBD
2015-03-10,0.6422,0.6422,0.6422,0.6422,BBD
2015-03-11,0.6461,0.6461,0.6461,0.6461,BBD
2015-03-12,0.6413,0.6413,0.6413,0.6413,BBD
2015-03-13,0.6344,0.6344,0.6344,0.6344,BBD
2015-03-16,0.6179,0.6179,0.6179,0.6179,BBD
2015-03-17,0.6183,0.6183,0.6183,0.6183,BBD
2015-03-18,0.617,0.617,0.617,0.617,BBD
2015-03-19,0.6227,0.6227,0.6227,0.6227,BBD
2015-03-20,0.6105,0.6105,0.6105,0.6105,BBD
2015-03-23,0.6205,0.6205,0.6205,0.6205,BBD
2015-03-24,0.641,0.641,0.641,0.641,BBD
2015-03-25,0.6394,0.6394,0.6394,0.6394,BBD
2015-03-26,0.6272,0.6272,0.6272,0.6272,BBD
2015-03-27,0.6308,0.6308,0.6308,0.6308,BBD
2015-03-30,0.6183,0.6183,0.6183,0.6183,BBD
2015-03-31,0.6214,0.6214,0.6214,0.6214,BBD
2015-04-01,0.6291,0.6291,0.6291,0.6291,BBD
2015-04-02,0.6338,0.6338,0.6338,0.6338,BBD
2015-04-03,0.6393,0.6393,0.6393,0.6393,BBD
2015-04-06,0.6394,0.6394,0.6394,0.6394,BBD
2015-04-07,0.6334,0.6455,0.6334,0.6416,BBD
2015-04-08,0.6417,0.6592,0.6417,0.6592,BBD
