Date,Open,High,Low,Close,Currency
2015-01-01,0.3741,0.3743,0.3737,0.374,CHF
2015-01-02,0.3739,0.3761,0.3688,0.3717,CHF
2015-01-05,0.3715,0.3744,0.3688,0.3721,CHF
2015-01-06,0.3719,0.3747,0.3704,0.3741,CHF
2015-01-07,0.374,0.3796,0.3737,0.378,CHF
2015-01-08,0.3779,0.383,0.3774,0.3825,CHF
2015-01-09,0.3822,0.3865,0.3798,0.3856,CHF
2015-01-12,0.3856,0.3874,0.3789,0.3796,CHF
2015-01-13,0.3795,0.3884,0.3787,0.386,CHF
2015-01-14,0.3859,0.3912,0.3845,0.3894,CHF
2015-01-15,0.3895,0.3909,0.2845,0.3248,CHF
2015-01-16,0.3246,0.3352,0.3217,0.3272,CHF
2015-01-19,0.3274,0.3341,0.3271,0.3317,CHF
2015-01-20,0.3316,0.3366,0.3289,0.3351,CHF
2015-01-21,0.335,0.3357,0.3275,0.3307,CHF
2015-01-22,0.3306,0.3412,0.3286,0.3384,CHF
2015-01-23,0.338,0.3416,0.3362,0.3414,CHF
2015-01-26,0.3411,0.3502,0.3395,0.3495,CHF
2015-01-27,0.3493,0.3548,0.3446,0.351,CHF
2015-01-28,0.3509,0.3536,0.3481,0.3514,CHF
2015-01-29,0.3509,0.3582,0.3508,0.3548,CHF
2015-01-30,0.3547,0.3568,0.3413,0.3434,CHF
2015-02-02,0.3447,0.3494,0.3394,0.3405,CHF
2015-02-03,0.3401,0.3436,0.3385,0.3431,CHF
2015-02-04,0.343,0.3444,0.3349,0.3378,CHF
2015-02-05,0.3377,0.341,0.3343,0.3356,CHF
2015-02-06,0.3355,0.3374,0.3318,0.3326,CHF
2015-02-09,0.333,0.3342,0.3297,0.3335,CHF
2015-02-10,0.3333,0.3348,0.3257,0.3268,CHF
2015-02-11,0.3267,0.3276,0.3221,0.3236,CHF
2015-02-12,0.3238,0.3304,0.3224,0.33,CHF
2015-02-13,0.3299,0.3308,0.3251,0.3289,CHF
2015-02-16,0.3284,0.3292,0.3271,0.3289,CHF
2015-02-17,0.3287,0.3314,0.3281,0.3311,CHF
2015-02-18,0.3309,0.3337,0.3291,0.3321,CHF
2015-02-19,0.3319,0.3338,0.3294,0.3312,CHF
2015-02-20,0.3311,0.3337,0.3258,0.328,CHF
2015-02-23,0.3271,0.3322,0.3268,0.3299,CHF
2015-02-24,0.3298,0.3362,0.3288,0.3355,CHF
2015-02-25,0.3354,0.3359,0.3285,0.3299,CHF
2015-02-26,0.3297,0.3338,0.3271,0.3277,CHF
2015-02-27,0.3275,0.3359,0.3246,0.3358,CHF
2015-03-02,0.3359,0.3374,0.3306,0.3308,CHF
2015-03-03,0.331,0.3322,0.3274,0.3279,CHF
2015-03-04,0.3277,0.3288,0.3199,0.3236,CHF
2015-03-05,0.3234,0.3263,0.3221,0.3245,CHF
2015-03-06,0.3243,0.3279,0.3198,0.3221,CHF
2015-03-09,0.3218,0.3223,0.3144,0.3158,CHF
2015-03-10,0.3156,0.3231,0.3133,0.3222,CHF
2015-03-11,0.3221,0.3266,0.3196,0.3229,CHF
2015-03-12,0.3228,0.3248,0.3158,0.3166,CHF
2015-03-13,0.3164,0.3173,0.3066,0.3093,CHF
2015-03-16,0.3092,0.314,0.3078,0.3104,CHF
2015-03-17,0.3101,0.3121,0.3052,0.3106,CHF
2015-03-18,0.3105,0.3118,0.3007,0.3048,CHF
