Date,Open,High,Low,Close,Currency
2015-01-01,2.33,2.335,2.33,2.335,CNY
2015-01-02,2.33,2.335,2.29,2.305,CNY
2015-01-05,2.3,2.31,2.28,2.3,CNY
2015-01-06,2.3,2.31,2.28,2.3,CNY
2015-01-07,2.3,2.325,2.29,2.315,CNY
2015-01-08,2.31,2.33,2.3,2.33,CNY
2015-01-09,2.33,2.36,2.32,2.36,CNY
2015-01-12,2.36,2.36,2.32,2.32,CNY
2015-01-13,2.32,2.365,2.31,2.345,CNY
2015-01-14,2.34,2.38,2.33,2.37,CNY
2015-01-15,2.37,2.38,2.34,2.34,CNY
2015-01-16,2.34,2.37,2.34,2.37,CNY
2015-01-19,2.37,2.375,2.33,2.345,CNY
2015-01-20,2.34,2.38,2.34,2.38,CNY
2015-01-21,2.38,2.4,2.37,2.39,CNY
2015-01-22,2.39,2.43,2.39,2.41,CNY
2015-01-23,2.41,2.425,2.4,2.415,CNY
2015-01-26,2.42,2.42,2.4,2.42,CNY
2015-01-27,2.42,2.43,2.4,2.43,CNY
2015-01-28,2.42,2.435,2.41,2.425,CNY
2015-01-29,2.42,2.43,2.39,2.4,CNY
2015-01-30,2.4,2.4,2.32,2.33,CNY
2015-02-02,2.33,2.355,2.29,2.295,CNY
2015-02-03,2.29,2.33,2.29,2.32,CNY
2015-02-04,2.32,2.32,2.27,2.28,CNY
2015-02-05,2.28,2.3,2.26,2.28,CNY
2015-02-06,2.28,2.285,2.24,2.245,CNY
2015-02-09,2.24,2.265,2.23,2.255,CNY
2015-02-10,2.25,2.25,2.2,2.2,CNY
2015-02-11,2.2,2.2,2.16,2.18,CNY
2015-02-12,2.18,2.22,2.17,2.21,CNY
2015-02-13,2.21,2.22,2.18,2.2,CNY
2015-02-16,2.2,2.205,2.2,2.205,CNY
2015-02-17,2.2,2.21,2.2,2.21,CNY
2015-02-18,2.21,2.215,2.19,2.205,CNY
2015-02-19,2.2,2.2,2.18,2.18,CNY
2015-02-20,2.18,2.19,2.17,2.18,CNY
2015-02-23,2.18,2.19,2.15,2.17,CNY
2015-02-24,2.17,2.21,2.16,2.21,CNY
2015-02-25,2.21,2.21,2.17,2.18,CNY
2015-02-26,2.18,2.2,2.15,2.15,CNY
2015-02-27,2.15,2.21,2.15,2.21,CNY
2015-03-02,2.21,2.215,2.16,2.165,CNY
2015-03-03,2.17,2.17,2.14,2.14,CNY
2015-03-04,2.14,2.14,2.09,2.11,CNY
2015-03-05,2.11,2.11,2.07,2.09,CNY
2015-03-06,2.08,2.105,2.04,2.045,CNY
2015-03-09,2.04,2.05,2.0,2.01,CNY
2015-03-10,2.01,2.03,1.97,2.02,CNY
2015-03-11,2.02,2.03,1.99,2.0,CNY
2015-03-12,2.0,2.04,1.97,1.98,CNY
2015-03-13,1.98,1.98,1.91,1.93,CNY
2015-03-16,1.93,1.95,1.92,1.93,CNY
2015-03-17,1.93,1.94,1.9,1.93,CNY
2015-03-18,1.93,1.95,1.9,1.94,CNY
2015-03-19,1.94,1.94,1.87,1.88,CNY
2015-03-20,1.88,1.94,1.86,1.92,CNY
2015-03-23,1.92,1.98,1.92,1.98,CNY
2015-03-24,1.98,2.01,1.96,1.98,CNY
2015-03-25,1.98,1.99,1.94,1.94,CNY
2015-03-26,1.94,1.96,1.93,1.95,CNY
2015-03-27,1.95,1.95,1.91,1.91,CNY
2015-03-30,1.91,1.93,1.89,1.92,CNY
2015-03-31,1.92,1.96,1.9,1.94,CNY
2015-04-01,1.94,1.98,1.94,1.96,CNY
2015-04-02,1.96,1.99,1.94,1.99,CNY
2015-04-03,1.99,1.995,1.98,1.985,CNY
2015-04-06,1.98,2.01,1.98,1.98,CNY
2015-04-07,1.98,1.99,1.97,1.98,CNY
2015-04-08,1.98,2.04,1.98,2.03,CNY
2015-04-09,2.03,2.05,2.02,2.03,CNY
2015-04-10,2.03,2.03,2.01,2.02,CNY
