Date,Open,High,Low,Close,Currency
2015-01-01,898.42,898.78,898.42,898.78,COP
2015-01-02,898.42,900.33,878.93,882.2,COP
2015-01-05,880.29,898.53,872.31,898.13,COP
2015-01-06,898.15,912.93,892.38,906.99,COP
2015-01-07,905.93,917.44,896.17,905.5,COP
2015-01-08,904.92,910.06,890.55,900.36,COP
2015-01-09,899.63,920.11,895.89,918.89,COP
2015-01-12,918.63,918.88,902.43,903.93,COP
2015-01-13,903.73,930.57,900.42,924.03,COP
2015-01-14,923.21,937.8,919.87,927.4,COP
2015-01-15,929.29,934.9,907.2,912.62,COP
2015-01-16,911.67,921.44,899.22,903.73,COP
2015-01-19,903.3,905.29,882.62,887.9,COP
2015-01-20,886.71,911.92,886.58,909.17,COP
2015-01-21,908.42,916.59,901.27,913.94,COP
2015-01-22,913.11,929.16,912.96,921.59,COP
2015-01-23,920.86,928.23,913.08,924.51,COP
2015-01-26,925.42,925.6,915.31,925.02,COP
2015-01-27,923.67,931.47,919.21,928.88,COP
2015-01-28,929.37,932.36,907.55,917.74,COP
2015-01-29,916.89,926.53,907.55,926.46,COP
2015-01-30,926.16,927.15,904.54,909.63,COP
2015-02-02,908.92,915.74,881.38,882.44,COP
2015-02-03,881.38,890.7,868.75,874.97,COP
2015-02-04,874.66,878.72,866.75,872.73,COP
2015-02-05,872.61,878.72,864.23,866.27,COP
2015-02-06,867.03,869.44,854.94,855.53,COP
2015-02-09,855.04,857.47,846.23,854.27,COP
2015-02-10,853.93,854.4,837.12,840.47,COP
2015-02-11,840.44,848.1,828.32,845.11,COP
2015-02-12,844.58,850.18,837.82,846.85,COP
2015-02-13,846.59,849.14,834.31,842.24,COP
2015-02-16,840.86,843.34,836.8,843.34,COP
2015-02-17,842.09,856.62,842.09,853.79,COP
2015-02-18,853.72,862.2,851.5,856.65,COP
2015-02-19,856.09,859.52,849.12,852.94,COP
2015-02-20,852.87,858.05,849.75,857.54,COP
2015-02-23,856.57,872.13,847.35,868.17,COP
2015-02-24,867.75,879.77,865.84,877.51,COP
2015-02-25,877.19,878.46,860.47,864.52,COP
2015-02-26,863.79,874.01,856.3,856.78,COP
2015-02-27,856.31,880.86,852.76,880.58,COP
2015-03-02,880.11,882.81,870.3,875.4,COP
2015-03-03,874.94,887.61,866.74,871.59,COP
2015-03-04,870.87,871.32,850.7,853.86,COP
2015-03-05,853.32,857.07,841.85,848.19,COP
2015-03-06,846.97,854.09,835.0,843.52,COP
2015-03-09,842.98,844.21,830.08,835.33,COP
2015-03-10,834.56,851.96,821.65,848.12,COP
2015-03-11,847.7,853.04,835.77,839.81,COP
2015-03-12,839.47,853.53,827.9,830.14,COP
2015-03-13,829.12,829.8,813.78,821.39,COP
2015-03-16,821.08,838.58,817.38,827.66,COP
2015-03-17,826.54,828.59,809.43,821.1,COP
2015-03-18,820.48,826.78,802.73,818.92,COP
2015-03-19,818.44,819.15,789.46,799.2,COP
2015-03-20,798.59,808.11,792.25,797.21,COP
2015-03-23,796.73,818.17,793.87,817.78,COP
2015-03-24,817.21,828.25,796.42,799.9,COP
2015-03-25,799.43,809.82,790.34,794.08,COP
2015-03-26,793.52,805.84,788.0,804.64,COP
2015-03-27,804.32,805.06,786.5,787.32,COP
2015-03-30,786.88,802.96,777.27,797.39,COP
2015-03-31,797.04,818.26,787.58,813.57,COP
2015-04-01,813.1,830.73,805.54,813.21,COP
2015-04-02,812.18,825.97,807.36,824.93,COP
2015-04-03,824.2,826.25,820.47,822.17,COP
2015-04-06,820.47,835.73,808.96,810.4,COP
2015-04-07,809.32,813.9,798.5,803.5,COP
2015-04-08,802.69,817.99,800.55,817.12,COP
2015-04-09,816.71,824.39,812.04,816.83,COP
2015-04-10,816.02,821.53,806.84,815.63,COP
2015-04-13,814.92,822.88,807.67,819.54,COP
2015-04-14,818.71,836.74,817.98,834.37,COP
2015-04-15,833.74,834.68,820.91,827.67,COP
2015-04-16,827.26,834.48,817.92,821.77,COP
2015-04-17,821.12,825.75,812.15,822.16,COP
2015-04-20,821.06,824.99,812.78,819.73,COP
