Date,Open,High,Low,Close,Currency
2015-01-01,0.311,0.3112,0.3107,0.3109,EUR
2015-01-02,0.3108,0.3127,0.3068,0.3093,EUR
2015-01-05,0.3091,0.3124,0.3069,0.3096,EUR
2015-01-06,0.3096,0.312,0.3083,0.3115,EUR
2015-01-07,0.3114,0.3161,0.3112,0.3147,EUR
2015-01-08,0.3146,0.3188,0.3142,0.3185,EUR
2015-01-09,0.3183,0.322,0.3163,0.3211,EUR
2015-01-12,0.3211,0.3226,0.3155,0.3161,EUR
2015-01-13,0.316,0.3234,0.3153,0.3214,EUR
2015-01-14,0.3213,0.3257,0.3202,0.3242,EUR
2015-01-15,0.3242,0.3297,0.3241,0.3254,EUR
2015-01-16,0.3251,0.3319,0.3247,0.3297,EUR
2015-01-19,0.3302,0.3306,0.323,0.3249,EUR
2015-01-20,0.3248,0.3318,0.3245,0.3312,EUR
2015-01-21,0.3311,0.3335,0.3299,0.3312,EUR
2015-01-22,0.3311,0.3432,0.3303,0.3417,EUR
2015-01-23,0.3416,0.3487,0.3413,0.3459,EUR
2015-01-26,0.3463,0.3492,0.3408,0.3444,EUR
2015-01-27,0.3443,0.3449,0.3401,0.3416,EUR
2015-01-28,0.3414,0.3443,0.3399,0.3438,EUR
2015-01-29,0.3437,0.3446,0.3378,0.3393,EUR
2015-01-30,0.3392,0.3398,0.3286,0.3303,EUR
2015-02-02,0.3302,0.3312,0.3227,0.3233,EUR
2015-02-03,0.3231,0.3266,0.3211,0.3233,EUR
2015-02-04,0.3231,0.3247,0.3183,0.3214,EUR
2015-02-05,0.3214,0.3227,0.3167,0.3174,EUR
2015-02-06,0.3173,0.3203,0.3155,0.3176,EUR
2015-02-09,0.3174,0.3194,0.3155,0.3188,EUR
2015-02-10,0.3186,0.3202,0.311,0.3116,EUR
2015-02-11,0.3116,0.3122,0.307,0.3075,EUR
2015-02-12,0.3074,0.3117,0.3062,0.3109,EUR
2015-02-13,0.3108,0.3117,0.3068,0.3099,EUR
2015-02-16,0.3096,0.3117,0.3085,0.3107,EUR
2015-02-17,0.3106,0.3122,0.3086,0.3097,EUR
2015-02-18,0.3097,0.3116,0.3088,0.3092,EUR
2015-02-19,0.3091,0.3095,0.306,0.307,EUR
2015-02-20,0.3068,0.3098,0.3042,0.3064,EUR
2015-02-23,0.3062,0.3087,0.3046,0.3065,EUR
2015-02-24,0.3064,0.3123,0.306,0.3113,EUR
2015-02-25,0.3112,0.3115,0.305,0.3062,EUR
2015-02-26,0.3061,0.3106,0.3055,0.307,EUR
2015-02-27,0.307,0.315,0.3049,0.3146,EUR
2015-03-02,0.3147,0.3156,0.3084,0.3087,EUR
2015-03-03,0.3086,0.3095,0.3048,0.3053,EUR
2015-03-04,0.3051,0.307,0.3002,0.3033,EUR
2015-03-05,0.3031,0.3046,0.3002,0.3019,EUR
2015-03-06,0.3016,0.3064,0.2994,0.3012,EUR
2015-03-09,0.3013,0.3017,0.2939,0.2951,EUR
2015-03-10,0.295,0.3021,0.2935,0.3013,EUR
2015-03-11,0.3012,0.3065,0.2995,0.3034,EUR
2015-03-12,0.3033,0.3046,0.2963,0.2969,EUR
2015-03-13,0.2968,0.2977,0.2902,0.2933,EUR
2015-03-16,0.2932,0.2955,0.2909,0.2914,EUR
2015-03-17,0.2912,0.2928,0.2864,0.2913,EUR
2015-03-18,0.2912,0.2931,0.284,0.2868,EUR
2015-03-19,0.2866,0.2903,0.2829,0.2849,EUR
2015-03-20,0.2849,0.2893,0.281,0.2862,EUR
2015-03-23,0.2855,0.2918,0.2839,0.2917,EUR
2015-03-24,0.2916,0.2942,0.2891,0.2915,EUR
2015-03-25,0.2915,0.2923,0.2843,0.2848,EUR
2015-03-26,0.2846,0.2893,0.2822,0.2887,EUR
2015-03-27,0.2886,0.2908,0.2822,0.2826,EUR
2015-03-30,0.2824,0.2883,0.2803,0.2858,EUR
2015-03-31,0.2855,0.2938,0.2846,0.2916,EUR
2015-04-01,0.2913,0.2962,0.2901,0.2934,EUR
2015-04-02,0.2933,0.2945,0.2904,0.2944,EUR
2015-04-03,0.2943,0.295,0.2904,0.2918,EUR
2015-04-06,0.2914,0.2953,0.2907,0.2928,EUR
2015-04-07,0.2928,0.2966,0.2918,0.2955,EUR
2015-04-08,0.2953,0.3046,0.2934,0.3042,EUR
2015-04-09,0.3041,0.3094,0.3037,0.3067,EUR
2015-04-10,0.3065,0.3091,0.3042,0.3066,EUR
2015-04-13,0.3065,0.309,0.3021,0.3032,EUR
2015-04-14,0.3031,0.3071,0.302,0.3065,EUR
2015-04-15,0.3063,0.3094,0.3048,0.3088,EUR
2015-04-16,0.3087,0.3107,0.3062,0.3075,EUR
2015-04-17,0.3074,0.3081,0.302,0.3043,EUR
2015-04-20,0.3036,0.3086,0.3036,0.307,EUR
2015-04-21,0.3069,0.3093,0.3057,0.307,EUR
2015-04-22,0.3069,0.3113,0.305,0.3096,EUR
2015-04-23,0.3095,0.3118,0.306,0.3109,EUR
