Date,Open,High,Low,Close,Currency
2015-01-01,0.2415,0.2421,0.2414,0.2421,GBP
2015-01-02,0.2414,0.2438,0.2394,0.2422,GBP
2015-01-05,0.242,0.244,0.2402,0.2423,GBP
2015-01-06,0.2422,0.2448,0.2416,0.2444,GBP
2015-01-07,0.2444,0.2475,0.2442,0.2466,GBP
2015-01-08,0.2465,0.2492,0.2455,0.2489,GBP
2015-01-09,0.2488,0.2511,0.2466,0.2508,GBP
2015-01-12,0.2504,0.2518,0.2461,0.2465,GBP
2015-01-13,0.2465,0.2511,0.2462,0.2496,GBP
2015-01-14,0.2495,0.2523,0.2483,0.251,GBP
2015-01-15,0.2509,0.2529,0.2488,0.2492,GBP
2015-01-16,0.2491,0.2526,0.2482,0.2518,GBP
2015-01-19,0.2514,0.2524,0.248,0.2495,GBP
2015-01-20,0.2495,0.2529,0.2486,0.2526,GBP
2015-01-21,0.2525,0.2558,0.2518,0.2539,GBP
2015-01-22,0.2539,0.26,0.2529,0.2588,GBP
2015-01-23,0.2586,0.2598,0.2568,0.2586,GBP
2015-01-26,0.2585,0.2588,0.2552,0.2567,GBP
2015-01-27,0.2566,0.257,0.2546,0.2558,GBP
2015-01-28,0.2557,0.2567,0.254,0.2564,GBP
2015-01-29,0.2562,0.2569,0.2537,0.2549,GBP
2015-01-30,0.2548,0.2552,0.2467,0.2474,GBP
2015-02-02,0.247,0.2499,0.2435,0.2438,GBP
2015-02-03,0.2437,0.246,0.243,0.2447,GBP
2015-02-04,0.2447,0.2451,0.2391,0.2402,GBP
2015-02-05,0.2401,0.241,0.2367,0.2377,GBP
2015-02-06,0.2376,0.2383,0.235,0.2357,GBP
2015-02-09,0.2355,0.2378,0.2348,0.2373,GBP
2015-02-10,0.2372,0.2375,0.2308,0.2313,GBP
2015-02-11,0.2312,0.2316,0.2274,0.2287,GBP
2015-02-12,0.2286,0.2309,0.226,0.2304,GBP
2015-02-13,0.2304,0.2309,0.2273,0.2291,GBP
2015-02-16,0.2288,0.2301,0.2283,0.2296,GBP
2015-02-17,0.2295,0.2308,0.2293,0.2302,GBP
