Date,Open,High,Low,Close,Currency
2015-01-01,2.9172,2.9178,2.9172,2.9178,HKD
2015-01-02,2.9172,2.9197,2.8626,2.8791,HKD
2015-01-05,2.8778,2.8786,2.8392,2.8658,HKD
2015-01-06,2.8652,2.8808,2.8459,2.8719,HKD
2015-01-07,2.8713,2.9005,2.8615,2.8899,HKD
2015-01-08,2.8893,2.9146,2.8688,2.912,HKD
2015-01-09,2.9108,2.9516,2.8985,2.9476,HKD
2015-01-12,2.9475,2.9484,2.898,2.9,HKD
2015-01-13,2.8998,2.9509,2.8894,2.9333,HKD
2015-01-14,2.9327,2.9773,2.9206,2.9642,HKD
2015-01-15,2.964,2.9877,2.9308,2.9341,HKD
2015-01-16,2.9327,2.966,2.9311,2.9574,HKD
2015-01-19,2.9568,2.9606,2.9093,2.9234,HKD
2015-01-20,2.9226,2.9723,2.9224,2.966,HKD
2015-01-21,2.9654,2.9978,2.964,2.9806,HKD
2015-01-22,2.9799,3.0415,2.9797,3.0114,HKD
2015-01-23,3.0102,3.0169,2.9826,3.0053,HKD
2015-01-26,3.0031,3.0042,2.9705,3.0006,HKD
2015-01-27,3.0002,3.0221,2.9821,3.0135,HKD
2015-01-28,3.0132,3.0213,2.9911,3.0088,HKD
2015-01-29,3.0077,3.0097,2.9609,2.9776,HKD
2015-01-30,2.9767,2.9791,2.8774,2.8901,HKD
2015-02-02,2.8889,2.9087,2.8403,2.8428,HKD
2015-02-03,2.8418,2.8847,2.8415,2.8777,HKD
2015-02-04,2.8771,2.8791,2.8197,2.8275,HKD
2015-02-05,2.8272,2.848,2.806,2.8241,HKD
2015-02-06,2.8234,2.8266,2.7832,2.7864,HKD
2015-02-09,2.785,2.8056,2.7712,2.7995,HKD
2015-02-10,2.798,2.7994,2.7304,2.7355,HKD
2015-02-11,2.735,2.7361,2.6893,2.7026,HKD
2015-02-12,2.702,2.7536,2.6932,2.7487,HKD
2015-02-13,2.748,2.7557,2.7125,2.7363,HKD
2015-02-16,2.7346,2.7374,2.7345,2.7374,HKD
2015-02-17,2.7361,2.7424,2.7359,2.7424,HKD
2015-02-18,2.7417,2.7444,2.722,2.7343,HKD
2015-02-19,2.7331,2.734,2.7027,2.7065,HKD
2015-02-20,2.7062,2.7186,2.688,2.7056,HKD
2015-02-23,2.7044,2.7106,2.6702,2.6946,HKD
2015-02-24,2.6941,2.7448,2.6822,2.738,HKD
2015-02-25,2.738,2.7387,2.6871,2.6982,HKD
2015-02-26,2.6977,2.7295,2.6655,2.6662,HKD
2015-02-27,2.6658,2.7327,2.6546,2.7319,HKD
2015-03-02,2.7303,2.7314,2.6755,2.6775,HKD
2015-03-03,2.677,2.6824,2.6421,2.6459,HKD
2015-03-04,2.645,2.6461,2.584,2.6055,HKD
2015-03-05,2.6045,2.606,2.5659,2.5822,HKD
2015-03-06,2.5811,2.6018,2.5247,2.5335,HKD
2015-03-09,2.5321,2.5374,2.4761,2.4854,HKD
2015-03-10,2.4841,2.5126,2.4448,2.5018,HKD
2015-03-11,2.5012,2.5188,2.4711,2.4861,HKD
2015-03-12,2.486,2.5259,2.449,2.454,HKD
2015-03-13,2.4526,2.4537,2.3673,2.3901,HKD
2015-03-16,2.3896,2.4227,2.3786,2.3915,HKD
2015-03-17,2.3897,2.407,2.3634,2.3962,HKD
2015-03-18,2.3952,2.4331,2.3646,2.4173,HKD
2015-03-19,2.4158,2.4172,2.3456,2.3569,HKD
2015-03-20,2.3558,2.4243,2.3398,2.4024,HKD
2015-03-23,2.4013,2.4777,2.3994,2.4763,HKD
2015-03-24,2.476,2.5081,2.4441,2.4704,HKD
2015-03-25,2.4692,2.4894,2.4196,2.4224,HKD
2015-03-26,2.4217,2.4446,2.4046,2.4364,HKD
2015-03-27,2.4362,2.4379,2.385,2.386,HKD
2015-03-30,2.385,2.4185,2.3572,2.4005,HKD
2015-03-31,2.3993,2.4493,2.3714,2.4258,HKD
2015-04-01,2.4253,2.4758,2.4253,2.449,HKD
2015-04-02,2.4476,2.4876,2.4329,2.4844,HKD
2015-04-03,2.4832,2.485,2.4828,2.4839,HKD
2015-04-06,2.4829,2.5148,2.4778,2.4798,HKD
2015-04-07,2.4795,2.4934,2.4618,2.4776,HKD
2015-04-08,2.4763,2.5446,2.4752,2.5415,HKD
2015-04-09,2.5407,2.5617,2.5198,2.5335,HKD
2015-04-10,2.532,2.5345,2.504,2.5198,HKD
2015-04-13,2.5187,2.5204,2.4762,2.483,HKD
2015-04-14,2.4824,2.5375,2.4782,2.5308,HKD
2015-04-15,2.5297,2.5627,2.5041,2.5588,HKD
2015-04-16,2.5579,2.5854,2.5479,2.5652,HKD
2015-04-17,2.5647,2.5799,2.5236,2.5493,HKD
2015-04-20,2.5477,2.5654,2.5332,2.5553,HKD
2015-04-21,2.5543,2.5587,2.5526,2.5545,HKD
2015-04-22,2.5538,2.5875,2.5506,2.5737,HKD
2015-04-23,2.5723,2.611,2.555,2.6089,HKD
2015-04-24,2.6078,2.6266,2.5898,2.6257,HKD
2015-04-27,2.6227,2.6749,2.6173,2.6571,HKD
2015-04-28,2.6553,2.6897,2.6312,2.6394,HKD
2015-04-29,2.639,2.6605,2.6134,2.6174,HKD
2015-04-30,2.6154,2.6279,2.5651,2.571,HKD
2015-05-01,2.569,2.575,2.5672,2.5716,HKD
2015-05-04,2.5699,2.574,2.5035,2.512,HKD
2015-05-05,2.5112,2.549,2.5067,2.5384,HKD
2015-05-06,2.5373,2.5663,2.5191,2.5553,HKD
2015-05-07,2.5543,2.5725,2.5305,2.5624,HKD
2015-05-08,2.5618,2.6082,2.5468,2.6078,HKD
2015-05-11,2.6043,2.6063,2.5305,2.5323,HKD
2015-05-12,2.531,2.5744,2.5179,2.5663,HKD
2015-05-13,2.5658,2.6001,2.5458,2.5496,HKD
2015-05-14,2.5482,2.5932,2.5466,2.5892,HKD
2015-05-15,2.5889,2.6105,2.5704,2.5861,HKD
2015-05-18,2.5851,2.5902,2.5568,2.5771,HKD
2015-05-19,2.5759,2.5819,2.5454,2.5505,HKD
2015-05-20,2.5494,2.5865,2.5449,2.5817,HKD
2015-05-21,2.5809,2.5872,2.5443,2.5522,HKD
2015-05-22,2.5505,2.5648,2.499,2.5046,HKD
2015-05-25,2.5032,2.5088,2.4732,2.5033,HKD
2015-05-26,2.5017,2.5071,2.456,2.4582,HKD
2015-05-27,2.4576,2.4724,2.4338,2.4701,HKD
2015-05-28,2.4687,2.4693,2.4303,2.4517,HKD
2015-05-29,2.45,2.4694,2.4248,2.4382,HKD
2015-06-01,2.4373,2.4569,2.4125,2.4452,HKD
2015-06-02,2.4442,2.4817,2.44,2.4775,HKD
2015-06-03,2.4764,2.4989,2.4632,2.475,HKD
2015-06-04,2.4727,2.4754,2.4614,2.4672,HKD
2015-06-05,2.4659,2.4954,2.4301,2.4658,HKD
2015-06-08,2.4657,2.4965,2.46,2.49,HKD
2015-06-09,2.4891,2.5094,2.4835,2.5039,HKD
2015-06-10,2.5027,2.5335,2.4846,2.4858,HKD
2015-06-11,2.4859,2.51,2.4441,2.5092,HKD
2015-06-12,2.5085,2.5096,2.4775,2.4848,HKD
