Date,Open,High,Low,Close,Currency
2015-01-01,98.31,98.46,98.16,98.32,HUF
2015-01-02,98.16,99.73,97.67,98.34,HUF
2015-01-05,98.13,99.66,97.52,98.29,HUF
2015-01-06,98.09,99.9,97.84,99.58,HUF
2015-01-07,99.33,101.18,99.26,100.04,HUF
2015-01-08,99.98,101.26,99.39,100.64,HUF
2015-01-09,100.53,101.86,100.29,101.8,HUF
2015-01-12,101.73,102.73,100.12,100.39,HUF
2015-01-13,100.3,103.12,100.03,102.4,HUF
2015-01-14,102.28,104.42,102.0,103.64,HUF
2015-01-15,103.55,107.0,103.36,105.16,HUF
2015-01-16,105.02,106.05,104.09,105.18,HUF
2015-01-19,104.96,105.81,103.16,103.89,HUF
2015-01-20,103.67,105.48,103.16,104.81,HUF
2015-01-21,104.57,105.24,103.74,104.43,HUF
2015-01-22,104.27,107.38,104.01,106.77,HUF
2015-01-23,106.62,108.21,106.07,107.11,HUF
2015-01-26,106.98,107.93,105.78,107.07,HUF
2015-01-27,106.82,107.73,105.95,106.26,HUF
2015-01-28,106.18,107.61,105.88,107.5,HUF
2015-01-29,107.38,107.97,104.82,105.53,HUF
2015-01-30,105.36,105.72,102.03,102.53,HUF
2015-02-02,102.29,102.95,100.19,100.45,HUF
2015-02-03,100.36,101.1,99.02,99.84,HUF
2015-02-04,99.61,100.36,97.9,99.31,HUF
2015-02-05,99.22,99.6,96.96,97.4,HUF
2015-02-06,97.18,98.27,96.53,97.2,HUF
2015-02-09,96.97,98.39,96.6,98.2,HUF
2015-02-10,97.94,99.32,95.92,96.21,HUF
2015-02-11,96.11,96.99,94.77,95.1,HUF
2015-02-12,94.84,95.52,94.03,95.09,HUF
2015-02-13,94.93,95.35,93.91,94.55,HUF
2015-02-16,94.7,95.79,94.32,95.4,HUF
2015-02-17,95.27,95.99,94.86,95.33,HUF
2015-02-18,95.22,95.94,94.31,94.66,HUF
2015-02-19,94.53,94.7,93.27,93.77,HUF
2015-02-20,93.63,94.59,92.82,93.5,HUF
2015-02-23,93.22,94.4,92.87,93.67,HUF
2015-02-24,93.52,95.41,93.45,95.05,HUF
2015-02-25,94.95,95.29,92.86,93.29,HUF
2015-02-26,93.19,94.17,92.62,92.93,HUF
2015-02-27,92.83,95.4,92.36,95.34,HUF
2015-03-02,95.19,95.72,93.92,94.09,HUF
2015-03-03,93.99,94.7,93.35,93.56,HUF
2015-03-04,93.44,94.47,91.93,92.91,HUF
2015-03-05,92.78,93.34,91.5,92.3,HUF
2015-03-06,92.18,92.93,91.46,91.94,HUF
2015-03-09,92.03,92.22,89.68,90.17,HUF
2015-03-10,90.08,92.94,89.53,92.61,HUF
2015-03-11,92.5,93.37,91.33,91.97,HUF
2015-03-12,91.9,92.58,89.98,90.31,HUF
2015-03-13,90.19,91.38,88.74,89.64,HUF
2015-03-16,89.55,89.95,88.16,88.41,HUF
2015-03-17,88.25,88.98,87.08,88.58,HUF
2015-03-18,88.4,89.12,86.16,86.93,HUF
2015-03-19,86.8,87.92,85.9,86.48,HUF
2015-03-20,86.39,88.26,85.39,86.79,HUF
2015-03-23,86.83,88.72,86.14,88.53,HUF
2015-03-24,88.33,89.27,86.77,87.22,HUF
2015-03-25,87.1,87.51,84.96,85.17,HUF
2015-03-26,85.07,86.79,84.46,86.54,HUF
2015-03-27,86.47,87.66,84.61,84.84,HUF
2015-03-30,84.78,86.45,83.93,85.53,HUF
2015-03-31,85.35,88.08,85.14,87.61,HUF
2015-04-01,87.49,88.37,86.79,87.68,HUF
2015-04-02,87.56,88.47,86.9,88.34,HUF
2015-04-03,88.18,88.56,86.74,87.28,HUF
2015-04-06,87.22,88.35,86.97,87.57,HUF
2015-04-07,87.38,88.75,87.13,88.18,HUF
2015-04-08,88.1,90.38,86.99,90.22,HUF
2015-04-09,90.12,92.35,89.95,91.54,HUF
2015-04-10,91.43,92.14,90.12,91.09,HUF
2015-04-13,90.97,91.98,89.53,90.0,HUF
2015-04-14,89.89,91.2,89.32,90.9,HUF
2015-04-15,90.8,92.99,90.45,92.74,HUF
2015-04-16,92.63,93.5,91.82,92.81,HUF
2015-04-17,92.71,92.96,90.8,91.6,HUF
2015-04-20,91.18,92.24,90.62,91.55,HUF
2015-04-21,91.42,92.17,91.25,91.75,HUF
2015-04-22,91.59,93.72,91.16,93.0,HUF
2015-04-23,92.92,94.01,91.88,93.32,HUF
2015-04-24,93.19,94.69,92.53,94.54,HUF
2015-04-27,94.47,95.09,93.86,94.48,HUF
2015-04-28,94.29,95.9,92.86,93.32,HUF
2015-04-29,93.2,94.08,91.54,91.73,HUF
2015-04-30,91.56,92.55,89.49,89.72,HUF
2015-05-01,89.68,90.27,89.13,89.95,HUF
2015-05-04,89.75,90.49,87.74,88.23,HUF
2015-05-05,88.11,89.38,87.67,88.89,HUF
2015-05-06,88.77,89.28,87.83,88.78,HUF
2015-05-07,88.68,89.45,88.0,88.98,HUF
2015-05-08,88.9,90.87,88.64,90.78,HUF
2015-05-11,90.68,91.86,89.09,89.3,HUF
2015-05-12,89.18,90.86,88.59,90.61,HUF
2015-05-13,90.51,91.39,88.84,89.16,HUF
