Date,Open,High,Low,Close,Currency
2015-01-01,4657.64,4660.4,4657.64,4660.4,IDR
2015-01-02,4665.16,4720.47,4627.0,4655.55,IDR
2015-01-05,4651.03,4702.9,4622.0,4665.8,IDR
2015-01-06,4654.77,4702.76,4645.06,4687.79,IDR
2015-01-07,4683.22,4764.73,4680.44,4746.98,IDR
2015-01-08,4745.53,4765.65,4688.71,4761.55,IDR
2015-01-09,4748.5,4816.32,4728.97,4810.27,IDR
2015-01-12,4809.34,4810.54,4707.88,4712.08,IDR
2015-01-13,4697.79,4794.82,4693.67,4766.36,IDR
2015-01-14,4758.84,4842.86,4750.82,4821.58,IDR
2015-01-15,4810.78,4841.36,4745.79,4753.53,IDR
2015-01-16,4743.71,4814.58,4743.71,4802.65,IDR
2015-01-19,4802.59,4819.03,4734.69,4758.56,IDR
2015-01-20,4756.64,4825.15,4741.98,4814.45,IDR
2015-01-21,4810.16,4826.34,4768.1,4799.07,IDR
2015-01-22,4786.62,4899.32,4775.09,4850.45,IDR
2015-01-23,4814.6,4862.56,4798.18,4834.77,IDR
2015-01-26,4831.46,4859.05,4792.11,4842.36,IDR
2015-01-27,4832.22,4863.27,4798.23,4850.05,IDR
2015-01-28,4845.1,4866.59,4817.67,4846.2,IDR
2015-01-29,4844.4,4879.31,4799.47,4827.25,IDR
2015-01-30,4824.9,4867.48,4700.84,4722.45,IDR
2015-02-02,4725.35,4758.86,4646.1,4651.47,IDR
2015-02-03,4644.26,4707.58,4620.43,4696.24,IDR
2015-02-04,4675.32,4690.47,4590.59,4604.64,IDR
2015-02-05,4602.48,4640.87,4571.78,4601.84,IDR
2015-02-06,4600.09,4602.98,4527.86,4533.51,IDR
2015-02-09,4537.45,4576.2,4519.95,4566.3,IDR
2015-02-10,4565.14,4575.18,4461.42,4471.12,IDR
2015-02-11,4471.21,4487.84,4407.99,4431.4,IDR
2015-02-12,4442.82,4542.95,4441.74,4534.74,IDR
