Date,Open,High,Low,Close,Currency
2015-01-01,23.77,23.88,23.77,23.84,INR
2015-01-02,23.86,23.9,23.35,23.49,INR
2015-01-05,23.48,23.56,23.19,23.41,INR
2015-01-06,23.41,23.62,23.33,23.55,INR
2015-01-07,23.53,23.66,23.35,23.58,INR
2015-01-08,23.57,23.59,23.18,23.54,INR
2015-01-09,23.46,23.74,23.3,23.71,INR
2015-01-12,23.7,23.71,23.2,23.22,INR
2015-01-13,23.22,23.59,23.13,23.45,INR
2015-01-14,23.48,23.84,23.42,23.74,INR
2015-01-15,23.65,23.92,23.46,23.49,INR
2015-01-16,23.48,23.66,23.37,23.61,INR
2015-01-19,23.51,23.58,23.13,23.25,INR
2015-01-20,23.23,23.64,23.23,23.59,INR
2015-01-21,23.57,23.81,23.53,23.67,INR
2015-01-22,23.69,24.17,23.64,23.93,INR
2015-01-23,23.86,23.94,23.67,23.82,INR
2015-01-26,23.8,23.84,23.57,23.8,INR
2015-01-27,23.79,23.92,23.62,23.87,INR
2015-01-28,23.9,23.93,23.67,23.81,INR
2015-01-29,23.8,24.0,23.64,23.74,INR
2015-01-30,23.73,23.83,23.01,23.12,INR
2015-02-02,23.1,23.2,22.59,22.63,INR
2015-02-03,22.62,22.91,22.58,22.86,INR
2015-02-04,22.85,22.97,22.46,22.56,INR
2015-02-05,22.55,22.7,22.35,22.48,INR
2015-02-06,22.47,22.52,22.2,22.27,INR
2015-02-09,22.29,22.49,22.19,22.44,INR
2015-02-10,22.42,22.44,21.93,21.99,INR
2015-02-11,21.98,22.01,21.65,21.74,INR
2015-02-12,21.73,22.05,21.62,22.03,INR
2015-02-13,22.02,22.07,21.74,21.9,INR
2015-02-16,21.9,21.96,21.88,21.91,INR
2015-02-17,21.9,22.01,21.9,21.97,INR
2015-02-18,21.96,22.04,21.83,21.87,INR
2015-02-19,21.86,21.88,21.62,21.68,INR
2015-02-20,21.67,21.81,21.56,21.66,INR
2015-02-23,21.7,21.73,21.4,21.59,INR
2015-02-24,21.59,21.99,21.51,21.94,INR
2015-02-25,21.94,21.95,21.43,21.52,INR
2015-02-26,21.51,21.72,21.21,21.22,INR
2015-02-27,21.22,21.73,21.15,21.72,INR
2015-03-02,21.73,21.83,21.33,21.36,INR
2015-03-03,21.35,21.4,21.05,21.09,INR
2015-03-04,21.08,21.25,20.77,20.93,INR
2015-03-05,20.92,20.95,20.63,20.77,INR
2015-03-06,20.76,20.93,20.32,20.4,INR
2015-03-09,20.39,20.5,20.0,20.06,INR
2015-03-10,20.05,20.31,19.79,20.22,INR
2015-03-11,20.21,20.36,19.97,20.09,INR
2015-03-12,20.08,20.31,19.7,19.75,INR
2015-03-13,19.74,19.83,19.21,19.42,INR
2015-03-16,19.41,19.59,19.24,19.34,INR
2015-03-17,19.32,19.43,19.08,19.33,INR
2015-03-18,19.32,19.66,19.11,19.53,INR
2015-03-19,19.52,19.53,18.89,18.98,INR
2015-03-20,18.97,19.5,18.81,19.33,INR
2015-03-23,19.31,19.88,19.25,19.87,INR
2015-03-24,19.86,20.14,19.66,19.86,INR
2015-03-25,19.85,20.02,19.47,19.5,INR
2015-03-26,19.49,19.79,19.44,19.74,INR
2015-03-27,19.74,19.75,19.23,19.24,INR
2015-03-30,19.23,19.49,19.03,19.35,INR
2015-03-31,19.34,19.74,19.12,19.49,INR
2015-04-01,19.48,19.89,19.47,19.63,INR
2015-04-02,19.62,19.92,19.52,19.89,INR
2015-04-03,19.88,19.92,19.84,19.85,INR
2015-04-06,19.83,20.19,19.83,19.9,INR
2015-04-07,19.89,20.03,19.79,19.91,INR
2015-04-08,19.9,20.42,19.87,20.4,INR
2015-04-09,20.38,20.55,20.23,20.37,INR
2015-04-10,20.35,20.41,20.12,20.25,INR
2015-04-13,20.21,20.34,19.94,19.99,INR
2015-04-14,19.97,20.39,19.94,20.33,INR
2015-04-15,20.32,20.61,20.16,20.58,INR
2015-04-16,20.57,20.78,20.48,20.62,INR
2015-04-17,20.61,20.76,20.34,20.57,INR
2015-04-20,20.56,20.89,20.54,20.82,INR
2015-04-21,20.81,20.82,20.68,20.72,INR
2015-04-22,20.72,21.02,20.67,20.91,INR
2015-04-23,20.9,21.32,20.88,21.3,INR
2015-04-24,21.29,21.58,21.23,21.57,INR
2015-04-27,21.57,21.86,21.46,21.72,INR
2015-04-28,21.7,21.91,21.4,21.47,INR
2015-04-29,21.47,21.76,21.4,21.43,INR
2015-04-30,21.41,21.54,21.02,21.07,INR
2015-05-01,21.06,21.14,21.04,21.14,INR
2015-05-04,21.11,21.15,20.52,20.58,INR
2015-05-05,20.59,20.83,20.51,20.75,INR
2015-05-06,20.74,21.03,20.66,20.97,INR
2015-05-07,20.96,21.28,20.92,21.17,INR
2015-05-08,21.17,21.43,21.01,21.43,INR
2015-05-11,21.4,21.51,20.89,20.91,INR
2015-05-12,20.89,21.33,20.88,21.24,INR
2015-05-13,21.23,21.45,21.0,21.05,INR
2015-05-14,21.04,21.26,20.91,21.17,INR
2015-05-15,21.17,21.37,21.09,21.17,INR
2015-05-18,21.16,21.28,21.0,21.18,INR
2015-05-19,21.17,21.21,20.93,20.98,INR
2015-05-20,20.97,21.23,20.91,21.18,INR
2015-05-21,21.17,21.22,20.85,20.93,INR
2015-05-22,20.91,21.0,20.47,20.51,INR
2015-05-25,20.51,20.57,20.27,20.5,INR
2015-05-26,20.49,20.65,20.24,20.29,INR
2015-05-27,20.28,20.36,20.06,20.32,INR
2015-05-28,20.31,20.36,20.01,20.16,INR
2015-05-29,20.15,20.32,19.93,20.05,INR
2015-06-01,20.03,20.14,19.81,20.05,INR
2015-06-02,20.04,20.38,20.01,20.34,INR
2015-06-03,20.33,20.62,20.3,20.43,INR
2015-06-04,20.41,20.49,20.29,20.36,INR
2015-06-05,20.35,20.52,19.99,20.28,INR
2015-06-08,20.27,20.62,20.26,20.54,INR
2015-06-09,20.53,20.7,20.45,20.67,INR
2015-06-10,20.66,20.86,20.43,20.45,INR
2015-06-11,20.44,20.71,20.16,20.7,INR
2015-06-12,20.69,20.76,20.48,20.54,INR
2015-06-15,20.54,20.72,20.41,20.49,INR
2015-06-16,20.47,20.82,20.45,20.77,INR
