Date,Open,High,Low,Close,Currency
2015-01-01,45.023,45.106,45.011,45.076,JPY
2015-01-02,45.064,45.357,44.439,44.729,JPY
2015-01-05,44.696,44.773,43.785,44.204,JPY
2015-01-06,44.187,44.213,43.695,43.852,JPY
2015-01-07,43.842,44.636,43.824,44.44,JPY
2015-01-08,44.423,44.971,44.236,44.934,JPY
2015-01-09,44.914,45.241,44.572,45.067,JPY
2015-01-12,45.052,45.373,44.198,44.269,JPY
2015-01-13,44.259,45.048,44.031,44.62,JPY
2015-01-14,44.611,44.895,44.078,44.853,JPY
2015-01-15,44.847,45.107,43.93,43.965,JPY
2015-01-16,43.938,44.966,43.813,44.885,JPY
2015-01-19,44.86,44.897,44.123,44.337,JPY
2015-01-20,44.318,45.504,44.311,45.455,JPY
2015-01-21,45.439,45.487,44.859,45.359,JPY
2015-01-22,45.34,46.15,45.202,46.025,JPY
2015-01-23,46.003,46.166,45.373,45.654,JPY
2015-01-26,45.626,45.882,45.304,45.852,JPY
2015-01-27,45.845,45.935,45.386,45.824,JPY
2015-01-28,45.808,45.984,45.426,45.625,JPY
2015-01-29,45.604,45.846,45.166,45.436,JPY
2015-01-30,45.423,45.506,43.61,43.787,JPY
2015-02-02,43.769,44.134,42.925,43.121,JPY
2015-02-03,43.107,43.71,42.836,43.633,JPY
2015-02-04,43.618,43.79,42.688,42.773,JPY
2015-02-05,42.764,43.121,42.501,42.816,JPY
2015-02-06,42.799,43.072,42.347,42.761,JPY
2015-02-09,42.809,42.909,42.408,42.834,JPY
2015-02-10,42.811,42.977,41.983,42.137,JPY
2015-02-11,42.123,42.308,41.68,41.984,JPY
2015-02-12,41.972,42.226,41.404,42.221,JPY
2015-02-13,42.212,42.267,41.642,41.895,JPY
2015-02-16,41.872,41.934,41.667,41.8,JPY
2015-02-17,41.773,42.21,41.755,42.151,JPY
2015-02-18,42.126,42.211,41.756,41.866,JPY
2015-02-19,41.848,41.913,41.408,41.495,JPY
2015-02-20,41.487,41.608,41.016,41.502,JPY
2015-02-23,41.478,41.605,40.99,41.273,JPY
2015-02-24,41.268,42.075,41.247,41.998,JPY
2015-02-25,41.983,42.017,41.208,41.343,JPY
