Date,Open,High,Low,Close,Currency
2015-01-01,3.3987,3.4134,3.3935,3.4107,MAD
2015-01-02,3.4044,3.4339,3.3456,3.387,MAD
2015-01-05,3.3806,3.4103,3.3527,3.3876,MAD
2015-01-06,3.3814,3.4178,3.3556,3.4121,MAD
2015-01-07,3.4026,3.4597,3.3908,3.4417,MAD
2015-01-08,3.4355,3.4878,3.4139,3.479,MAD
2015-01-09,3.4633,3.5244,3.4378,3.5093,MAD
2015-01-12,3.4966,3.5333,3.4357,3.4505,MAD
2015-01-13,3.4416,3.5331,3.4302,3.5119,MAD
2015-01-14,3.5093,3.5591,3.4799,3.5435,MAD
2015-01-15,3.5419,3.5991,3.519,3.5406,MAD
2015-01-16,3.5289,3.6065,3.5214,3.5846,MAD
2015-01-19,3.5722,3.5931,3.5047,3.5388,MAD
2015-01-20,3.537,3.6135,3.5152,3.604,MAD
2015-01-21,3.6012,3.629,3.5721,3.6071,MAD
2015-01-22,3.6005,3.7206,3.5798,3.7057,MAD
2015-01-23,3.6987,3.7683,3.6814,3.7397,MAD
2015-01-26,3.7332,3.7568,3.6699,3.7266,MAD
2015-01-27,3.7202,3.7305,3.6714,3.7053,MAD
2015-01-28,3.7024,3.7313,3.6658,3.7235,MAD
2015-01-29,3.7164,3.7306,3.6401,3.6762,MAD
2015-01-30,3.6725,3.6841,3.5402,3.5735,MAD
2015-02-02,3.5598,3.5922,3.4829,3.5046,MAD
2015-02-03,3.4977,3.54,3.4696,3.513,MAD
2015-02-04,3.5065,3.5284,3.4409,3.4848,MAD
2015-02-05,3.4703,3.495,3.4226,3.4485,MAD
2015-02-06,3.4454,3.4795,3.4049,3.4348,MAD
2015-02-09,3.428,3.4653,3.4011,3.458,MAD
2015-02-10,3.4498,3.4645,3.3515,3.3755,MAD
2015-02-11,3.3725,3.3806,3.3107,3.3313,MAD
2015-02-12,3.3289,3.3893,3.3008,3.3682,MAD
2015-02-13,3.3576,3.382,3.3108,3.354,MAD
2015-02-16,3.35,3.3841,3.3326,3.3634,MAD
2015-02-17,3.3585,3.3815,3.3333,3.3582,MAD
2015-02-18,3.3413,3.3857,3.3312,3.3469,MAD
2015-02-19,3.3337,3.3566,3.2998,3.3237,MAD
2015-02-20,3.3221,3.3538,3.2832,3.319,MAD
2015-02-23,3.305,3.3381,3.2809,3.3167,MAD
2015-02-24,3.3149,3.3778,3.2967,3.3683,MAD
2015-02-25,3.3579,3.3785,3.2884,3.3146,MAD
2015-02-26,3.3114,3.3567,3.2962,3.3137,MAD
2015-02-27,3.3006,3.3979,3.2781,3.3966,MAD
2015-03-02,3.3827,3.4049,3.316,3.339,MAD
2015-03-03,3.326,3.3454,3.2798,3.302,MAD
2015-03-04,3.2903,3.3247,3.22,3.2616,MAD
2015-03-05,3.2465,3.2828,3.2203,3.247,MAD
2015-03-06,3.2445,3.2912,3.2029,3.2209,MAD
2015-03-09,3.2171,3.234,3.1452,3.1639,MAD
2015-03-10,3.1619,3.2302,3.133,3.2204,MAD
2015-03-11,3.2184,3.2671,3.1875,3.2321,MAD
2015-03-12,3.2305,3.254,3.1565,3.1704,MAD
2015-03-13,3.1673,3.1774,3.0815,3.1212,MAD
2015-03-16,3.1166,3.1472,3.0913,3.1066,MAD
2015-03-17,3.1024,3.1222,3.0523,3.1064,MAD
2015-03-18,3.1041,3.1294,3.0467,3.0703,MAD
2015-03-19,3.0603,3.0985,3.0261,3.0433,MAD
2015-03-20,3.0407,3.0982,2.9967,3.0659,MAD
2015-03-23,3.0558,3.134,3.0322,3.1321,MAD
2015-03-24,3.1303,3.1616,3.0934,3.1296,MAD
2015-03-25,3.1278,3.1412,3.0488,3.0591,MAD
2015-03-26,3.0566,3.108,3.0259,3.0961,MAD
2015-03-27,3.0946,3.1183,3.0204,3.0304,MAD
2015-03-30,3.0282,3.0904,2.9923,3.0614,MAD
2015-03-31,3.0517,3.146,3.0367,3.1173,MAD
2015-04-01,3.1152,3.1726,3.0964,3.1398,MAD
2015-04-02,3.1346,3.1592,3.0993,3.1578,MAD
2015-04-03,3.1559,3.1662,3.1126,3.1315,MAD
2015-04-06,3.1198,3.1745,3.1137,3.1428,MAD
2015-04-07,3.1402,3.18,3.1161,3.1648,MAD
2015-04-08,3.162,3.2599,3.132,3.2555,MAD
2015-04-09,3.2532,3.3037,3.2386,3.2743,MAD
2015-04-10,3.2713,3.2952,3.2384,3.2704,MAD
2015-04-13,3.2675,3.2847,3.2075,3.2283,MAD
2015-04-14,3.2265,3.2799,3.209,3.2717,MAD
2015-04-15,3.2681,3.3072,3.2412,3.3026,MAD
2015-04-16,3.2992,3.3214,3.274,3.2939,MAD
2015-04-17,3.2908,3.3112,3.2281,3.2649,MAD
2015-04-20,3.2618,3.2996,3.2534,3.2855,MAD
2015-04-21,3.2824,3.3059,3.2715,3.2848,MAD
2015-04-22,3.2824,3.3282,3.2649,3.3093,MAD
2015-04-23,3.3037,3.3388,3.27,3.3358,MAD
2015-04-24,3.3321,3.3567,3.2973,3.3483,MAD
2015-04-27,3.3399,3.4067,3.3274,3.3864,MAD
2015-04-28,3.3804,3.4202,3.3309,3.346,MAD
2015-04-29,3.3418,3.3614,3.2824,3.2908,MAD
2015-04-30,3.2853,3.3056,3.2069,3.2163,MAD
2015-05-01,3.212,3.2243,3.1916,3.2196,MAD
2015-05-04,3.2109,3.2346,3.1398,3.1548,MAD
2015-05-05,3.1502,3.1961,3.1321,3.1818,MAD
2015-05-06,3.1781,3.1923,3.137,3.1734,MAD
2015-05-07,3.17,3.2088,3.1497,3.1966,MAD
2015-05-08,3.1936,3.2653,3.1758,3.2653,MAD
2015-05-11,3.2568,3.2745,3.1682,3.1788,MAD
2015-05-12,3.1699,3.2205,3.1393,3.2093,MAD
2015-05-13,3.1991,3.2439,3.153,3.1636,MAD
2015-05-14,3.1619,3.218,3.1404,3.2062,MAD
2015-05-15,3.1938,3.2291,3.1805,3.193,MAD
2015-05-18,3.1872,3.214,3.169,3.203,MAD
2015-05-19,3.1983,3.2374,3.186,3.2029,MAD
2015-05-20,3.1993,3.253,3.1898,3.2499,MAD
2015-05-21,3.2455,3.2523,3.1888,3.2091,MAD
2015-05-22,3.2038,3.2204,3.1498,3.1665,MAD
2015-05-25,3.151,3.1815,3.1246,3.1717,MAD
2015-05-26,3.1676,3.1915,3.1204,3.1302,MAD
2015-05-27,3.128,3.1418,3.094,3.1397,MAD
2015-05-28,3.1358,3.1441,3.0822,3.1081,MAD
2015-05-29,3.1047,3.1369,3.0675,3.0922,MAD
2015-06-01,3.0806,3.1264,3.0568,3.1027,MAD
2015-06-02,3.1012,3.1188,3.0771,3.107,MAD
2015-06-03,3.1018,3.1265,3.0666,3.0804,MAD
2015-06-04,3.0814,3.0979,3.05,3.0816,MAD
2015-06-05,3.0713,3.1409,3.0555,3.1008,MAD
2015-06-08,3.0941,3.1311,3.0757,3.1109,MAD
2015-06-09,3.0916,3.1334,3.0799,3.119,MAD
2015-06-10,3.1152,3.1549,3.0791,3.09,MAD
2015-06-11,3.0866,3.1312,3.0467,3.1303,MAD
2015-06-12,3.1262,3.1495,3.0833,3.0978,MAD
2015-06-15,3.0983,3.133,3.0733,3.0887,MAD
2015-06-16,3.0829,3.1418,3.0719,3.13,MAD
2015-06-17,3.1248,3.1646,3.1037,3.1495,MAD
2015-06-18,3.1465,3.1691,3.1227,3.1425,MAD
2015-06-19,3.1406,3.1589,3.0978,3.1062,MAD
2015-06-22,3.1018,3.145,3.09,3.1299,MAD
2015-06-23,3.1206,3.1613,3.106,3.1598,MAD
2015-06-24,3.1562,3.1681,3.1137,3.1309,MAD
2015-06-25,3.1176,3.1513,3.0834,3.1012,MAD
2015-06-26,3.0943,3.1204,3.0755,3.1025,MAD
2015-06-29,3.0993,3.1332,3.0764,3.1052,MAD
2015-06-30,3.1023,3.1663,3.0868,3.1403,MAD
2015-07-01,3.13,3.1527,3.0929,3.1025,MAD
2015-07-02,3.0981,3.1585,3.0791,3.1502,MAD
2015-07-03,3.1454,3.1527,3.0969,3.1097,MAD
2015-07-06,3.1078,3.1335,3.0918,3.1179,MAD
2015-07-07,3.1124,3.1242,3.0607,3.0762,MAD
2015-07-08,3.0731,3.0857,3.006,3.0195,MAD
2015-07-09,3.016,3.0534,3.0006,3.0401,MAD
2015-07-10,3.0343,3.0885,2.9958,3.0821,MAD
2015-07-13,3.0735,3.1412,3.0599,3.1336,MAD
2015-07-14,3.1251,3.1553,3.1046,3.1265,MAD
2015-07-15,3.116,3.144,3.0978,3.134,MAD
2015-07-16,3.1311,3.1586,3.1201,3.1278,MAD
2015-07-17,3.1252,3.1332,3.086,3.1073,MAD
2015-07-20,3.1,3.1139,3.061,3.099,MAD
2015-07-21,3.0903,3.1149,3.08,3.1057,MAD
2015-07-22,3.1029,3.1138,3.0437,3.0583,MAD
2015-07-23,3.0491,3.0614,2.9657,2.9901,MAD
2015-07-24,2.9871,3.0068,2.92,2.9295,MAD
