Date,Open,High,Low,Close,Currency
2015-01-01,4.3462,4.3697,4.3462,4.3697,NAD
2015-01-02,4.3697,4.3811,4.3188,4.3412,NAD
2015-01-04,4.3419,4.342,4.3419,4.342,NAD
2015-01-05,4.342,4.3712,4.2824,4.3228,NAD
2015-01-06,4.3268,4.3585,4.2985,4.3271,NAD
2015-01-07,4.3335,4.3864,4.3223,4.3522,NAD
2015-01-08,4.3516,4.3733,4.3037,4.3602,NAD
2015-01-09,4.3633,4.4022,4.3366,4.3633,NAD
2015-01-11,4.3688,4.3692,4.3688,4.3692,NAD
2015-01-12,4.3692,4.3919,4.3034,4.3034,NAD
2015-01-13,4.3051,4.3779,4.2725,4.357,NAD
2015-01-14,4.3606,4.4223,4.3468,4.3769,NAD
2015-01-15,4.3739,4.4336,4.356,4.356,NAD
2015-01-16,4.3602,4.4242,4.3595,4.4045,NAD
2015-01-18,4.4065,4.4065,4.4052,4.4052,NAD
2015-01-19,4.4052,4.4436,4.3709,4.3925,NAD
2015-01-20,4.3915,4.4547,4.3906,4.4342,NAD
2015-01-21,4.433,4.4931,4.433,4.4385,NAD
2015-01-22,4.4374,4.503,4.4273,4.4273,NAD
2015-01-23,4.4323,4.5729,4.4061,4.4156,NAD
2015-01-25,4.4232,4.4232,4.4232,4.4232,NAD
2015-01-26,4.405,4.4392,4.3602,4.4303,NAD
2015-01-27,4.4341,4.5069,4.4082,4.4945,NAD
2015-01-28,4.5009,4.5023,4.4594,4.4768,NAD
2015-01-29,4.4749,4.5147,4.4245,4.434,NAD
2015-01-30,4.4398,4.4704,4.3057,4.3431,NAD
2015-02-01,4.3389,4.3389,4.3371,4.3371,NAD
2015-02-02,4.3371,4.3629,4.2142,4.2168,NAD
2015-02-03,4.2186,4.2797,4.203,4.2276,NAD
2015-02-04,4.227,4.2329,4.1644,4.1861,NAD
2015-02-05,4.187,4.2347,4.1087,4.1087,NAD
2015-02-06,4.1091,4.1574,4.0619,4.1429,NAD
2015-02-08,4.1429,4.1429,4.1429,4.1429,NAD
2015-02-09,4.1429,4.1917,4.0957,4.1846,NAD
2015-02-10,4.1844,4.1844,4.0994,4.1249,NAD
2015-02-11,4.124,4.1467,4.0365,4.1302,NAD
2015-02-12,4.1302,4.1749,4.0943,4.1509,NAD
2015-02-13,4.1517,4.1755,4.1027,4.1113,NAD
2015-02-15,4.1081,4.1081,4.1067,4.1067,NAD
2015-02-16,4.1067,4.1612,4.0996,4.108,NAD
2015-02-17,4.1081,4.14,4.1036,4.1122,NAD
2015-02-18,4.1142,4.1383,4.1011,4.1166,NAD
2015-02-19,4.1163,4.1163,4.0453,4.0744,NAD
2015-02-20,4.0742,4.0748,4.0287,4.0491,NAD
2015-02-22,4.0519,4.0519,4.0501,4.0501,NAD
2015-02-23,4.0501,4.0737,4.004,4.0468,NAD
2015-02-24,4.0477,4.0887,4.025,4.0414,NAD
2015-02-25,4.0465,4.0894,3.9684,3.9879,NAD
2015-02-26,3.9878,4.0181,3.9489,3.9683,NAD
2015-02-27,3.9607,4.1147,3.9599,4.1147,NAD
2015-03-01,4.1141,4.1141,4.1101,4.1101,NAD
2015-03-02,4.1101,4.1105,4.0571,4.0631,NAD
2015-03-03,4.0673,4.0698,4.0063,4.0156,NAD
2015-03-04,4.0131,4.0157,3.9302,3.9612,NAD
2015-03-05,3.9612,3.9773,3.958,3.958,NAD
2015-03-06,3.9483,3.9483,3.9483,3.9483,NAD
2015-03-08,3.9325,3.9325,3.9325,3.9325,NAD
2015-03-09,3.9321,3.9321,3.9321,3.9321,NAD
2015-03-10,3.8671,3.8671,3.8671,3.8671,NAD
2015-03-11,3.9737,3.9737,3.9737,3.9737,NAD
2015-03-12,3.9129,3.9129,3.9129,3.9129,NAD
2015-03-13,3.8776,3.8776,3.8776,3.8776,NAD
2015-03-15,3.8386,3.8386,3.8386,3.8386,NAD
2015-03-16,3.8383,3.8383,3.8383,3.8383,NAD
2015-03-17,3.8194,3.8194,3.8194,3.8194,NAD
2015-03-18,3.8031,3.8031,3.8031,3.8031,NAD
2015-03-19,3.8239,3.8239,3.8239,3.8239,NAD
2015-03-20,3.7429,3.7429,3.7429,3.7429,NAD
2015-03-22,3.7218,3.7218,3.7218,3.7218,NAD
2015-03-23,3.7218,3.7218,3.7218,3.7218,NAD
2015-03-24,3.7996,3.7996,3.7996,3.7996,NAD
2015-03-25,3.7581,3.7581,3.7581,3.7581,NAD
2015-03-26,3.702,3.702,3.702,3.702,NAD
2015-03-27,3.7621,3.7621,3.7621,3.7621,NAD
2015-03-29,3.698,3.698,3.698,3.698,NAD
2015-03-30,3.6997,3.6997,3.6997,3.6997,NAD
2015-03-31,3.7573,3.7573,3.7573,3.7573,NAD
2015-04-01,3.828,3.828,3.828,3.828,NAD
2015-04-02,3.7816,3.7816,3.7816,3.7816,NAD
2015-04-03,3.8263,3.8263,3.8263,3.8263,NAD
2015-04-05,3.8017,3.8017,3.8017,3.8017,NAD
2015-04-06,3.7949,3.7949,3.7949,3.7949,NAD
2015-04-07,3.7709,3.8054,3.7474,3.7851,NAD
2015-04-08,3.7906,3.8791,3.7669,3.8791,NAD
2015-04-09,3.8755,3.9246,3.8602,3.906,NAD
2015-04-10,3.9064,3.9293,3.878,3.8959,NAD
2015-04-12,3.8974,3.8974,3.8969,3.8969,NAD
2015-04-13,3.8969,3.9572,3.8687,3.8881,NAD
2015-04-14,3.8906,3.9406,3.8756,3.917,NAD
2015-04-15,3.9141,4.0061,3.9073,3.989,NAD
2015-04-16,3.9855,3.9984,3.9525,3.9583,NAD
2015-04-17,3.9611,3.9725,3.9036,3.9641,NAD
2015-04-19,3.968,3.968,3.9271,3.9271,NAD
2015-04-20,3.9271,4.0187,3.9256,4.0086,NAD
2015-04-21,4.0028,4.0053,3.9666,4.0053,NAD
2015-04-22,4.0053,4.0838,3.9735,4.055,NAD
2015-04-23,4.0622,4.1022,4.0352,4.088,NAD
2015-04-24,4.0845,4.1121,4.0808,4.1005,NAD
2015-04-26,4.104,4.1153,4.1026,4.1153,NAD
2015-04-27,4.1153,4.1586,4.0912,4.1135,NAD
2015-04-28,4.1141,4.1374,4.0192,4.0255,NAD
2015-04-29,4.0226,4.0739,3.9729,3.9852,NAD
2015-04-30,3.9813,4.0127,3.9442,3.952,NAD
2015-05-01,3.9488,4.0073,3.8447,4.0073,NAD
2015-05-03,4.0037,4.0037,4.0019,4.0019,NAD
2015-05-04,4.0019,4.0019,3.8951,3.9062,NAD
2015-05-05,3.9072,3.9406,3.8919,3.922,NAD
2015-05-06,3.9227,3.9716,3.9092,3.9589,NAD
2015-05-07,3.9608,3.9957,3.932,3.9785,NAD
2015-05-08,3.9804,4.0202,3.9614,4.0028,NAD
2015-05-10,4.0108,4.0108,4.0085,4.0085,NAD
2015-05-11,4.0085,4.0557,3.93,3.93,NAD
2015-05-12,3.9314,4.0203,3.9211,3.9926,NAD
2015-05-13,3.9886,4.027,3.9286,3.9374,NAD
2015-05-14,3.9326,3.9733,3.8976,3.9653,NAD
2015-05-15,3.9676,3.9976,3.9284,3.9284,NAD
2015-05-17,3.9311,3.9314,3.9311,3.9314,NAD
2015-05-18,3.9314,3.9549,3.9077,3.9549,NAD
2015-05-19,3.9511,3.9695,3.8924,3.93,NAD
2015-05-20,3.9274,3.9614,3.9118,3.9399,NAD
2015-05-21,3.9364,3.9744,3.8823,3.8938,NAD
2015-05-22,3.8944,3.9022,3.8323,3.8391,NAD
2015-05-24,3.8448,3.8448,3.8429,3.8429,NAD
2015-05-25,3.8429,3.8788,3.8123,3.8573,NAD
2015-05-26,3.8561,3.861,3.6292,3.6376,NAD
2015-05-27,3.633,3.8415,3.633,3.8284,NAD
2015-05-28,3.8293,3.8526,3.799,3.8339,NAD
2015-05-29,3.8393,3.8638,3.8035,3.8152,NAD
2015-05-31,3.8246,3.8246,3.8214,3.8214,NAD
2015-06-01,3.8214,3.8848,3.8108,3.8661,NAD
2015-06-02,3.8699,3.9196,3.8603,3.8939,NAD
2015-06-03,3.895,3.9635,3.8709,3.9201,NAD
2015-06-04,3.9148,3.9491,3.8634,3.9387,NAD
2015-06-05,3.938,4.0083,3.8979,3.9918,NAD
2015-06-07,3.9918,4.0055,3.9918,4.0055,NAD
2015-06-08,4.0055,4.0471,3.9914,4.0211,NAD
2015-06-09,4.0213,4.038,3.9851,4.0172,NAD
2015-06-10,4.0189,4.0289,3.9405,3.9583,NAD
2015-06-11,3.9583,3.9883,3.9186,3.9883,NAD
2015-06-12,3.988,4.0282,3.9689,3.9689,NAD
2015-06-14,3.9706,3.9706,3.9706,3.9706,NAD
2015-06-15,3.9706,4.0108,3.9593,3.9681,NAD
2015-06-16,3.9653,4.0158,3.9528,4.0063,NAD
2015-06-17,4.0058,4.0596,3.994,4.0374,NAD
2015-06-18,4.0407,4.0407,3.9719,3.9719,NAD
2015-06-19,3.9735,4.0098,3.9206,3.9285,NAD
2015-06-21,3.9276,3.9405,3.9276,3.9405,NAD
2015-06-22,3.9405,3.9543,3.915,3.9295,NAD
2015-06-23,3.9249,3.9611,3.9024,3.9611,NAD
2015-06-24,3.9549,3.961,3.91,3.922,NAD
2015-06-25,3.9213,3.927,3.8636,3.8674,NAD
2015-06-26,3.8716,3.9209,3.8605,3.8993,NAD
2015-06-28,3.9001,3.9001,3.9001,3.9001,NAD
2015-06-29,3.9001,3.9525,3.8739,3.9234,NAD
2015-06-30,3.9215,3.9656,3.8694,3.9144,NAD
2015-07-01,3.9144,3.9643,3.8878,3.8878,NAD
2015-07-02,3.89,3.9779,3.8771,3.9779,NAD
2015-07-03,3.9779,3.9785,3.916,3.9249,NAD
2015-07-05,3.9229,3.9244,3.9229,3.9244,NAD
2015-07-06,3.9244,3.9604,3.9079,3.9485,NAD
2015-07-07,3.9507,3.9589,3.8982,3.9106,NAD
2015-07-08,3.9091,3.9219,3.856,3.856,NAD
2015-07-09,3.8574,3.8931,3.8429,3.8738,NAD
2015-07-10,3.8763,3.9477,3.8426,3.9391,NAD
2015-07-12,3.9448,3.9448,3.9423,3.9423,NAD
2015-07-13,3.9423,3.9776,3.93,3.9685,NAD
2015-07-14,3.9682,4.0167,3.9232,3.9315,NAD
2015-07-15,3.925,3.9683,3.9061,3.9589,NAD
2015-07-16,3.9563,3.9708,3.9196,3.9229,NAD
2015-07-17,3.928,3.9319,3.8589,3.8679,NAD
2015-07-19,3.8751,3.8858,3.8745,3.8858,NAD
2015-07-20,3.8858,3.8981,3.8858,3.8907,NAD
2015-07-21,3.8913,3.9052,3.8775,3.8838,NAD
2015-07-22,3.8829,3.8856,3.8285,3.8546,NAD
2015-07-23,3.8499,3.8574,3.7658,3.7759,NAD
2015-07-24,3.7805,3.8369,3.7635,3.7723,NAD
2015-07-26,3.7683,3.7683,3.7655,3.7655,NAD
2015-07-27,3.7655,3.7703,3.7335,3.7537,NAD
2015-07-28,3.75,3.7533,3.6679,3.744,NAD
2015-07-29,3.7431,3.7726,3.7182,3.7615,NAD
2015-07-30,3.7685,3.8159,3.7579,3.77,NAD
2015-07-31,3.7698,3.8079,3.6991,3.7072,NAD
2015-08-02,3.7048,3.7048,3.7044,3.7044,NAD
2015-08-03,3.7044,3.7317,3.6716,3.6719,NAD
2015-08-04,3.6757,3.7043,3.63,3.6732,NAD
2015-08-05,3.6715,3.7019,3.6535,3.6628,NAD
2015-08-06,3.6646,3.6646,3.5771,3.5989,NAD
2015-08-07,3.5981,3.6337,3.558,3.6056,NAD
2015-08-09,3.6018,3.6037,3.6018,3.6037,NAD
2015-08-10,3.6037,3.6891,3.6037,3.6781,NAD
2015-08-11,3.6781,3.6998,3.6211,3.6817,NAD
2015-08-12,3.6853,3.704,3.6435,3.669,NAD
2015-08-13,3.6709,3.6799,3.6294,3.6372,NAD
2015-08-14,3.639,3.7251,3.6152,3.6788,NAD
2015-08-16,3.6763,3.6763,3.6751,3.6751,NAD
2015-08-17,3.6751,3.7318,3.6751,3.7128,NAD
2015-08-18,3.7126,3.7332,3.6832,3.7237,NAD
2015-08-19,3.7198,3.7329,3.6628,3.6628,NAD
2015-08-20,3.6628,3.7644,3.6585,3.7468,NAD
2015-08-21,3.7506,3.7506,3.687,3.6975,NAD
2015-08-23,3.6924,3.6924,3.6921,3.6921,NAD
2015-08-24,3.6921,3.7753,3.6408,3.7247,NAD
2015-08-25,3.7249,3.7257,3.6032,3.6032,NAD
2015-08-26,3.6076,3.6563,3.5891,3.6475,NAD
2015-08-27,3.6463,3.6937,3.6375,3.6849,NAD
2015-08-28,3.6811,3.7239,3.6703,3.6853,NAD
2015-08-30,3.6879,3.6879,3.6879,3.6879,NAD
2015-08-31,3.6879,3.7232,3.6245,3.684,NAD
2015-09-01,3.6825,3.6825,3.6015,3.6103,NAD
2015-09-02,3.6,3.6477,3.575,3.5907,NAD
2015-09-03,3.5887,3.6667,3.5638,3.6667,NAD
2015-09-04,3.6667,3.6693,3.5274,3.5463,NAD
2015-09-06,3.5433,3.5433,3.5433,3.5433,NAD
2015-09-07,3.5433,3.638,3.5385,3.638,NAD
2015-09-08,3.6367,3.654,3.5819,3.5896,NAD
2015-09-09,3.5887,3.6516,3.5717,3.6516,NAD
2015-09-10,3.6487,3.663,3.5407,3.5495,NAD
2015-09-11,3.5544,3.5667,3.4936,3.5016,NAD
2015-09-13,3.5081,3.5081,3.5061,3.5061,NAD
2015-09-14,3.5061,3.5679,3.4779,3.5405,NAD
2015-09-15,3.5394,3.5454,3.466,3.4838,NAD
2015-09-16,3.4842,3.5042,3.4592,3.4668,NAD
2015-09-17,3.4629,3.4978,3.4209,3.4209,NAD
2015-09-18,3.4211,3.4227,3.3537,3.3704,NAD
2015-09-20,3.3662,3.3671,3.3662,3.3671,NAD
2015-09-21,3.3671,3.4071,3.344,3.3806,NAD
2015-09-22,3.3839,3.4179,3.3599,3.3783,NAD
2015-09-23,3.3755,3.4064,3.3128,3.3262,NAD
2015-09-24,3.324,3.5453,3.2632,3.5367,NAD
2015-09-25,3.5407,3.5734,3.4402,3.5105,NAD
2015-09-27,3.504,3.504,3.504,3.504,NAD
2015-09-28,3.504,3.5154,3.422,3.422,NAD
2015-09-29,3.4257,3.4824,3.3637,3.4392,NAD
2015-09-30,3.4445,3.517,3.4075,3.5117,NAD
2015-10-01,3.5107,3.5182,3.4388,3.4793,NAD
2015-10-02,3.4804,3.5144,3.4311,3.5027,NAD
2015-10-04,3.501,3.5016,3.501,3.5016,NAD
2015-10-05,3.5016,3.5204,3.4413,3.4746,NAD
2015-10-06,3.479,3.557,3.472,3.5142,NAD
2015-10-07,3.5348,3.5573,3.4562,3.4643,NAD
2015-10-08,3.4683,3.5342,3.4593,3.514,NAD
2015-10-09,3.5188,3.5756,3.5019,3.5443,NAD
2015-10-11,3.547,3.547,3.5232,3.5232,NAD
2015-10-12,3.5232,3.5343,3.5195,3.5343,NAD
2015-10-13,3.5304,3.5756,3.4588,3.466,NAD
2015-10-14,3.4645,3.5128,3.4475,3.4635,NAD
2015-10-15,3.4693,3.5028,3.3815,3.4398,NAD
