Date,Open,High,Low,Close,Currency
2015-01-01,2.8111,2.8126,2.8029,2.8047,NOK
2015-01-02,2.803,2.8315,2.7774,2.8185,NOK
2015-01-05,2.8167,2.8484,2.7811,2.8223,NOK
2015-01-06,2.8211,2.8699,2.8078,2.8691,NOK
2015-01-07,2.8675,2.9058,2.8415,2.8712,NOK
2015-01-08,2.8699,2.8764,2.8324,2.8624,NOK
2015-01-09,2.8604,2.9174,2.8559,2.9129,NOK
2015-01-12,2.9123,2.9441,2.8823,2.8972,NOK
2015-01-13,2.8967,2.9539,2.8771,2.9355,NOK
2015-01-14,2.9336,2.946,2.9005,2.9134,NOK
2015-01-15,2.9128,2.9672,2.8646,2.8682,NOK
2015-01-16,2.8663,2.9306,2.8659,2.8816,NOK
2015-01-19,2.8832,2.9234,2.8565,2.8748,NOK
2015-01-20,2.8742,2.9453,2.8618,2.9353,NOK
2015-01-21,2.9344,2.9428,2.9041,2.9181,NOK
2015-01-22,2.9166,2.9966,2.908,2.9724,NOK
2015-01-23,2.9705,3.032,2.9606,3.0123,NOK
2015-01-26,3.0126,3.0245,2.9747,3.0216,NOK
2015-01-27,3.0204,3.0283,2.9896,3.0041,NOK
2015-01-28,3.0029,3.041,2.9843,3.0401,NOK
2015-01-29,3.0383,3.0454,2.9843,3.0072,NOK
2015-01-30,3.0054,3.0115,2.8712,2.8808,NOK
2015-02-02,2.8767,2.8919,2.7949,2.8049,NOK
2015-02-03,2.8029,2.826,2.7718,2.789,NOK
2015-02-04,2.7891,2.8073,2.747,2.7727,NOK
2015-02-05,2.7713,2.7868,2.7312,2.738,NOK
2015-02-06,2.736,2.7506,2.704,2.7416,NOK
2015-02-09,2.7385,2.752,2.7137,2.7497,NOK
2015-02-10,2.7477,2.7495,2.6618,2.6748,NOK
2015-02-11,2.6732,2.683,2.6511,2.665,NOK
2015-02-12,2.6641,2.7175,2.6516,2.7076,NOK
2015-02-13,2.7064,2.7194,2.6522,2.6774,NOK
2015-02-16,2.6704,2.6766,2.6557,2.6704,NOK
2015-02-17,2.6686,2.6833,2.6477,2.6561,NOK
2015-02-18,2.6562,2.6702,2.641,2.6529,NOK
2015-02-19,2.6504,2.6711,2.6388,2.6473,NOK
2015-02-20,2.6466,2.6684,2.6062,2.6251,NOK
2015-02-23,2.6222,2.6606,2.6218,2.6461,NOK
2015-02-24,2.6447,2.6844,2.6368,2.6783,NOK
2015-02-25,2.6772,2.6856,2.6184,2.6241,NOK
2015-02-26,2.6228,2.6649,2.6146,2.6332,NOK
2015-02-27,2.6319,2.7027,2.617,2.7,NOK
2015-03-02,2.6982,2.7118,2.6553,2.6578,NOK
2015-03-03,2.6565,2.666,2.6259,2.6316,NOK
2015-03-04,2.6301,2.6478,2.5917,2.6127,NOK
2015-03-05,2.6107,2.6272,2.5587,2.5716,NOK
2015-03-06,2.5701,2.615,2.5581,2.5827,NOK
2015-03-09,2.5781,2.5859,2.5301,2.5398,NOK
2015-03-10,2.539,2.62,2.5293,2.6066,NOK
2015-03-11,2.6057,2.6541,2.5932,2.6258,NOK
2015-03-12,2.6249,2.633,2.5533,2.5592,NOK
2015-03-13,2.5576,2.5678,2.5008,2.5274,NOK
2015-03-16,2.5245,2.5778,2.5155,2.5467,NOK
2015-03-17,2.5438,2.5793,2.5195,2.5659,NOK
2015-03-18,2.5642,2.6049,2.5251,2.5442,NOK
2015-03-19,2.542,2.5866,2.4473,2.4569,NOK
