Date,Open,High,Low,Close,Currency
2015-01-01,0.482,0.4835,0.4812,0.4825,NZD
2015-01-02,0.4823,0.4866,0.4785,0.4817,NZD
2015-01-05,0.4823,0.4871,0.4748,0.4807,NZD
2015-01-06,0.4805,0.481,0.4736,0.4773,NZD
2015-01-07,0.4769,0.4833,0.4752,0.4789,NZD
2015-01-08,0.4787,0.4813,0.4748,0.48,NZD
2015-01-09,0.4795,0.4867,0.4781,0.485,NZD
2015-01-12,0.485,0.49,0.4799,0.4806,NZD
2015-01-13,0.4805,0.4931,0.4792,0.489,NZD
2015-01-14,0.4887,0.4968,0.4879,0.4955,NZD
2015-01-15,0.4955,0.4964,0.4822,0.4838,NZD
2015-01-16,0.4834,0.4919,0.4813,0.4895,NZD
2015-01-19,0.4893,0.4907,0.4819,0.4846,NZD
2015-01-20,0.4844,0.5019,0.4842,0.5009,NZD
2015-01-21,0.5007,0.5098,0.4977,0.5093,NZD
2015-01-22,0.509,0.52,0.5072,0.5177,NZD
2015-01-23,0.5174,0.5218,0.5151,0.5198,NZD
2015-01-26,0.5199,0.5232,0.5146,0.5213,NZD
2015-01-27,0.5211,0.5232,0.5169,0.5218,NZD
2015-01-28,0.5217,0.5308,0.5148,0.5305,NZD
2015-01-29,0.5302,0.5333,0.5257,0.5287,NZD
2015-01-30,0.5283,0.5308,0.5114,0.5134,NZD
2015-02-02,0.5149,0.5166,0.5008,0.502,NZD
2015-02-03,0.5019,0.5136,0.4985,0.5042,NZD
2015-02-04,0.5041,0.5094,0.4918,0.4949,NZD
2015-02-05,0.4944,0.4969,0.4899,0.4926,NZD
2015-02-06,0.4924,0.4958,0.4851,0.4882,NZD
2015-02-09,0.4893,0.4906,0.4814,0.4871,NZD
2015-02-10,0.4868,0.4892,0.4745,0.4766,NZD
2015-02-11,0.4764,0.4773,0.4698,0.4732,NZD
2015-02-12,0.4728,0.4777,0.4703,0.4774,NZD
2015-02-13,0.4771,0.4784,0.4708,0.4732,NZD
2015-02-16,0.4728,0.4736,0.4682,0.4703,NZD
2015-02-17,0.4699,0.4725,0.4675,0.4688,NZD
2015-02-18,0.4686,0.4712,0.4655,0.4678,NZD
2015-02-19,0.4673,0.4695,0.4626,0.464,NZD
2015-02-20,0.4638,0.4653,0.4598,0.4633,NZD
2015-02-23,0.4621,0.4658,0.4582,0.4616,NZD
2015-02-24,0.4615,0.4728,0.4608,0.4712,NZD
2015-02-25,0.4711,0.4724,0.4592,0.4604,NZD
2015-02-26,0.4601,0.4639,0.4555,0.4564,NZD
2015-02-27,0.4561,0.466,0.4525,0.4657,NZD
2015-03-02,0.4635,0.469,0.4591,0.4597,NZD
2015-03-03,0.4595,0.4603,0.4511,0.4518,NZD
2015-03-04,0.4515,0.4525,0.4395,0.4426,NZD
2015-03-05,0.4424,0.4482,0.4419,0.445,NZD
2015-03-06,0.4447,0.4491,0.44,0.4436,NZD
2015-03-09,0.4427,0.4464,0.4328,0.4351,NZD
2015-03-10,0.4345,0.4455,0.4326,0.4431,NZD
2015-03-11,0.4428,0.4496,0.4372,0.4386,NZD
2015-03-12,0.4383,0.4395,0.4259,0.4275,NZD
2015-03-13,0.4272,0.4288,0.416,0.4192,NZD
2015-03-16,0.4195,0.423,0.4163,0.4179,NZD
2015-03-17,0.4173,0.4242,0.4132,0.4225,NZD
2015-03-18,0.4222,0.4252,0.4129,0.4162,NZD
2015-03-19,0.4155,0.4188,0.4089,0.4097,NZD
2015-03-20,0.4093,0.4142,0.4038,0.4092,NZD
2015-03-23,0.4086,0.4172,0.4037,0.4172,NZD
2015-03-24,0.4171,0.422,0.4132,0.4161,NZD
2015-03-25,0.416,0.419,0.4098,0.4107,NZD
2015-03-26,0.4104,0.4158,0.4066,0.4135,NZD
2015-03-27,0.4133,0.4169,0.4058,0.4066,NZD
2015-03-30,0.4057,0.4157,0.4043,0.412,NZD
2015-03-31,0.4115,0.4221,0.4091,0.4189,NZD
2015-04-01,0.4183,0.4285,0.4179,0.4239,NZD
2015-04-02,0.4234,0.428,0.4209,0.4268,NZD
2015-04-03,0.4264,0.4276,0.4196,0.4209,NZD
2015-04-06,0.4216,0.4273,0.42,0.4241,NZD
2015-04-07,0.4239,0.4286,0.4221,0.4265,NZD
2015-04-08,0.4263,0.435,0.4198,0.4342,NZD
2015-04-09,0.4337,0.4372,0.4305,0.432,NZD
2015-04-10,0.4317,0.4349,0.4286,0.4314,NZD
2015-04-13,0.4316,0.438,0.4281,0.4298,NZD
2015-04-14,0.4293,0.4351,0.4273,0.434,NZD
2015-04-15,0.4336,0.4355,0.4294,0.4348,NZD
2015-04-16,0.4343,0.4364,0.4298,0.4314,NZD
2015-04-17,0.4309,0.4328,0.4236,0.428,NZD
2015-04-20,0.4256,0.433,0.425,0.4303,NZD
2015-04-21,0.43,0.4319,0.4275,0.4297,NZD
2015-04-22,0.4292,0.4352,0.4257,0.4332,NZD
2015-04-23,0.4326,0.4437,0.4326,0.4433,NZD
2015-04-24,0.4429,0.4461,0.4407,0.4453,NZD
2015-04-27,0.4452,0.4512,0.4433,0.4485,NZD
2015-04-28,0.448,0.4514,0.4392,0.4412,NZD
2015-04-29,0.441,0.4446,0.4377,0.4397,NZD
2015-04-30,0.4386,0.4462,0.4336,0.4355,NZD
2015-05-01,0.4351,0.4422,0.4343,0.4401,NZD
2015-05-04,0.4395,0.442,0.4282,0.4299,NZD
2015-05-05,0.4296,0.4358,0.4285,0.4333,NZD
2015-05-06,0.433,0.4401,0.4317,0.4396,NZD
2015-05-07,0.4391,0.4459,0.4378,0.4436,NZD
2015-05-08,0.4433,0.4499,0.4412,0.449,NZD
2015-05-11,0.4462,0.456,0.4443,0.4453,NZD
2015-05-12,0.445,0.4515,0.4404,0.4497,NZD
2015-05-13,0.4494,0.4525,0.439,0.4395,NZD
2015-05-14,0.4392,0.446,0.4347,0.4456,NZD
2015-05-15,0.4454,0.4506,0.4448,0.4464,NZD
2015-05-18,0.4457,0.4507,0.4457,0.45,NZD
2015-05-19,0.4496,0.4519,0.4456,0.448,NZD
2015-05-20,0.4474,0.4563,0.4464,0.4558,NZD
2015-05-21,0.4555,0.457,0.4471,0.4477,NZD
2015-05-22,0.4471,0.4495,0.4402,0.4418,NZD
2015-05-25,0.4406,0.4433,0.4365,0.4417,NZD
2015-05-26,0.4411,0.4443,0.4376,0.4384,NZD
2015-05-27,0.4384,0.4411,0.4339,0.4382,NZD
2015-05-28,0.4377,0.4441,0.4372,0.4406,NZD
2015-05-29,0.4405,0.4475,0.4392,0.4425,NZD
2015-06-01,0.4419,0.4467,0.4365,0.4437,NZD
2015-06-02,0.4432,0.4473,0.4414,0.4447,NZD
2015-06-03,0.4442,0.4504,0.4435,0.4464,NZD
2015-06-04,0.4457,0.4484,0.4444,0.4464,NZD
2015-06-05,0.4461,0.4554,0.4449,0.4513,NZD
2015-06-08,0.451,0.4538,0.4477,0.4496,NZD
2015-06-09,0.4492,0.4537,0.4461,0.4526,NZD
2015-06-10,0.4521,0.4541,0.4441,0.4447,NZD
2015-06-11,0.4444,0.4621,0.4444,0.4616,NZD
2015-06-12,0.4613,0.4651,0.4574,0.4589,NZD
2015-06-15,0.4583,0.4631,0.4554,0.4569,NZD
2015-06-16,0.4559,0.4647,0.4556,0.4632,NZD
2015-06-17,0.4625,0.4735,0.4621,0.4681,NZD
2015-06-18,0.4678,0.476,0.4669,0.4717,NZD
2015-06-19,0.4716,0.4751,0.4663,0.4672,NZD
2015-06-22,0.4672,0.4743,0.4655,0.4728,NZD
2015-06-23,0.4725,0.4751,0.4689,0.4744,NZD
2015-06-24,0.4737,0.4749,0.4664,0.4685,NZD
2015-06-25,0.4681,0.4702,0.4612,0.4627,NZD
2015-06-26,0.4619,0.4696,0.4615,0.4668,NZD
2015-06-29,0.4694,0.4706,0.4638,0.4682,NZD
2015-06-30,0.4678,0.4817,0.467,0.4764,NZD
2015-07-01,0.4762,0.4778,0.4703,0.4714,NZD
2015-07-02,0.4711,0.4809,0.4705,0.4804,NZD
2015-07-03,0.4799,0.4822,0.4747,0.4763,NZD
2015-07-06,0.4767,0.4799,0.4732,0.4765,NZD
2015-07-07,0.4761,0.4808,0.4691,0.4719,NZD
2015-07-08,0.4716,0.4743,0.4576,0.4594,NZD
2015-07-09,0.459,0.4633,0.457,0.4605,NZD
2015-07-10,0.46,0.4718,0.4576,0.4707,NZD
2015-07-13,0.4709,0.478,0.4682,0.4766,NZD
2015-07-14,0.4762,0.4791,0.473,0.4742,NZD
2015-07-15,0.4736,0.4843,0.4731,0.4834,NZD
2015-07-16,0.4833,0.4905,0.4816,0.486,NZD
2015-07-17,0.4853,0.4869,0.4773,0.4816,NZD
2015-07-20,0.48,0.4825,0.4712,0.4762,NZD
2015-07-21,0.4755,0.4775,0.472,0.4759,NZD
2015-07-22,0.4755,0.4777,0.4691,0.472,NZD
2015-07-23,0.4717,0.4721,0.4558,0.4605,NZD
2015-07-24,0.4601,0.4639,0.4522,0.453,NZD
2015-07-27,0.4521,0.4545,0.4473,0.4501,NZD
2015-07-28,0.45,0.4508,0.4345,0.4451,NZD
2015-07-29,0.4447,0.4527,0.4412,0.4504,NZD
2015-07-30,0.4505,0.4561,0.4472,0.4493,NZD
2015-07-31,0.4486,0.4551,0.4403,0.4434,NZD
2015-08-03,0.4429,0.4444,0.4378,0.4415,NZD
2015-08-04,0.4414,0.4433,0.4353,0.4406,NZD
2015-08-05,0.4403,0.4427,0.4363,0.4405,NZD
2015-08-06,0.44,0.4408,0.4277,0.4316,NZD
2015-08-07,0.4309,0.4358,0.4267,0.4305,NZD
2015-08-10,0.4305,0.4401,0.4299,0.4398,NZD
2015-08-11,0.4392,0.4447,0.4345,0.4403,NZD
2015-08-12,0.44,0.4452,0.4309,0.434,NZD
2015-08-13,0.4334,0.4381,0.4307,0.4324,NZD
2015-08-14,0.4321,0.4415,0.4313,0.4389,NZD
2015-08-17,0.4375,0.4399,0.4342,0.4371,NZD
2015-08-18,0.4368,0.4398,0.4342,0.4368,NZD
2015-08-19,0.4366,0.4405,0.4321,0.4336,NZD
2015-08-20,0.4331,0.438,0.4294,0.4362,NZD
2015-08-21,0.4359,0.4384,0.4251,0.4272,NZD
2015-08-24,0.4269,0.4487,0.4265,0.4344,NZD
2015-08-25,0.434,0.4381,0.4256,0.427,NZD
2015-08-26,0.4267,0.4329,0.4232,0.4319,NZD
2015-08-27,0.4315,0.4372,0.429,0.4353,NZD
2015-08-28,0.435,0.4382,0.4301,0.4319,NZD
