Date,Open,High,Low,Close,Currency
2015-01-01,1.12,1.1314,1.12,1.1314,PEN
2015-01-02,1.1314,1.1343,1.1043,1.1096,PEN
2015-01-04,1.1098,1.1098,1.1098,1.1098,PEN
2015-01-05,1.1098,1.1182,1.0904,1.1012,PEN
2015-01-06,1.1028,1.1102,1.0857,1.1054,PEN
2015-01-07,1.1058,1.1175,1.1032,1.1137,PEN
2015-01-08,1.1127,1.1246,1.1077,1.1244,PEN
2015-01-09,1.1239,1.1376,1.1171,1.1344,PEN
2015-01-11,1.1354,1.1354,1.1354,1.1354,PEN
2015-01-12,1.1354,1.1378,1.1174,1.1211,PEN
2015-01-13,1.1195,1.1366,1.1091,1.1313,PEN
2015-01-14,1.1302,1.1488,1.1278,1.1439,PEN
2015-01-15,1.1441,1.1542,1.1332,1.1346,PEN
2015-01-16,1.1353,1.1537,1.1351,1.1509,PEN
2015-01-18,1.1509,1.1509,1.1509,1.1509,PEN
2015-01-19,1.1509,1.1509,1.1313,1.1364,PEN
2015-01-20,1.1367,1.1557,1.1364,1.1532,PEN
2015-01-21,1.1531,1.165,1.1528,1.1575,PEN
2015-01-22,1.1563,1.1765,1.1539,1.1679,PEN
2015-01-23,1.1675,1.1954,1.1631,1.1694,PEN
2015-01-25,1.1694,1.1694,1.1694,1.1694,PEN
2015-01-26,1.1607,1.1689,1.1478,1.166,PEN
2015-01-27,1.1681,1.1757,1.1605,1.1729,PEN
2015-01-28,1.1727,1.177,1.1637,1.174,PEN
2015-01-29,1.1727,1.1807,1.1589,1.1639,PEN
2015-01-30,1.1647,1.1648,1.1321,1.143,PEN
2015-02-01,1.1418,1.1418,1.1391,1.1391,PEN
2015-02-02,1.1391,1.1476,1.1208,1.1215,PEN
2015-02-03,1.1215,1.1376,1.1209,1.1323,PEN
2015-02-04,1.1336,1.1336,1.1145,1.1169,PEN
2015-02-05,1.117,1.1331,1.1078,1.1157,PEN
2015-02-06,1.1156,1.1156,1.0993,1.1034,PEN
2015-02-08,1.1034,1.1034,1.1034,1.1034,PEN
2015-02-09,1.1034,1.1129,1.0985,1.1075,PEN
2015-02-10,1.1075,1.1075,1.0829,1.0884,PEN
2015-02-11,1.0885,1.0887,1.0627,1.0736,PEN
2015-02-12,1.0737,1.0936,1.0715,1.0877,PEN
2015-02-13,1.0879,1.0908,1.0775,1.0829,PEN
2015-02-15,1.0831,1.0831,1.0831,1.0831,PEN
2015-02-16,1.0831,1.0905,1.0831,1.0878,PEN
2015-02-17,1.0889,1.0974,1.0878,1.0878,PEN
2015-02-18,1.0883,1.0941,1.0826,1.0875,PEN
2015-02-19,1.0874,1.0874,1.0757,1.0767,PEN
2015-02-20,1.0766,1.0836,1.0683,1.0774,PEN
2015-02-22,1.077,1.077,1.077,1.077,PEN
2015-02-23,1.077,1.0798,1.0629,1.0748,PEN
2015-02-24,1.0743,1.092,1.0686,1.0794,PEN
2015-02-25,1.0808,1.0886,1.0735,1.0785,PEN
2015-02-26,1.0775,1.0891,1.0632,1.0632,PEN
2015-02-27,1.0632,1.0903,1.0589,1.0903,PEN
2015-03-01,1.0891,1.0891,1.0891,1.0891,PEN
2015-03-02,1.0891,1.0952,1.0692,1.0693,PEN
2015-03-03,1.0695,1.0729,1.0538,1.0538,PEN
2015-03-04,1.0544,1.0551,1.0316,1.0393,PEN
2015-03-05,1.0393,1.043,1.0379,1.0379,PEN
2015-03-06,1.0317,1.0317,1.0317,1.0317,PEN
2015-03-08,1.0126,1.0126,1.0126,1.0126,PEN
2015-03-09,1.0126,1.0126,1.0126,1.0126,PEN
2015-03-10,0.9905,0.9905,0.9905,0.9905,PEN
2015-03-11,0.9984,0.9984,0.9984,0.9984,PEN
2015-03-12,0.9908,0.9908,0.9908,0.9908,PEN
2015-03-13,0.9781,0.9781,0.9781,0.9781,PEN
2015-03-15,0.9548,0.9548,0.9548,0.9548,PEN
2015-03-16,0.9548,0.9548,0.9548,0.9548,PEN
2015-03-17,0.9541,0.9541,0.9541,0.9541,PEN
2015-03-18,0.9534,0.9534,0.9534,0.9534,PEN
2015-03-19,0.9608,0.9608,0.9608,0.9608,PEN
2015-03-20,0.9397,0.9397,0.9397,0.9397,PEN
2015-03-22,0.9543,0.9543,0.9543,0.9543,PEN
2015-03-23,0.9543,0.9543,0.9543,0.9543,PEN
2015-03-24,0.9833,0.9833,0.9833,0.9833,PEN
