Date,Open,High,Low,Close,Currency
2015-01-01,16.84,16.85,16.84,16.85,PHP
2015-01-02,16.84,16.9,16.56,16.65,PHP
2015-01-05,16.63,16.73,16.48,16.65,PHP
2015-01-06,16.63,16.73,16.53,16.68,PHP
2015-01-07,16.66,16.88,16.63,16.8,PHP
2015-01-08,16.78,16.9,16.63,16.86,PHP
2015-01-09,16.87,17.09,16.79,17.07,PHP
2015-01-12,17.06,17.09,16.76,16.78,PHP
2015-01-13,16.78,17.0,16.68,16.9,PHP
2015-01-14,16.91,17.14,16.8,17.07,PHP
2015-01-15,17.06,17.18,16.87,16.9,PHP
2015-01-16,16.87,17.07,16.86,17.03,PHP
2015-01-19,17.01,17.02,16.72,16.8,PHP
2015-01-20,16.8,17.09,16.8,17.05,PHP
2015-01-21,17.03,17.14,16.96,17.06,PHP
2015-01-22,17.05,17.34,17.0,17.17,PHP
2015-01-23,17.15,17.19,16.96,17.09,PHP
2015-01-26,17.06,17.1,16.89,17.06,PHP
2015-01-27,17.05,17.18,16.95,17.13,PHP
2015-01-28,17.12,17.21,17.02,17.14,PHP
2015-01-29,17.12,17.15,16.81,16.91,PHP
2015-01-30,16.9,16.97,16.39,16.48,PHP
2015-02-02,16.45,16.57,16.17,16.19,PHP
2015-02-03,16.15,16.39,16.15,16.33,PHP
2015-02-04,16.33,16.37,16.04,16.09,PHP
2015-02-05,16.08,16.22,15.96,16.07,PHP
2015-02-06,16.07,16.12,15.87,15.9,PHP
2015-02-09,15.91,16.06,15.86,16.02,PHP
2015-02-10,16.01,16.04,15.62,15.67,PHP
2015-02-11,15.63,15.68,15.42,15.5,PHP
2015-02-12,15.48,15.73,15.39,15.69,PHP
2015-02-13,15.68,15.73,15.48,15.62,PHP
2015-02-16,15.62,15.63,15.58,15.61,PHP
2015-02-17,15.6,15.68,15.59,15.64,PHP
2015-02-18,15.63,15.67,15.51,15.55,PHP
2015-02-19,15.53,15.6,15.38,15.42,PHP
2015-02-20,15.41,15.5,15.32,15.42,PHP
2015-02-23,15.41,15.49,15.25,15.4,PHP
2015-02-24,15.38,15.6,15.28,15.56,PHP
2015-02-25,15.55,15.62,15.26,15.31,PHP
2015-02-26,15.32,15.46,15.15,15.16,PHP
2015-02-27,15.14,15.54,15.08,15.54,PHP
2015-03-02,15.53,15.56,15.21,15.23,PHP
2015-03-03,15.21,15.25,15.01,15.05,PHP
2015-03-04,15.04,15.07,14.71,14.83,PHP
2015-03-05,14.81,14.86,14.6,14.7,PHP
2015-03-06,14.68,14.78,14.41,14.47,PHP
2015-03-09,14.46,14.48,14.1,14.17,PHP
2015-03-10,14.15,14.35,13.97,14.3,PHP
2015-03-11,14.29,14.38,14.1,14.19,PHP
2015-03-12,14.18,14.38,13.94,13.98,PHP
2015-03-13,13.96,13.99,13.53,13.65,PHP
2015-03-16,13.64,13.85,13.61,13.68,PHP
2015-03-17,13.67,13.86,13.58,13.8,PHP
2015-03-18,13.78,14.03,13.66,13.94,PHP
2015-03-19,13.92,13.94,13.6,13.65,PHP
2015-03-20,13.64,14.03,13.5,13.89,PHP
2015-03-23,13.87,14.31,13.85,14.27,PHP
2015-03-24,14.26,14.46,14.11,14.24,PHP
2015-03-25,14.23,14.37,13.96,13.98,PHP
2015-03-26,13.97,14.12,13.88,14.09,PHP
2015-03-27,14.09,14.1,13.77,13.78,PHP
2015-03-30,13.78,13.97,13.61,13.84,PHP
2015-03-31,13.83,14.12,13.67,13.98,PHP
2015-04-01,13.97,14.24,13.93,14.08,PHP
