Date,Open,High,Low,Close,Currency
2015-01-01,37.94,37.99,37.94,37.99,PKR
2015-01-02,37.94,37.99,37.2,37.47,PKR
2015-01-05,37.42,37.46,36.89,37.3,PKR
2015-01-06,37.26,37.49,37.0,37.39,PKR
2015-01-07,37.34,37.71,37.17,37.61,PKR
2015-01-08,37.56,37.86,37.25,37.81,PKR
2015-01-09,37.76,38.32,37.65,38.25,PKR
2015-01-12,38.21,38.34,37.59,37.65,PKR
2015-01-13,37.61,38.31,37.45,38.08,PKR
2015-01-14,38.04,38.63,37.91,38.46,PKR
2015-01-15,38.42,38.8,37.97,38.09,PKR
2015-01-16,38.0,38.53,38.0,38.36,PKR
2015-01-19,38.32,38.5,37.79,38.01,PKR
2015-01-20,37.96,38.63,37.95,38.53,PKR
2015-01-21,38.47,38.98,38.47,38.74,PKR
2015-01-22,38.71,39.49,38.66,39.08,PKR
2015-01-23,39.02,39.23,38.67,39.02,PKR
2015-01-26,38.96,39.23,38.69,39.08,PKR
2015-01-27,39.07,39.36,38.81,39.21,PKR
2015-01-28,39.2,39.33,38.9,39.16,PKR
2015-01-29,39.11,39.29,38.6,38.83,PKR
2015-01-30,38.78,38.93,37.49,37.69,PKR
2015-02-02,37.64,38.06,37.08,37.22,PKR
2015-02-03,37.09,37.63,37.04,37.54,PKR
2015-02-04,37.49,37.6,36.74,36.87,PKR
2015-02-05,36.83,37.14,36.54,36.81,PKR
2015-02-06,36.77,36.9,36.28,36.37,PKR
2015-02-09,36.32,36.58,36.14,36.5,PKR
2015-02-10,36.45,36.59,35.56,35.67,PKR
2015-02-11,35.63,35.83,35.13,35.33,PKR
2015-02-12,35.29,36.01,35.19,35.95,PKR
2015-02-13,35.9,36.05,35.47,35.79,PKR
2015-02-16,35.74,35.82,35.72,35.77,PKR
2015-02-17,35.72,35.91,35.72,35.82,PKR
2015-02-18,35.78,35.94,35.56,35.75,PKR
2015-02-19,35.69,35.85,35.37,35.44,PKR
2015-02-20,35.41,35.66,35.21,35.46,PKR
2015-02-23,35.41,35.53,35.0,35.31,PKR
2015-02-24,35.27,36.01,35.19,35.95,PKR
2015-02-25,35.92,36.03,35.26,35.41,PKR
2015-02-26,35.4,35.88,34.98,35.02,PKR
2015-02-27,34.98,35.9,34.85,35.88,PKR
2015-03-02,35.83,35.91,35.12,35.18,PKR
2015-03-03,35.14,35.27,34.7,34.78,PKR
2015-03-04,34.74,34.82,33.92,34.23,PKR
2015-03-05,34.18,34.25,33.67,33.93,PKR
2015-03-06,33.88,34.15,33.1,33.23,PKR
2015-03-09,33.18,33.49,32.48,32.64,PKR
2015-03-10,32.59,32.99,32.03,32.85,PKR
2015-03-11,32.82,33.03,32.39,32.61,PKR
2015-03-12,32.57,33.13,32.05,32.17,PKR
2015-03-13,32.1,32.17,30.98,31.34,PKR
2015-03-16,31.29,31.76,31.15,31.35,PKR
2015-03-17,31.3,31.58,30.96,31.44,PKR
2015-03-18,31.41,31.93,31.01,31.72,PKR
2015-03-19,31.65,31.71,30.78,30.94,PKR
2015-03-20,30.89,31.84,30.49,31.55,PKR
2015-03-23,31.51,32.51,31.49,32.5,PKR
2015-03-24,32.46,32.99,32.13,32.44,PKR
2015-03-25,32.41,32.74,31.79,31.86,PKR
2015-03-26,31.82,32.16,31.6,32.05,PKR
2015-03-27,32.01,32.03,31.33,31.35,PKR
2015-03-30,31.33,31.77,30.96,31.54,PKR
