Date,Open,High,Low,Close,Currency
2015-01-01,1.3324,1.3351,1.3298,1.3327,PLN
2015-01-02,1.3302,1.3497,1.3192,1.3308,PLN
2015-01-05,1.3273,1.342,1.3173,1.3288,PLN
2015-01-06,1.3281,1.3462,1.323,1.3451,PLN
2015-01-07,1.3441,1.3629,1.3404,1.3519,PLN
2015-01-08,1.3515,1.3695,1.3464,1.3637,PLN
2015-01-09,1.3633,1.3736,1.3529,1.3708,PLN
2015-01-12,1.3697,1.3792,1.349,1.3512,PLN
2015-01-13,1.3511,1.387,1.3468,1.3764,PLN
2015-01-14,1.3762,1.396,1.3719,1.3807,PLN
2015-01-15,1.3801,1.4279,1.3781,1.4041,PLN
2015-01-16,1.4025,1.4323,1.397,1.4183,PLN
2015-01-19,1.4174,1.4299,1.3977,1.4074,PLN
2015-01-20,1.4063,1.4383,1.404,1.4361,PLN
2015-01-21,1.4338,1.4387,1.4194,1.4244,PLN
2015-01-22,1.4246,1.4621,1.419,1.4545,PLN
2015-01-23,1.4525,1.4752,1.441,1.4535,PLN
2015-01-26,1.4534,1.4689,1.4321,1.4517,PLN
2015-01-27,1.4504,1.4548,1.4382,1.4489,PLN
2015-01-28,1.448,1.4629,1.4391,1.4604,PLN
2015-01-29,1.4592,1.4657,1.4217,1.4297,PLN
2015-01-30,1.4285,1.4311,1.3739,1.3809,PLN
2015-02-02,1.3803,1.3833,1.3502,1.3539,PLN
2015-02-03,1.3526,1.3633,1.3366,1.3495,PLN
2015-02-04,1.3489,1.3567,1.3252,1.3407,PLN
2015-02-05,1.3398,1.3443,1.3178,1.3236,PLN
2015-02-06,1.3228,1.3348,1.3134,1.3214,PLN
2015-02-09,1.3192,1.3378,1.3136,1.3339,PLN
2015-02-10,1.3326,1.3448,1.3048,1.3092,PLN
2015-02-11,1.3081,1.3165,1.2913,1.2946,PLN
2015-02-12,1.2938,1.3004,1.2816,1.2958,PLN
2015-02-13,1.2949,1.3046,1.2821,1.2935,PLN
2015-02-16,1.2921,1.3049,1.2864,1.298,PLN
2015-02-17,1.2965,1.3058,1.2911,1.2984,PLN
2015-02-18,1.2974,1.3054,1.2905,1.2937,PLN
2015-02-19,1.2924,1.2961,1.2742,1.2801,PLN
2015-02-20,1.2791,1.2942,1.2682,1.2781,PLN
2015-02-23,1.2757,1.2896,1.2713,1.2811,PLN
2015-02-24,1.2793,1.2989,1.2746,1.294,PLN
2015-02-25,1.293,1.2966,1.2681,1.2738,PLN
2015-02-26,1.2727,1.289,1.2685,1.2752,PLN
2015-02-27,1.2733,1.3068,1.266,1.3059,PLN
2015-03-02,1.3032,1.3106,1.281,1.2836,PLN
2015-03-03,1.2826,1.2894,1.2683,1.2719,PLN
2015-03-04,1.2705,1.2825,1.2447,1.2587,PLN
