Date,Open,High,Low,Close,Currency
2015-01-01,1744.68,1753.27,1744.68,1753.27,PYG
2015-01-02,1753.27,1757.87,1712.36,1720.62,PYG
2015-01-05,1720.94,1734.13,1705.64,1718.23,PYG
2015-01-06,1720.64,1752.39,1705.9,1744.74,PYG
2015-01-07,1747.32,1769.11,1747.19,1764.76,PYG
2015-01-08,1763.05,1777.84,1751.13,1777.58,PYG
2015-01-09,1776.71,1789.73,1762.77,1786.13,PYG
2015-01-12,1789.32,1793.0,1761.42,1768.01,PYG
2015-01-13,1766.63,1795.34,1753.11,1786.91,PYG
2015-01-14,1785.15,1810.19,1781.39,1802.58,PYG
2015-01-15,1802.92,1821.54,1788.75,1788.75,PYG
2015-01-16,1790.03,1817.99,1789.76,1808.99,PYG
2015-01-19,1806.23,1812.43,1775.0,1783.77,PYG
2015-01-20,1783.37,1813.92,1783.03,1809.96,PYG
2015-01-21,1809.75,1834.07,1809.75,1825.32,PYG
2015-01-22,1823.85,1867.69,1818.62,1849.79,PYG
2015-01-23,1851.51,1897.92,1850.58,1869.81,PYG
2015-01-26,1853.49,1866.21,1832.9,1861.59,PYG
2015-01-27,1864.91,1872.42,1853.08,1868.05,PYG
2015-01-28,1867.61,1869.78,1852.82,1864.99,PYG
2015-01-29,1862.96,1875.66,1836.8,1844.77,PYG
2015-01-30,1846.05,1846.12,1790.7,1799.72,PYG
2015-02-02,1805.72,1814.7,1766.24,1767.34,PYG
2015-02-03,1767.41,1789.47,1763.47,1785.75,PYG
2015-02-04,1786.02,1786.15,1751.45,1755.53,PYG
2015-02-05,1755.6,1779.97,1733.49,1742.59,PYG
2015-02-06,1742.52,1742.52,1713.95,1714.56,PYG
2015-02-09,1714.56,1737.45,1705.95,1720.67,PYG
2015-02-10,1720.61,1720.61,1679.34,1682.66,PYG
2015-02-11,1681.82,1682.18,1648.53,1655.54,PYG
2015-02-12,1655.71,1680.49,1648.7,1677.04,PYG
2015-02-13,1679.72,1690.36,1655.4,1679.57,PYG
2015-02-16,1679.86,1684.78,1679.57,1683.01,PYG
2015-02-17,1683.07,1696.13,1681.72,1681.72,PYG
2015-02-18,1683.92,1687.5,1666.92,1673.74,PYG
2015-02-19,1673.62,1673.62,1655.91,1657.06,PYG
2015-02-20,1657.0,1668.31,1645.9,1654.56,PYG
2015-02-23,1654.56,1662.07,1637.06,1654.16,PYG
2015-02-24,1653.41,1679.05,1646.67,1659.65,PYG
2015-02-25,1661.74,1675.29,1644.2,1651.18,PYG
2015-02-26,1650.78,1665.38,1627.08,1627.08,PYG
2015-02-27,1627.19,1667.93,1621.27,1667.93,PYG
2015-03-02,1666.06,1676.79,1630.65,1630.77,PYG
2015-03-03,1631.05,1637.37,1599.68,1599.68,PYG
2015-03-04,1600.55,1601.59,1559.04,1570.72,PYG
2015-03-05,1570.72,1577.7,1570.05,1570.05,PYG
2015-03-06,1550.72,1550.72,1550.72,1550.72,PYG
2015-03-09,1509.78,1509.78,1509.78,1509.78,PYG
2015-03-10,1499.62,1499.62,1499.62,1499.62,PYG
2015-03-11,1516.34,1516.34,1516.34,1516.34,PYG
2015-03-12,1517.23,1517.23,1517.23,1517.23,PYG
2015-03-13,1508.81,1508.81,1508.81,1508.81,PYG
2015-03-16,1480.5,1480.5,1480.5,1480.5,PYG
2015-03-17,1476.04,1476.04,1476.04,1476.04,PYG
2015-03-18,1469.43,1469.43,1469.43,1469.43,PYG
2015-03-19,1486.19,1486.19,1486.19,1486.19,PYG
2015-03-20,1456.79,1456.79,1456.79,1456.79,PYG
2015-03-23,1488.88,1488.88,1488.88,1488.88,PYG
2015-03-24,1542.37,1542.37,1542.37,1542.37,PYG
2015-03-25,1532.04,1532.04,1532.04,1532.04,PYG
2015-03-26,1502.8,1502.8,1502.8,1502.8,PYG
2015-03-27,1506.74,1506.74,1506.74,1506.74,PYG
2015-03-30,1480.56,1480.56,1480.56,1480.56,PYG
2015-03-31,1488.17,1488.17,1488.17,1488.17,PYG
2015-04-01,1503.82,1503.82,1503.82,1503.82,PYG
2015-04-02,1514.44,1514.44,1514.44,1514.44,PYG
2015-04-03,1540.68,1540.68,1540.68,1540.68,PYG
2015-04-06,1540.88,1540.88,1540.88,1540.88,PYG
2015-04-07,1526.55,1570.05,1526.55,1558.42,PYG
2015-04-08,1560.66,1589.4,1547.15,1589.4,PYG
2015-04-09,1587.94,1605.52,1580.55,1587.78,PYG
2015-04-10,1587.89,1603.72,1582.05,1590.9,PYG
2015-04-13,1590.48,1611.77,1584.57,1588.17,PYG
2015-04-14,1587.31,1616.4,1578.04,1612.87,PYG
2015-04-15,1610.19,1633.63,1596.32,1633.63,PYG
2015-04-16,1631.8,1659.03,1617.7,1640.69,PYG
2015-04-17,1639.66,1652.53,1618.83,1634.21,PYG
2015-04-20,1635.66,1646.76,1628.87,1641.27,PYG
2015-04-21,1641.6,1645.44,1637.33,1642.94,PYG
2015-04-22,1644.62,1672.28,1633.06,1665.66,PYG
2015-04-23,1672.48,1694.68,1660.52,1694.68,PYG
2015-04-24,1693.26,1693.26,1670.7,1690.62,PYG
2015-04-27,1684.42,1731.4,1683.16,1721.25,PYG
2015-04-28,1722.32,1741.93,1705.95,1708.62,PYG
2015-04-29,1708.86,1729.49,1700.9,1706.95,PYG
2015-04-30,1705.27,1708.13,1668.59,1672.08,PYG
2015-05-01,1670.75,1670.75,1631.17,1666.88,PYG
2015-05-04,1666.27,1672.34,1619.46,1622.71,PYG
2015-05-05,1623.13,1646.86,1621.89,1639.64,PYG
2015-05-06,1639.91,1657.54,1630.6,1650.01,PYG
2015-05-07,1653.22,1670.98,1636.8,1663.59,PYG
2015-05-08,1666.01,1695.47,1658.78,1695.47,PYG
2015-05-11,1694.9,1698.65,1648.88,1648.88,PYG
2015-05-12,1649.48,1679.09,1644.05,1674.03,PYG
2015-05-13,1674.14,1699.75,1667.58,1671.31,PYG
2015-05-14,1669.28,1694.61,1651.2,1691.05,PYG
2015-05-15,1692.86,1703.06,1679.05,1690.04,PYG
2015-05-18,1689.08,1690.42,1669.74,1680.82,PYG
2015-05-19,1682.55,1697.65,1658.2,1661.75,PYG
2015-05-20,1663.22,1680.59,1655.14,1676.12,PYG
2015-05-21,1676.79,1689.95,1664.26,1668.04,PYG
2015-05-22,1667.27,1683.19,1640.96,1644.3,PYG
2015-05-25,1644.46,1671.46,1624.06,1643.26,PYG
2015-05-26,1642.73,1643.74,1614.41,1618.15,PYG
2015-05-27,1616.1,1630.58,1607.9,1630.58,PYG
2015-05-28,1630.11,1630.11,1604.88,1615.68,PYG
2015-05-29,1617.98,1623.91,1598.53,1606.88,PYG
2015-06-01,1605.52,1619.79,1593.57,1611.99,PYG
2015-06-02,1613.56,1621.87,1602.09,1618.51,PYG
2015-06-03,1618.97,1638.32,1597.3,1620.1,PYG
2015-06-04,1620.82,1636.65,1599.36,1629.78,PYG
2015-06-05,1631.6,1652.5,1599.13,1615.5,PYG
2015-06-08,1621.06,1641.51,1613.73,1634.85,PYG
2015-06-09,1632.75,1653.33,1609.57,1651.67,PYG
2015-06-10,1648.69,1676.67,1644.0,1649.6,PYG
2015-06-11,1648.44,1663.5,1621.42,1663.5,PYG
2015-06-12,1663.39,1666.86,1642.64,1647.7,PYG
2015-06-15,1646.49,1661.75,1635.92,1644.11,PYG
2015-06-16,1644.32,1669.11,1635.21,1665.71,PYG
2015-06-17,1666.41,1687.74,1658.93,1684.1,PYG
2015-06-18,1686.58,1698.84,1667.41,1681.15,PYG
2015-06-19,1681.81,1688.33,1660.42,1664.98,PYG
2015-06-22,1656.28,1677.1,1651.32,1666.56,PYG
2015-06-23,1665.8,1677.0,1655.89,1677.0,PYG
2015-06-24,1675.74,1682.14,1662.56,1664.27,PYG
2015-06-25,1664.6,1673.52,1647.22,1647.22,PYG
