Date,Open,High,Low,Close,Currency
2015-01-01,2.9319,2.9386,2.9308,2.9325,SEK
2015-01-02,2.9308,2.9598,2.9087,2.9405,SEK
2015-01-05,2.9389,2.9618,2.8983,2.9339,SEK
2015-01-06,2.9313,2.9432,2.9101,2.9318,SEK
2015-01-07,2.9305,2.9798,2.9282,2.9723,SEK
2015-01-08,2.9713,3.0216,2.9601,3.0155,SEK
2015-01-09,3.0138,3.064,3.0039,3.0612,SEK
2015-01-12,3.0582,3.0734,3.0099,3.0203,SEK
2015-01-13,3.0196,3.0739,2.9792,3.0534,SEK
2015-01-14,3.0522,3.0973,3.0424,3.0903,SEK
2015-01-15,3.0897,3.1405,3.0622,3.0668,SEK
2015-01-16,3.0626,3.1105,3.0606,3.0979,SEK
2015-01-19,3.0959,3.1017,3.0453,3.0676,SEK
2015-01-20,3.0663,3.1396,3.0563,3.1236,SEK
2015-01-21,3.126,3.1664,3.1079,3.1429,SEK
2015-01-22,3.144,3.2082,3.1216,3.1968,SEK
2015-01-23,3.1976,3.2468,3.1881,3.2318,SEK
2015-01-26,3.2251,3.2498,3.188,3.2135,SEK
2015-01-27,3.2109,3.222,3.1668,3.1787,SEK
2015-01-28,3.1798,3.2252,3.157,3.2207,SEK
2015-01-29,3.2186,3.2248,3.1574,3.1792,SEK
2015-01-30,3.1778,3.1854,3.0698,3.0848,SEK
2015-02-02,3.0845,3.0987,3.0334,3.0497,SEK
2015-02-03,3.0482,3.0713,3.0272,3.0486,SEK
2015-02-04,3.0475,3.064,3.0022,3.0221,SEK
2015-02-05,3.0212,3.0343,2.9914,3.0039,SEK
2015-02-06,3.0036,3.0345,2.9783,3.0169,SEK
2015-02-09,3.0117,3.0271,2.9858,3.0187,SEK
2015-02-10,3.0119,3.0249,2.9258,2.9376,SEK
2015-02-11,2.9372,2.952,2.911,2.9201,SEK
2015-02-12,2.9189,2.9939,2.9103,2.9939,SEK
2015-02-13,2.9917,2.9956,2.9422,2.9678,SEK
2015-02-16,2.9664,2.9753,2.954,2.9695,SEK
2015-02-17,2.9642,2.9823,2.9364,2.9424,SEK
2015-02-18,2.9381,2.9804,2.9377,2.947,SEK
2015-02-19,2.9439,2.9628,2.9254,2.9386,SEK
2015-02-20,2.9385,2.96,2.8965,2.9186,SEK
2015-02-23,2.9129,2.9546,2.9115,2.923,SEK
2015-02-24,2.9221,2.9718,2.9096,2.9703,SEK
2015-02-25,2.9691,2.9704,2.8805,2.8871,SEK
2015-02-26,2.8851,2.9222,2.8757,2.89,SEK
2015-02-27,2.8887,2.9402,2.8541,2.9392,SEK
2015-03-02,2.9342,2.9494,2.8744,2.8775,SEK
2015-03-03,2.8747,2.8815,2.8175,2.8228,SEK
2015-03-04,2.8215,2.8347,2.778,2.798,SEK
2015-03-05,2.796,2.811,2.7614,2.7767,SEK
2015-03-06,2.7749,2.8113,2.7529,2.7622,SEK
2015-03-09,2.7606,2.7704,2.7052,2.7185,SEK
2015-03-10,2.7167,2.7697,2.6925,2.7598,SEK
2015-03-11,2.7589,2.7959,2.7382,2.76,SEK
2015-03-12,2.7595,2.7814,2.7054,2.7123,SEK
2015-03-13,2.711,2.7202,2.6474,2.6825,SEK
2015-03-16,2.6797,2.7035,2.6614,2.6677,SEK
2015-03-17,2.6654,2.6925,2.63,2.6808,SEK
2015-03-18,2.679,2.73,2.6446,2.6723,SEK
2015-03-19,2.6711,2.6944,2.6283,2.6344,SEK
2015-03-20,2.6329,2.6993,2.6098,2.6701,SEK
2015-03-23,2.6641,2.7163,2.6413,2.714,SEK
2015-03-24,2.713,2.7356,2.6864,2.7046,SEK
2015-03-25,2.703,2.7189,2.646,2.6514,SEK
2015-03-26,2.6507,2.7006,2.631,2.6987,SEK
2015-03-27,2.6981,2.7153,2.636,2.6416,SEK
2015-03-30,2.6433,2.6814,2.613,2.6593,SEK
2015-03-31,2.6573,2.7316,2.6437,2.7005,SEK
2015-04-01,2.6995,2.7493,2.6877,2.7374,SEK
2015-04-02,2.7354,2.7674,2.7136,2.767,SEK
2015-04-03,2.7648,2.7686,2.7253,2.7404,SEK
2015-04-06,2.7389,2.7708,2.7277,2.7433,SEK
2015-04-07,2.742,2.7836,2.7317,2.7737,SEK
2015-04-08,2.7708,2.8507,2.7494,2.8436,SEK
2015-04-09,2.8425,2.8898,2.8352,2.8639,SEK
2015-04-10,2.8621,2.8884,2.8406,2.8686,SEK
2015-04-13,2.8655,2.8886,2.8148,2.8267,SEK
2015-04-14,2.8232,2.868,2.8147,2.861,SEK
2015-04-15,2.8595,2.8853,2.8396,2.8801,SEK
2015-04-16,2.8785,2.8824,2.8319,2.8424,SEK
2015-04-17,2.8413,2.8621,2.8146,2.8393,SEK
2015-04-20,2.8376,2.8792,2.8292,2.8673,SEK
2015-04-21,2.8651,2.8825,2.839,2.8557,SEK
2015-04-22,2.8548,2.9144,2.8356,2.8994,SEK
2015-04-23,2.8974,2.9115,2.8675,2.9067,SEK
2015-04-24,2.905,2.9282,2.8851,2.9251,SEK
2015-04-27,2.9196,2.9671,2.9131,2.9482,SEK
2015-04-28,2.9456,2.9782,2.8919,2.8998,SEK
2015-04-29,2.899,2.9061,2.8103,2.8129,SEK
2015-04-30,2.8103,2.8347,2.759,2.7635,SEK
2015-05-01,2.7609,2.7935,2.7406,2.7869,SEK
2015-05-04,2.7825,2.7927,2.7038,2.7126,SEK
2015-05-05,2.7112,2.7485,2.7074,2.7324,SEK
2015-05-06,2.7319,2.7355,2.6834,2.7102,SEK
2015-05-07,2.7087,2.7443,2.6945,2.729,SEK
2015-05-08,2.7278,2.778,2.7161,2.7775,SEK
2015-05-11,2.7751,2.7954,2.7074,2.7113,SEK
2015-05-12,2.7094,2.7648,2.688,2.7588,SEK
2015-05-13,2.7579,2.7748,2.7024,2.7102,SEK
2015-05-14,2.7082,2.7601,2.6924,2.7519,SEK
2015-05-15,2.7479,2.7815,2.7301,2.7325,SEK
2015-05-18,2.7291,2.7531,2.715,2.737,SEK
2015-05-19,2.7349,2.7778,2.7316,2.7444,SEK
2015-05-20,2.7428,2.7816,2.7417,2.7801,SEK
2015-05-21,2.7787,2.7832,2.7292,2.7449,SEK
2015-05-22,2.7424,2.7466,2.7034,2.711,SEK
2015-05-25,2.7081,2.7218,2.6833,2.7178,SEK
2015-05-26,2.7159,2.7359,2.6794,2.6877,SEK
2015-05-27,2.6867,2.7106,2.6725,2.7081,SEK
2015-05-28,2.7062,2.7105,2.6601,2.6784,SEK
2015-05-29,2.6762,2.7071,2.6652,2.6795,SEK
2015-06-01,2.6773,2.7205,2.6641,2.7043,SEK
2015-06-02,2.7029,2.709,2.6718,2.6966,SEK
2015-06-03,2.6953,2.7039,2.6446,2.6502,SEK
2015-06-04,2.6473,2.6608,2.6107,2.6332,SEK
2015-06-05,2.6319,2.7075,2.6284,2.666,SEK
2015-06-08,2.6617,2.6922,2.6583,2.6652,SEK
2015-06-09,2.6638,2.6926,2.6534,2.677,SEK
2015-06-10,2.6753,2.7029,2.6472,2.6492,SEK
2015-06-11,2.6488,2.6571,2.5983,2.6565,SEK
2015-06-12,2.6553,2.6757,2.6135,2.623,SEK
2015-06-15,2.6226,2.6517,2.6011,2.6095,SEK
2015-06-16,2.6062,2.6581,2.6009,2.6459,SEK
2015-06-17,2.6437,2.6757,2.6334,2.6524,SEK
2015-06-18,2.6515,2.6717,2.6232,2.6572,SEK
2015-06-19,2.6556,2.6706,2.6156,2.6189,SEK
2015-06-22,2.6176,2.6482,2.609,2.6446,SEK
2015-06-23,2.643,2.6867,2.6337,2.6859,SEK
2015-06-24,2.6844,2.6889,2.6542,2.66,SEK
2015-06-25,2.6586,2.675,2.6308,2.6361,SEK
2015-06-26,2.6345,2.6666,2.6305,2.6525,SEK
2015-06-29,2.6497,2.6857,2.6183,2.6391,SEK
2015-06-30,2.6372,2.6828,2.6287,2.6696,SEK
2015-07-01,2.6681,2.6896,2.6581,2.6613,SEK
2015-07-02,2.6596,2.7356,2.6502,2.7315,SEK
2015-07-03,2.7297,2.7313,2.6903,2.6965,SEK
2015-07-06,2.6949,2.7187,2.6806,2.6963,SEK
2015-07-07,2.6943,2.7091,2.6616,2.6707,SEK
2015-07-08,2.6695,2.6814,2.6099,2.6166,SEK
2015-07-09,2.6133,2.6502,2.6002,2.6354,SEK
2015-07-10,2.634,2.6763,2.6008,2.6699,SEK
2015-07-13,2.6669,2.7142,2.6546,2.7074,SEK
