Date,Open,High,Low,Close,Currency
2015-01-01,11.9,11.91,11.89,11.91,TWD
2015-01-02,11.88,11.97,11.72,11.81,TWD
2015-01-05,11.79,11.89,11.72,11.83,TWD
2015-01-06,11.82,11.89,11.74,11.86,TWD
2015-01-07,11.84,11.96,11.8,11.92,TWD
2015-01-08,11.92,12.03,11.83,12.01,TWD
2015-01-09,12.0,12.15,11.93,12.13,TWD
2015-01-12,12.14,12.14,11.91,11.93,TWD
2015-01-13,11.92,12.12,11.88,12.05,TWD
2015-01-14,12.04,12.21,11.98,12.16,TWD
2015-01-15,12.16,12.2,11.96,11.98,TWD
2015-01-16,11.98,12.05,11.91,12.01,TWD
2015-01-19,12.0,12.06,11.81,11.88,TWD
2015-01-20,11.87,12.14,11.86,12.11,TWD
2015-01-21,12.1,12.16,12.02,12.12,TWD
2015-01-22,12.11,12.33,12.05,12.21,TWD
2015-01-23,12.2,12.21,12.03,12.12,TWD
2015-01-26,12.1,12.15,11.99,12.12,TWD
2015-01-27,12.12,12.14,11.94,12.07,TWD
2015-01-28,12.07,12.17,12.04,12.12,TWD
2015-01-29,12.11,12.26,12.06,12.13,TWD
2015-01-30,12.12,12.16,11.78,11.83,TWD
2015-02-02,11.81,11.88,11.56,11.58,TWD
2015-02-03,11.58,11.71,11.53,11.68,TWD
2015-02-04,11.69,11.69,11.44,11.48,TWD
2015-02-05,11.47,11.57,11.41,11.47,TWD
2015-02-06,11.46,11.51,11.33,11.38,TWD
2015-02-09,11.33,11.43,11.29,11.4,TWD
2015-02-10,11.38,11.4,11.11,11.14,TWD
2015-02-11,11.13,11.15,10.97,11.02,TWD
2015-02-12,11.01,11.13,10.93,11.1,TWD
2015-02-13,11.09,11.17,10.97,11.05,TWD
2015-02-16,11.06,11.1,11.04,11.09,TWD
2015-02-17,11.08,11.17,11.08,11.17,TWD
2015-02-18,11.17,11.22,11.11,11.17,TWD
2015-02-19,11.15,11.17,11.06,11.09,TWD
2015-02-20,11.09,11.13,11.0,11.07,TWD
2015-02-23,11.07,11.09,10.92,11.02,TWD
2015-02-24,11.02,11.2,10.96,11.17,TWD
2015-02-25,11.17,11.18,10.88,10.93,TWD
2015-02-26,10.92,11.03,10.81,10.82,TWD
2015-02-27,10.79,11.08,10.77,11.08,TWD
2015-03-02,11.08,11.11,10.83,10.85,TWD
2015-03-03,10.84,10.88,10.67,10.7,TWD
2015-03-04,10.68,10.73,10.47,10.55,TWD
2015-03-05,10.54,10.58,10.42,10.49,TWD
2015-03-06,10.48,10.54,10.28,10.32,TWD
2015-03-09,10.32,10.33,10.06,10.1,TWD
2015-03-10,10.09,10.26,9.98,10.22,TWD
2015-03-11,10.21,10.28,10.09,10.14,TWD
2015-03-12,10.14,10.26,9.96,9.98,TWD
2015-03-13,9.98,10.01,9.66,9.76,TWD
2015-03-16,9.75,9.87,9.7,9.74,TWD
2015-03-17,9.74,9.77,9.6,9.73,TWD
2015-03-18,9.72,9.82,9.59,9.75,TWD
2015-03-19,9.75,9.75,9.51,9.56,TWD
2015-03-20,9.56,9.81,9.48,9.71,TWD
2015-03-23,9.7,9.99,9.69,9.99,TWD
2015-03-24,9.98,10.09,9.85,9.95,TWD
2015-03-25,9.94,10.03,9.75,9.76,TWD
2015-03-26,9.76,9.84,9.68,9.82,TWD
2015-03-27,9.82,9.84,9.58,9.59,TWD
2015-03-30,9.59,9.76,9.51,9.68,TWD
2015-03-31,9.67,9.87,9.56,9.78,TWD
2015-04-01,9.77,9.99,9.77,9.87,TWD
2015-04-02,9.86,9.96,9.77,9.94,TWD
2015-04-03,9.93,9.94,9.88,9.9,TWD
2015-04-06,9.89,10.03,9.88,9.89,TWD
2015-04-07,9.89,9.99,9.86,9.92,TWD
2015-04-08,9.91,10.21,9.91,10.2,TWD
2015-04-09,10.2,10.31,10.15,10.22,TWD
2015-04-10,10.21,10.22,10.09,10.16,TWD
2015-04-13,10.15,10.18,10.01,10.04,TWD
2015-04-14,10.03,10.22,9.97,10.2,TWD
