Date,Open,High,Low,Close,Currency
2015-01-01,0.3243,0.3247,0.3243,0.3245,BHD
2015-01-02,0.3246,0.3251,0.3198,0.3199,BHD
2015-01-05,0.3198,0.3211,0.3189,0.3205,BHD
2015-01-06,0.3205,0.3214,0.3183,0.3185,BHD
2015-01-07,0.3184,0.3192,0.3175,0.3191,BHD
2015-01-08,0.319,0.3197,0.3182,0.3187,BHD
2015-01-09,0.3186,0.3194,0.317,0.3177,BHD
2015-01-12,0.3177,0.3186,0.3147,0.3149,BHD
2015-01-13,0.3148,0.3162,0.3142,0.3153,BHD
2015-01-14,0.3152,0.3161,0.3136,0.3155,BHD
2015-01-15,0.3154,0.3195,0.3142,0.3152,BHD
2015-01-16,0.3151,0.3155,0.3129,0.3146,BHD
2015-01-19,0.3145,0.316,0.3144,0.3158,BHD
2015-01-20,0.3156,0.3159,0.3111,0.3112,BHD
2015-01-21,0.3112,0.3126,0.3041,0.3055,BHD
2015-01-22,0.3055,0.3062,0.3035,0.3045,BHD
2015-01-23,0.3045,0.3051,0.3026,0.3036,BHD
2015-01-26,0.3034,0.304,0.3018,0.3022,BHD
2015-01-27,0.3021,0.3046,0.3015,0.3041,BHD
2015-01-28,0.304,0.3045,0.3006,0.3008,BHD
2015-01-29,0.3007,0.3014,0.2973,0.2988,BHD
2015-01-30,0.2988,0.2991,0.2945,0.2961,BHD
2015-02-02,0.296,0.3003,0.2951,0.3001,BHD
2015-02-03,0.3,0.3052,0.2981,0.3037,BHD
2015-02-04,0.3037,0.3043,0.2993,0.2998,BHD
2015-02-05,0.2998,0.3042,0.2994,0.3032,BHD
2015-02-06,0.3032,0.3037,0.3004,0.301,BHD
2015-02-09,0.3009,0.3034,0.3004,0.3024,BHD
2015-02-10,0.3024,0.3028,0.2986,0.2995,BHD
2015-02-11,0.2995,0.3,0.2969,0.2984,BHD
2015-02-12,0.2984,0.3032,0.2981,0.3015,BHD
2015-02-13,0.3014,0.3036,0.3006,0.3029,BHD
2015-02-16,0.3028,0.3035,0.3017,0.3024,BHD
2015-02-17,0.3024,0.305,0.302,0.3043,BHD
2015-02-18,0.3042,0.3046,0.3023,0.3027,BHD
2015-02-19,0.3027,0.3032,0.3002,0.3017,BHD
2015-02-20,0.3016,0.3036,0.3,0.3009,BHD
2015-02-23,0.3007,0.3011,0.2986,0.3,BHD
2015-02-24,0.2998,0.3021,0.2976,0.302,BHD
2015-02-25,0.3019,0.304,0.3015,0.3032,BHD
2015-02-26,0.3031,0.3044,0.3007,0.3013,BHD
2015-02-27,0.3012,0.3029,0.3008,0.3014,BHD
2015-03-02,0.3011,0.3022,0.3,0.3007,BHD
2015-03-03,0.3007,0.3033,0.3005,0.3017,BHD
2015-03-04,0.3017,0.3039,0.3006,0.3034,BHD
2015-03-05,0.3034,0.3039,0.3011,0.3019,BHD
2015-03-06,0.3019,0.3027,0.2985,0.2987,BHD
2015-03-09,0.2986,0.2999,0.2985,0.2992,BHD
2015-03-10,0.2991,0.2993,0.297,0.2971,BHD
2015-03-11,0.2971,0.2977,0.2945,0.2957,BHD
2015-03-12,0.2956,0.2987,0.2952,0.2972,BHD
2015-03-13,0.2971,0.2973,0.2939,0.2949,BHD
2015-03-16,0.2948,0.2961,0.294,0.2952,BHD
2015-03-17,0.2951,0.2957,0.2945,0.2948,BHD
2015-03-18,0.2947,0.3022,0.2937,0.3,BHD
2015-03-19,0.3,0.3014,0.2954,0.2964,BHD
2015-03-20,0.2964,0.3005,0.2962,0.3004,BHD
2015-03-23,0.3003,0.3017,0.2987,0.301,BHD
2015-03-24,0.301,0.3034,0.3004,0.3018,BHD
2015-03-25,0.3017,0.3023,0.3006,0.3012,BHD
2015-03-26,0.3011,0.3039,0.3007,0.302,BHD
2015-03-27,0.302,0.3024,0.2986,0.299,BHD
2015-03-30,0.2989,0.2993,0.2966,0.2975,BHD
2015-03-31,0.2974,0.298,0.2948,0.2972,BHD
2015-04-01,0.2972,0.2999,0.2965,0.2987,BHD
2015-04-02,0.2987,0.3003,0.2978,0.3003,BHD
2015-04-03,0.3002,0.3034,0.2997,0.302,BHD
2015-04-06,0.3027,0.3032,0.3014,0.3021,BHD
2015-04-07,0.302,0.3027,0.301,0.3015,BHD
2015-04-08,0.3014,0.3044,0.3001,0.3006,BHD
2015-04-09,0.3005,0.3015,0.2988,0.2997,BHD
2015-04-10,0.2997,0.3001,0.2975,0.3,BHD
2015-04-13,0.2997,0.3002,0.298,0.2993,BHD
2015-04-14,0.2992,0.303,0.299,0.3019,BHD
2015-04-15,0.3019,0.307,0.2998,0.3068,BHD
2015-04-16,0.3066,0.3105,0.3057,0.3093,BHD
2015-04-17,0.3092,0.3119,0.307,0.3077,BHD
2015-04-20,0.3083,0.3095,0.3074,0.3084,BHD
2015-04-21,0.3084,0.3087,0.3062,0.307,BHD
2015-04-22,0.3069,0.3088,0.3066,0.3081,BHD
2015-04-23,0.3081,0.3112,0.3072,0.3104,BHD
2015-04-24,0.3105,0.3115,0.3093,0.3095,BHD
2015-04-27,0.3096,0.3121,0.309,0.312,BHD
2015-04-28,0.3118,0.3138,0.311,0.3133,BHD
2015-04-29,0.3132,0.3157,0.3122,0.3137,BHD
2015-04-30,0.3136,0.3143,0.3107,0.3122,BHD
2015-05-01,0.3121,0.3126,0.3088,0.3101,BHD
2015-05-04,0.31,0.312,0.3094,0.3117,BHD
2015-05-05,0.3117,0.3142,0.3107,0.3125,BHD
2015-05-06,0.3124,0.3158,0.3118,0.313,BHD
2015-05-07,0.3129,0.3134,0.3099,0.3109,BHD
2015-05-08,0.3107,0.3131,0.3103,0.3124,BHD
2015-05-11,0.3121,0.3126,0.3104,0.3115,BHD
2015-05-12,0.3115,0.3148,0.3113,0.3138,BHD
2015-05-13,0.3137,0.3161,0.3133,0.3153,BHD
2015-05-14,0.3152,0.3164,0.3139,0.3146,BHD
2015-05-15,0.3146,0.3148,0.3123,0.3139,BHD
2015-05-18,0.3137,0.314,0.3097,0.3101,BHD
2015-05-19,0.31,0.3109,0.3077,0.3082,BHD
2015-05-20,0.3081,0.3099,0.3075,0.3088,BHD
2015-05-21,0.3087,0.3098,0.3079,0.3091,BHD
2015-05-22,0.3091,0.3098,0.3059,0.3071,BHD
2015-05-25,0.3072,0.3072,0.306,0.3063,BHD
2015-05-26,0.3062,0.3065,0.3028,0.3032,BHD
2015-05-27,0.3031,0.3042,0.3017,0.3028,BHD
2015-05-28,0.3028,0.3036,0.3006,0.3032,BHD
2015-05-29,0.3031,0.3039,0.3009,0.3029,BHD
2015-06-01,0.3029,0.303,0.3,0.3011,BHD
2015-06-02,0.3011,0.3049,0.3007,0.3041,BHD
2015-06-03,0.304,0.3045,0.3013,0.3028,BHD
2015-06-04,0.3027,0.3032,0.3014,0.3015,BHD
2015-06-05,0.3015,0.3035,0.3,0.3032,BHD
2015-06-08,0.3032,0.3045,0.3022,0.3038,BHD
2015-06-09,0.3038,0.3064,0.3029,0.3056,BHD
2015-06-10,0.3055,0.309,0.3052,0.3077,BHD
2015-06-11,0.3076,0.3078,0.3051,0.3067,BHD
2015-06-12,0.3067,0.3071,0.3052,0.306,BHD
2015-06-15,0.3059,0.3067,0.3049,0.3059,BHD
2015-06-16,0.3058,0.307,0.3053,0.3067,BHD
2015-06-17,0.3067,0.3086,0.3056,0.3084,BHD
2015-06-18,0.3082,0.3109,0.3076,0.3085,BHD
2015-06-19,0.3084,0.3088,0.3065,0.3074,BHD
2015-06-22,0.3072,0.3081,0.3057,0.3064,BHD
2015-06-23,0.3063,0.3063,0.3044,0.3059,BHD
2015-06-24,0.3057,0.3071,0.3034,0.3045,BHD
2015-06-25,0.3044,0.3063,0.304,0.3058,BHD
2015-06-26,0.3058,0.3063,0.304,0.3061,BHD
2015-06-29,0.3059,0.3064,0.3035,0.304,BHD
2015-06-30,0.304,0.305,0.3015,0.3018,BHD
2015-07-01,0.3017,0.3023,0.2992,0.2995,BHD
2015-07-02,0.2994,0.3007,0.2983,0.3005,BHD
2015-07-03,0.3005,0.3009,0.2991,0.2998,BHD
2015-07-06,0.2998,0.3001,0.2976,0.298,BHD
2015-07-07,0.298,0.2982,0.2949,0.2968,BHD
2015-07-08,0.2967,0.2972,0.2952,0.2958,BHD
2015-07-09,0.2957,0.2977,0.2956,0.2968,BHD
2015-07-10,0.2966,0.298,0.2955,0.2979,BHD
2015-07-13,0.2979,0.298,0.2944,0.2959,BHD
2015-07-14,0.2959,0.2965,0.2943,0.2963,BHD
2015-07-15,0.2961,0.2964,0.2909,0.292,BHD
2015-07-16,0.292,0.2922,0.2906,0.2911,BHD
2015-07-17,0.291,0.2914,0.2898,0.2907,BHD
2015-07-20,0.2906,0.2912,0.2894,0.2902,BHD
2015-07-21,0.2901,0.2919,0.2896,0.2912,BHD
2015-07-22,0.2911,0.2914,0.2887,0.2893,BHD
2015-07-23,0.2892,0.2912,0.2888,0.2893,BHD
2015-07-24,0.2892,0.2897,0.2877,0.2889,BHD
2015-07-27,0.2891,0.2905,0.2887,0.2892,BHD
2015-07-28,0.2891,0.2921,0.2889,0.2918,BHD
2015-07-29,0.2918,0.2932,0.2906,0.2913,BHD
2015-07-30,0.2912,0.2914,0.289,0.2901,BHD
2015-07-31,0.2901,0.2915,0.2877,0.2881,BHD
2015-08-03,0.2878,0.2883,0.2861,0.2867,BHD
2015-08-04,0.2866,0.2878,0.2855,0.2858,BHD
2015-08-05,0.2857,0.2877,0.2851,0.2861,BHD
2015-08-06,0.2861,0.288,0.2854,0.2876,BHD
2015-08-07,0.2875,0.2892,0.2859,0.2872,BHD
2015-08-10,0.2872,0.2903,0.286,0.2901,BHD
2015-08-11,0.2901,0.2903,0.2868,0.2877,BHD
2015-08-12,0.2876,0.2913,0.2866,0.2908,BHD
2015-08-13,0.2907,0.2912,0.2878,0.289,BHD
2015-08-14,0.2888,0.2899,0.2877,0.2882,BHD
2015-08-17,0.2882,0.289,0.2869,0.2884,BHD
2015-08-18,0.2884,0.2894,0.2874,0.2889,BHD
2015-08-19,0.2888,0.2896,0.2862,0.2872,BHD
2015-08-20,0.2873,0.2893,0.2863,0.2885,BHD
2015-08-21,0.2883,0.2892,0.2861,0.2864,BHD
2015-08-24,0.2862,0.2872,0.2839,0.2842,BHD
2015-08-25,0.2839,0.2873,0.2824,0.2831,BHD
2015-08-26,0.2829,0.285,0.2823,0.2839,BHD
2015-08-27,0.2836,0.2862,0.2832,0.2857,BHD
2015-08-28,0.2856,0.2866,0.2834,0.2856,BHD
2015-08-31,0.2856,0.2878,0.2829,0.2872,BHD
2015-09-01,0.2871,0.2877,0.2843,0.2845,BHD
2015-09-02,0.2844,0.2859,0.283,0.2844,BHD
2015-09-03,0.2843,0.2874,0.2838,0.2865,BHD
2015-09-04,0.2862,0.2869,0.284,0.2842,BHD
2015-09-07,0.2842,0.2852,0.2831,0.2835,BHD
2015-09-08,0.2833,0.2864,0.2831,0.286,BHD
2015-09-09,0.2859,0.2868,0.2843,0.2844,BHD
2015-09-10,0.2843,0.2862,0.2831,0.2845,BHD
2015-09-11,0.2844,0.2857,0.2833,0.2844,BHD
2015-09-14,0.2838,0.2859,0.2835,0.2842,BHD
2015-09-15,0.2834,0.2854,0.2834,0.2847,BHD
2015-09-16,0.2846,0.2868,0.2839,0.2864,BHD
2015-09-17,0.2864,0.2886,0.2855,0.2861,BHD
2015-09-18,0.2861,0.2899,0.285,0.2852,BHD
2015-09-21,0.2857,0.2862,0.2841,0.2844,BHD
2015-09-22,0.2844,0.2855,0.2833,0.2843,BHD
2015-09-23,0.2842,0.2852,0.2823,0.2832,BHD
2015-09-24,0.2831,0.2837,0.281,0.2835,BHD
2015-09-25,0.2833,0.2839,0.2818,0.2829,BHD
2015-09-28,0.2828,0.2834,0.2816,0.2816,BHD
2015-09-29,0.2816,0.2823,0.2802,0.2813,BHD
2015-09-30,0.2812,0.2836,0.2804,0.2833,BHD
2015-10-01,0.2833,0.2854,0.2824,0.2843,BHD
2015-10-02,0.2843,0.287,0.2839,0.2869,BHD
2015-10-05,0.2868,0.2889,0.2857,0.2881,BHD
2015-10-06,0.288,0.2897,0.2872,0.2894,BHD
2015-10-07,0.2894,0.291,0.2883,0.2891,BHD
2015-10-08,0.2889,0.2908,0.2881,0.29,BHD
2015-10-09,0.2898,0.2926,0.2896,0.2914,BHD
2015-10-12,0.291,0.2925,0.2897,0.2901,BHD
2015-10-13,0.29,0.2912,0.288,0.2893,BHD
2015-10-14,0.2893,0.292,0.2888,0.2914,BHD
2015-10-15,0.2914,0.2943,0.2909,0.2934,BHD
2015-10-16,0.2932,0.294,0.2913,0.292,BHD
2015-10-19,0.292,0.2924,0.2893,0.2897,BHD
2015-10-20,0.2895,0.2916,0.2883,0.2906,BHD
2015-10-21,0.2906,0.2909,0.2869,0.2871,BHD
2015-10-22,0.287,0.2883,0.2864,0.2882,BHD
2015-10-23,0.2881,0.2893,0.2854,0.2864,BHD
2015-10-26,0.2863,0.2876,0.2853,0.2868,BHD
2015-10-27,0.2867,0.2868,0.284,0.2842,BHD
2015-10-28,0.2841,0.2881,0.2833,0.2858,BHD
2015-10-29,0.2858,0.2873,0.2847,0.2862,BHD
2015-10-30,0.2862,0.2888,0.2857,0.2884,BHD
2015-11-02,0.2881,0.2893,0.2874,0.2879,BHD
2015-11-03,0.2874,0.2899,0.2865,0.2887,BHD
2015-11-04,0.2881,0.2893,0.2859,0.2868,BHD
2015-11-05,0.2867,0.2876,0.2857,0.2866,BHD
2015-11-06,0.2859,0.2867,0.2832,0.2835,BHD
2015-11-09,0.2826,0.2853,0.2825,0.2839,BHD
2015-11-10,0.2834,0.2853,0.2828,0.284,BHD
2015-11-11,0.2835,0.2852,0.2832,0.2841,BHD
2015-11-12,0.284,0.2854,0.2824,0.2837,BHD
2015-11-13,0.2832,0.2842,0.2823,0.2832,BHD
2015-11-16,0.2826,0.2843,0.282,0.2829,BHD
2015-11-17,0.2824,0.2849,0.2807,0.282,BHD
2015-11-18,0.2808,0.2838,0.2793,0.2838,BHD
2015-11-19,0.2831,0.2856,0.2828,0.2839,BHD
2015-11-20,0.2831,0.2846,0.2821,0.283,BHD
2015-11-23,0.2821,0.2842,0.2801,0.2818,BHD
2015-11-24,0.2807,0.2844,0.2804,0.2836,BHD
2015-11-25,0.2831,0.2843,0.2826,0.2838,BHD
2015-11-26,0.2836,0.2846,0.2828,0.2839,BHD
2015-11-27,0.2834,0.2839,0.2818,0.282,BHD
2015-11-30,0.282,0.284,0.2809,0.2822,BHD
2015-12-01,0.2817,0.2843,0.2806,0.2819,BHD
2015-12-02,0.2811,0.2841,0.2802,0.2822,BHD
2015-12-03,0.281,0.2843,0.2807,0.2825,BHD
2015-12-04,0.282,0.2833,0.281,0.2822,BHD
2015-12-07,0.2819,0.2826,0.2787,0.2794,BHD
2015-12-08,0.2789,0.2796,0.2768,0.2777,BHD
2015-12-09,0.2773,0.2791,0.2767,0.2776,BHD
2015-12-10,0.2776,0.2788,0.2763,0.2767,BHD
2015-12-11,0.2767,0.2768,0.274,0.2741,BHD
2015-12-14,0.2737,0.2761,0.2733,0.2744,BHD
2015-12-15,0.274,0.2763,0.2737,0.2747,BHD
2015-12-16,0.2743,0.2751,0.2723,0.2736,BHD
2015-12-17,0.2733,0.2736,0.2696,0.2705,BHD
2015-12-18,0.2704,0.2723,0.2692,0.2703,BHD
2015-12-21,0.2699,0.2716,0.2693,0.2703,BHD
2015-12-22,0.2698,0.2715,0.2694,0.2709,BHD
2015-12-23,0.2704,0.2726,0.2701,0.2723,BHD
2015-12-24,0.2722,0.2734,0.2714,0.273,BHD
2015-12-25,0.2725,0.2737,0.2719,0.2728,BHD
2015-12-28,0.2723,0.2726,0.2705,0.2708,BHD
2015-12-29,0.2707,0.273,0.2702,0.272,BHD
2015-12-30,0.2719,0.2729,0.2701,0.2711,BHD
2015-12-31,0.2708,0.2731,0.2704,0.2719,BHD
2016-01-01,0.2716,0.2721,0.2707,0.272,BHD
2016-01-04,0.2717,0.2723,0.2695,0.2702,BHD
2016-01-05,0.2699,0.2716,0.2688,0.2694,BHD
2016-01-06,0.2691,0.2703,0.2671,0.2678,BHD
2016-01-07,0.2673,0.2688,0.2657,0.2672,BHD
2016-01-08,0.2669,0.2681,0.2655,0.2657,BHD
