Date,Open,High,Low,Close,Currency
2015-01-01,19.66,19.73,19.63,19.7,CZK
2015-01-02,19.69,19.76,19.56,19.58,CZK
2015-01-05,19.57,19.77,19.51,19.73,CZK
2015-01-06,19.71,19.78,19.58,19.66,CZK
2015-01-07,19.65,19.93,19.61,19.92,CZK
2015-01-08,19.91,20.1,19.87,19.99,CZK
2015-01-09,19.97,20.18,19.93,20.02,CZK
2015-01-12,20.01,20.34,19.95,19.98,CZK
2015-01-13,19.97,20.27,19.88,19.96,CZK
2015-01-14,19.94,20.11,19.8,19.9,CZK
2015-01-15,19.89,20.31,19.83,20.08,CZK
2015-01-16,20.06,20.29,19.87,20.09,CZK
2015-01-19,20.07,20.19,19.99,20.16,CZK
2015-01-20,20.14,20.19,19.89,19.94,CZK
2015-01-21,19.91,20.05,19.43,19.51,CZK
2015-01-22,19.49,19.89,19.37,19.81,CZK
2015-01-23,19.78,20.15,19.72,19.93,CZK
2015-01-26,19.87,19.94,19.73,19.8,CZK
2015-01-27,19.78,19.83,19.61,19.78,CZK
2015-01-28,19.75,19.82,19.53,19.62,CZK
2015-01-29,19.61,19.67,19.37,19.43,CZK
2015-01-30,19.41,19.45,19.14,19.29,CZK
2015-02-02,19.29,19.53,19.14,19.5,CZK
2015-02-03,19.48,19.56,19.32,19.49,CZK
2015-02-04,19.47,19.55,19.26,19.44,CZK
2015-02-05,19.42,19.55,19.3,19.43,CZK
2015-02-06,19.42,19.64,19.32,19.54,CZK
2015-02-09,19.52,19.72,19.42,19.63,CZK
2015-02-10,19.61,19.73,19.33,19.42,CZK
2015-02-11,19.4,19.48,19.26,19.31,CZK
2015-02-12,19.29,19.57,19.26,19.39,CZK
2015-02-13,19.36,19.48,19.29,19.46,CZK
2015-02-16,19.45,19.58,19.38,19.53,CZK
2015-02-17,19.51,19.64,19.42,19.51,CZK
2015-02-18,19.48,19.56,19.17,19.2,CZK
2015-02-19,19.18,19.31,19.1,19.27,CZK
2015-02-20,19.25,19.57,19.2,19.31,CZK
2015-02-23,19.29,19.37,19.16,19.25,CZK
2015-02-24,19.22,19.43,19.12,19.4,CZK
2015-02-25,19.38,19.5,19.33,19.41,CZK
2015-02-26,19.39,19.73,19.35,19.65,CZK
2015-02-27,19.63,19.7,19.56,19.66,CZK
2015-03-02,19.69,19.71,19.48,19.62,CZK
2015-03-03,19.6,19.78,19.57,19.66,CZK
2015-03-04,19.64,20.02,19.62,19.96,CZK
2015-03-05,19.94,20.04,19.74,19.81,CZK
2015-03-06,19.79,20.04,19.77,19.96,CZK
2015-03-09,19.96,20.02,19.82,19.95,CZK
2015-03-10,19.93,20.18,19.9,20.1,CZK
2015-03-11,20.08,20.39,20.06,20.29,CZK
2015-03-12,20.27,20.39,20.16,20.24,CZK
2015-03-13,20.22,20.4,20.17,20.35,CZK
2015-03-16,20.34,20.39,20.08,20.18,CZK
2015-03-17,20.16,20.21,19.95,20.09,CZK
2015-03-18,20.07,20.19,19.91,20.02,CZK
2015-03-19,20.0,20.32,19.94,20.23,CZK
2015-03-20,20.21,20.34,20.07,20.21,CZK
2015-03-23,20.18,20.25,19.92,19.98,CZK
2015-03-24,19.96,20.12,19.89,20.08,CZK
2015-03-25,20.06,20.12,19.86,19.93,CZK
2015-03-26,19.91,20.29,19.88,20.23,CZK
2015-03-27,20.21,20.39,19.94,20.02,CZK
2015-03-30,19.97,20.1,19.96,20.02,CZK
2015-03-31,20.0,20.32,19.97,20.24,CZK
2015-04-01,20.22,20.35,20.14,20.3,CZK
2015-04-02,20.28,20.36,20.05,20.16,CZK
2015-04-03,20.14,20.25,20.03,20.1,CZK
2015-04-06,20.15,20.18,19.91,20.08,CZK
2015-04-07,20.06,20.3,20.04,20.26,CZK
2015-04-08,20.24,20.34,20.17,20.26,CZK
2015-04-09,20.24,20.49,20.19,20.45,CZK
2015-04-10,20.43,20.58,20.37,20.51,CZK
2015-04-13,20.5,20.61,20.42,20.55,CZK
2015-04-14,20.53,20.66,20.42,20.54,CZK
2015-04-15,20.52,20.96,20.48,20.91,CZK
2015-04-16,20.89,21.05,20.76,20.93,CZK
2015-04-17,20.91,21.12,20.69,20.72,CZK
2015-04-20,20.7,20.97,20.7,20.89,CZK
2015-04-21,20.87,21.02,20.73,20.81,CZK
2015-04-22,20.79,20.93,20.76,20.89,CZK
2015-04-23,20.87,20.98,20.75,20.86,CZK
2015-04-24,20.85,20.95,20.7,20.74,CZK
2015-04-27,20.72,20.92,20.69,20.89,CZK
2015-04-28,20.87,20.94,20.72,20.76,CZK
2015-04-29,20.74,20.82,20.43,20.51,CZK
2015-04-30,20.48,20.6,20.12,20.26,CZK
2015-05-01,20.24,20.31,19.97,20.08,CZK
2015-05-04,20.06,20.34,20.02,20.3,CZK
2015-05-05,20.28,20.45,20.23,20.3,CZK
2015-05-06,20.27,20.37,19.99,20.06,CZK
2015-05-07,20.03,20.15,19.88,20.03,CZK
2015-05-08,20.0,20.31,19.99,20.3,CZK
2015-05-11,20.26,20.37,20.19,20.29,CZK
2015-05-12,20.27,20.41,20.13,20.36,CZK
2015-05-13,20.33,20.45,20.15,20.24,CZK
2015-05-14,20.22,20.3,20.05,20.11,CZK
2015-05-15,20.08,20.17,19.85,19.92,CZK
2015-05-18,19.89,20.01,19.82,19.92,CZK
2015-05-19,19.9,20.17,19.87,20.08,CZK
2015-05-20,20.06,20.22,20.05,20.18,CZK
2015-05-21,20.15,20.24,20.03,20.2,CZK
2015-05-22,20.18,20.31,19.96,20.29,CZK
2015-05-25,20.26,20.33,20.19,20.25,CZK
2015-05-26,20.22,20.41,20.16,20.3,CZK
2015-05-27,20.28,20.32,20.12,20.21,CZK
2015-05-28,20.2,20.24,20.05,20.15,CZK
2015-05-29,20.13,20.22,19.88,20.04,CZK
2015-06-01,20.03,20.18,19.98,20.05,CZK
2015-06-02,20.03,20.09,19.7,19.86,CZK
2015-06-03,19.82,19.91,19.54,19.58,CZK
2015-06-04,19.56,19.63,19.38,19.52,CZK
2015-06-05,19.5,19.86,19.38,19.83,CZK
2015-06-08,19.8,19.86,19.53,19.56,CZK
2015-06-09,19.56,19.8,19.48,19.69,CZK
2015-06-10,19.67,19.82,19.57,19.65,CZK
2015-06-11,19.63,19.82,19.56,19.73,CZK
2015-06-12,19.71,19.88,19.61,19.66,CZK
2015-06-15,19.73,19.79,19.57,19.6,CZK
2015-06-16,19.58,19.74,19.52,19.71,CZK
2015-06-17,19.69,19.74,19.56,19.67,CZK
2015-06-18,19.65,19.75,19.48,19.61,CZK
2015-06-19,19.59,19.73,19.52,19.58,CZK
2015-06-22,19.56,19.64,19.39,19.48,CZK
2015-06-23,19.46,19.79,19.42,19.76,CZK
