Date,Open,High,Low,Close,Currency
2015-01-01,5.2948,5.3004,5.2914,5.2968,DKK
2015-01-02,5.2952,5.3101,5.2607,5.2627,DKK
2015-01-05,5.2615,5.3091,5.248,5.3014,DKK
2015-01-06,5.3009,5.3167,5.27,5.2881,DKK
2015-01-07,5.2865,5.3253,5.2779,5.3191,DKK
2015-01-08,5.3181,5.3606,5.3134,5.3323,DKK
2015-01-09,5.3314,5.338,5.2868,5.2969,DKK
2015-01-12,5.2948,5.3129,5.2484,5.2505,DKK
2015-01-13,5.249,5.3007,5.2408,5.2842,DKK
2015-01-14,5.282,5.2919,5.2507,5.279,DKK
2015-01-15,5.2782,5.3931,5.2711,5.3427,DKK
2015-01-16,5.341,5.4048,5.322,5.3597,DKK
2015-01-19,5.3588,5.3817,5.3299,5.3641,DKK
2015-01-20,5.3636,5.375,5.2978,5.3134,DKK
2015-01-21,5.313,5.3285,5.1764,5.1897,DKK
2015-01-22,5.1886,5.3003,5.1731,5.29,DKK
2015-01-23,5.2895,5.3916,5.2784,5.3489,DKK
2015-01-26,5.3366,5.3619,5.2992,5.3134,DKK
2015-01-27,5.3132,5.3173,5.2605,5.2746,DKK
2015-01-28,5.2732,5.2934,5.2461,5.2617,DKK
2015-01-29,5.2613,5.2772,5.1943,5.2102,DKK
2015-01-30,5.21,5.2127,5.134,5.1721,DKK
2015-02-02,5.1703,5.2308,5.1406,5.2242,DKK
2015-02-03,5.2222,5.2374,5.1874,5.2243,DKK
2015-02-04,5.223,5.2362,5.1728,5.2188,DKK
2015-02-05,5.2182,5.2489,5.1924,5.2154,DKK
2015-02-06,5.2148,5.2748,5.2036,5.2484,DKK
2015-02-09,5.2481,5.2879,5.2354,5.2723,DKK
2015-02-10,5.2711,5.2905,5.2054,5.2226,DKK
2015-02-11,5.2226,5.2341,5.1891,5.1971,DKK
2015-02-12,5.1963,5.2591,5.1907,5.2205,DKK
2015-02-13,5.2189,5.2523,5.197,5.2452,DKK
2015-02-16,5.2429,5.2706,5.2256,5.2598,DKK
2015-02-17,5.2592,5.2828,5.2497,5.2638,DKK
2015-02-18,5.2621,5.3006,5.2422,5.2445,DKK
2015-02-19,5.2439,5.2486,5.2077,5.2402,DKK
2015-02-20,5.2392,5.3084,5.209,5.2356,DKK
2015-02-23,5.2324,5.2447,5.2162,5.2365,DKK
2015-02-24,5.2336,5.2725,5.2035,5.2711,DKK
2015-02-25,5.2694,5.3064,5.262,5.2859,DKK
2015-02-26,5.2851,5.3428,5.2774,5.3243,DKK
2015-02-27,5.323,5.351,5.3155,5.3309,DKK
2015-03-02,5.34,5.3415,5.2907,5.3139,DKK
2015-03-03,5.3128,5.3655,5.3081,5.3373,DKK
2015-03-04,5.3364,5.4265,5.3301,5.4153,DKK
2015-03-05,5.4149,5.4428,5.389,5.4108,DKK
2015-03-06,5.4102,5.4705,5.4064,5.4388,DKK
2015-03-09,5.4371,5.4585,5.4231,5.4478,DKK
2015-03-10,5.4464,5.5147,5.4402,5.4895,DKK
2015-03-11,5.4885,5.5635,5.4846,5.5427,DKK
2015-03-12,5.5421,5.5642,5.5186,5.5274,DKK
2015-03-13,5.5259,5.5707,5.5121,5.5608,DKK
2015-03-16,5.5554,5.5638,5.4997,5.5283,DKK
2015-03-17,5.5271,5.5322,5.4843,5.5039,DKK
2015-03-18,5.5007,5.6162,5.4762,5.5751,DKK
2015-03-19,5.5751,5.5817,5.4554,5.4945,DKK
2015-03-20,5.4937,5.5144,5.4458,5.4886,DKK
2015-03-23,5.485,5.4957,5.4364,5.4398,DKK
2015-03-24,5.4396,5.4753,5.4264,5.468,DKK
2015-03-25,5.4663,5.4722,5.4238,5.4398,DKK
2015-03-26,5.4372,5.5112,5.4339,5.4969,DKK
2015-03-27,5.4966,5.5205,5.4287,5.4399,DKK
2015-03-30,5.4376,5.4604,5.4285,5.4409,DKK
2015-03-31,5.4395,5.4985,5.4246,5.4878,DKK
2015-04-01,5.4877,5.5113,5.4681,5.4993,DKK
