Date,Open,High,Low,Close,Currency
2015-01-01,6.1511,6.1585,6.15,6.1548,EGP
2015-01-02,6.1558,6.1646,6.0655,6.0673,EGP
2015-01-05,6.0686,6.0846,6.0409,6.0697,EGP
2015-01-06,6.0609,6.0908,6.0373,6.041,EGP
2015-01-07,6.0394,6.0535,6.0205,6.0514,EGP
2015-01-08,6.0506,6.0625,6.0353,6.0435,EGP
2015-01-09,6.0429,6.057,6.0119,6.0249,EGP
2015-01-12,6.0261,6.0415,5.9693,5.9714,EGP
2015-01-13,5.9698,5.9963,5.9598,5.9798,EGP
2015-01-14,5.9778,5.994,5.9484,5.9825,EGP
2015-01-15,5.9818,6.0588,5.9583,5.9783,EGP
2015-01-16,5.9768,5.9836,5.9336,5.9661,EGP
2015-01-19,6.0105,6.0762,6.007,6.0725,EGP
2015-01-20,6.0685,6.1052,6.0241,6.0262,EGP
2015-01-21,6.0261,6.0933,5.9289,5.9561,EGP
2015-01-22,5.9553,6.0096,5.9375,5.9771,EGP
2015-01-23,5.9769,5.9878,5.9395,5.9585,EGP
2015-01-26,5.9452,5.9989,5.93,5.9642,EGP
2015-01-27,5.9625,6.0104,5.9506,6.0008,EGP
2015-01-28,5.9995,6.0189,5.9565,5.9584,EGP
2015-01-29,5.9584,6.0625,5.9546,6.0155,EGP
2015-01-30,6.0157,6.0217,5.9288,5.9616,EGP
2015-02-02,5.9678,6.0611,5.9547,6.0572,EGP
2015-02-03,6.0555,6.1769,6.0168,6.1456,EGP
2015-02-04,6.1453,6.1629,6.05,6.0639,EGP
2015-02-05,6.0596,6.157,6.0524,6.1357,EGP
2015-02-06,6.1354,6.1456,6.0797,6.0916,EGP
2015-02-09,6.0826,6.1394,6.0802,6.1202,EGP
2015-02-10,6.1192,6.1285,6.0402,6.045,EGP
2015-02-11,6.0454,6.072,6.0,6.0358,EGP
2015-02-12,6.0313,6.1374,6.0242,6.0991,EGP
2015-02-13,6.0956,6.1414,6.0805,6.127,EGP
2015-02-16,6.128,6.1425,6.1069,6.1204,EGP
2015-02-17,6.1202,6.1722,6.1128,6.1578,EGP
2015-02-18,6.1562,6.1639,6.1187,6.1258,EGP
2015-02-19,6.1256,6.1366,6.0802,6.1058,EGP
2015-02-20,6.105,6.1433,6.071,6.0904,EGP
2015-02-23,6.0844,6.0893,6.0386,6.0705,EGP
2015-02-24,6.0676,6.1149,6.0196,6.1124,EGP
2015-02-25,6.1104,6.1532,6.103,6.1355,EGP
2015-02-26,6.1349,6.1607,6.0855,6.0967,EGP
2015-02-27,6.0957,6.1296,6.0879,6.1002,EGP
2015-03-02,6.1108,6.1156,6.071,6.0868,EGP
2015-03-03,6.086,6.1374,6.0811,6.106,EGP
2015-03-04,6.1055,6.1503,6.0786,6.1394,EGP
2015-03-05,6.1394,6.1501,6.0933,6.1106,EGP
2015-03-06,6.1104,6.1265,6.0417,6.045,EGP
2015-03-09,6.0436,6.0689,6.0417,6.0544,EGP
2015-03-10,6.0532,6.0565,6.0106,6.0131,EGP
2015-03-11,6.0126,6.0229,5.9605,5.9836,EGP
2015-03-12,5.9834,6.0483,5.974,6.0129,EGP
2015-03-13,6.0096,6.0142,5.9445,5.9667,EGP
2015-03-16,5.9594,5.99,5.9473,5.9717,EGP
2015-03-17,5.9687,5.984,5.955,5.9664,EGP
2015-03-18,5.9633,6.1147,5.9442,6.07,EGP
2015-03-19,6.0684,6.0966,5.9787,5.9989,EGP
2015-03-20,5.9984,6.0824,5.9956,6.079,EGP
2015-03-23,6.0753,6.1063,6.0449,6.0926,EGP
2015-03-24,6.0928,6.1404,6.0797,6.107,EGP
2015-03-25,6.1055,6.1173,6.0831,6.0962,EGP
2015-03-26,6.0938,6.1494,6.0865,6.1124,EGP
2015-03-27,6.1128,6.1204,6.0431,6.0511,EGP
2015-03-30,6.0488,6.0573,6.0031,6.02,EGP
2015-03-31,6.0188,6.0294,5.967,6.0118,EGP
2015-04-01,6.0106,6.0681,5.9958,6.0455,EGP
2015-04-02,6.046,6.0791,6.0273,6.0746,EGP
2015-04-03,6.0709,6.1375,6.0622,6.1098,EGP
2015-04-06,6.1256,6.1359,6.0996,6.1143,EGP
2015-04-07,6.1118,6.1273,6.0838,6.1014,EGP
2015-04-08,6.1006,6.1602,6.0739,6.0831,EGP
2015-04-09,6.0821,6.1016,6.0474,6.0652,EGP
2015-04-10,6.0652,6.073,6.0221,6.0705,EGP
2015-04-13,6.0657,6.0763,6.0316,6.058,EGP
2015-04-14,6.0551,6.1318,6.0506,6.1112,EGP
2015-04-15,6.1104,6.2134,6.0655,6.2094,EGP
2015-04-16,6.2063,6.2846,6.1856,6.2608,EGP
2015-04-17,6.2603,6.3136,6.2159,6.2286,EGP
2015-04-20,6.2367,6.2647,6.2179,6.2416,EGP
2015-04-21,6.2413,6.2477,6.1987,6.2131,EGP
2015-04-22,6.2118,6.2488,6.2078,6.235,EGP
2015-04-23,6.2347,6.2952,6.2174,6.2807,EGP
2015-04-24,6.2793,6.303,6.2551,6.2626,EGP
2015-04-27,6.2613,6.3157,6.2541,6.3132,EGP
2015-04-28,6.311,6.3513,6.2949,6.3401,EGP
2015-04-29,6.3388,6.3866,6.3147,6.3462,EGP
2015-04-30,6.3425,6.3607,6.2876,6.3181,EGP
2015-05-01,6.3167,6.327,6.25,6.275,EGP
2015-05-04,6.2706,6.314,6.2577,6.3081,EGP
2015-05-05,6.3079,6.3578,6.2871,6.3236,EGP
2015-05-06,6.3225,6.3926,6.3105,6.3317,EGP
2015-05-07,6.3283,6.3404,6.2716,6.2913,EGP
2015-05-08,6.2886,6.3357,6.2798,6.321,EGP
2015-05-11,6.3157,6.3217,6.2768,6.3046,EGP
2015-05-12,6.3042,6.3711,6.2949,6.3499,EGP
2015-05-13,6.3483,6.3986,6.3409,6.3795,EGP
2015-05-14,6.3754,6.4047,6.3489,6.3653,EGP
2015-05-15,6.3621,6.3682,6.3168,6.3497,EGP
2015-05-18,6.3504,6.3557,6.2669,6.2747,EGP
2015-05-19,6.2731,6.2926,6.2194,6.2355,EGP
2015-05-20,6.2316,6.271,6.223,6.25,EGP
2015-05-21,6.248,6.2698,6.2291,6.2549,EGP
2015-05-22,6.2556,6.2696,6.1907,6.2139,EGP
2015-05-25,6.2057,6.2155,6.1922,6.1978,EGP
2015-05-26,6.1927,6.2018,6.12,6.1364,EGP
2015-05-27,6.1349,6.1568,6.106,6.1275,EGP
2015-05-28,6.1275,6.1436,6.0836,6.1357,EGP
2015-05-29,6.1354,6.1496,6.0889,6.1298,EGP
2015-06-01,6.1325,6.1344,6.0715,6.0933,EGP
2015-06-02,6.0933,6.1704,6.0835,6.153,EGP
2015-06-03,6.1522,6.1623,6.0977,6.1275,EGP
2015-06-04,6.1256,6.1367,6.1006,6.1024,EGP
2015-06-05,6.1025,6.1406,6.0724,6.1338,EGP
2015-06-08,6.1234,6.1624,6.1082,6.148,EGP
2015-06-09,6.1478,6.2,6.1279,6.1844,EGP
2015-06-10,6.1826,6.2534,6.1756,6.2263,EGP
2015-06-11,6.226,6.2278,6.1746,6.2076,EGP
2015-06-12,6.2078,6.2157,6.1771,6.192,EGP
2015-06-15,6.1881,6.2035,6.1631,6.1884,EGP
2015-06-16,6.1841,6.2128,6.1741,6.2064,EGP
2015-06-17,6.2063,6.2437,6.1831,6.2401,EGP
2015-06-18,6.2372,6.2899,6.2225,6.241,EGP
2015-06-19,6.2382,6.2451,6.1997,6.2187,EGP
2015-06-22,6.2179,6.2452,6.1867,6.199,EGP
2015-06-23,6.1987,6.2015,6.1561,6.1879,EGP
2015-06-24,6.1836,6.2159,6.1404,6.1632,EGP
2015-06-25,6.1602,6.194,6.1457,6.1848,EGP
2015-06-26,6.18,6.1936,6.1447,6.1902,EGP
2015-06-29,6.1776,6.2012,6.1453,6.1523,EGP
2015-06-30,6.1512,6.1726,6.102,6.1075,EGP
2015-07-01,6.106,6.117,6.0551,6.0611,EGP
2015-07-02,6.0589,6.1638,6.0334,6.1633,EGP
2015-07-03,6.1603,6.1643,6.128,6.1457,EGP
2015-07-06,6.2271,6.241,6.0947,6.1098,EGP
2015-07-07,6.1019,6.1842,6.0927,6.1637,EGP
2015-07-08,6.1615,6.1744,6.1306,6.1419,EGP
2015-07-09,6.1373,6.1829,6.1358,6.1635,EGP
2015-07-10,6.161,6.1883,6.1373,6.1859,EGP
2015-07-13,6.177,6.1798,6.1201,6.1454,EGP
2015-07-14,6.145,6.1571,6.1109,6.1538,EGP
2015-07-15,6.1503,6.1547,6.0407,6.0627,EGP
2015-07-16,6.0637,6.0684,6.0356,6.0445,EGP
2015-07-17,6.0431,6.0488,6.018,6.0362,EGP
2015-07-20,6.0347,6.0464,6.0106,6.0255,EGP
2015-07-21,6.0254,6.063,6.0147,6.0475,EGP
2015-07-22,6.0468,6.0545,5.9968,6.0076,EGP
2015-07-23,6.006,6.0468,5.9995,6.0069,EGP
2015-07-24,6.0055,6.0155,5.9744,6.0008,EGP
2015-07-27,6.0051,6.0296,5.9986,6.0064,EGP
2015-07-28,6.0041,6.0661,6.0018,6.06,EGP
2015-07-29,6.0599,6.0884,6.0332,6.0485,EGP
2015-07-30,6.0468,6.0525,6.0014,6.023,EGP
2015-07-31,6.0202,6.0503,5.9789,5.9824,EGP
2015-08-03,5.9776,5.9881,5.9402,5.9512,EGP
2015-08-04,5.9479,5.9779,5.9262,5.9329,EGP
