Date,Open,High,Low,Close,Currency
2015-01-01,0.7111,0.7121,0.7104,0.7111,EUR
2015-01-02,0.711,0.7133,0.7066,0.707,EUR
2015-01-05,0.7067,0.7147,0.7066,0.7124,EUR
2015-01-06,0.7122,0.7146,0.7082,0.7107,EUR
2015-01-07,0.7104,0.7157,0.7093,0.7148,EUR
2015-01-08,0.7147,0.7206,0.714,0.7167,EUR
2015-01-09,0.7167,0.7177,0.7108,0.7116,EUR
2015-01-12,0.7117,0.7142,0.7054,0.7058,EUR
2015-01-13,0.7055,0.7126,0.7044,0.7105,EUR
2015-01-14,0.7101,0.7115,0.7058,0.7097,EUR
2015-01-15,0.7096,0.7256,0.7086,0.7189,EUR
2015-01-16,0.7185,0.7272,0.7158,0.7212,EUR
2015-01-19,0.7214,0.7242,0.7169,0.7217,EUR
2015-01-20,0.7215,0.7229,0.7128,0.7147,EUR
2015-01-21,0.7143,0.7167,0.6961,0.698,EUR
2015-01-22,0.6977,0.7121,0.695,0.7106,EUR
2015-01-23,0.7104,0.7246,0.7091,0.7185,EUR
2015-01-26,0.7194,0.723,0.7117,0.7132,EUR
2015-01-27,0.7131,0.714,0.7065,0.7087,EUR
2015-01-28,0.7084,0.7112,0.7045,0.7066,EUR
2015-01-29,0.7064,0.7087,0.6979,0.7002,EUR
2015-01-30,0.7,0.7005,0.6898,0.6958,EUR
2015-02-02,0.6956,0.7029,0.6905,0.7018,EUR
2015-02-03,0.7015,0.7037,0.6967,0.7016,EUR
2015-02-04,0.7014,0.7035,0.6949,0.7008,EUR
2015-02-05,0.7007,0.7052,0.6971,0.7007,EUR
2015-02-06,0.7005,0.7087,0.6995,0.7056,EUR
2015-02-09,0.7051,0.7105,0.7033,0.7084,EUR
2015-02-10,0.7081,0.7107,0.6993,0.7016,EUR
2015-02-11,0.7016,0.7032,0.6971,0.6985,EUR
2015-02-12,0.6982,0.7066,0.6973,0.7012,EUR
2015-02-13,0.701,0.7057,0.6981,0.7056,EUR
2015-02-16,0.7052,0.7081,0.702,0.7065,EUR
2015-02-17,0.7063,0.7098,0.7052,0.7072,EUR
2015-02-18,0.7069,0.7101,0.7041,0.7045,EUR
2015-02-19,0.7042,0.7051,0.6994,0.704,EUR
2015-02-20,0.7039,0.7117,0.6982,0.7014,EUR
2015-02-23,0.7008,0.7032,0.6989,0.7021,EUR
2015-02-24,0.7016,0.7069,0.6975,0.7064,EUR
2015-02-25,0.706,0.7108,0.7052,0.7077,EUR
2015-02-26,0.7077,0.7154,0.7066,0.7136,EUR
2015-02-27,0.7133,0.717,0.7121,0.7141,EUR
2015-03-02,0.7138,0.7167,0.7095,0.7132,EUR
2015-03-03,0.7132,0.72,0.7124,0.7161,EUR
2015-03-04,0.7158,0.7281,0.7151,0.7263,EUR
2015-03-05,0.7261,0.7303,0.7228,0.726,EUR
2015-03-06,0.7259,0.7343,0.7252,0.7306,EUR
2015-03-09,0.7312,0.7326,0.7277,0.7311,EUR
2015-03-10,0.731,0.7401,0.7301,0.7367,EUR
2015-03-11,0.7365,0.746,0.736,0.7435,EUR
2015-03-12,0.7434,0.7465,0.7402,0.7412,EUR
2015-03-13,0.7411,0.7471,0.7392,0.7453,EUR
2015-03-16,0.745,0.7475,0.7368,0.7408,EUR
2015-03-17,0.7405,0.7413,0.7349,0.7378,EUR
2015-03-18,0.7378,0.7389,0.7254,0.7324,EUR
2015-03-19,0.7323,0.7424,0.7308,0.7375,EUR
2015-03-20,0.7373,0.7402,0.7308,0.7362,EUR
2015-03-23,0.7347,0.737,0.729,0.7294,EUR
2015-03-24,0.7294,0.7339,0.7274,0.7326,EUR
2015-03-25,0.7324,0.7335,0.7263,0.7282,EUR
2015-03-26,0.7281,0.7378,0.7273,0.736,EUR
2015-03-27,0.7356,0.7393,0.726,0.7284,EUR
2015-03-30,0.728,0.731,0.7267,0.7284,EUR
2015-03-31,0.728,0.7361,0.7262,0.7345,EUR
2015-04-01,0.7339,0.7379,0.7318,0.736,EUR
2015-04-02,0.7358,0.7377,0.7282,0.7318,EUR
2015-04-03,0.7314,0.7331,0.7266,0.7297,EUR
2015-04-06,0.7287,0.7339,0.7269,0.7336,EUR
2015-04-07,0.7336,0.74,0.7319,0.7394,EUR
2015-04-08,0.739,0.7429,0.7376,0.7395,EUR
2015-04-09,0.7393,0.7467,0.7379,0.7457,EUR
2015-04-10,0.7456,0.7511,0.7435,0.7503,EUR
2015-04-13,0.75,0.7523,0.747,0.7513,EUR
2015-04-14,0.7511,0.7545,0.7474,0.7518,EUR
2015-04-15,0.7516,0.763,0.7475,0.7615,EUR
2015-04-16,0.761,0.765,0.7559,0.7625,EUR
2015-04-17,0.7623,0.7682,0.7549,0.7553,EUR
2015-04-20,0.7541,0.7636,0.754,0.7617,EUR
2015-04-21,0.7615,0.766,0.7557,0.7585,EUR
2015-04-22,0.7582,0.7628,0.7572,0.7618,EUR
2015-04-23,0.7617,0.7651,0.758,0.7606,EUR
2015-04-24,0.7605,0.7631,0.754,0.755,EUR
2015-04-27,0.7546,0.7617,0.754,0.7599,EUR
2015-04-28,0.7595,0.761,0.7554,0.7567,EUR
2015-04-29,0.7565,0.7586,0.7462,0.7474,EUR
2015-04-30,0.7471,0.7505,0.7339,0.7378,EUR
2015-05-01,0.7375,0.7394,0.7294,0.7342,EUR
2015-05-04,0.7341,0.7426,0.7329,0.7418,EUR
2015-05-05,0.7415,0.7463,0.7392,0.7409,EUR
2015-05-06,0.7406,0.7427,0.7302,0.7311,EUR
2015-05-07,0.7308,0.7348,0.7261,0.7319,EUR
2015-05-08,0.7315,0.74,0.7309,0.7394,EUR
2015-05-11,0.7396,0.7432,0.7364,0.7407,EUR
2015-05-12,0.7406,0.7436,0.7349,0.7421,EUR
2015-05-13,0.7417,0.7449,0.7346,0.7364,EUR
2015-05-14,0.736,0.738,0.7299,0.7314,EUR
2015-05-15,0.7311,0.7341,0.7255,0.7268,EUR
2015-05-18,0.7265,0.7302,0.724,0.7268,EUR
2015-05-19,0.7265,0.7366,0.726,0.7332,EUR
2015-05-20,0.7328,0.7396,0.7325,0.7385,EUR
2015-05-21,0.7381,0.7399,0.7333,0.7377,EUR
2015-05-22,0.7376,0.7401,0.7313,0.7392,EUR
2015-05-25,0.7402,0.7421,0.7387,0.7399,EUR
2015-05-26,0.7398,0.7447,0.7366,0.7397,EUR
2015-05-27,0.7395,0.7418,0.7347,0.7365,EUR
2015-05-28,0.7363,0.7373,0.731,0.7344,EUR
2015-05-29,0.7342,0.736,0.7268,0.7311,EUR
2015-06-01,0.7306,0.7354,0.7288,0.7308,EUR
2015-06-02,0.7305,0.732,0.7183,0.7229,EUR
2015-06-03,0.7227,0.7248,0.7116,0.7125,EUR
2015-06-04,0.7122,0.7138,0.7058,0.7117,EUR
2015-06-05,0.7116,0.7242,0.7077,0.7234,EUR
2015-06-08,0.7235,0.7261,0.7131,0.7137,EUR
2015-06-09,0.7135,0.7225,0.7116,0.7184,EUR
2015-06-10,0.7181,0.7248,0.7162,0.7205,EUR
