Date,Open,High,Low,Close,Currency
2015-01-01,3.3465,3.3571,3.3408,3.3521,ILS
2015-01-02,3.3445,3.3742,3.3347,3.3399,ILS
2015-01-05,3.3364,3.3687,3.324,3.3615,ILS
2015-01-06,3.3588,3.3807,3.3364,3.3449,ILS
2015-01-07,3.3398,3.3655,3.3329,3.3575,ILS
2015-01-08,3.3546,3.374,3.3343,3.3429,ILS
2015-01-09,3.3418,3.3562,3.3137,3.3234,ILS
2015-01-12,3.3198,3.3326,3.2754,3.2838,ILS
2015-01-13,3.2788,3.3049,3.2709,3.291,ILS
2015-01-14,3.2874,3.2974,3.2431,3.2603,ILS
2015-01-15,3.2557,3.3049,3.2408,3.2801,ILS
2015-01-16,3.2751,3.2976,3.2484,3.29,ILS
2015-01-19,3.289,3.3064,3.259,3.2805,ILS
2015-01-20,3.274,3.2877,3.2403,3.25,ILS
2015-01-21,3.2476,3.2682,3.1736,3.1938,ILS
2015-01-22,3.1914,3.2074,3.1756,3.1933,ILS
2015-01-23,3.1892,3.24,3.1809,3.2274,ILS
2015-01-26,3.2167,3.2323,3.1882,3.1969,ILS
2015-01-27,3.192,3.206,3.1707,3.1825,ILS
2015-01-28,3.1782,3.1917,3.1377,3.1451,ILS
2015-01-29,3.1411,3.1566,3.1008,3.1196,ILS
2015-01-30,3.1173,3.1214,3.0684,3.0876,ILS
2015-02-02,3.0832,3.1368,3.0733,3.1277,ILS
2015-02-03,3.1244,3.1433,3.1001,3.1336,ILS
2015-02-04,3.1327,3.1456,3.0891,3.1042,ILS
2015-02-05,3.1005,3.1193,3.0581,3.1006,ILS
2015-02-06,3.0984,3.1294,3.0903,3.1094,ILS
2015-02-09,3.1024,3.1271,3.0848,3.1088,ILS
2015-02-10,3.1063,3.125,3.0639,3.0737,ILS
2015-02-11,3.07,3.0852,3.0443,3.076,ILS
2015-02-12,3.0718,3.1276,3.0628,3.0976,ILS
2015-02-13,3.0944,3.1376,3.0933,3.1235,ILS
2015-02-16,3.1195,3.1539,3.0863,3.1075,ILS
2015-02-17,3.1034,3.1364,3.097,3.1136,ILS
2015-02-18,3.1101,3.12,3.0844,3.0941,ILS
2015-02-19,3.0916,3.0975,3.0584,3.0764,ILS
2015-02-20,3.0721,3.1097,3.0683,3.0763,ILS
2015-02-23,3.0729,3.1211,3.0516,3.1136,ILS
2015-02-24,3.1082,3.1777,3.1005,3.1683,ILS
2015-02-25,3.1633,3.1947,3.1482,3.1713,ILS
2015-02-26,3.1687,3.1861,3.1476,3.1642,ILS
2015-02-27,3.1617,3.2082,3.1563,3.1876,ILS
2015-03-02,3.1829,3.2019,3.1721,3.1898,ILS
2015-03-03,3.187,3.2084,3.1758,3.183,ILS
2015-03-04,3.1816,3.2206,3.1667,3.2094,ILS
2015-03-05,3.207,3.22,3.1825,3.1979,ILS
2015-03-06,3.1954,3.2192,3.178,3.1897,ILS
2015-03-09,3.185,3.1997,3.1697,3.1768,ILS
2015-03-10,3.1745,3.2048,3.158,3.1894,ILS
2015-03-11,3.1877,3.1975,3.1518,3.1691,ILS
2015-03-12,3.1666,3.1865,3.1416,3.1547,ILS
