Date,Open,High,Low,Close,Currency
2015-01-01,54.224,54.618,54.215,54.536,INR
2015-01-02,54.541,54.632,53.673,53.702,INR
2015-01-05,53.701,53.99,53.514,53.849,INR
2015-01-06,53.842,54.102,53.677,53.713,INR
2015-01-07,53.695,53.783,53.276,53.557,INR
2015-01-08,53.541,53.6,52.9,52.975,INR
2015-01-09,52.967,53.076,52.422,52.543,INR
2015-01-12,52.545,52.664,51.816,51.841,INR
2015-01-13,51.82,52.027,51.741,51.836,INR
2015-01-14,51.81,52.052,51.676,51.956,INR
2015-01-15,51.945,52.588,51.38,51.894,INR
2015-01-16,51.877,52.004,51.34,51.625,INR
2015-01-19,51.645,51.726,51.41,51.633,INR
2015-01-20,51.586,51.729,50.875,50.896,INR
2015-01-21,50.892,51.069,49.649,49.885,INR
2015-01-22,49.87,50.12,49.577,49.76,INR
2015-01-23,49.746,49.844,49.366,49.471,INR
2015-01-26,49.353,49.571,49.2,49.285,INR
2015-01-27,49.259,49.594,49.1,49.53,INR
2015-01-28,49.508,49.588,48.914,48.942,INR
2015-01-29,48.93,49.408,48.789,48.98,INR
2015-01-30,48.974,49.049,48.433,48.714,INR
2015-02-02,48.693,49.151,48.383,49.126,INR
2015-02-03,49.104,49.858,48.731,49.612,INR
2015-02-04,49.602,49.772,49.027,49.18,INR
2015-02-05,49.171,49.778,49.094,49.623,INR
2015-02-06,49.613,49.814,49.348,49.475,INR
2015-02-09,49.458,49.955,49.362,49.85,INR
2015-02-10,49.834,49.964,49.323,49.509,INR
2015-02-11,49.505,49.615,49.14,49.38,INR
2015-02-12,49.368,49.972,49.32,49.696,INR
2015-02-13,49.676,49.967,49.571,49.864,INR
2015-02-16,49.848,50.091,49.7,49.817,INR
2015-02-17,49.807,50.332,49.791,50.163,INR
2015-02-18,50.143,50.26,49.784,49.823,INR
2015-02-19,49.813,49.934,49.476,49.724,INR
2015-02-20,49.71,50.105,49.477,49.576,INR
2015-02-23,49.552,49.734,49.238,49.457,INR
2015-02-24,49.425,49.804,49.123,49.804,INR
2015-02-25,49.78,49.979,49.64,49.744,INR
2015-02-26,49.732,49.935,49.227,49.325,INR
2015-02-27,49.309,49.659,49.194,49.296,INR
2015-03-02,49.374,49.638,49.225,49.349,INR
2015-03-03,49.336,49.777,49.306,49.471,INR
2015-03-04,49.455,50.213,49.307,50.136,INR
2015-03-05,50.128,50.199,49.769,49.959,INR
2015-03-06,49.949,50.113,49.45,49.485,INR
2015-03-09,49.465,49.839,49.441,49.699,INR
2015-03-10,49.682,49.833,49.409,49.429,INR
2015-03-11,49.417,49.555,49.019,49.234,INR
2015-03-12,49.224,49.52,49.047,49.302,INR
2015-03-13,49.285,49.566,49.099,49.348,INR
2015-03-16,49.303,49.343,49.012,49.151,INR
2015-03-17,49.137,49.177,48.918,48.969,INR
2015-03-18,48.938,50.265,48.839,49.897,INR
2015-03-19,49.893,50.132,48.958,49.131,INR
2015-03-20,49.12,49.751,49.029,49.723,INR
2015-03-23,49.681,49.802,49.386,49.691,INR
2015-03-24,49.681,50.094,49.57,49.902,INR
2015-03-25,49.882,50.012,49.715,49.866,INR
2015-03-26,49.838,50.568,49.81,50.337,INR
2015-03-27,50.333,50.397,49.518,49.584,INR
2015-03-30,49.558,49.687,49.158,49.319,INR
2015-03-31,49.302,49.364,48.882,49.097,INR
2015-04-01,49.094,49.444,48.985,49.237,INR
2015-04-02,49.233,49.483,49.132,49.43,INR
2015-04-03,49.408,49.887,49.353,49.632,INR
2015-04-06,49.735,50.041,49.56,49.849,INR
2015-04-07,49.822,50.074,49.701,49.815,INR
2015-04-08,49.801,50.278,49.505,49.587,INR
2015-04-09,49.571,49.78,49.283,49.528,INR
2015-04-10,49.52,49.622,49.199,49.547,INR
2015-04-13,49.5,49.629,49.326,49.549,INR
2015-04-14,49.517,50.045,49.449,49.872,INR
2015-04-15,49.858,50.774,49.582,50.749,INR
2015-04-16,50.716,51.319,50.529,51.134,INR
2015-04-17,51.122,51.65,50.901,51.061,INR
2015-04-20,51.154,51.803,51.068,51.648,INR
2015-04-21,51.638,51.678,51.07,51.182,INR
2015-04-22,51.164,51.538,51.133,51.465,INR
2015-04-23,51.455,52.209,51.305,52.103,INR
2015-04-24,52.102,52.539,51.99,52.27,INR
2015-04-27,52.234,52.446,52.154,52.413,INR
2015-04-28,52.387,52.495,52.161,52.394,INR
2015-04-29,52.375,53.051,52.342,52.8,INR
2015-04-30,52.778,53.071,52.399,52.606,INR
2015-05-01,52.587,52.682,52.122,52.403,INR
2015-05-04,52.393,52.667,52.157,52.512,INR
2015-05-05,52.501,52.801,52.296,52.519,INR
2015-05-06,52.502,53.218,52.401,52.81,INR
2015-05-07,52.794,53.314,52.688,52.83,INR
2015-05-08,52.8,53.11,52.543,52.78,INR
2015-05-11,52.732,52.982,52.559,52.888,INR
2015-05-12,52.877,53.657,52.855,53.385,INR
2015-05-13,53.363,53.593,53.275,53.538,INR
2015-05-14,53.514,53.646,52.813,52.894,INR
2015-05-15,52.877,53.06,52.587,52.812,INR
2015-05-18,52.794,52.895,52.283,52.392,INR
2015-05-19,52.371,52.546,52.004,52.126,INR
2015-05-20,52.103,52.318,51.982,52.095,INR
2015-05-21,52.07,52.324,51.915,52.121,INR
2015-05-22,52.119,52.278,51.487,51.706,INR
2015-05-25,51.664,51.828,51.52,51.577,INR
2015-05-26,51.527,51.869,51.349,51.45,INR
2015-05-27,51.429,51.664,51.157,51.258,INR
2015-05-28,51.25,51.4,50.865,51.275,INR
2015-05-29,51.265,51.488,50.888,51.21,INR
2015-06-01,51.224,51.263,50.6,50.786,INR
2015-06-02,50.778,51.505,50.738,51.36,INR
2015-06-03,51.346,51.61,51.083,51.395,INR
2015-06-04,51.37,51.608,51.139,51.157,INR
2015-06-05,51.151,51.321,50.744,51.264,INR
2015-06-08,51.237,51.705,51.11,51.526,INR
2015-06-09,51.512,52.007,51.35,51.883,INR
2015-06-10,51.86,52.309,51.749,52.035,INR
2015-06-11,52.025,52.176,51.766,52.035,INR
2015-06-12,52.029,52.178,51.887,52.018,INR
2015-06-15,52.008,52.093,51.832,51.994,INR
