Date,Open,High,Low,Close,Currency
2015-01-01,109.62,109.86,109.51,109.73,ISK
2015-01-02,109.59,110.14,108.94,109.08,ISK
2015-01-05,108.9,109.94,108.61,109.77,ISK
2015-01-06,109.65,110.17,109.15,109.61,ISK
2015-01-07,109.47,110.37,109.31,110.2,ISK
2015-01-08,110.07,110.9,109.95,110.28,ISK
2015-01-09,110.16,110.4,109.16,109.39,ISK
2015-01-12,109.29,109.95,108.47,108.64,ISK
2015-01-13,108.48,109.65,108.34,109.3,ISK
2015-01-14,109.15,109.39,108.45,109.12,ISK
2015-01-15,108.99,111.08,108.73,110.09,ISK
2015-01-16,109.93,111.24,109.32,110.12,ISK
2015-01-19,109.99,110.53,109.49,110.37,ISK
2015-01-20,110.23,110.56,108.75,109.17,ISK
2015-01-21,109.06,109.56,106.44,106.81,ISK
2015-01-22,106.68,108.53,106.34,108.28,ISK
2015-01-23,108.17,109.58,107.86,108.8,ISK
2015-01-26,108.77,108.91,107.6,107.96,ISK
2015-01-27,107.8,108.08,106.83,107.29,ISK
2015-01-28,107.14,107.59,106.35,106.78,ISK
2015-01-29,106.62,107.08,105.22,105.69,ISK
2015-01-30,105.57,105.75,103.88,104.83,ISK
2015-02-02,104.76,105.95,103.85,105.8,ISK
2015-02-03,105.64,106.03,104.8,105.65,ISK
2015-02-04,105.52,105.9,104.41,105.41,ISK
2015-02-05,105.28,105.91,104.59,105.24,ISK
2015-02-06,105.11,106.14,104.97,105.61,ISK
2015-02-09,105.5,106.54,105.2,106.18,ISK
2015-02-10,106.04,106.47,104.61,105.08,ISK
2015-02-11,105.01,105.34,104.14,104.45,ISK
2015-02-12,104.32,105.9,104.18,105.11,ISK
2015-02-13,104.96,105.78,104.54,105.63,ISK
2015-02-16,105.49,106.25,105.19,106.0,ISK
2015-02-17,105.86,106.49,105.7,106.11,ISK
2015-02-18,105.96,106.69,105.67,105.97,ISK
2015-02-19,105.89,106.06,104.79,105.55,ISK
2015-02-20,105.42,106.69,104.59,105.2,ISK
2015-02-23,104.99,105.37,104.69,105.22,ISK
2015-02-24,105.04,105.93,104.37,105.85,ISK
2015-02-25,105.69,106.52,105.56,106.06,ISK
2015-02-26,105.93,106.88,105.66,106.56,ISK
2015-02-27,106.42,107.03,106.17,106.63,ISK
2015-03-02,106.37,106.94,105.82,106.55,ISK
2015-03-03,106.43,107.53,106.24,106.94,ISK
2015-03-04,106.83,108.62,106.61,108.3,ISK
2015-03-05,108.17,108.94,107.64,108.18,ISK
2015-03-06,108.06,109.06,107.95,108.5,ISK
2015-03-09,108.59,108.94,108.07,108.72,ISK
2015-03-10,108.58,109.84,108.44,109.25,ISK
2015-03-11,109.12,110.08,109.01,109.78,ISK
2015-03-12,109.65,110.23,109.0,109.26,ISK
2015-03-13,109.13,110.06,108.87,109.79,ISK
2015-03-16,109.62,109.98,108.27,109.0,ISK
2015-03-17,108.85,109.15,108.08,108.68,ISK
2015-03-18,108.55,109.06,107.34,108.19,ISK
2015-03-19,108.07,109.61,107.84,109.05,ISK
2015-03-20,108.92,109.92,108.02,109.52,ISK
2015-03-23,109.4,109.74,108.13,108.36,ISK
2015-03-24,108.24,108.95,107.93,108.65,ISK
2015-03-25,108.51,108.81,107.59,108.0,ISK
2015-03-26,107.82,109.48,107.74,109.12,ISK
2015-03-27,109.01,109.7,107.26,107.66,ISK
2015-03-30,107.54,108.11,107.3,107.72,ISK
2015-03-31,107.58,108.51,106.88,108.22,ISK
2015-04-01,108.12,108.71,107.74,108.38,ISK
2015-04-02,108.24,108.65,107.12,107.75,ISK
2015-04-03,107.59,108.31,107.07,107.44,ISK
2015-04-06,107.43,107.78,106.96,107.3,ISK
2015-04-07,107.18,109.25,107.09,109.14,ISK
2015-04-08,109.03,109.65,108.51,109.09,ISK
2015-04-09,108.94,109.8,108.72,109.66,ISK
2015-04-10,109.54,110.11,109.21,109.95,ISK
2015-04-13,109.77,110.19,109.33,109.89,ISK
2015-04-14,109.72,110.94,109.31,109.82,ISK
2015-04-15,109.69,111.2,108.83,111.02,ISK
2015-04-16,110.83,111.69,110.22,111.32,ISK
2015-04-17,111.17,112.5,110.59,110.78,ISK
2015-04-20,110.86,112.13,110.64,111.78,ISK
2015-04-21,111.63,112.44,110.65,111.19,ISK
2015-04-22,111.03,112.02,110.9,111.87,ISK
2015-04-23,111.72,112.34,111.21,111.69,ISK
2015-04-24,111.56,112.22,110.75,110.99,ISK
2015-04-27,110.88,111.79,110.72,111.45,ISK
2015-04-28,111.28,111.61,110.59,110.92,ISK
2015-04-29,110.82,111.21,109.33,109.69,ISK
2015-04-30,109.52,110.17,107.81,108.49,ISK
2015-05-01,108.34,108.73,107.11,107.97,ISK
2015-05-04,107.84,109.33,107.67,109.18,ISK
2015-05-05,109.05,109.87,108.68,109.06,ISK
2015-05-06,108.9,109.33,107.92,108.17,ISK
2015-05-07,108.02,109.26,107.32,108.82,ISK
2015-05-08,108.65,109.86,108.46,109.63,ISK
2015-05-11,109.5,109.99,108.93,109.58,ISK
2015-05-12,109.44,110.35,108.72,110.13,ISK
2015-05-13,109.99,110.53,108.82,109.21,ISK
2015-05-14,109.04,109.45,108.14,108.47,ISK
2015-05-15,108.32,108.85,107.47,107.8,ISK
2015-05-18,107.62,108.3,107.22,107.78,ISK
2015-05-19,107.63,109.23,107.55,108.55,ISK
2015-05-20,108.39,109.55,108.33,109.31,ISK
2015-05-21,109.15,109.58,108.43,109.32,ISK
2015-05-22,109.2,109.51,108.15,109.29,ISK
2015-05-25,109.33,109.72,109.12,109.4,ISK
2015-05-26,109.27,110.09,108.42,109.22,ISK
2015-05-27,109.07,109.47,108.28,108.66,ISK
2015-05-28,108.53,108.79,107.68,108.32,ISK
2015-05-29,108.19,108.55,107.01,107.77,ISK
2015-06-01,107.59,108.39,107.33,107.78,ISK
2015-06-02,107.66,108.0,105.95,106.78,ISK
2015-06-03,106.64,107.01,105.13,105.31,ISK
2015-06-04,105.15,105.85,104.4,105.68,ISK
2015-06-05,105.57,107.43,104.99,107.23,ISK
2015-06-08,107.14,107.65,106.11,106.3,ISK
2015-06-09,106.16,107.75,105.87,107.07,ISK
2015-06-10,106.93,108.27,106.63,107.7,ISK
2015-06-11,107.57,108.15,107.35,107.75,ISK
2015-06-12,107.63,108.47,106.98,107.22,ISK
2015-06-15,107.11,107.91,106.85,107.06,ISK
2015-06-16,106.94,107.84,106.56,107.68,ISK
2015-06-17,107.55,107.87,106.78,107.41,ISK
2015-06-18,107.29,107.81,106.56,107.28,ISK
2015-06-19,107.14,107.83,106.4,106.72,ISK
2015-06-22,106.49,107.14,105.7,106.34,ISK
2015-06-23,106.22,107.52,106.06,107.42,ISK
2015-06-24,107.26,107.6,106.16,106.5,ISK
2015-06-25,106.32,107.11,106.07,106.92,ISK
2015-06-26,106.8,107.5,106.18,107.31,ISK
2015-06-29,106.98,108.99,105.37,105.67,ISK
2015-06-30,105.52,106.82,105.25,105.76,ISK
2015-07-01,105.61,106.18,105.35,105.72,ISK
2015-07-02,105.56,105.94,104.9,105.84,ISK
2015-07-03,105.69,105.9,104.99,105.22,ISK
2015-07-06,105.13,105.79,104.67,105.01,ISK
2015-07-07,104.88,105.69,104.59,104.97,ISK
2015-07-08,104.8,105.45,104.14,104.57,ISK
2015-07-09,104.41,105.78,104.38,105.34,ISK
2015-07-10,105.18,105.5,103.67,104.66,ISK
2015-07-13,104.42,105.44,104.04,105.28,ISK
2015-07-14,105.15,105.54,104.34,105.38,ISK
2015-07-15,105.23,105.56,103.84,104.42,ISK
2015-07-16,104.31,105.09,104.13,104.62,ISK
2015-07-17,104.49,104.97,104.04,104.85,ISK
2015-07-20,104.7,104.88,104.14,104.72,ISK
2015-07-21,104.59,104.86,103.61,103.92,ISK
2015-07-22,103.78,104.14,103.14,103.3,ISK
2015-07-23,103.15,103.79,102.74,103.15,ISK
2015-07-24,103.01,103.71,102.49,102.96,ISK
2015-07-27,102.84,103.22,101.93,102.31,ISK
2015-07-28,102.14,103.59,102.12,103.43,ISK
2015-07-29,103.31,104.0,102.84,103.8,ISK
2015-07-30,103.64,104.08,103.32,103.74,ISK
2015-07-31,103.61,103.82,101.85,102.5,ISK
2015-08-03,102.34,102.68,101.87,102.34,ISK
2015-08-04,102.2,102.65,101.78,102.53,ISK
2015-08-05,102.39,102.86,101.77,102.02,ISK
2015-08-06,101.9,102.66,101.73,102.58,ISK
2015-08-07,102.43,102.96,101.77,102.01,ISK
2015-08-10,101.86,102.58,101.46,102.5,ISK
2015-08-11,102.38,102.59,101.0,101.57,ISK
2015-08-12,101.43,101.97,100.84,101.72,ISK
2015-08-13,101.59,102.13,100.77,101.06,ISK
2015-08-14,100.9,101.38,100.44,101.14,ISK
2015-08-17,101.02,101.44,100.37,101.22,ISK
2015-08-18,101.09,102.04,100.71,101.92,ISK
2015-08-19,101.81,102.01,100.36,100.5,ISK
2015-08-20,100.41,100.75,99.66,99.82,ISK
2015-08-21,99.71,100.06,97.7,97.88,ISK
2015-08-24,97.75,98.06,94.62,95.58,ISK
2015-08-25,95.45,97.74,95.22,95.58,ISK
2015-08-26,95.45,97.46,95.0,97.38,ISK
2015-08-27,97.24,98.88,96.85,98.34,ISK
2015-08-28,98.17,98.63,97.0,98.42,ISK
2015-08-31,98.3,98.66,96.74,98.43,ISK
2015-09-01,98.31,98.56,96.4,96.58,ISK
2015-09-02,96.45,97.78,96.4,97.19,ISK
2015-09-03,97.09,98.95,96.82,98.49,ISK
2015-09-04,98.33,98.7,97.27,97.45,ISK
2015-09-07,97.25,97.82,96.82,97.02,ISK
2015-09-08,96.92,97.83,96.49,97.27,ISK
2015-09-09,97.13,98.21,96.75,96.92,ISK
2015-09-10,96.78,97.65,96.05,96.22,ISK
2015-09-11,96.08,96.53,95.38,95.72,ISK
2015-09-14,95.5,96.31,95.38,95.88,ISK
2015-09-15,95.7,96.48,95.64,96.33,ISK
2015-09-16,96.2,96.89,95.98,96.66,ISK
2015-09-17,96.55,96.74,95.21,95.38,ISK
2015-09-18,95.25,96.88,95.24,96.19,ISK
2015-09-21,96.16,97.0,95.86,96.75,ISK
2015-09-22,96.63,97.28,96.48,97.15,ISK
2015-09-23,96.99,97.38,95.83,96.31,ISK
2015-09-24,96.18,96.61,95.13,96.38,ISK
2015-09-25,96.25,97.18,95.72,95.93,ISK
2015-09-28,95.87,96.34,94.89,95.04,ISK
2015-09-29,94.93,95.53,94.23,94.75,ISK
