Date,Open,High,Low,Close,Currency
2015-01-01,0.6077,0.6088,0.6076,0.6085,JOD
2015-01-02,0.6083,0.6096,0.6016,0.6021,JOD
2015-01-05,0.6019,0.6043,0.6001,0.6032,JOD
2015-01-06,0.6029,0.605,0.5987,0.5995,JOD
2015-01-07,0.5989,0.6005,0.5968,0.6003,JOD
2015-01-08,0.5998,0.6014,0.5981,0.5995,JOD
2015-01-09,0.5991,0.6008,0.596,0.5973,JOD
2015-01-12,0.5972,0.5994,0.5919,0.5924,JOD
2015-01-13,0.592,0.5952,0.5911,0.5935,JOD
2015-01-14,0.593,0.5946,0.5901,0.5935,JOD
2015-01-15,0.5932,0.6006,0.5907,0.5926,JOD
2015-01-16,0.5921,0.5931,0.5878,0.5911,JOD
2015-01-19,0.5909,0.5942,0.5907,0.5939,JOD
2015-01-20,0.5932,0.5942,0.5849,0.5854,JOD
2015-01-21,0.5851,0.5878,0.5718,0.5746,JOD
2015-01-22,0.5743,0.576,0.5708,0.573,JOD
2015-01-23,0.5727,0.574,0.5691,0.571,JOD
2015-01-26,0.5707,0.5717,0.5674,0.5685,JOD
2015-01-27,0.568,0.5729,0.5669,0.5719,JOD
2015-01-28,0.5716,0.5728,0.5652,0.5657,JOD
2015-01-29,0.5654,0.5668,0.5588,0.5618,JOD
2015-01-30,0.5615,0.5624,0.5534,0.5568,JOD
2015-02-02,0.5563,0.5645,0.5544,0.564,JOD
2015-02-03,0.5636,0.5742,0.56,0.5713,JOD
2015-02-04,0.5709,0.5725,0.5629,0.5641,JOD
2015-02-05,0.5638,0.5726,0.5631,0.5706,JOD
2015-02-06,0.5703,0.5715,0.5651,0.5663,JOD
2015-02-09,0.566,0.571,0.5651,0.5692,JOD
2015-02-10,0.5688,0.5699,0.5616,0.5636,JOD
2015-02-11,0.5634,0.5646,0.5584,0.5617,JOD
2015-02-12,0.5613,0.5707,0.5608,0.5675,JOD
2015-02-13,0.5671,0.5715,0.5657,0.5698,JOD
2015-02-16,0.5694,0.5712,0.5676,0.5691,JOD
2015-02-17,0.5689,0.574,0.5682,0.5725,JOD
2015-02-18,0.5721,0.5731,0.5686,0.5696,JOD
2015-02-19,0.5693,0.5706,0.5648,0.5675,JOD
2015-02-20,0.5671,0.571,0.564,0.5658,JOD
2015-02-23,0.5656,0.5664,0.5613,0.5642,JOD
2015-02-24,0.5637,0.5683,0.5596,0.5681,JOD
2015-02-25,0.5676,0.5713,0.5669,0.5696,JOD
2015-02-26,0.5693,0.572,0.5645,0.566,JOD
