Date,Open,High,Low,Close,Currency
2015-01-01,77.73,77.99,77.71,77.95,KES
2015-01-02,77.79,78.07,76.86,77.01,KES
2015-01-05,76.9,77.42,76.53,77.19,KES
2015-01-06,77.01,77.54,76.59,76.8,KES
2015-01-07,76.61,77.23,76.55,77.14,KES
2015-01-08,77.01,77.28,76.74,77.05,KES
2015-01-09,76.92,77.3,76.57,76.81,KES
2015-01-12,76.7,77.06,76.14,76.25,KES
2015-01-13,76.15,76.69,75.9,76.32,KES
2015-01-14,76.16,76.66,75.89,76.35,KES
2015-01-15,76.22,77.62,76.0,76.38,KES
2015-01-16,76.24,76.64,75.85,76.41,KES
2015-01-19,76.31,76.77,76.22,76.72,KES
2015-01-20,76.63,76.91,75.42,75.62,KES
2015-01-21,75.45,76.14,73.77,74.27,KES
2015-01-22,74.14,74.63,73.73,74.15,KES
2015-01-23,73.98,74.38,73.58,73.96,KES
2015-01-26,73.59,74.15,73.32,73.55,KES
2015-01-27,73.41,74.24,73.29,73.92,KES
2015-01-28,73.7,74.05,73.05,73.18,KES
2015-01-29,73.06,73.42,72.26,72.72,KES
2015-01-30,72.6,72.81,71.51,71.99,KES
2015-02-02,71.85,73.06,71.66,73.03,KES
2015-02-03,72.85,74.03,72.38,73.7,KES
2015-02-04,73.49,74.16,72.58,72.89,KES
2015-02-05,72.72,73.75,72.64,73.46,KES
2015-02-06,73.34,73.78,72.68,72.93,KES
2015-02-09,72.62,73.78,72.6,73.39,KES
2015-02-10,73.26,73.72,72.41,72.72,KES
2015-02-11,72.61,72.97,72.09,72.55,KES
2015-02-12,72.42,73.7,72.27,73.2,KES
2015-02-13,73.07,73.75,72.93,73.58,KES
2015-02-16,73.41,73.82,73.24,73.44,KES
2015-02-17,73.39,74.06,73.3,73.84,KES
2015-02-18,73.7,74.02,73.18,73.34,KES
2015-02-19,73.22,73.54,72.8,73.18,KES
2015-02-20,73.09,73.74,72.64,72.96,KES
2015-02-23,72.81,73.07,72.37,72.76,KES
2015-02-24,72.6,73.26,72.11,73.24,KES
2015-02-25,73.12,73.85,73.04,73.46,KES
2015-02-26,73.33,73.88,72.84,73.11,KES
2015-02-27,72.98,73.52,72.85,73.07,KES
2015-03-02,73.12,73.4,72.64,72.95,KES
2015-03-03,72.82,73.55,72.72,73.1,KES
2015-03-04,72.98,73.5,72.59,73.34,KES
2015-03-05,73.22,73.53,72.67,73.04,KES
2015-03-06,72.92,73.39,72.06,72.22,KES
2015-03-09,72.08,72.82,72.06,72.49,KES
2015-03-10,72.35,72.87,72.01,72.19,KES
2015-03-11,72.03,72.5,71.52,71.91,KES
2015-03-12,71.79,72.7,71.64,72.21,KES
2015-03-13,72.12,72.26,71.38,71.81,KES
2015-03-16,71.63,72.44,71.48,72.14,KES
2015-03-17,72.02,72.36,71.68,72.14,KES
2015-03-18,71.94,73.63,71.53,73.09,KES
2015-03-19,72.98,73.48,71.93,72.25,KES
2015-03-20,72.09,73.46,72.06,73.34,KES
2015-03-23,73.17,73.58,72.75,73.38,KES
2015-03-24,73.27,73.92,73.11,73.52,KES
2015-03-25,73.38,73.72,73.14,73.35,KES
2015-03-26,73.24,74.27,73.15,73.82,KES
2015-03-27,73.71,74.04,72.87,73.08,KES
2015-03-30,72.93,73.25,72.49,72.74,KES
2015-03-31,72.65,73.04,72.14,72.83,KES
2015-04-01,72.76,73.6,72.53,73.25,KES
2015-04-02,73.14,73.92,73.07,73.59,KES
2015-04-03,73.49,74.67,73.39,74.34,KES
2015-04-06,74.46,74.71,73.95,74.28,KES
2015-04-07,74.13,74.6,73.82,74.09,KES
2015-04-08,74.0,74.84,73.71,73.87,KES
2015-04-09,73.77,74.29,73.35,73.65,KES
2015-04-10,73.57,74.06,73.26,74.03,KES
2015-04-13,73.85,74.32,73.33,73.96,KES
2015-04-14,73.8,75.02,73.79,74.77,KES
2015-04-15,74.64,76.07,74.25,76.05,KES
2015-04-16,75.97,77.01,75.71,76.64,KES
2015-04-17,76.55,77.37,76.01,76.24,KES
2015-04-20,76.31,77.04,76.22,76.77,KES
2015-04-21,76.65,76.9,75.96,76.3,KES
2015-04-22,76.16,76.87,76.11,76.69,KES
2015-04-23,76.61,77.62,76.3,77.36,KES
2015-04-24,77.25,77.92,77.11,77.3,KES
2015-04-27,77.14,78.08,77.06,77.96,KES
2015-04-28,77.79,78.66,77.65,78.44,KES
2015-04-29,78.34,79.23,78.12,78.73,KES
2015-04-30,78.65,78.95,77.88,78.33,KES
2015-05-01,78.23,78.53,77.47,77.88,KES
2015-05-04,77.75,78.52,77.4,78.44,KES
2015-05-05,78.33,79.28,77.96,78.82,KES
2015-05-06,78.72,79.78,78.57,78.99,KES
2015-05-07,78.84,79.23,78.14,78.62,KES
2015-05-08,78.5,79.26,78.46,79.03,KES
2015-05-11,78.88,79.87,78.35,79.36,KES
2015-05-12,79.24,80.54,79.14,80.23,KES
2015-05-13,80.12,80.93,80.02,80.71,KES
2015-05-14,80.6,81.13,79.85,80.16,KES
2015-05-15,80.02,80.36,79.3,79.88,KES
2015-05-18,79.73,80.57,79.01,79.24,KES
2015-05-19,79.09,79.82,78.5,78.97,KES
2015-05-20,78.91,79.56,78.35,79.29,KES
2015-05-21,79.18,79.75,78.88,79.48,KES
2015-05-22,79.36,80.0,78.74,79.12,KES
2015-05-25,78.95,79.77,78.7,79.56,KES
2015-05-26,79.46,79.75,78.55,78.78,KES
2015-05-27,78.72,79.44,78.31,78.62,KES
2015-05-28,78.54,79.4,77.85,78.65,KES
2015-05-29,78.56,79.3,77.72,78.53,KES
2015-06-01,78.48,78.6,77.66,78.02,KES
2015-06-02,77.94,78.55,77.01,78.18,KES
2015-06-03,78.05,78.61,77.28,77.76,KES
2015-06-04,77.67,78.0,76.72,76.9,KES
2015-06-05,76.82,77.96,76.66,77.88,KES
2015-06-08,77.75,78.93,77.19,78.74,KES
2015-06-09,78.68,79.39,78.1,79.23,KES
2015-06-10,79.0,79.64,78.47,79.26,KES
2015-06-11,79.15,79.33,78.7,79.08,KES
2015-06-12,79.0,79.62,78.64,78.92,KES
2015-06-15,78.8,79.17,78.45,78.9,KES
2015-06-16,78.75,79.39,78.46,79.23,KES
2015-06-17,79.14,80.19,78.83,80.07,KES
2015-06-18,79.95,80.98,79.68,80.23,KES
2015-06-19,80.18,80.77,79.68,80.31,KES
2015-06-22,80.19,80.63,79.87,80.13,KES
2015-06-23,80.08,80.28,79.69,80.2,KES
2015-06-24,80.12,80.5,79.19,79.65,KES
2015-06-25,79.56,80.09,79.14,79.98,KES
2015-06-26,79.88,80.14,79.33,79.99,KES
2015-06-29,79.64,80.2,79.33,79.56,KES
2015-06-30,79.44,80.21,79.18,79.5,KES
2015-07-01,79.4,79.58,78.8,78.92,KES
2015-07-02,78.85,79.47,78.41,79.4,KES
2015-07-03,79.27,79.58,78.97,79.17,KES
2015-07-06,79.05,79.69,78.16,79.2,KES
2015-07-07,79.12,79.45,78.25,78.88,KES
2015-07-08,78.69,79.04,78.4,78.82,KES
2015-07-09,78.75,79.56,78.68,79.35,KES
2015-07-10,79.24,80.57,79.19,80.54,KES
2015-07-13,80.31,81.46,79.27,80.17,KES
2015-07-14,80.13,80.64,79.4,79.89,KES
2015-07-15,79.73,80.36,78.64,79.02,KES
2015-07-16,78.84,79.44,78.63,79.16,KES
2015-07-17,79.11,79.53,78.72,79.05,KES
2015-07-20,78.92,79.34,78.64,78.95,KES
2015-07-21,78.88,79.07,77.94,78.28,KES
2015-07-22,78.19,78.99,77.09,77.38,KES
2015-07-23,77.24,77.88,76.88,77.37,KES
2015-07-24,77.24,77.86,76.98,77.6,KES
2015-07-27,77.58,78.4,76.97,78.17,KES
2015-07-28,78.06,79.33,77.9,79.17,KES
2015-07-29,79.1,79.27,78.13,78.52,KES
2015-07-30,78.38,78.93,78.23,78.56,KES
2015-07-31,78.47,79.16,78.06,78.24,KES
2015-08-03,78.1,78.29,76.69,77.17,KES
2015-08-04,77.08,77.55,76.54,76.74,KES
2015-08-05,76.62,76.96,76.14,76.78,KES
2015-08-06,76.72,77.23,76.44,77.13,KES
2015-08-07,77.03,77.63,76.51,77.12,KES
2015-08-10,76.98,77.82,76.46,77.76,KES
2015-08-11,77.68,77.85,76.75,76.99,KES
2015-08-12,76.85,78.06,76.59,78.03,KES
2015-08-13,77.99,78.55,77.5,77.96,KES
2015-08-14,77.86,78.64,77.41,78.12,KES
2015-08-17,77.97,78.65,77.6,78.53,KES
2015-08-18,78.43,79.03,78.2,78.91,KES
2015-08-19,78.79,79.35,78.33,78.72,KES
2015-08-20,78.61,79.23,78.31,79.03,KES
2015-08-21,78.99,79.18,78.31,78.49,KES
2015-08-24,78.4,78.96,77.69,78.04,KES
2015-08-25,77.89,79.0,77.64,77.83,KES
2015-08-26,77.75,78.34,77.52,77.91,KES
2015-08-27,77.84,78.77,77.74,78.61,KES
2015-08-28,78.47,78.77,77.85,78.67,KES
2015-08-31,78.57,79.19,77.86,79.03,KES
2015-09-01,78.96,79.5,78.23,78.47,KES
2015-09-02,78.39,79.26,78.3,78.83,KES
2015-09-03,78.75,79.94,78.44,79.58,KES
2015-09-04,79.47,80.12,79.22,79.49,KES
2015-09-07,79.44,80.17,79.02,79.77,KES
2015-09-08,79.7,80.45,79.03,79.84,KES
2015-09-09,79.76,80.09,79.2,79.39,KES
2015-09-10,79.24,80.18,79.23,79.71,KES
2015-09-11,79.67,80.0,78.98,79.55,KES
2015-09-14,79.46,79.74,79.27,79.51,KES
2015-09-15,79.43,79.94,79.38,79.79,KES
2015-09-16,79.69,80.56,79.51,80.48,KES
2015-09-17,80.4,80.75,79.77,80.07,KES
2015-09-18,80.02,80.83,79.38,79.5,KES
2015-09-21,79.52,79.96,79.34,79.48,KES
2015-09-22,79.44,79.95,79.08,79.58,KES
2015-09-23,79.48,79.89,78.98,79.35,KES
2015-09-24,79.27,79.52,78.53,79.32,KES
2015-09-25,79.21,79.32,78.65,79.18,KES
2015-09-28,79.11,79.27,78.5,78.66,KES
2015-09-29,78.59,78.83,78.2,78.49,KES
2015-09-30,78.4,78.82,77.87,78.63,KES
2015-10-01,78.57,79.21,78.35,78.69,KES
2015-10-02,78.6,79.32,78.12,79.32,KES
2015-10-05,79.18,79.48,78.28,78.8,KES
2015-10-06,78.7,79.21,78.27,79.13,KES
2015-10-07,79.09,79.68,78.77,78.96,KES
2015-10-08,78.86,79.53,78.69,79.2,KES
2015-10-09,79.1,79.82,79.08,79.69,KES
2015-10-12,79.58,79.96,79.14,79.33,KES
2015-10-13,79.24,79.62,78.68,79.11,KES
2015-10-14,79.08,80.09,78.99,79.93,KES
2015-10-15,79.84,80.45,79.45,80.22,KES
2015-10-16,80.14,80.31,79.08,79.39,KES
2015-10-19,79.28,79.53,78.33,78.52,KES
2015-10-20,78.41,78.94,78.23,78.66,KES
2015-10-21,78.58,78.9,77.59,77.71,KES
2015-10-22,77.63,78.2,77.27,78.08,KES
2015-10-23,77.99,78.33,77.34,77.71,KES
2015-10-26,77.61,77.81,77.06,77.24,KES
2015-10-27,77.16,77.27,76.53,76.66,KES
2015-10-28,76.58,77.55,76.41,76.94,KES
2015-10-29,76.86,77.56,76.71,77.32,KES
2015-10-30,77.25,78.21,77.06,77.99,KES
2015-11-02,77.88,78.16,77.58,77.93,KES
2015-11-03,77.84,78.29,77.38,78.14,KES
2015-11-04,78.08,78.29,77.23,77.56,KES
2015-11-05,77.49,77.76,77.26,77.58,KES
2015-11-06,77.48,77.82,76.68,76.88,KES
2015-11-09,76.8,77.31,76.69,77.0,KES
2015-11-10,76.92,77.28,76.78,77.03,KES
2015-11-11,76.94,77.36,76.87,77.11,KES
2015-11-12,77.01,77.32,76.55,76.97,KES
2015-11-13,76.89,77.14,76.69,76.98,KES
2015-11-16,76.91,77.13,76.38,76.7,KES
2015-11-17,76.63,76.89,76.5,76.73,KES
2015-11-18,76.65,76.88,76.35,76.85,KES
2015-11-19,76.74,77.19,76.66,76.95,KES
2015-11-20,76.85,77.03,76.43,76.59,KES
2015-11-23,76.54,76.65,75.93,76.36,KES
2015-11-24,76.32,76.9,76.26,76.79,KES
2015-11-25,76.7,76.97,76.45,76.85,KES
2015-11-26,76.73,76.83,76.53,76.77,KES
2015-11-27,76.71,76.83,76.16,76.28,KES
2015-11-30,76.22,76.74,76.1,76.48,KES
2015-12-01,76.41,76.78,76.25,76.52,KES
2015-12-02,76.44,76.86,76.13,76.59,KES
2015-12-03,76.5,76.89,76.18,76.44,KES
2015-12-04,76.37,76.75,76.09,76.48,KES
2015-12-07,76.36,76.47,75.4,75.69,KES
2015-12-08,75.6,75.69,74.75,75.09,KES
2015-12-09,75.0,75.32,74.72,75.03,KES
2015-12-10,74.97,75.4,74.62,74.79,KES
2015-12-11,74.7,74.84,74.13,74.19,KES
2015-12-14,74.19,74.76,74.03,74.45,KES
2015-12-15,74.37,74.83,74.18,74.46,KES
2015-12-16,74.37,74.55,73.86,74.31,KES
2015-12-17,74.24,74.33,73.13,73.48,KES
2015-12-18,73.39,73.85,73.0,73.31,KES
2015-12-21,73.3,73.58,72.98,73.25,KES
2015-12-22,73.17,73.52,73.12,73.42,KES
2015-12-23,73.34,73.99,73.3,73.92,KES
2015-12-24,73.84,74.08,73.63,74.03,KES
2015-12-25,73.95,74.16,73.82,74.01,KES
2015-12-28,73.96,74.04,73.38,73.57,KES
2015-12-29,73.49,74.06,73.22,73.91,KES
2015-12-30,73.81,73.99,73.4,73.78,KES
2015-12-31,73.71,74.03,73.47,73.91,KES
2016-01-01,73.83,73.91,73.67,73.87,KES
2016-01-04,73.84,74.05,73.06,73.32,KES
2016-01-05,73.25,73.62,72.92,73.09,KES
2016-01-06,73.02,73.22,72.37,72.62,KES
2016-01-07,72.54,72.76,71.97,72.4,KES
2016-01-08,72.33,72.7,72.04,72.16,KES
2016-01-11,72.08,72.81,71.8,72.03,KES
2016-01-12,71.97,72.24,71.45,71.8,KES
2016-01-13,71.73,72.23,71.13,71.41,KES
2016-01-14,71.33,71.44,70.95,71.28,KES
2016-01-15,71.2,71.4,70.28,70.43,KES
2016-01-18,70.33,70.72,69.93,70.34,KES
2016-01-19,70.32,70.96,70.1,70.24,KES
2016-01-20,70.15,70.76,69.62,70.6,KES
2016-01-21,70.53,71.91,70.3,71.72,KES
2016-01-22,71.61,72.49,71.44,72.47,KES
2016-01-25,72.37,72.47,71.52,71.62,KES
2016-01-26,71.54,72.99,71.36,72.54,KES
2016-01-27,72.45,72.86,72.14,72.51,KES
2016-01-28,72.44,73.31,72.27,72.92,KES
2016-01-29,72.85,73.33,72.49,73.28,KES
2016-02-01,73.2,73.64,72.64,73.42,KES
2016-02-02,73.33,73.47,72.56,72.83,KES
2016-02-03,72.73,74.37,72.42,74.24,KES
2016-02-04,74.16,74.93,74.01,74.22,KES
2016-02-05,74.15,74.57,73.34,73.45,KES
2016-02-08,73.38,73.77,72.82,73.18,KES
2016-02-09,73.1,73.98,72.93,73.63,KES
2016-02-10,73.55,73.67,72.63,73.11,KES
2016-02-11,73.02,73.34,72.61,73.2,KES
2016-02-12,73.1,73.78,72.81,73.52,KES
2016-02-15,73.4,73.89,73.34,73.8,KES
2016-02-16,73.72,74.26,73.09,73.44,KES
2016-02-17,73.36,74.5,73.15,74.48,KES
2016-02-18,74.37,74.6,73.93,74.13,KES
2016-02-19,74.08,74.22,73.43,73.95,KES
2016-02-22,73.87,74.48,73.71,74.24,KES
2016-02-23,74.15,74.31,73.57,73.88,KES
2016-02-24,73.8,74.51,73.33,74.37,KES
2016-02-25,74.3,75.28,73.96,75.2,KES
2016-02-26,75.16,75.39,74.88,75.34,KES
2016-02-29,75.26,75.49,74.78,75.26,KES
2016-03-01,75.17,75.91,74.87,75.78,KES
2016-03-02,75.69,75.84,74.98,75.62,KES
2016-03-03,75.56,75.83,75.17,75.59,KES
2016-03-04,75.5,76.14,75.16,76.12,KES
2016-03-07,76.05,76.62,75.71,76.44,KES
2016-03-08,76.33,76.43,75.66,75.8,KES
2016-03-09,75.71,76.89,75.37,76.67,KES
2016-03-10,76.6,76.77,75.67,76.2,KES
2016-03-11,76.13,77.02,75.99,76.63,KES
2016-03-14,76.7,76.95,76.22,76.61,KES
2016-03-15,76.53,76.64,75.61,76.0,KES
2016-03-16,75.92,77.54,75.59,77.49,KES
2016-03-17,77.42,78.42,77.19,78.23,KES
2016-03-18,78.13,78.52,77.73,78.14,KES
2016-03-21,78.04,78.18,77.41,77.55,KES
2016-03-22,77.47,78.13,77.16,77.95,KES
2016-03-23,77.85,78.01,76.67,76.87,KES
2016-03-24,76.79,76.9,76.21,76.7,KES
2016-03-25,76.61,76.79,76.3,76.46,KES
2016-03-28,76.4,77.09,76.3,76.98,KES
2016-03-29,76.9,77.78,76.7,77.56,KES
2016-03-30,77.47,78.54,77.42,78.13,KES
2016-03-31,78.04,78.84,77.76,78.01,KES
2016-04-01,77.96,78.28,77.11,78.09,KES
2016-04-04,77.99,78.08,77.45,77.57,KES
2016-04-05,77.47,77.69,76.56,77.18,KES
2016-04-06,77.1,77.56,76.72,77.47,KES
2016-04-07,77.38,77.96,76.79,77.06,KES
2016-04-08,76.97,78.15,76.89,77.84,KES
2016-04-11,77.76,78.51,77.59,78.38,KES
2016-04-12,78.31,79.31,78.15,79.23,KES
2016-04-13,79.15,79.38,78.79,78.98,KES
2016-04-14,78.87,79.18,78.33,78.79,KES
2016-04-15,78.68,79.14,78.34,78.92,KES
2016-04-18,78.12,79.21,77.77,79.16,KES
2016-04-19,79.07,80.14,78.97,79.86,KES
2016-04-20,79.79,80.29,79.35,79.97,KES
2016-04-21,79.88,80.13,79.2,79.38,KES
2016-04-22,79.3,80.23,79.18,79.87,KES
2016-04-25,79.74,79.99,79.51,79.81,KES
2016-04-26,79.71,80.37,79.65,80.29,KES
2016-04-27,80.2,80.5,79.63,80.32,KES
2016-04-28,80.23,80.88,80.13,80.62,KES
2016-04-29,80.52,80.96,80.1,80.46,KES
2016-05-02,80.39,80.79,80.32,80.69,KES
2016-05-03,80.6,81.09,78.99,79.16,KES
2016-05-04,79.07,79.4,78.05,78.29,KES
2016-05-05,78.23,78.65,78.03,78.26,KES
2016-05-06,78.19,78.33,77.42,77.78,KES
