Date,Open,High,Low,Close,Currency
2015-01-01,940.29,941.92,938.88,940.39,KRW
2015-01-02,939.61,951.11,938.17,939.3,KRW
2015-01-05,938.65,945.42,935.4,943.54,KRW
2015-01-06,942.57,944.35,926.99,928.53,KRW
2015-01-07,927.6,933.39,924.07,929.91,KRW
2015-01-08,928.95,932.72,924.24,925.97,KRW
2015-01-09,925.04,927.74,913.07,914.95,KRW
2015-01-12,914.3,917.21,903.08,904.23,KRW
2015-01-13,903.16,907.61,899.43,902.22,KRW
2015-01-14,901.23,908.33,899.57,906.03,KRW
2015-01-15,905.16,914.18,897.1,899.59,KRW
2015-01-16,898.42,904.01,893.11,900.39,KRW
2015-01-19,899.97,906.34,898.63,904.1,KRW
2015-01-20,903.11,910.58,896.92,898.15,KRW
2015-01-21,897.1,901.6,872.71,877.03,KRW
2015-01-22,876.11,881.5,872.35,876.58,KRW
2015-01-23,875.66,879.08,865.15,867.6,KRW
2015-01-26,865.15,871.12,863.92,866.33,KRW
2015-01-27,865.28,870.58,861.83,869.47,KRW
2015-01-28,868.49,875.3,864.83,866.13,KRW
2015-01-29,865.13,876.38,865.07,871.77,KRW
2015-01-30,870.88,873.08,860.13,865.88,KRW
2015-02-02,865.02,877.01,861.54,875.11,KRW
2015-02-03,874.07,887.17,868.05,880.38,KRW
2015-02-04,879.54,880.84,861.47,865.32,KRW
2015-02-05,864.42,877.49,863.13,873.74,KRW
2015-02-06,872.83,880.9,869.13,876.62,KRW
2015-02-09,875.3,883.46,873.04,878.5,KRW
2015-02-10,877.56,879.77,870.48,873.23,KRW
2015-02-11,872.5,879.66,869.88,877.27,KRW
2015-02-12,876.27,888.04,873.66,880.83,KRW
2015-02-13,879.81,884.53,875.52,881.9,KRW
2015-02-16,880.89,888.29,878.59,883.78,KRW
2015-02-17,882.88,896.65,880.96,894.9,KRW
2015-02-18,893.88,899.13,888.94,890.06,KRW
2015-02-19,889.15,891.95,886.01,889.7,KRW
2015-02-20,888.8,895.11,882.99,886.47,KRW
2015-02-23,885.49,886.84,877.51,881.86,KRW
2015-02-24,880.64,886.17,875.6,885.87,KRW
2015-02-25,884.93,888.48,880.43,885.1,KRW
2015-02-26,884.15,887.44,875.84,881.06,KRW
2015-02-27,880.12,883.65,877.57,880.46,KRW
2015-03-02,879.43,884.19,874.92,879.94,KRW
2015-03-03,879.11,882.67,874.35,877.75,KRW
2015-03-04,876.8,887.87,875.18,886.32,KRW
2015-03-05,885.3,887.81,878.54,882.84,KRW
2015-03-06,882.0,883.63,874.41,880.06,KRW
2015-03-09,879.74,887.19,877.8,884.75,KRW
2015-03-10,883.78,891.74,881.61,888.5,KRW
2015-03-11,887.64,891.14,883.73,887.8,KRW
2015-03-12,886.91,891.87,880.75,887.35,KRW
2015-03-13,886.38,892.58,881.36,890.31,KRW
2015-03-16,888.67,890.46,880.58,886.17,KRW
2015-03-17,885.25,886.41,878.98,883.06,KRW
2015-03-18,881.83,892.8,878.67,884.65,KRW
2015-03-19,883.93,889.21,878.94,882.16,KRW
2015-03-20,881.31,889.4,880.21,887.15,KRW
2015-03-23,885.82,889.99,880.89,883.73,KRW
2015-03-24,882.96,889.06,878.42,883.38,KRW
2015-03-25,882.36,885.29,877.07,880.39,KRW
2015-03-26,879.45,891.14,877.22,885.26,KRW
2015-03-27,884.53,887.2,873.15,875.32,KRW
2015-03-30,874.21,877.95,870.32,873.8,KRW
2015-03-31,872.83,876.54,866.25,874.08,KRW
2015-04-01,873.19,875.35,867.55,870.22,KRW
2015-04-02,869.29,873.42,862.33,869.1,KRW
2015-04-03,868.07,874.44,866.78,870.3,KRW
2015-04-06,869.02,873.59,867.52,870.37,KRW
2015-04-07,869.22,877.59,868.76,876.08,KRW
2015-04-08,875.1,879.81,869.82,871.35,KRW
2015-04-09,870.41,874.03,865.67,871.82,KRW
2015-04-10,870.81,872.88,863.75,870.37,KRW
2015-04-13,869.53,876.64,867.3,874.66,KRW
2015-04-14,873.71,877.65,867.83,874.66,KRW
2015-04-15,873.76,891.35,870.61,888.95,KRW
2015-04-16,887.7,892.99,882.27,889.85,KRW
2015-04-17,888.95,894.29,882.04,884.73,KRW
2015-04-20,885.65,889.85,880.81,886.13,KRW
2015-04-21,885.28,886.76,878.51,881.9,KRW
2015-04-22,880.91,887.03,878.35,885.86,KRW
2015-04-23,885.01,891.86,881.87,890.09,KRW
2015-04-24,889.01,891.41,882.34,883.77,KRW
2015-04-27,882.53,888.05,879.31,884.5,KRW
2015-04-28,883.6,887.16,881.45,884.44,KRW
2015-04-29,883.43,894.79,883.05,890.53,KRW
2015-04-30,889.47,895.27,886.27,892.1,KRW
2015-05-01,891.08,893.34,885.08,889.31,KRW
2015-05-04,888.67,895.45,885.92,894.41,KRW
2015-05-05,893.54,901.78,891.12,896.18,KRW
