Date,Open,High,Low,Close,Currency
2015-01-01,1299.04,1303.18,1298.81,1302.4,LBP
2015-01-02,1301.76,1305.31,1280.96,1283.04,LBP
2015-01-05,1281.62,1288.16,1278.86,1285.76,LBP
2015-01-06,1283.58,1291.0,1275.01,1277.88,LBP
2015-01-07,1275.45,1282.23,1271.47,1280.1,LBP
2015-01-08,1277.82,1283.7,1274.58,1278.0,LBP
2015-01-09,1276.2,1282.55,1270.94,1274.07,LBP
2015-01-12,1272.65,1278.39,1262.31,1263.57,LBP
2015-01-13,1262.42,1268.44,1260.32,1264.95,LBP
2015-01-14,1262.44,1269.22,1257.08,1264.28,LBP
2015-01-15,1262.44,1279.94,1256.67,1262.96,LBP
2015-01-16,1260.55,1264.06,1251.45,1260.38,LBP
2015-01-19,1258.87,1265.51,1256.99,1264.76,LBP
2015-01-20,1261.4,1265.36,1243.6,1246.49,LBP
2015-01-21,1244.02,1251.75,1217.23,1225.23,LBP
2015-01-22,1222.65,1226.61,1213.88,1220.07,LBP
2015-01-23,1218.0,1222.22,1210.37,1216.23,LBP
2015-01-26,1211.54,1217.49,1207.88,1211.27,LBP
2015-01-27,1209.33,1220.39,1206.11,1219.5,LBP
2015-01-28,1217.64,1220.9,1203.25,1206.03,LBP
2015-01-29,1204.43,1208.67,1190.06,1197.94,LBP
2015-01-30,1196.01,1199.15,1177.94,1186.42,LBP
2015-02-02,1184.14,1202.48,1180.25,1202.3,LBP
2015-02-03,1199.97,1222.01,1192.28,1215.01,LBP
2015-02-04,1212.95,1219.24,1196.7,1200.44,LBP
2015-02-05,1198.41,1218.87,1197.65,1214.67,LBP
2015-02-06,1211.8,1216.53,1199.2,1204.35,LBP
2015-02-09,1199.78,1214.39,1199.3,1209.99,LBP
2015-02-10,1206.99,1211.62,1191.89,1198.27,LBP
2015-02-11,1195.58,1200.15,1183.46,1193.7,LBP
2015-02-12,1190.83,1212.11,1189.42,1205.34,LBP
2015-02-13,1202.25,1212.95,1199.28,1210.14,LBP
2015-02-16,1207.13,1212.8,1202.18,1207.63,LBP
2015-02-17,1204.78,1218.04,1203.53,1213.38,LBP
2015-02-18,1210.26,1215.22,1202.89,1207.1,LBP
2015-02-19,1204.24,1209.21,1195.31,1203.13,LBP
2015-02-20,1200.19,1210.52,1193.51,1200.12,LBP
2015-02-23,1196.94,1200.68,1187.93,1196.2,LBP
2015-02-24,1192.84,1203.32,1183.07,1202.84,LBP
2015-02-25,1199.65,1212.49,1198.21,1207.38,LBP
2015-02-26,1204.47,1212.32,1193.97,1198.96,LBP
2015-02-27,1195.97,1211.83,1194.92,1206.03,LBP
2015-03-02,1205.35,1209.06,1195.89,1201.79,LBP
2015-03-03,1198.85,1210.97,1197.9,1204.78,LBP
2015-03-04,1201.89,1213.52,1197.48,1211.38,LBP
2015-03-05,1208.56,1212.1,1197.89,1204.1,LBP
2015-03-06,1201.25,1207.2,1187.74,1191.17,LBP
2015-03-09,1188.12,1195.86,1187.74,1193.02,LBP
2015-03-10,1190.0,1193.42,1181.85,1184.88,LBP
2015-03-11,1182.03,1187.25,1171.78,1179.08,LBP
2015-03-12,1176.29,1191.39,1174.44,1185.22,LBP
2015-03-13,1182.22,1185.46,1169.41,1176.12,LBP
2015-03-16,1172.33,1180.68,1169.96,1177.1,LBP
2015-03-17,1174.17,1179.16,1171.78,1175.66,LBP
2015-03-18,1172.33,1205.28,1168.59,1196.48,LBP
2015-03-19,1193.79,1202.07,1175.36,1182.09,LBP
2015-03-20,1179.25,1198.54,1178.69,1197.87,LBP
2015-03-23,1194.36,1203.23,1188.68,1200.54,LBP
2015-03-24,1197.8,1209.94,1195.22,1203.38,LBP
2015-03-25,1200.29,1205.39,1195.89,1201.26,LBP
2015-03-26,1197.99,1211.7,1196.55,1204.44,LBP
2015-03-27,1201.44,1205.99,1188.02,1192.36,LBP
2015-03-30,1189.15,1195.67,1180.17,1190.18,LBP
2015-03-31,1187.19,1197.59,1176.98,1192.91,LBP
2015-04-01,1190.29,1201.63,1186.63,1194.44,LBP
2015-04-02,1191.76,1205.28,1188.09,1201.37,LBP
2015-04-03,1199.04,1212.83,1196.79,1211.15,LBP
2015-04-06,1208.25,1215.64,1201.54,1208.51,LBP
2015-04-07,1206.02,1213.34,1200.8,1205.47,LBP
2015-04-08,1203.33,1218.65,1195.22,1201.87,LBP
2015-04-09,1199.68,1205.78,1193.63,1199.12,LBP
2015-04-10,1197.14,1202.88,1187.85,1199.38,LBP
2015-04-13,1196.44,1200.51,1189.72,1196.9,LBP
2015-04-14,1194.35,1211.55,1193.78,1206.6,LBP
2015-04-15,1204.45,1229.95,1196.4,1226.8,LBP
2015-04-16,1224.17,1242.99,1220.5,1236.97,LBP
2015-04-17,1234.82,1247.38,1225.25,1231.43,LBP
2015-04-20,1231.8,1239.27,1228.08,1235.63,LBP
2015-04-21,1233.54,1236.03,1222.86,1227.55,LBP
2015-04-22,1225.27,1235.93,1224.47,1231.05,LBP
2015-04-23,1228.96,1246.64,1225.55,1240.48,LBP
2015-04-24,1238.57,1244.88,1232.98,1236.1,LBP
2015-04-27,1233.38,1251.35,1232.07,1249.38,LBP
2015-04-28,1246.48,1256.7,1239.17,1255.14,LBP
2015-04-29,1252.8,1263.06,1242.86,1254.68,LBP
2015-04-30,1252.29,1257.12,1239.39,1247.47,LBP
2015-05-01,1245.14,1249.51,1232.8,1239.77,LBP
2015-05-04,1237.66,1248.7,1235.13,1245.51,LBP
2015-05-05,1243.39,1258.63,1239.29,1249.38,LBP
2015-05-06,1247.1,1261.76,1244.73,1250.58,LBP
2015-05-07,1248.24,1252.58,1237.56,1242.99,LBP
2015-05-08,1240.42,1250.93,1237.86,1248.03,LBP
2015-05-11,1244.93,1252.22,1238.06,1245.61,LBP
2015-05-12,1243.49,1259.49,1242.67,1253.74,LBP
2015-05-13,1251.35,1269.33,1249.9,1260.83,LBP
2015-05-14,1258.36,1264.98,1252.29,1257.2,LBP
2015-05-15,1254.9,1261.51,1246.79,1254.94,LBP
2015-05-18,1252.5,1255.7,1236.14,1239.72,LBP
2015-05-19,1237.36,1242.82,1227.55,1231.55,LBP
2015-05-20,1229.16,1242.5,1226.65,1239.35,LBP
2015-05-21,1238.13,1242.15,1228.97,1235.81,LBP
2015-05-22,1233.91,1238.68,1221.1,1227.7,LBP
2015-05-25,1224.87,1228.09,1221.39,1224.51,LBP
2015-05-26,1221.49,1225.28,1208.74,1212.4,LBP
2015-05-27,1210.1,1216.4,1203.59,1209.85,LBP
2015-05-28,1207.84,1215.36,1199.17,1214.26,LBP
2015-05-29,1211.8,1214.98,1201.02,1211.09,LBP
2015-06-01,1209.61,1212.0,1197.58,1203.88,LBP
2015-06-02,1201.88,1220.27,1199.84,1215.67,LBP
2015-06-03,1213.51,1217.38,1201.95,1210.65,LBP
