Date,Open,High,Low,Close,Currency
2015-01-01,112.83,113.32,112.05,112.98,LKR
2015-01-02,112.87,113.12,111.3,111.42,LKR
2015-01-05,111.36,111.83,110.97,111.62,LKR
2015-01-06,111.53,112.31,110.95,111.1,LKR
2015-01-07,110.99,111.56,110.32,111.25,LKR
2015-01-08,111.11,111.52,110.93,111.17,LKR
2015-01-09,111.14,111.63,110.4,110.81,LKR
2015-01-12,110.66,111.36,109.74,109.86,LKR
2015-01-13,109.75,110.51,109.39,110.02,LKR
2015-01-14,109.86,110.28,109.32,110.07,LKR
2015-01-15,109.93,111.47,109.5,109.99,LKR
2015-01-16,109.84,110.27,108.92,109.62,LKR
2015-01-19,109.57,110.52,109.5,110.46,LKR
2015-01-20,110.28,110.53,108.68,108.84,LKR
2015-01-21,108.72,109.36,106.28,106.86,LKR
2015-01-22,106.75,107.2,106.13,106.58,LKR
2015-01-23,106.49,106.79,105.75,106.18,LKR
2015-01-26,105.85,106.43,105.55,105.82,LKR
2015-01-27,105.71,106.7,105.5,106.53,LKR
2015-01-28,106.36,106.75,105.45,105.53,LKR
2015-01-29,105.49,105.91,104.18,104.79,LKR
2015-01-30,104.7,104.93,103.23,103.86,LKR
2015-02-02,103.77,105.41,103.44,105.34,LKR
2015-02-03,105.2,107.14,104.52,106.6,LKR
2015-02-04,106.48,106.83,104.96,105.25,LKR
2015-02-05,105.13,106.8,105.0,106.43,LKR
2015-02-06,106.3,107.18,105.82,106.18,LKR
2015-02-09,105.87,106.94,105.83,106.6,LKR
2015-02-10,106.5,106.81,105.17,105.57,LKR
2015-02-11,105.5,105.74,104.57,105.2,LKR
2015-02-12,105.11,106.95,104.99,106.35,LKR
2015-02-13,106.16,107.0,105.9,106.76,LKR
2015-02-16,106.66,107.11,106.37,106.69,LKR
2015-02-17,106.6,107.61,106.47,107.34,LKR
2015-02-18,107.23,107.44,106.5,106.7,LKR
2015-02-19,106.61,106.88,105.86,106.37,LKR
2015-02-20,106.3,107.06,105.75,106.16,LKR
2015-02-23,106.05,106.21,105.25,105.82,LKR
2015-02-24,105.69,106.63,104.92,106.58,LKR
2015-02-25,106.43,107.3,106.3,106.99,LKR
2015-02-26,106.86,107.43,106.0,106.31,LKR
2015-02-27,106.18,106.96,106.08,106.45,LKR
2015-03-02,106.52,106.69,105.75,106.18,LKR
2015-03-03,106.01,107.1,105.92,106.55,LKR
2015-03-04,106.35,107.17,105.96,106.98,LKR
2015-03-05,106.94,107.16,106.13,106.47,LKR
2015-03-06,106.43,106.79,105.23,105.37,LKR
2015-03-09,105.27,106.06,105.23,105.61,LKR
2015-03-10,105.47,105.78,104.26,104.93,LKR
2015-03-11,104.73,105.33,103.82,104.42,LKR
2015-03-12,104.22,105.47,104.06,104.92,LKR
2015-03-13,104.75,105.14,103.61,104.08,LKR
2015-03-16,103.87,104.73,103.56,104.24,LKR
2015-03-17,104.03,104.66,103.82,104.12,LKR
2015-03-18,103.87,106.74,103.54,105.96,LKR
2015-03-19,105.77,106.42,104.29,104.8,LKR
2015-03-20,104.64,106.26,104.59,106.2,LKR
2015-03-23,105.98,106.68,105.32,106.44,LKR
2015-03-24,106.28,107.27,105.9,106.69,LKR
2015-03-25,106.51,106.87,106.11,106.5,LKR
2015-03-26,106.3,107.19,106.17,106.54,LKR
2015-03-27,106.47,106.76,105.26,105.56,LKR
2015-03-30,105.36,105.89,104.56,105.05,LKR
